Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG37,20,21,MLG37,50,8,2,5,2012.1428726911545,40.24285745382309
1-1514,23,19,1-1514,64,11,2,9,2018.457170844078,31.53839329443872
1-7488,1,1,1-7488,65,4,2,16,2017.2571926116943,31.034726040179912
1-0363,4,3,1-0363,34,1,1,16,1014.2571926116943,29.83109390034395
1-18987,19,23,1-18987,34,9,1,2,1010.6571490764618,29.725210266954758
1-8126,1,1,1-8126,34,4,1,2,1005.6571490764618,29.578151443425348
1-7425,1,1,1-7425,352,9,10,40,10042.142981529236,28.52881528843533
1-3257,9,7,1-3257,37,2,1,10,1010.285745382309,27.30502014546781
1-3174,1,16,1-3174,117,30,3,24,3049.8857889175415,26.067399905278133
1-8864,22,17,1-8864,39,3,1,3,1005.4857236146927,25.781685220889557
1-2006,20,21,1-2006,40,7,1,11,1016.1143199205399,25.402857998013495
1-7579,19,23,1-7579,40,12,1,2,1013.6571490764618,25.341428726911545
1-8990,22,17,1-8990,40,4,1,3,1006.4857236146927,25.162143090367316
1-8368,1,1,1-8368,80,5,2,7,2010.8000217676163,25.135000272095205
1-1633,1,1,1-1633,399,20,9,85,9090.428835749626,22.783029663532897
MLG24,6,15,MLG24,49,11,1,9,1018.4571708440781,20.784840221307714
1-0984,23,19,1-0984,50,3,1,4,1006.3142981529236,20.12628596305847
1-8808,22,17,1-8808,52,9,1,21,1026.4000653028488,19.738462794285553
1-9542,20,21,1-9542,54,10,1,5,1014.1428726911545,18.780423568354713
1-10808,1,1,1-10808,54,0,1,0,1000.0,18.51851851851852
1-8121,1,1,1-8121,110,3,2,12,2012.9428944587708,18.299480858716098
1-8087,16,5,1-8087,58,11,1,10,1019.285745382309,17.573892161763947
1-3246,19,23,1-3246,116,15,2,10,2023.285745382309,17.44211849467508
1-8371,13,11,1-8371,255,38,4,4,4041.3142981529236,15.848291365305583
MLG27,6,15,MLG27,67,14,1,5,1018.1428726911545,15.196162278972455
1-1070,13,11,1-1070,280,69,4,30,4093.857236146927,14.620918700524738
1-4654,1,1,1-4654,138,4,2,9,2011.457170844078,14.575776600319406
MLG82,5,16,MLG82,71,16,1,18,1030.9143416881561,14.519920305466988
MLG53,23,19,MLG53,216,33,3,32,3059.5143852233887,14.16441845010828
MLG42,20,21,MLG42,72,9,1,2,1010.6571490764618,14.036904848284191
1-9294,22,17,1-9294,74,13,1,14,1024.6000435352325,13.8459465342599
1-8681,8,13,1-8681,260,50,3,72,3109.6573667526245,11.960220641356248
1-0918,1,21,1-0918,179,26,2,16,2039.2571926116943,11.392498282746896
MLG29,20,21,MLG29,93,14,1,10,1022.285745382309,10.992319842820526
1-0677,20,21,1-0677,187,8,2,6,2012.9714472293854,10.76455319374003
1-3186,1,1,1-3186,796,59,8,83,8127.771686673164,10.210768450594427
1-6678,4,3,1-6678,213,16,2,22,2034.2286398410797,9.55036920113183
MLG66,13,11,MLG66,229,35,2,132,2144.3718390464783,9.364069166141826
MLG52,22,17,MLG52,112,3,1,4,1006.3142981529236,8.984949090651103
1-1887,5,16,1-1887,119,16,1,19,1031.742916226387,8.670108539717537
1-7302,23,19,1-7302,240,20,2,44,2056.4572796821594,8.568571998675663
1-1035,8,13,1-1035,249,21,2,76,2083.971664905548,8.369364116086539
1-0917,11,6,1-0917,134,23,1,29,1047.028661608696,7.813646728423104
MLG36,22,17,MLG36,136,28,1,25,1048.7143634557724,7.711135025410091
1-3693,19,23,1-3693,143,32,1,13,1042.7714689970016,7.292108174804207
MLG67,5,16,MLG67,293,34,2,70,2092.0002176761627,7.139932483536391
1-1099,1,1,1-1099,149,0,1,1,1000.8285745382309,6.716970298914301
MLG26,20,21,MLG26,155,23,1,17,1037.0857671499252,6.6908759170962915
MLG68,19,23,MLG68,152,17,1,0,1017.0,6.690789473684211
1-7306,19,23,1-7306,159,48,1,8,1054.6285963058472,6.632884253495894
MLG33,20,21,MLG33,161,21,1,13,1031.7714689970016,6.408518440975166
MLG09,17,8,MLG09,174,16,1,35,1045.0001088380814,6.005747751942996
1-5531,21,13,1-5531,199,62,1,42,1096.8001306056976,5.511558445254762
MLG61,19,23,MLG61,218,22,1,38,1053.485832452774,4.832503818590706
1-0691,17,8,1-0691,450,52,2,131,2160.5432645082474,4.8012072544627715
MLG13,7,14,MLG13,225,26,1,29,1050.028661608696,4.666794051594205
1-9365,14,10,1-9365,243,16,1,72,1075.6573667526245,4.426573525730965
1-19755,9,7,1-19755,517,90,2,109,2180.3146246671677,4.217242987750808
MLG70,5,16,MLG70,269,16,1,104,1102.1717519760132,4.097292758275142
1-7172,11,6,1-7172,284,53,1,86,1124.257410287857,3.958652853126257
MLG15,7,14,MLG15,559,65,2,156,2194.25762796402,3.925326704765688
1-7946,16,5,1-7946,289,49,1,62,1100.3716213703156,3.8075142607969394
1-0708,4,3,1-0708,408,27,1,165,1163.7147988080978,2.8522421539414164
MLG14,17,8,MLG14,462,46,1,70,1104.0002176761627,2.389610860770915
MLG08,7,14,MLG08,532,48,1,141,1164.8290098905563,2.189528214079993
MLG12,9,7,MLG12,569,26,1,65,1079.8573449850082,1.8978160720298916
MLG02,14,10,MLG02,755,41,1,104,1127.1717519760132,1.492942717849024
1-7770,17,8,1-7770,23,20,0,16,33.257192611694336,1.4459648961606233
1-9063,11,6,1-9063,35,3,0,38,34.48583245277405,0.9853094986506871
1-7776,9,7,1-7776,26,21,0,3,23.485723614692688,0.903297062103565
1-6494,21,22,1-6494,48,2,0,48,41.77157783508301,0.8702412048975626
1-6492,10,24,1-6492,48,1,0,47,39.94300329685211,0.8321459020177523
1-4387,1,1,1-4387,1,0,0,1,0.828574538230896,0.828574538230896
1-9958,18,12,1-9958,1,0,0,1,0.828574538230896,0.828574538230896
1-20283,7,14,1-20283,1,0,0,1,0.828574538230896,0.828574538230896
1-18816,1,1,1-18816,44,0,0,43,35.62870514392853,0.8097432987256483
1-19108,4,3,1-19108,16,0,0,15,12.42861807346344,0.776788629591465
1-19109,4,3,1-19109,30,0,0,28,23.200087070465088,0.7733362356821696
1-11189,14,10,1-11189,53,1,0,39,33.314406991004944,0.628573716811414
1-9515,18,12,1-9515,66,5,0,43,40.62870514392853,0.6155864415746747
1-7781,14,10,1-7781,33,1,0,23,20.057214379310608,0.6077943751306245
1-0305,17,8,1-0305,12,3,0,5,7.14287269115448,0.59523939092954
1-1367,23,19,1-1367,66,30,0,11,39.114319920539856,0.5926412109172705
1-3077,1,1,1-3077,41,0,0,29,24.028661608695984,0.5860649172852679
