Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-10981,18,21,1-10981,34,7,1,2,1007.877382338047,29.643452421707266
1-3216,18,24,1-3216,38,5,1,0,1005.0,26.44736842105263
MLG24,20,21,MLG24,49,3,1,1,1003.4386911690235,20.47834063610252
MLG27,20,21,MLG27,67,7,1,2,1007.877382338047,15.042946005045478
1-4874,15,13,1-4874,224,16,2,78,2050.217911183834,9.152758532070688
1-1887,18,16,1-1887,119,40,1,27,1051.8446615636349,8.83903076944231
1-6511,18,16,1-6511,144,54,1,20,1062.7738233804703,7.380373773475488
MLG26,22,23,MLG26,155,12,1,3,1013.3160735070705,6.537523054884326
1-5642,20,21,1-5642,166,15,1,13,1020.7029851973057,6.148813163839191
MLG13,1,17,MLG13,225,23,1,14,1029.1416763663292,4.5739630060725744
1-9365,21,24,1-9365,243,22,1,0,1022.0,4.205761316872428
1-8371,22,23,1-8371,255,17,1,39,1034.108955591917,4.055329237615361
MLG15,1,17,MLG15,559,60,2,87,2098.1661317050457,3.7534277848033017
MLG11,18,16,MLG11,493,11,1,334,1157.5228504538536,2.347916532360758
MLG08,1,17,MLG08,532,58,1,48,1079.0571761131287,2.028302962618663
MLG12,18,16,MLG12,569,35,1,189,1117.912630945444,1.964697066687951
1-5199,17,7,1-5199,3,2,0,1,2.438691169023514,0.8128970563411713
1-20124,18,16,1-20124,3,2,0,1,2.438691169023514,0.8128970563411713
1-7834,18,16,1-7834,4,2,0,2,2.8773823380470276,0.7193455845117569
1-7456,22,23,1-7456,32,12,0,25,22.967279225587845,0.7177274757996202
1-1964,6,13,1-1964,48,32,0,1,32.438691169023514,0.6758060660213232
MLG77,18,16,MLG77,9,6,0,0,6.0,0.6666666666666666
1-10882,19,3,1-10882,14,7,0,5,9.193455845117569,0.6566754175083978
1-7301,20,21,1-7301,26,6,0,25,16.967279225587845,0.6525876625226095
1-6494,4,10,1-6494,48,9,0,50,30.93455845117569,0.6444699677328268
1-7725,9,11,1-7725,90,56,0,3,57.31607350707054,0.6368452611896727
1-18973,2,5,1-18973,39,21,0,5,23.19345584511757,0.5947039960286556
1-20040,9,11,1-20040,22,9,0,9,12.948220521211624,0.588555478236892
1-18770,5,6,1-18770,10,5,0,2,5.877382338047028,0.5877382338047028
MLG43,2,5,MLG43,39,17,0,13,22.70298519730568,0.5821278255719405
1-3117,9,11,1-3117,7,3,0,2,3.8773823380470276,0.5539117625781468
1-4874,12,13,1-4874,224,88,0,78,122.21791118383408,0.5456156749278307
1-0447,7,15,1-0447,65,5,0,69,35.26969066262245,0.5426106255788069
1-5287,1,17,1-5287,18,9,0,1,9.438691169023514,0.5243717316124175
1-9225,1,17,1-9225,18,8,0,3,9.316073507070541,0.5175596392816968
1-7081,2,5,1-7081,99,40,0,25,50.967279225587845,0.5148210022786651
1-3739,16,18,1-3739,2,1,0,0,1.0,0.5
1-9466,2,5,1-9466,8,4,0,0,4.0,0.5
MLG14,13,8,MLG14,462,104,0,287,229.90436550974846,0.49762849677434734
