Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-8753,1,11,1-8753,258,46,34,30,34057.994412243366,132.00773028001305
1-1514,23,24,1-1514,64,4,2,10,2007.9981374144554,31.374970897100866
1-7488,1,11,1-7488,65,6,2,29,2017.5945985019207,31.03991690002955
MLG22,19,10,MLG22,33,2,1,4,1003.5992549657822,30.412098635326732
1-18987,19,10,1-18987,34,13,1,5,1014.9990687072277,29.852913785506697
1-0363,4,13,1-0363,34,1,1,24,1010.595529794693,29.723397935138028
1-8126,1,11,1-8126,34,5,1,3,1006.1994412243366,29.59410121248049
1-7425,1,11,1-7425,352,34,10,70,10061.986961901188,28.585190232673828
1-3257,9,2,1-3257,37,2,1,8,1005.1985099315643,27.167527295447684
1-8864,22,23,1-8864,39,3,1,2,1003.7996274828911,25.738451986740795
1-8368,1,11,1-8368,80,8,2,23,2017.1957160532475,25.214946450665593
1-7579,19,10,1-7579,40,8,1,0,1008.0,25.2
1-8990,22,23,1-8990,40,6,1,2,1006.7996274828911,25.16999068707228
1-2006,20,20,1-2006,40,2,1,0,1002.0,25.05
1-1633,1,11,1-1633,399,27,9,132,9079.775413870811,22.756329358072207
MLG24,6,16,MLG24,49,12,1,7,1014.7986961901188,20.71017747326773
MLG37,20,20,MLG37,50,6,1,10,1009.9981374144554,20.19996274828911
1-0984,23,24,1-0984,50,2,1,0,1002.0,20.04
1-8808,22,23,1-8808,52,3,1,3,1004.1994412243366,19.311527715852627
MLG53,23,24,MLG53,216,13,4,23,4022.1957160532475,18.62127646320948
1-10808,1,11,1-10808,54,2,1,2,1002.7996274828911,18.57036347190539
1-8121,1,11,1-8121,110,9,2,25,2018.9953435361385,18.354503123055803
1-3246,19,10,1-3246,116,26,2,21,2034.3960885703564,17.53789731526169
1-8087,16,4,1-8087,58,11,1,8,1014.1985099315643,17.486181205716626
1-3174,1,24,1-3174,117,7,2,3,2008.1994412243366,17.164097788242195
1-6249,9,2,1-6249,64,12,1,9,1015.5983236730099,15.86872380739078
1-8371,13,7,1-8371,255,15,4,31,4027.394225984812,15.793702846999262
MLG27,6,16,MLG27,67,17,1,9,1020.5983236730099,15.2328108010897
1-4654,1,11,1-4654,138,10,2,32,2022.7940397262573,14.657927824103314
1-1070,13,7,1-1070,280,20,4,72,4048.786589384079,14.45995210494314
MLG42,20,20,MLG42,72,11,1,5,1012.9990687072277,14.069431509822607
1-9294,22,23,1-9294,74,9,1,4,1010.5992549657822,13.656746688726786
1-7306,19,10,1-7306,159,33,2,18,2040.1966473460197,12.831425455006414
1-7302,23,24,1-7302,240,14,3,16,3020.3970198631287,12.584987582763036
1-8681,8,18,1-8681,260,67,3,68,3094.187334418297,11.900720516993449
1-0918,1,10,1-0918,179,39,2,12,2043.7977648973465,11.417864608365065
MLG29,20,20,MLG29,93,10,1,5,1011.9990687072277,10.881710416206749
1-0677,20,20,1-0677,187,16,2,14,2021.5973923802376,10.810681242675066
1-3186,1,11,1-3186,796,101,8,177,8171.767032235861,10.26603898522093
1-6678,4,13,1-6678,213,16,2,47,2034.7912458479404,9.553010543887044
MLG66,13,7,MLG66,229,34,2,116,2080.378394007683,9.08462180789381
MLG52,22,23,MLG52,112,1,1,0,1001.0,8.9375
1-1887,5,22,1-1887,119,24,1,18,1031.1966473460197,8.665518044924536
1-1035,8,18,1-1035,249,18,2,58,2041.1891970038414,8.197546975919042
1-8753,10,1,1-8753,258,26,2,34,2039.5936672091484,7.905401810888172
1-0917,11,3,1-0917,134,24,1,62,1048.7884519696236,7.8267794923106235
1-3693,19,10,1-3693,143,67,1,20,1074.9962748289108,7.517456467335041
MLG36,22,23,MLG36,136,15,1,5,1016.9990687072277,7.477934328729615
MLG26,20,20,MLG26,155,36,1,13,1041.197578638792,6.717403733153497
1-1099,1,11,1-1099,149,0,1,1,1000.3998137414455,6.714092709674131
MLG68,19,10,MLG68,152,5,1,38,1020.1929221749306,6.711795540624543
MLG33,20,20,MLG33,161,24,1,24,1033.595529794693,6.419848011147161
MLG09,17,19,MLG09,174,31,1,16,1037.3970198631287,5.962051838293843
1-5531,21,18,1-5531,199,31,1,40,1046.9925496578217,5.261269093757898
MLG61,19,10,MLG61,218,22,1,13,1027.197578638792,4.711915498343083
1-0691,17,19,1-0691,450,52,2,64,2077.5880794525146,4.616862398783366
MLG13,7,17,MLG13,225,27,1,26,1037.395157277584,4.610645143455929
1-9365,14,6,1-9365,243,14,1,47,1032.7912458479404,4.250169735999755
1-19755,9,2,1-19755,517,112,2,76,2142.385844349861,4.143879776305341
1-7172,11,3,1-7172,284,54,1,130,1105.9757863879204,3.894280937985635
MLG15,7,17,MLG15,559,63,2,185,2136.965542167425,3.822836390281619
MLG70,5,22,MLG70,269,20,1,11,1024.397951155901,3.808170822140896
1-7946,16,4,1-7946,289,55,1,55,1076.9897557795048,3.7266081514861757
MLG12,9,2,MLG12,569,46,2,49,2065.5908733308315,3.6302124311613913
1-0708,4,13,1-0708,408,27,1,127,1077.7763451635838,2.6416086891264308
MLG14,17,19,MLG14,462,43,1,119,1090.5778352320194,2.360558084917791
MLG08,7,17,MLG08,532,47,1,62,1071.7884519696236,2.0146399473113226
