Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-10981,18,23,1-10981,34,0,1,7,1006.6226207017899,29.6065476676997
1-1887,18,16,1-1887,119,40,1,33,1071.2209261655807,9.001856522399839
1-6511,18,16,1-6511,144,54,1,27,1079.5443941354752,7.496836070385244
1-5642,20,23,1-5642,166,0,1,16,1015.1374187469482,6.115285655102098
MLG13,1,17,MLG13,225,24,1,54,1075.0887882709503,4.7781723923153345
MLG15,1,17,MLG15,559,60,2,114,2167.854108572006,3.8780932174812275
MLG08,1,17,MLG08,532,58,1,92,1145.0401577949524,2.1523311236747227
MLG11,18,16,MLG11,493,11,1,19,1028.975684762001,2.0871717743651135
MLG12,18,16,MLG12,569,35,1,39,1071.8974581956863,1.883826815809642
MLG14,13,11,MLG14,462,37,0,423,437.19550812244415,0.946310623641654
1-6166,7,15,1-6166,117,9,0,92,96.04015779495239,0.8208560495295076
MLG74,19,5,MLG74,177,22,0,121,136.47672927379608,0.7710549676485654
1-2292,6,9,1-2292,252,21,0,183,194.13422691822052,0.7703739163421449
MLG37,5,19,MLG37,50,14,0,25,37.65221679210663,0.7530443358421326
1-7872,22,19,1-7872,124,25,0,71,92.17229568958282,0.7433249652385712
1-3081,7,15,1-3081,42,1,0,31,30.32874882221222,0.722113067195529
P1-0004,2,14,P1-0004,60,30,0,14,43.24524140357971,0.7207540233929952
1-18770,5,6,1-18770,10,5,0,2,6.89217734336853,0.6892177343368531
1-3117,9,3,1-3117,7,1,0,4,4.7843546867370605,0.6834792409624372
MLG30,22,19,MLG30,66,24,0,22,44.81395077705383,0.6789992541977854
1-17965,17,7,1-17965,10,3,0,4,6.7843546867370605,0.6784354686737061
MLG63,4,13,MLG63,543,63,0,320,365.74837493896484,0.6735697512688119
1-3077,1,17,1-3077,41,0,0,29,27.43657147884369,0.6691846702156997
1-3371,22,19,1-3371,16,5,0,6,10.67653203010559,0.6672832518815994
1-7655,4,13,1-7655,38,14,0,12,25.35306406021118,0.6671858963213468
MLG28,22,19,MLG28,22,5,0,10,14.460886716842651,0.6573130325837568
1-10305,21,20,1-10305,28,6,0,13,18.299152731895447,0.6535411689962659
MLG82,20,19,MLG82,71,17,0,31,46.32874882221222,0.6525175890452425
1-5199,17,7,1-5199,3,1,0,1,1.9460886716842651,0.648696223894755
1-8165,8,10,1-8165,420,33,0,250,269.5221679210663,0.6417194474311102
