Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG37,20,24,MLG37,50,1,2,2,2002.1929417848587,40.04385883569717
1-1514,23,13,1-1514,64,12,2,9,2017.3682380318642,31.521378719247878
1-7488,1,1,1-7488,65,4,2,8,2008.7717671394348,30.90418103291438
1-18987,19,22,1-18987,34,5,1,7,1009.1752962470055,29.681626360206042
1-8126,1,1,1-8126,34,4,1,1,1004.5964708924294,29.54695502624792
1-0363,4,4,1-0363,34,1,1,2,1002.1929417848587,29.476262993672314
1-7425,1,1,1-7425,352,9,10,22,10022.122359633446,28.471938521685924
1-3257,9,10,1-3257,37,2,1,8,1006.7717671394348,27.210047760525264
1-3174,1,5,1-3174,117,30,3,19,3041.3329469561577,25.994298691932972
1-8864,22,15,1-8864,39,8,1,3,1009.789412677288,25.892036222494564
1-8990,22,15,1-8990,40,9,1,6,1012.5788253545761,25.314470633864403
1-8368,1,1,1-8368,80,6,2,8,2010.7717671394348,25.134647089242936
1-7579,19,22,1-7579,40,1,1,4,1003.3858835697174,25.084647089242935
1-2006,20,24,1-2006,40,0,1,2,1001.1929417848587,25.02982354462147
1-1633,1,1,1-1633,399,21,9,22,9034.122359633446,22.641910675773048
MLG24,6,6,MLG24,49,11,1,14,1019.3505924940109,20.803073316204305
1-0984,23,13,1-0984,50,1,1,7,1005.1752962470055,20.10350592494011
1-8808,22,15,1-8808,52,9,1,21,1021.5258887410164,19.64472862963493
1-9542,20,24,1-9542,54,3,1,1,1003.5964708924294,18.585119831341284
1-10808,1,1,1-10808,54,0,1,1,1000.5964708924294,18.529564275785727
1-8121,1,1,1-8121,110,3,2,14,2011.350592494011,18.28500538630919
1-3246,19,22,1-3246,116,12,2,23,2025.718830525875,17.463093366602372
1-8087,16,12,1-8087,58,5,1,11,1011.5611798167229,17.44070999684005
1-8371,13,19,1-8371,255,15,4,31,4033.49059766531,15.817610186922783
MLG27,6,6,MLG27,67,14,1,18,1024.7364760637283,15.294574269607885
1-4654,1,1,1-4654,138,4,2,34,2024.280010342598,14.668695727120275
MLG82,5,5,MLG82,71,23,1,17,1033.140005171299,14.551267678469
1-1070,13,19,1-1070,280,20,4,72,4062.9459042549133,14.51052108662469
MLG53,23,13,MLG53,216,53,3,28,3069.701184988022,14.211579560129731
MLG42,20,24,MLG42,72,4,1,1,1004.5964708924294,13.952728762394852
1-9294,22,15,1-9294,74,16,1,12,1023.1576507091522,13.826454739312869
1-8681,8,8,1-8681,260,91,3,65,3129.770608007908,12.037579261568876
1-0918,1,24,1-0918,179,17,2,2,2018.1929417848587,11.274820903826026
MLG29,20,24,MLG29,93,4,1,5,1006.9823544621468,10.827767252281149
1-0677,20,24,1-0677,187,5,2,5,2007.9823544621468,10.737873553273513
1-3186,1,1,1-3186,796,59,8,116,8128.190623521805,10.211294753168097
1-6678,4,4,1-6678,213,6,2,19,2017.3329469561577,9.471046699324685
