Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG37,20,18,MLG37,50,4,2,11,2007.1480752825737,40.14296150565147
1-1514,23,19,1-1514,64,10,2,15,2014.2928299307823,31.473325467668474
1-7488,1,1,1-7488,65,4,2,16,2008.5790185928345,30.901215670658992
1-18987,19,16,1-18987,34,5,1,7,1007.0033206343651,29.61774472454015
1-0363,4,3,1-0363,34,1,1,16,1005.5790185928345,29.575853488024542
1-8126,1,1,1-8126,34,4,1,2,1004.5723773241043,29.546246391885422
1-7425,1,1,1-7425,352,9,10,40,10020.447546482086,28.467180529778656
1-3257,9,7,1-3257,37,1,1,8,1003.2895092964172,27.115932683686953
1-3174,1,7,1-3174,117,31,3,17,3035.8652072548866,25.94756587397339
1-8864,22,23,1-8864,39,2,1,0,1002.0,25.692307692307693
1-2006,20,18,1-2006,40,9,1,9,1011.5756979584694,25.289392448961735
1-8990,22,23,1-8990,40,4,1,0,1004.0,25.1
1-8368,1,1,1-8368,80,5,2,7,2007.003320634365,25.087541507929565
1-7579,19,16,1-7579,40,1,1,2,1001.5723773241043,25.03930943310261
1-1633,1,1,1-1633,399,20,9,85,9044.326036274433,22.66748380018655
MLG24,6,21,MLG24,49,4,1,6,1005.7171319723129,20.524839428006388
1-0984,23,19,1-0984,50,3,1,7,1005.0033206343651,20.1000664126873
1-8808,22,23,1-8808,52,7,1,19,1012.4375845789909,19.469953549595978
1-9542,20,18,1-9542,54,7,1,16,1011.5790185928345,18.732944788756193
1-10808,1,1,1-10808,54,0,1,0,1000.0,18.51851851851852
1-8121,1,1,1-8121,110,3,2,12,2006.4342639446259,18.24031149040569
1-8087,16,9,1-8087,58,7,1,12,1010.4342639446259,17.421280412838378
1-3246,19,16,1-3246,116,12,2,23,2018.5823392271996,17.401571889889652
1-6249,9,7,1-6249,64,10,1,15,1014.2928299307823,15.848325467668474
1-8371,13,13,1-8371,255,13,4,31,4021.871848523617,15.772046464798498
MLG27,6,21,MLG27,67,11,1,4,1012.1447546482086,15.10663812907774
1-4654,1,1,1-4654,138,4,2,9,2006.5756979584694,14.540403608394707
1-1070,13,13,1-1070,280,20,4,73,4040.8917723298073,14.431756329749312
MLG53,23,19,MLG53,216,43,3,56,3059.0265650749207,14.162160023495003
MLG42,20,18,MLG42,72,5,1,5,1006.4309433102608,13.978207545975843
1-9294,22,23,1-9294,74,24,1,12,1027.4342639446259,13.884246810062512
1-8681,8,5,1-8681,260,34,3,46,3047.164678454399,11.719864147901536
1-0918,1,18,1-0918,179,31,2,8,2033.2895092964172,11.359159269812388
MLG29,20,18,MLG29,93,9,1,16,1013.5790185928345,10.898699124654135
1-0677,20,18,1-0677,187,6,2,17,2010.8652072548866,10.753289878368378
1-3186,1,1,1-3186,796,59,8,84,8083.039847612381,10.154572672879876
1-6678,4,3,1-6678,213,16,2,116,2049.19788479805,9.620647346469719
MLG66,13,13,MLG66,229,34,2,116,2067.19788479805,9.027064999118123
MLG52,22,23,MLG52,112,7,1,3,1007.8585659861565,8.998737196304969
1-1887,5,22,1-1887,119,16,1,28,1024.0132825374603,8.605153634768573
1-7302,23,19,1-7302,240,46,2,44,2058.592301130295,8.577467921376229
1-1035,8,5,1-1035,249,31,2,29,2039.2994711995125,8.189957715660693
1-19755,9,7,1-19755,517,69,4,103,4098.477432191372,7.927422499403041
1-8753,1,1,1-8753,258,14,2,8,2016.2895092964172,7.815075617427974
1-0917,11,8,1-0917,134,24,1,13,1027.720452606678,7.669555616467746
MLG36,22,23,MLG36,136,22,1,19,1027.437584578991,7.554688121904345
