Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-3162,5,21,1-3162,35,4,1,6,1009.4101543426514,28.840290124075754
1-7425,1,1,1-7425,352,9,10,40,10045.067695617676,28.537124135277487
1-3174,1,14,1-3174,117,31,3,17,3046.328770637512,26.036998039636856
1-8368,1,1,1-8368,80,5,2,7,2011.3118467330933,25.141398084163665
MLG24,6,20,MLG24,49,4,1,4,1007.6067695617676,20.563403460444235
MLG37,20,5,MLG37,50,11,1,11,1020.9186162948608,20.418372325897217
1-1633,1,1,1-1633,399,21,8,85,8097.643853187561,20.29484674984351
1-9542,20,5,1-9542,54,7,1,13,1018.7220010757446,18.865222242143417
1-8053,19,5,1-8053,55,1,1,16,1015.4270782470703,18.4623105135831
1-8121,1,1,1-8121,110,3,2,10,2012.016923904419,18.291062944585626
1-8087,16,16,1-8087,58,5,1,11,1014.9186162948608,17.498596832670014
1-1514,23,17,1-1514,64,13,1,9,1021.115231513977,15.954925492405891
1-8371,13,8,1-8371,255,13,4,31,4040.9524641036987,15.8468724082498
1-7488,1,21,1-7488,65,17,1,9,1025.115231513977,15.771003561753494
MLG27,6,20,MLG27,67,7,1,11,1016.9186162948608,15.177889795445685
1-1070,13,8,1-1070,280,20,4,72,4084.9218521118164,14.589006614685058
1-4654,1,1,1-4654,138,4,2,9,2012.115231513977,14.580545155898385
MLG53,23,17,MLG53,216,53,3,25,3075.5423097610474,14.238621804449293
MLG42,20,23,MLG42,72,13,1,4,1016.6067695617676,14.11953846613566
MLG29,20,23,MLG29,93,17,1,5,1021.5084619522095,10.98396195647537
1-0677,20,23,1-0677,187,31,2,16,2045.4270782470703,10.938112717898772
1-3186,1,1,1-3186,796,59,8,84,8134.742160797119,10.219525327634571
MLG61,19,5,MLG61,218,16,2,93,2099.857392311096,9.632373359225213
MLG66,13,8,MLG66,229,34,2,117,2139.4980096817017,9.342786068479047
1-3246,19,5,1-3246,116,16,1,17,1031.3287706375122,8.890765264116485
1-7302,23,17,1-7302,240,68,2,24,2089.6406173706055,8.706835905710856
1-1887,5,21,1-1887,119,22,1,12,1032.8203086853027,8.679162257859687
1-1035,8,12,1-1035,249,20,2,56,2070.494773864746,8.315240055681711
1-8681,8,12,1-8681,260,69,2,34,2099.6575412750244,8.075605927980863
1-0917,11,15,1-0917,134,23,1,9,1031.115231513977,7.694889787417739
1-3693,19,5,1-3693,143,40,1,27,1064.3456945419312,7.442976884908609
MLG26,20,23,MLG26,155,33,1,4,1036.6067695617676,6.687785610075919
1-7306,19,5,1-7306,159,24,1,24,1045.6406173706055,6.5763560840918585
MLG33,20,23,MLG33,161,22,1,14,1034.6236934661865,6.426234120907991
1-19755,9,14,1-19755,517,70,3,99,3159.2675466537476,6.11076894904013
MLG09,17,11,MLG09,174,9,1,31,1036.9524641036987,5.9594969201362
1-6678,4,3,1-6678,213,16,1,41,1052.9693880081177,4.943518253559238
