Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-10981,18,24,1-10981,34,7,1,0,1007.0,29.61764705882353
MLG24,20,24,MLG24,49,4,1,0,1004.0,20.489795918367346
1-4874,15,11,1-4874,224,16,4,108,4114.405935764313,18.36788364180497
1-4874,12,12,1-4874,224,18,4,102,4110.938939332962,18.35240597916501
1-3246,12,12,1-3246,116,12,2,12,2022.9339928627014,17.439086145368115
MLG27,20,24,MLG27,67,7,1,0,1007.0,15.029850746268657
1-1887,18,8,1-1887,119,45,1,27,1069.6014839410782,8.98824776421074
1-2275,4,16,1-2275,130,31,1,13,1042.8451589345932,8.02188583795841
1-6511,18,8,1-6511,144,27,1,20,1045.2233214378357,7.258495287762748
1-7946,12,12,1-7946,289,22,2,56,2073.02530002594,7.17309792396519
MLG26,22,5,MLG26,155,32,1,36,1064.8019785881042,6.869690184439382
1-5642,20,24,1-5642,166,16,1,0,1016.0,6.120481927710843
1-4394,4,16,1-4394,190,20,1,50,1065.5583035945892,5.608201597866259
MLG13,1,7,MLG13,225,24,1,48,1067.7359714508057,4.7454932064480255
1-8371,22,5,1-8371,255,50,1,62,1106.4922964572906,4.339185476303101
MLG15,1,7,MLG15,559,59,2,78,2130.070953607559,3.8105026003713043
MLG11,18,8,MLG11,493,8,1,334,1312.329468011856,2.6619258986041707
1-0455,8,10,1-0455,60,73,0,71,137.6927911043167,2.294879851738612
MLG08,1,7,MLG08,532,59,1,83,1134.6267839670181,2.132757112719959
MLG12,18,8,MLG12,569,36,1,186,1205.476889371872,2.118588557771304
1-3734,8,10,1-3734,4,2,0,4,5.644664287567139,1.4111660718917847
P1-6891,11,2,P1-6891,7,8,0,0,8.0,1.1428571428571428
7W2-12806,22,5,7W2-12806,23,21,0,3,23.733498215675354,1.0318912267684937
1-4618,12,12,1-4618,1,1,0,0,1.0,1.0
1-3739,16,6,1-3739,2,2,0,0,2.0,1.0
1-3142,8,10,1-3142,4,3,0,1,3.9111660718917847,0.9777915179729462
1-18369,4,16,1-18369,7,3,0,4,6.644664287567139,0.949237755366734
1-3523,8,10,1-3523,497,41,0,458,458.3140609264374,0.9221610883831738
1-18816,10,17,1-18816,44,0,0,44,40.091307163238525,0.9111660718917847
MLG77,18,8,MLG77,9,8,0,0,8.0,0.8888888888888888
1-2829,10,17,1-2829,52,0,0,49,44.64713752269745,0.8585987985134125
1-5287,1,7,1-5287,18,9,0,7,15.378162503242493,0.8543423612912496
1-8729,9,19,1-8729,53,1,0,45,42.00247323513031,0.7924994950024586
