Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG37,20,20,MLG37,50,8,2,7,2009.7972757816315,40.19594551563263
1-1514,23,6,1-1514,64,12,2,7,2013.7972757816315,31.46558243408799
1-7488,1,1,1-7488,65,4,2,16,2008.1080589294434,30.89397013737605
1-0363,4,3,1-0363,34,1,1,24,1007.162088394165,29.622414364534265
1-18987,19,18,1-18987,34,5,1,4,1006.0270147323608,29.589029845069437
1-8126,1,1,1-8126,34,4,1,2,1004.5135073661804,29.544514922534717
1-7425,1,1,1-7425,352,9,10,40,10019.270147323608,28.463835645805705
1-3257,9,9,1-3257,37,1,1,13,1004.3377978801727,27.144264807572235
1-8864,22,23,1-8864,39,2,1,2,1002.5135073661804,25.70547454785078
1-2006,20,20,1-2006,40,7,1,2,1007.5135073661804,25.18783768415451
1-8990,22,23,1-8990,40,4,1,2,1004.5135073661804,25.11283768415451
1-8368,1,1,1-8368,80,5,2,7,2006.7972757816315,25.084965947270394
1-7579,19,18,1-7579,40,0,1,13,1003.3377978801727,25.083444947004317
1-1633,1,1,1-1633,399,20,9,85,9041.824063062668,22.66121319063325
MLG24,6,11,MLG24,49,15,1,8,1017.0540294647217,20.756204682953502
1-0984,23,6,1-0984,50,1,1,8,1003.0540294647217,20.061080589294434
1-8808,22,23,1-8808,52,7,1,3,1007.7702610492706,19.38019732787059
MLG53,23,6,MLG53,216,53,4,48,4065.32417678833,18.820945262908936
1-9542,20,20,1-9542,54,10,1,20,1015.1350736618042,18.798797660403782
1-10808,1,1,1-10808,54,0,1,0,1000.0,18.51851851851852
1-8121,1,1,1-8121,110,3,2,12,2006.0810441970825,18.237100401791658
1-3246,19,18,1-3246,116,19,2,16,2023.1080589294434,17.440586714908996
1-3174,1,6,1-3174,117,26,2,34,2034.7296252250671,17.390851497650146
1-8087,16,7,1-8087,58,5,1,11,1007.8242905139923,17.376280870930902
1-8371,13,16,1-8371,255,40,4,57,4054.634959936142,15.900529254651538
1-6249,9,9,1-6249,64,10,1,16,1014.1080589294434,15.845438420772552
MLG27,6,11,MLG27,67,13,1,21,1018.3918273448944,15.19987802007305
1-1070,13,16,1-1070,280,68,4,35,4076.9863789081573,14.560665638957705
1-4654,1,1,1-4654,138,4,2,9,2006.310783147812,14.538483935853709
MLG42,20,20,MLG42,72,9,1,4,1010.0270147323608,14.0281529823939
1-9294,22,23,1-9294,74,24,1,4,1025.0270147323608,13.851716415302173
1-7302,23,6,1-7302,240,68,3,29,3075.445856809616,12.814357736706734
1-8681,8,10,1-8681,260,68,3,70,3085.9727578163147,11.86912599160121
1-0918,1,20,1-0918,179,26,2,7,2027.7972757816315,11.3284764010147
MLG29,20,20,MLG29,93,14,1,9,1016.3107831478119,10.928072937073246
1-0677,20,20,1-0677,187,8,2,16,2012.1080589294434,10.75993614400772
1-3186,1,1,1-3186,796,59,8,84,8080.567309379578,10.15146646906982
1-6678,4,3,1-6678,213,16,2,47,2028.0674231052399,9.521443300963567
MLG66,13,16,MLG66,229,35,2,113,2064.0131661891937,9.013157930957178
MLG52,22,23,MLG52,112,7,1,0,1007.0,8.991071428571429
1-1887,5,22,1-1887,119,24,1,26,1030.6755957603455,8.66113946017097
1-1035,8,10,1-1035,249,59,2,36,2068.2431325912476,8.306197319643564
1-8753,10,24,1-8753,258,14,2,8,2016.0540294647217,7.814162904902022
1-0917,11,8,1-0917,134,24,1,17,1028.3648126125336,7.674364273227862
MLG36,22,23,MLG36,136,22,1,5,1023.283768415451,7.524145355995963
1-3693,19,18,1-3693,143,37,1,24,1043.162088394165,7.294839778980175
MLG68,19,18,MLG68,152,38,1,3,1038.7702610492706,6.834014875324149
1-1099,1,1,1-1099,149,0,1,1,1000.2567536830902,6.7131325750542965
MLG26,20,20,MLG26,155,23,1,15,1026.8513052463531,6.624847130621633
1-7306,19,18,1-7306,159,14,1,23,1019.9053347110748,6.414498960447012
MLG33,20,20,MLG33,161,21,1,20,1026.1350736618042,6.37350977429692
MLG09,17,13,MLG09,174,13,1,41,1023.5269010066986,5.88233851153275
1-5531,21,10,1-5531,199,53,1,40,1063.2701473236084,5.343066066952806
MLG61,19,18,MLG61,218,12,1,38,1021.756639957428,4.686957064024899
1-0691,17,13,1-0691,450,54,2,140,2089.9455156326294,4.644323368072509
MLG13,7,12,MLG13,225,35,1,10,1037.567536830902,4.611411274804009
1-9365,14,15,1-9365,243,14,1,72,1032.4862651824951,4.248914671532901
1-19755,9,9,1-19755,517,55,2,189,2103.5264461040497,4.068716530181915
MLG70,5,22,MLG70,269,20,1,166,1062.6211113929749,3.9502643546207246
1-7172,11,8,1-7172,284,55,1,71,1073.229511499405,3.7789771531669185
MLG15,7,12,MLG15,559,69,2,93,2092.8780925273895,3.7439679651652766
1-7946,16,7,1-7946,289,31,1,65,1047.6889894008636,3.625221416611985
MLG12,9,9,MLG12,569,22,2,68,2039.4592504501343,3.584286907645227
1-0708,4,3,1-0708,408,27,1,127,1059.6077177524567,2.5970777395893547
1-7326,7,12,1-7326,42,100,0,0,100.0,2.380952380952381
MLG14,17,13,MLG14,462,53,1,36,1062.2431325912476,2.299227559721315
MLG08,7,12,MLG08,532,56,1,45,1067.5539157390594,2.006680292742593
MLG02,14,15,MLG02,755,37,1,104,1063.7023830413818,1.4088773285316316
1-3356,5,22,1-3356,28,10,0,18,14.62156629562378,0.5221987962722778
1-19108,4,3,1-19108,16,0,0,31,7.959364175796509,0.4974602609872818
1-19109,4,3,1-19109,30,0,0,58,14.891713619232178,0.4963904539744059
1-5687,12,19,1-5687,83,38,0,6,39.54052209854126,0.4763918325125453
1-1959,24,5,1-1959,19,8,0,3,8.77026104927063,0.46159268680371734
1-8162,19,18,1-8162,22,9,0,2,9.51350736618042,0.4324321530082009
1-5221,18,17,1-5221,21,8,0,4,9.02701473236084,0.42985784439813524
1-3075,4,3,1-3075,45,0,0,70,17.972757816314697,0.3993946181403266
1-4776,18,17,1-4776,33,10,0,12,13.08104419708252,0.3963952786994703
1-8023,24,5,1-8023,20,7,0,3,7.77026104927063,0.3885130524635315
1-6554,5,22,1-6554,28,5,0,22,10.64858102798462,0.380306465285165
1-0584,21,21,1-0584,41,15,0,2,15.51350736618042,0.3783782284434249
1-5515,24,5,1-5515,30,7,0,16,11.10805892944336,0.3702686309814453
1-18927,7,12,1-18927,30,10,0,4,11.02701473236084,0.3675671577453613
1-11388,23,6,1-11388,28,10,0,1,10.25675368309021,0.36631263153893606
1-3099,10,24,1-3099,9,3,0,1,3.25675368309021,0.36186152034335667
1-7721,19,18,1-7721,12,4,0,1,4.25675368309021,0.35472947359085083
1-7770,17,13,1-7770,23,4,0,16,8.10805892944336,0.35252430128014606
MLG18,2,2,MLG18,72,24,0,4,25.02701473236084,0.347597426838345
1-0487,18,17,1-0487,18,5,0,4,6.02701473236084,0.33483415179782444
1-10042,15,14,1-10042,21,6,0,4,7.02701473236084,0.33461974916004
MLG43,2,2,MLG43,39,12,0,4,13.02701473236084,0.3340260187784831
P1-17272,2,2,P1-17272,6,2,0,0,2.0,0.3333333333333333
