Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG53,12,6,MLG53,216,57,3,33,3058.9865676127374,14.16197485005897
1-8681,12,6,1-8681,260,64,3,52,3067.1303489655256,11.796655188328945
1-8165,11,16,1-8165,420,26,2,98,2031.8995038196445,4.837855961475344
MLG13,17,11,MLG13,225,18,1,29,1019.7457715384662,4.53220342905985
1-4766,4,16,1-4766,249,21,1,91,1026.4781106896698,4.122402050962529
MLG15,17,11,MLG15,559,61,2,257,2076.4711477719247,3.714617437874642
MLG67,11,16,MLG67,293,36,1,85,1041.116916578263,3.5533000565811026
MLG11,4,9,MLG11,493,12,1,8,1012.4815921485424,2.053715197055867
MLG08,17,11,MLG08,532,73,1,29,1074.7457715384662,2.0201988186813273
MLG12,4,9,MLG12,569,37,1,34,1039.0467666313052,1.8260927357316437
1-0584,5,9,1-0584,41,35,0,17,36.02338331565261,0.8786191052598197
1-4874,1,2,1-4874,224,126,0,72,130.33432933688164,0.5818496845396501
MLG18,18,22,MLG18,72,33,0,9,33.541791167110205,0.4658582106543084
1-9399,17,3,1-9399,38,16,0,6,16.361194111406803,0.43055773977386325
1-4394,15,17,1-4394,190,79,0,16,79.96318429708481,0.42085886472149897
1-4654,21,13,1-4654,138,52,0,21,53.26417938992381,0.3859723144197378
MLG64,20,21,MLG64,129,49,0,6,49.3611941114068,0.3826449155923008
1-7456,12,6,1-7456,32,11,0,10,11.601990185678005,0.36256219330243766
MLG30,21,13,MLG30,66,21,0,16,21.96318429708481,0.3327755196528001
1-9291,20,21,1-9291,78,23,0,39,25.34776172414422,0.32497130415569514
MLG83,22,8,MLG83,88,24,0,15,24.902985278517008,0.2829884690740569
1-18927,9,12,1-18927,30,8,0,5,8.300995092839003,0.27669983642796675
1-10981,7,2,1-10981,34,9,0,6,9.361194111406803,0.27532923857078834
1-1152,12,6,1-1152,112,30,0,9,30.541791167110205,0.2726945639920554
1-9294,11,16,1-9294,74,18,0,23,19.384577427059412,0.2619537490143164
1-8718,7,2,1-8718,333,86,0,17,87.02338331565261,0.2613314814283862
1-3302,12,4,1-3302,52,13,0,5,13.300995092839003,0.2557883671699808
1-10217,17,11,1-10217,4,1,0,0,1.0,0.25
1-7834,17,11,1-7834,4,1,0,0,1.0,0.25
MLG33,22,8,MLG33,161,39,0,20,40.20398037135601,0.2497141637972423
1-0529,15,17,1-0529,124,30,0,11,30.662189204245806,0.24727571938907908
1-2318,10,5,1-2318,13,3,0,3,3.1805970557034016,0.24466131197718474
1-7306,7,2,1-7306,159,38,0,13,38.78258724138141,0.24391564302755603
1-9157,22,8,1-9157,89,20,0,26,21.565174482762814,0.2423053312669979
1-20040,11,16,1-20040,22,5,0,5,5.300995092839003,0.24095432240177284
1-9040,11,2,1-9040,55,13,0,3,13.180597055703402,0.2396472191946073
1-9135,3,7,1-9135,21,5,0,0,5.0,0.23809523809523808
1-8061,3,7,1-8061,55,13,0,0,13.0,0.23636363636363636
1-3257,3,7,1-3257,37,8,0,12,8.722388222813606,0.23574022223820557
1-7936,9,12,1-7936,59,13,0,12,13.722388222813606,0.23258285123412892
1-7622,17,13,1-7622,45,10,0,5,10.300995092839003,0.22891100206308895
1-3301,10,5,1-3301,18,4,0,2,4.120398037135601,0.22891100206308895
1-7484,11,16,1-7484,24,5,0,8,5.481592148542404,0.22839967285593352
