Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-1514,19,6,1-1514,64,11,2,15,2013.824067696929,31.466001057764515
1-0917,16,16,1-0917,134,21,2,21,2024.9536947757006,15.111594737132094
1-7901,16,16,1-7901,298,53,4,46,4061.660474270582,13.629733135136181
1-2742,21,20,1-2742,154,7,1,17,1010.2006100565195,6.5597442211462305
1-0983,24,24,1-0983,195,7,1,24,1011.5185083150864,5.187274401615827
1-1633,7,6,1-1633,399,22,2,148,2049.8641346096992,5.137504096766164
1-8165,16,16,1-8165,420,32,2,46,2040.6604742705822,4.858715414929957
MLG13,12,12,MLG13,225,23,1,38,1030.15430483222,4.578463577032089
1-9365,5,4,1-9365,243,26,1,35,1032.5894912928343,4.249339470340882
1-8681,21,20,1-8681,260,27,1,84,1042.8147791028023,4.010826073472316
MLG15,12,12,MLG15,559,135,2,80,2150.061694383621,3.846264211777498
MLG67,24,24,MLG67,293,20,1,28,1025.2715930342674,3.4992204540418683
1-19755,9,9,1-19755,517,34,1,190,1069.7715241611004,2.069190568976983
MLG08,12,12,MLG08,532,63,1,176,1096.1357276439667,2.060405503090163
MLG12,9,9,MLG12,569,24,1,105,1043.7684738785028,1.8343909909991263
MLG02,5,4,MLG02,755,19,1,52,1028.7901013493538,1.3626358958269587
1-6727,22,11,1-6727,235,111,0,37,117.96603365242481,0.501983121925212
MLG17,12,12,MLG17,76,26,0,13,28.447525337338448,0.374309543912348
1-0598,7,6,1-0598,122,42,0,6,43.12962707877159,0.35352153343255405
1-4394,14,22,1-4394,190,57,0,53,66.97837252914906,0.3525177501534161
MLG09,3,2,MLG09,174,55,0,24,59.518508315086365,0.34206039261543886
1-10960,7,6,1-10960,82,27,0,5,27.941355898976326,0.340748242670443
1-3254,9,9,1-3254,68,19,0,17,22.20061005651951,0.32647955965469866
1-19093,10,17,1-19093,36,10,0,8,11.506169438362122,0.31961581773228115
1-5140,15,16,1-5140,10,3,0,1,3.188271179795265,0.3188271179795265
1-9040,16,16,1-9040,55,14,0,13,16.447525337338448,0.29904591522433543
1-18927,20,18,1-18927,30,7,0,10,8.882711797952652,0.2960903932650884
1-9135,20,8,1-9135,21,6,0,1,6.188271179795265,0.29467957999025074
1-10981,19,19,1-10981,34,9,0,3,9.564813539385796,0.2813180452760528
1-3174,1,7,1-3174,117,29,0,15,31.824067696928978,0.27200057860623056
1-8718,3,2,1-8718,333,82,0,38,89.15430483222008,0.26773064514180206
1-4011,4,11,1-4011,246,60,0,28,65.27159303426743,0.2653316790010871
1-3037,8,10,1-3037,467,96,0,144,123.11104989051819,0.26362109184265137
1-9294,5,4,1-9294,74,18,0,8,19.50616943836212,0.26359688430219086
1-3056,23,23,1-3056,250,60,0,24,64.51850831508636,0.25807403326034545
1-1119,9,9,1-1119,83,18,0,18,21.388881236314774,0.2576973642929491
1-1152,19,19,1-1152,112,26,0,13,28.447525337338448,0.25399576194052187
MLG18,8,10,MLG18,72,14,0,22,18.141965955495834,0.2519717493818866
MLG65,8,10,MLG65,155,37,0,10,38.88271179795265,0.2508562051480816
MLG30,22,21,MLG30,66,14,0,13,16.447525337338448,0.24920492935361285
1-3026,8,10,1-3026,570,112,0,144,139.1110498905182,0.24405447349213719
1-3364,10,11,1-3364,121,25,0,23,29.3302371352911,0.24239865401067023
1-9399,23,9,1-9399,38,6,0,17,9.200610056519508,0.24212131727682917
1-7172,20,8,1-7172,284,61,0,36,67.77776247262955,0.23865409321348433
1-3162,20,15,1-3162,35,7,0,7,8.317898258566856,0.23765423595905305
1-6166,21,20,1-6166,117,25,0,14,27.635796517133713,0.2362033890353309
1-8808,20,9,1-8808,52,5,0,38,12.154304832220078,0.23373663138884765
1-19851,13,14,1-19851,25,5,0,4,5.753084719181061,0.23012338876724242
1-19891,14,22,1-19891,95,17,0,22,21.141965955495834,0.22254701005785088
1-8055,3,9,1-8055,57,6,0,35,12.589491292834282,0.2208682682953383
1-1136,11,13,1-1136,113,20,0,26,24.895050674676895,0.22031018296174243
MLG83,22,21,MLG83,88,18,0,7,19.317898258566856,0.21952157112007792
1-8666,17,15,1-8666,89,15,0,23,19.3302371352911,0.2171936756774281
1-19068,4,3,1-19068,77,9,0,41,16.719118371605873,0.2171314074234529
1-3246,15,15,1-3246,116,21,0,21,24.95369477570057,0.21511805841121182
1-9542,3,2,1-9542,54,11,0,3,11.564813539385796,0.21416321369232955
MLG25,1,7,MLG25,12,2,0,3,2.5648135393857956,0.21373446161548296
MLG82,22,19,MLG82,71,13,0,11,15.070982977747917,0.21226736588377348
1-5696,2,1,1-5696,80,16,0,5,16.941355898976326,0.21176694873720409
1-0541,22,21,1-0541,132,25,0,15,27.824067696928978,0.21078839164340135
1-7306,23,23,1-7306,159,32,0,8,33.50616943836212,0.2107306253985039
1-5221,7,6,1-5221,21,4,0,2,4.37654235959053,0.2084067790281205
1-8567,10,11,1-8567,388,65,0,84,80.81477910280228,0.20828551315155225
1-17969,12,12,1-17969,22,4,0,3,4.564813539385796,0.20749152451753616
1-6764,15,15,1-6764,38,6,0,10,7.882711797952652,0.20743978415664874
MLG20,4,3,MLG20,55,8,0,18,11.388881236314774,0.20707056793299589
1-8990,15,19,1-8990,40,6,0,12,8.259254157543182,0.20648135393857955
1-9291,7,6,1-9291,78,11,0,27,16.08332185447216,0.20619643403169435
1-1712,10,11,1-1712,157,29,0,16,32.01233887672424,0.2039002476224474
MLG53,19,19,MLG53,216,38,0,32,44.024677753448486,0.2038179525622615
MLG37,23,23,MLG37,50,10,0,1,10.188271179795265,0.2037654235959053
1-11533,6,15,1-11533,20,2,0,11,4.070982977747917,0.20354914888739586
1-10043,10,11,1-10043,61,12,0,2,12.37654235959053,0.2028941370424677
1-18987,3,3,1-18987,34,5,0,10,6.882711797952652,0.20243269993978388
1-0529,7,6,1-0529,124,22,0,16,25.012338876724243,0.20171241029616324
1-8753,16,16,1-8753,258,42,0,52,51.79010134935379,0.2007368269354798
1-3733,24,19,1-3733,16,3,0,1,3.188271179795265,0.19926694873720407
1-9197,23,23,1-9197,16,3,0,1,3.188271179795265,0.19926694873720407
1-8702,3,2,1-8702,59,11,0,4,11.75308471918106,0.19920482574883153
1-9063,20,8,1-9063,35,6,0,5,6.941355898976326,0.19832445425646647
1-0295,3,4,1-0295,24,4,0,4,4.753084719181061,0.1980451966325442
1-8121,1,7,1-8121,110,18,0,20,21.765423595905304,0.19786748723550276
1-5655,5,4,1-5655,31,5,0,6,6.129627078771591,0.19772990576682553
1-17959,17,18,1-17959,57,9,0,12,11.259254157543182,0.19753077469374003
1-9499,5,4,1-9499,36,5,0,11,7.070982977747917,0.19641619382633102
MLG04,15,15,MLG04,16,2,0,6,3.129627078771591,0.19560169242322445
1-7656,7,6,1-7656,48,9,0,2,9.37654235959053,0.19534463249146938
1-19121,10,11,1-19121,75,12,0,13,14.447525337338448,0.19263367116451263
MLG43,8,21,MLG43,39,6,0,8,7.506169438362122,0.1924658830349262
1-0997,17,18,1-0997,33,5,0,7,6.317898258566856,0.19145146238081384
1-3051,11,13,1-3051,116,18,0,22,22.141965955495834,0.1908790168577227
1-11026,21,20,1-11026,21,4,0,0,4.0,0.19047619047619047
1-9436,3,2,1-9436,24,4,0,3,4.564813539385796,0.1902005641410748
1-20077,14,22,1-20077,28,4,0,7,5.317898258566856,0.18992493780595915
1-8564,10,11,1-8564,185,24,0,59,35.10799960792065,0.18977297085362513
MLG74,3,2,MLG74,177,33,0,3,33.564813539385796,0.18963171491178415
MLG47,17,18,MLG47,106,2,0,96,20.07403326034546,0.18937767226740998
