Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-1514,23,23,1-1514,64,9,2,10,2015.564645767212,31.493197590112686
1-7488,1,1,1-7488,65,4,2,8,2009.2517166137695,30.91156487098107
MLG22,19,18,MLG22,33,1,1,3,1002.9693937301636,30.393011931217078
1-18987,19,18,1-18987,34,5,1,7,1009.5952520370483,29.693978001089658
1-0363,4,4,1-0363,34,3,1,3,1004.9693937301636,29.55792334500481
1-8126,1,1,1-8126,34,4,1,1,1004.6564645767212,29.54871954637415
1-7425,1,1,1-7425,352,9,10,22,10023.442220687866,28.475688126954164
1-3257,9,9,1-3257,37,3,1,8,1008.2517166137695,27.250046394966745
1-8864,22,22,1-8864,39,3,1,5,1006.282322883606,25.802110843169384
1-8990,22,22,1-8990,40,5,1,7,1009.5952520370483,25.239881300926207
1-8368,1,1,1-8368,80,5,2,8,2010.2517166137695,25.12814645767212
1-7579,19,18,1-7579,40,2,1,1,1002.6564645767212,25.06641161441803
1-2006,20,20,1-2006,40,0,1,4,1002.6258583068848,25.06564645767212
1-1633,1,1,1-1633,399,20,9,22,9034.442220687866,22.642712332551042
MLG24,6,5,MLG24,49,17,1,7,1021.5952520370483,20.84888269463364
MLG37,20,20,MLG37,50,5,1,7,1009.5952520370483,20.191905040740966
1-0984,23,23,1-0984,50,3,1,0,1003.0,20.06
1-8808,22,22,1-8808,52,3,1,13,1011.5340394973755,19.452577682641838
MLG53,23,23,MLG53,216,37,4,24,4052.7551498413086,18.76275532333939
1-10808,1,1,1-10808,54,0,1,1,1000.6564645767212,18.53067526993928
1-8121,1,1,1-8121,110,3,2,14,2012.1905040740967,18.292640946128152
1-8087,16,11,1-8087,58,7,1,12,1014.8775749206543,17.497889222769903
1-3246,19,18,1-3246,116,12,2,23,2027.0986852645874,17.47498866607403
1-3174,1,23,1-3174,117,21,2,5,2024.282322883606,17.301558315244495
1-8371,13,15,1-8371,255,13,4,31,4033.350401878357,15.817060399522969
MLG27,6,5,MLG27,67,25,1,9,1030.9081811904907,15.386689271499861
1-4654,1,1,1-4654,138,4,2,34,2026.3197956085205,14.683476779771889
1-1070,13,15,1-1070,280,21,4,74,4069.578378677368,14.534208495276316
MLG42,20,20,MLG42,72,6,1,7,1010.5952520370483,14.036045167181227
1-9294,22,22,1-9294,74,9,1,18,1020.8163623809814,13.7948157078511
1-7302,23,23,1-7302,240,30,3,13,3038.5340394973755,12.66055849790573
1-8681,8,7,1-8681,260,92,3,63,3133.357268333435,12.05137410897475
1-0918,1,18,1-0918,179,47,2,12,2054.8775749206543,11.479762988383543
MLG29,20,20,MLG29,93,7,1,7,1011.5952520370483,10.877368301473638
1-0677,20,20,1-0677,187,16,2,19,2028.4728269577026,10.847448272501083
1-3186,1,1,1-3186,796,59,8,116,8135.149890899658,10.22003755138148
1-6678,4,4,1-6678,213,13,2,35,2035.9762601852417,9.558573991480008
MLG66,13,15,MLG66,229,34,2,116,2110.149890899658,9.214628344539992
MLG52,22,22,MLG52,112,1,1,8,1006.2517166137695,8.984390326908656
1-1887,5,21,1-1887,119,11,1,31,1031.350401878357,8.666810099818125
1-1035,8,7,1-1035,249,23,2,56,2059.7620162963867,8.272136611632074
1-0917,11,10,1-0917,134,23,1,25,1039.4116144180298,7.756803092671864
MLG36,22,22,MLG36,136,14,1,21,1027.785756111145,7.557248206699596
1-3693,19,18,1-3693,143,36,1,22,1050.4422206878662,7.345749795020043
MLG68,19,18,MLG68,152,5,1,38,1029.9456539154053,6.775958249443455
1-1099,1,1,1-1099,149,0,1,1,1000.6564645767212,6.715815198501485
MLG26,20,20,MLG26,155,17,1,15,1026.8469686508179,6.624819152585922
1-7306,19,18,1-7306,159,23,1,15,1032.8469686508179,6.495892884596339
MLG33,20,20,MLG33,161,20,1,10,1026.564645767212,6.37617792401995
MLG09,17,12,MLG09,174,25,1,35,1047.9762601852417,6.022852070030125
1-5531,21,7,1-5531,199,56,1,51,1089.4796934127808,5.474772328707441
