Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG37,20,17,MLG37,50,11,2,7,2012.2157000750303,40.244314001500605
1-1514,23,19,1-1514,64,9,2,14,2011.4314001500607,31.428615627344698
1-7488,1,1,1-7488,65,3,2,16,2005.7787430286407,30.858134508132935
1-8126,1,1,1-8126,34,4,1,2,1004.3473428785801,29.539627731722945
1-18987,19,16,1-18987,34,2,1,11,1003.9103858321905,29.526776053887957
1-0363,4,3,1-0363,34,1,1,16,1003.7787430286407,29.52290420672473
1-7425,1,1,1-7425,352,8,10,40,10014.946857571602,28.451553572646596
1-3257,9,7,1-3257,37,1,1,13,1003.2577287107706,27.115073748939746
1-3174,1,7,1-3174,117,30,3,32,3035.5574860572815,25.944935778267364
1-8864,22,23,1-8864,39,2,1,2,1002.3473428785801,25.701213919963593
1-2006,20,17,1-2006,40,9,1,4,1009.6946857571602,25.242367143929005
1-8990,22,23,1-8990,40,5,1,1,1005.17367143929,25.129341785982252
1-7579,19,16,1-7579,40,1,1,17,1003.9524144679308,25.09881036169827
1-8368,1,1,1-8368,80,5,2,7,2006.2157000750303,25.07769625093788
1-1633,1,1,1-1633,399,18,9,85,9032.762072339654,22.638501434435224
MLG24,6,9,MLG24,49,15,1,9,1016.5630429536104,20.746184550073682
1-0984,23,19,1-0984,50,5,1,4,1005.6946857571602,20.113893715143202
1-8808,22,23,1-8808,52,9,1,5,1009.8683571964502,19.420545330700968
1-9542,20,17,1-9542,54,18,1,5,1018.8683571964502,18.867932540675003
1-10808,1,1,1-10808,54,0,1,0,1000.0,18.51851851851852
1-8121,1,1,1-8121,110,3,2,12,2005.0840572714806,18.228036884286187
1-8087,16,5,1-8087,58,12,1,10,1013.7367143929005,17.478219213670698
1-3246,19,16,1-3246,116,16,2,26,2020.5154574215412,17.418236701909837
1-8371,13,14,1-8371,255,40,4,56,4049.7256006002426,15.881276865098991
1-6249,9,7,1-6249,64,10,1,15,1012.6050715893507,15.821954243583605
MLG27,6,9,MLG27,67,13,1,21,1016.647100225091,15.173837316792403
1-1070,13,14,1-1070,280,66,4,36,4072.2521718144417,14.543757756480149
1-4654,1,1,1-4654,138,3,2,9,2004.5630429536104,14.525819151837757
MLG53,23,19,MLG53,216,30,3,49,3038.5099005252123,14.0671754653945
MLG42,20,17,MLG42,72,5,1,2,1005.3473428785801,13.96315753998028
1-9294,22,23,1-9294,74,24,1,4,1024.6946857571602,13.847225483204868
1-8681,8,8,1-8681,260,74,3,70,3086.1570007503033,11.869834618270398
1-0918,1,17,1-0918,179,8,2,43,2015.467871889472,11.259597049661854
MLG29,20,17,MLG29,93,13,1,17,1015.9524144679308,10.924219510407857
1-0677,20,17,1-0677,187,18,2,18,2021.1260859072208,10.808160887204389
1-3186,1,1,1-3186,796,58,8,83,8072.414729461074,10.141224534498836
1-6678,4,3,1-6678,213,14,2,21,2017.647100225091,9.472521597300897
MLG52,22,23,MLG52,112,7,1,0,1007.0,8.991071428571429
MLG66,13,14,MLG66,229,35,2,112,2054.4512012004852,8.97140262532963
1-1887,5,22,1-1887,119,22,1,38,1028.5995146930218,8.643693400781695
1-7302,23,19,1-7302,240,21,2,47,2029.1625576466322,8.4548439901943
1-1035,8,8,1-1035,249,59,2,37,2065.4258432537317,8.294882904633461
1-19755,9,7,1-19755,517,56,4,188,4088.650230586529,7.908414372507792
1-0917,11,6,1-0917,134,24,1,32,1029.5574860572815,7.683264821322997
MLG36,22,23,MLG36,136,21,1,6,1022.0420286357403,7.515014916439267
1-3693,19,16,1-3693,143,39,1,24,1043.1681145429611,7.294881919880847
1-1099,1,1,1-1099,149,0,1,1,1000.17367143929,6.712574976102617
MLG68,19,16,MLG68,152,0,1,39,1006.7731861323118,6.623507803502052
MLG26,20,17,MLG26,155,20,1,17,1022.9524144679308,6.5996929965672955
MLG33,20,17,MLG33,161,30,1,27,1034.6891288608313,6.426640551930629
MLG09,17,11,MLG09,174,12,1,42,1019.294200450182,5.858012646265413
MLG12,9,7,MLG12,569,22,3,70,3034.1570007503033,5.332437611160462
1-5531,21,8,1-5531,199,54,1,40,1060.9468575716019,5.331391244078401
1-0691,17,11,1-0691,450,51,2,140,2075.3140015006065,4.6118088922235705
MLG13,7,10,MLG13,225,34,1,9,1035.5630429536104,4.602502413127158
1-9365,14,13,1-9365,243,13,1,72,1025.5043436288834,4.220182484069479
MLG70,5,22,MLG70,269,7,1,190,1039.9975734651089,3.8661619831416685
1-7172,11,6,1-7172,284,74,1,54,1083.3782577216625,3.8147121750762767
MLG15,7,10,MLG15,559,68,2,93,2084.1514438539743,3.7283567868586305
1-7946,16,5,1-7946,289,43,1,64,1054.114972114563,3.647456650915443
1-0708,4,3,1-0708,408,24,1,165,1052.6557874828577,2.5800386948109257
MLG14,17,11,MLG14,462,54,1,37,1060.4258432537317,2.2952940330167353
MLG08,7,10,MLG08,532,54,1,45,1061.815214768052,1.995893260842203
MLG02,14,13,MLG02,755,42,1,103,1059.8881582468748,1.4038253751614236
1-18927,7,10,1-18927,30,10,0,2,10.347342878580093,0.3449114292860031
MLG18,2,2,MLG18,72,24,0,4,24.694685757160187,0.3429817466272248
MLG30,20,17,MLG30,66,17,0,19,20.299757346510887,0.3075720810077407
1-3733,14,23,1-3733,16,4,0,5,4.8683571964502335,0.3042723247781396
1-0916,22,23,1-0916,215,53,0,23,56.994443103671074,0.2650904330403306
1-9040,11,6,1-9040,55,13,0,9,14.56304295361042,0.2647825991565531
1-5228,3,4,1-5228,180,44,0,19,47.29975734651089,0.26277642970283827
1-1131,2,2,1-1131,200,50,0,10,51.73671439290047,0.2586835719645023
1-1136,3,4,1-1136,113,24,0,28,28.862800300121307,0.2554230115054983
1-1166,9,7,1-1166,118,24,0,33,29.73115749657154,0.25195896183535205
1-8567,6,9,1-8567,388,76,0,124,97.53525847196579,0.25137953214424175
1-3037,2,2,1-3037,467,113,0,24,117.16811454296112,0.2508953202204735
1-5221,18,12,1-5221,21,4,0,7,5.215700075030327,0.24836667023953937
1-6214,17,11,1-6214,65,13,0,18,16.12608590722084,0.24809362934185908
1-4011,24,18,1-4011,246,50,0,52,59.03091484308243,0.23996306846781476
1-18635,2,2,1-18635,44,10,0,2,10.347342878580093,0.23516688360409302
