Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,1-3037,18,15,1-3037,467,70,3,52,3081.156364765018,6.597765235042866
364,MLG02,18,15,MLG02,755,64,3,289,3126.0036426363513,4.140402175677287
353,1-8681,11,18,1-8681,260,23,1,43,1032.225455478765,3.970097905687558
158,MLG12,11,18,MLG12,569,25,1,34,1032.294546192512,1.81422591597981
467,MLG82,19,4,MLG82,71,35,0,6,36.2872728575021,0.5110883501056634
108,1-0917,3,17,1-0917,134,60,0,23,64.93454595375806,0.48458616383401537
359,1-6166,4,9,1-6166,117,43,0,38,51.15272809751332,0.43720280425225055
142,MLG17,14,13,MLG17,76,28,0,19,32.07636404875666,0.42205742169416655
358,MLG18,20,15,MLG18,72,25,0,21,29.50545500125736,0.40979798612857443
416,1-3246,10,6,1-3246,116,40,0,6,41.2872728575021,0.35592476601294915
414,1-5140,3,20,1-5140,10,3,0,2,3.429090952500701,0.3429090952500701
28,1-7081,20,12,1-7081,99,31,0,9,32.930909286253154,0.33263544733589046
484,MLG35,3,17,MLG35,44,10,0,20,14.29090952500701,0.3247933982956139
83,1-1152,3,17,1-1152,112,24,0,48,34.29818286001682,0.3062337755358645
458,1-9063,8,6,1-9063,35,10,0,3,10.643636428751051,0.30410389796431575
501,MLG56,17,22,MLG56,109,17,0,71,32.232728813774884,0.2957131083832558
128,MLG33,19,4,MLG33,161,44,0,15,47.21818214375526,0.29328063443326247
453,MLG45,7,11,MLG45,179,36,0,71,51.232728813774884,0.28621636208812784
413,1-1763,10,4,1-1763,35,10,0,0,10.0,0.2857142857142857
486,1-6506,9,3,1-6506,70,6,0,61,19.08727405127138,0.2726753435895911
430,1-8718,5,14,1-8718,333,75,0,68,89.58909238502383,0.26903631346854
316,1-4776,5,14,1-4776,33,8,0,4,8.858181905001402,0.2684297546970122
150,P1-0004,3,17,P1-0004,60,15,0,5,16.072727381251752,0.2678787896875292
455,1-10981,5,14,1-10981,34,8,0,5,9.072727381251752,0.2668449229779927
346,1-10823,16,18,1-10823,10,2,0,3,2.6436364287510514,0.26436364287510516
391,1-8165,14,13,1-8165,420,55,0,253,109.28000549133867,0.2601904892650921
251,MLG27,1,21,MLG27,67,15,0,11,17.360000238753855,0.25910448117543067
374,MLG74,18,15,MLG74,177,37,0,40,45.58181905001402,0.2575244014125086
130,MLG32,3,17,MLG32,79,14,0,29,20.221818811260164,0.25597239001595146
