Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,1-3037,18,10,1-3037,467,67,3,73,3100.0592025080696,6.638242403657537
353,353,1-8681,11,5,1-8681,260,33,1,134,1093.6840155627578,4.206476982933684
364,364,MLG02,18,10,MLG02,755,72,3,56,3097.3604841157794,4.102464217371893
158,158,MLG12,11,5,MLG12,569,8,1,107,1056.45663929265,1.8566900514809312
359,359,1-6166,4,15,1-6166,117,43,0,52,66.5490209646523,0.5687950509799342
458,458,1-9063,8,17,1-9063,35,8,0,22,17.96304733119905,0.5132299237485443
358,358,MLG18,20,18,MLG18,72,27,0,14,33.34012102894485,0.4630572365131229
467,467,MLG82,19,8,MLG82,71,26,0,13,31.887255241163075,0.44911627100229684
316,316,1-4776,5,11,1-4776,33,6,0,19,14.604449967853725,0.44255908993496135
28,28,1-7081,20,18,1-7081,99,37,0,12,42.4343894533813,0.428630196498801
342,342,MLG53,1,12,MLG53,216,82,0,21,91.51018154341727,0.4236582478861911
345,345,1-2364,15,9,1-2364,88,13,0,53,37.001886752434075,0.42047598582311446
293,293,MLG20,19,8,MLG20,55,18,0,10,22.52865787781775,0.40961196141486816
153,153,MLG43,1,12,MLG43,39,15,0,2,15.90573157556355,0.40783927116829616
499,499,1-3135,13,3,1-3135,101,21,0,43,40.473228874616325,0.40072503836253787
50,50,MLG14,20,18,MLG14,462,59,0,278,184.89668900333345,0.4002092835569988
430,430,1-8718,5,11,1-8718,333,59,0,155,129.19419710617512,0.3879705618804058
453,453,MLG45,7,17,MLG45,179,37,0,71,69.15347093250602,0.38633223984640236
366,366,MLG63,3,20,MLG63,543,29,0,396,208.3348519615829,0.3836737605185689
183,183,1-18927,17,12,1-18927,30,8,0,7,11.170060514472425,0.3723353504824142
460,460,1-8044,13,3,1-8044,56,11,0,21,20.510181543417275,0.3662532418467371
416,416,1-3246,10,2,1-3246,116,40,0,4,41.8114631511271,0.36044364785454397
90,90,MLG83,17,21,MLG83,88,29,0,6,31.71719472669065,0.3604226673487574
494,494,MLG37,1,18,MLG37,50,15,0,6,17.71719472669065,0.354343894533813
455,455,1-10981,5,11,1-10981,34,7,0,11,11.981523665599525,0.3523977548705743
211,211,1-7187,7,17,1-7187,96,12,0,48,33.7375578135252,0.3514328938908875
431,431,1-9115,5,11,1-9115,22,5,0,6,7.71719472669065,0.35078157848593866
389,389,1-0598,17,21,1-0598,122,39,0,7,42.170060514472425,0.34565623372518384
147,147,1-7172,7,17,1-7172,284,41,0,124,97.1553576849401,0.34209632987654964
484,484,MLG35,3,20,MLG35,44,10,0,11,14.981523665599525,0.34048917421817104
319,319,1-20040,18,21,1-20040,22,7,0,1,7.452865787781775,0.3387666267173534
480,480,1-1514,7,8,1-1514,64,18,0,8,21.6229263022542,0.3378582234727219
270,270,1-5655,15,21,1-5655,31,10,0,1,10.452865787781775,0.3371892189607024
379,379,1-5228,4,15,1-5228,180,11,0,109,60.362370868213475,0.3353465048234082
155,155,1-7462,5,11,1-7462,336,24,0,195,112.30882861744612,0.3342524661233516
557,557,P1-17272,1,12,P1-17272,6,2,0,0,2.0,0.3333333333333333
137,137,1-19257,7,17,1-19257,246,28,0,115,80.07956559490412,0.32552668941017937
318,318,1-3496,13,3,1-3496,192,29,0,73,62.059202508069575,0.3232250130628624
336,336,1-8678,17,21,1-8678,74,21,0,6,23.71719472669065,0.32050263144176555
478,478,1-8916,11,5,1-8916,61,7,0,27,19.227376270107925,0.3152028896739004
468,468,1-11523,14,19,1-11523,24,2,0,12,7.4343894533813,0.3097662272242208
493,493,1-3162,17,21,1-3162,35,9,0,4,10.8114631511271,0.30889894717506
115,115,1-3254,2,4,1-3254,68,15,0,13,20.887255241163075,0.3071655182523982
54,54,1-6957,21,7,1-6957,338,37,0,146,103.11840501613915,0.30508403850928745
18,18,1-5635,15,9,1-5635,417,16,0,245,126.95211800653487,0.30444152999169033
248,248,1-19068,4,15,1-19068,77,1,0,49,23.190423601306975,0.30117433248450615
280,280,MLG09,2,4,MLG09,174,28,0,53,52.001886752434075,0.2988614181174372
398,398,MLG65,20,18,MLG65,155,30,0,36,46.3031683601439,0.29873011845254127
174,174,1-6568,13,3,1-6568,394,28,0,198,117.66742598079145,0.29864828929134885
542,542,1-5287,5,22,1-5287,18,4,0,3,5.358597363345325,0.2976998535191847
436,436,1-8702,5,6,1-8702,59,13,0,10,17.52865787781775,0.29709589623419913
372,372,1-6511,8,6,1-6511,144,40,0,6,42.71719472669065,0.2966471856020184
413,413,1-1763,10,4,1-1763,35,9,0,3,10.358597363345325,0.29595992466700927
61,61,1-7306,8,6,1-7306,159,38,0,19,46.604449967853725,0.2931097482254951
340,340,1-0487,19,5,1-0487,18,3,0,5,5.264328938908875,0.29246271882827085
152,152,1-1530,13,3,1-1530,632,67,0,258,183.83937324769795,0.2908850842526866
168,168,1-7636,7,16,1-7636,83,15,0,20,24.0573157556355,0.28984717777874097
491,491,MLG51,10,2,MLG51,99,10,0,41,28.567497299052775,0.28856057877831087
142,142,MLG17,14,19,MLG17,76,16,0,13,21.887255241163075,0.2879902005416194
433,433,MLG55,2,4,MLG55,110,9,0,50,31.64328938908875,0.2876662671735341
128,128,MLG33,19,8,MLG33,161,25,0,47,46.284692025743425,0.2874825591661082
352,352,1-2275,13,8,1-2275,130,30,0,16,37.2458526045084,0.2865065584962185
129,129,1-7579,20,18,1-7579,40,11,0,1,11.452865787781775,0.28632164469454435
148,148,1-2028,10,5,1-2028,20,3,0,6,5.71719472669065,0.2858597363345325
277,277,P1-6891,2,4,P1-6891,7,2,0,0,2.0,0.2857142857142857
123,123,1-3472,13,20,1-3472,28,3,0,11,7.981523665599525,0.28505441662855446
166,166,1-9454,18,10,1-9454,80,16,0,15,22.792986816726625,0.2849123352090828
329,329,1-19755,7,17,1-19755,517,72,0,166,147.17572077177465,0.2846725740266434
404,404,1-9291,4,15,1-9291,78,0,0,49,22.190423601306975,0.28449261027316636
46,46,1-3056,5,11,1-3056,250,31,0,88,70.8521893247962,0.2834087572991848
572,572,1-9584,4,15,1-9584,8,0,0,5,2.264328938908875,0.2830411173636094
365,365,1-18435,5,11,1-18435,37,5,0,12,10.4343894533813,0.28201052576706215
554,554,1-18770,5,11,1-18770,10,1,0,4,2.8114631511271,0.28114631511271
363,363,1-7993,6,13,1-7993,100,5,0,51,28.096155176870525,0.28096155176870524
286,286,1-7725,9,22,1-7725,90,3,0,49,25.190423601306975,0.2798935955700775
111,111,1-7900,17,11,1-7900,75,15,0,13,20.887255241163075,0.278496736548841
326,326,1-9095,11,5,1-9095,16,4,0,1,4.452865787781775,0.27830411173636094
281,281,1-8126,18,10,1-8126,34,9,0,1,9.452865787781775,0.2780254643465228
86,86,1-10042,11,5,1-10042,21,4,0,4,5.8114631511271,0.2767363405298619
369,369,1-8564,6,13,1-8564,185,14,0,82,51.13499459810555,0.27640537620597594
506,506,1-3302,12,16,1-3302,52,13,0,3,14.358597363345325,0.2761268723720255
508,508,1-8057,19,8,1-8057,50,7,0,15,13.792986816726625,0.2758597363345325
71,71,MLG26,1,12,MLG26,155,35,0,17,42.698718392290175,0.27547560253090436
38,38,1-10018,8,6,1-10018,40,11,0,0,11.0,0.275
85,85,1-8986,13,3,1-8986,57,7,0,19,15.604449967853725,0.27376228013778464
565,565,1-19069,10,2,1-19069,11,3,0,0,3.0,0.2727272727272727
528,528,MLG77,14,19,MLG77,9,2,0,1,2.452865787781775,0.2725406430868639
532,532,1-9182,13,3,1-9182,28,4,0,8,7.6229263022542,0.27224736793765
216,216,1-18953,6,13,1-18953,5,0,0,3,1.358597363345325,0.271719472669065
456,456,1-2006,16,1,1-2006,40,0,0,24,10.8687789067626,0.271719472669065
252,252,1-1887,11,5,1-1887,119,11,0,47,32.284692025743425,0.27129993298944055
257,257,MLG06,10,2,MLG06,634,151,0,45,171.37896045017987,0.2703138177447632
113,113,1-7647,20,18,1-7647,30,4,0,9,8.075792090035975,0.2691930696678658
539,539,1-6559,19,8,1-6559,24,6,0,1,6.452865787781775,0.2688694078242406
315,315,MLG31,1,12,MLG31,42,8,0,7,11.170060514472425,0.26595382177315297
409,409,1-7297,20,18,1-7297,13,3,0,1,3.452865787781775,0.26560506059859806
394,394,1-8808,11,5,1-8808,52,6,0,17,13.698718392290175,0.26343689215942645
245,245,1-10305,2,4,1-10305,28,6,0,3,7.358597363345325,0.2628070486909045
350,350,1-19891,21,7,1-19891,95,15,0,22,24.96304733119905,0.2627689192757795
219,219,1-8371,15,9,1-8371,255,42,0,55,66.90761832799762,0.2623828169725397
294,294,1-3051,4,15,1-3051,116,4,0,58,30.26621569134295,0.26091565251157717
276,276,1-9548,4,15,1-9548,16,1,0,7,4.170060514472425,0.26062878215452656
94,94,1-8928,7,17,1-8928,30,6,0,4,7.8114631511271,0.26038210503757
236,236,1-9245,1,20,1-9245,23,1,0,11,5.981523665599525,0.26006624633041414
83,83,1-1152,3,20,1-1152,112,20,0,20,29.0573157556355,0.25944031924674554
104,104,1-9040,11,5,1-9040,55,7,0,16,14.2458526045084,0.2590155019001527
488,488,1-18369,3,20,1-18369,7,0,0,4,1.8114631511271,0.2587804501610143
360,360,MLG67,17,21,MLG67,293,63,0,28,75.6802420578897,0.2582943414945041
502,502,1-8055,5,11,1-8055,57,2,0,28,14.6802420578897,0.2575481062787667
497,497,1-3216,7,17,1-3216,38,6,0,8,9.6229263022542,0.2532349026909
271,271,1-19121,3,20,1-19121,75,8,0,24,18.8687789067626,0.25158371875683466
91,91,1-9458,10,2,1-9458,20,5,0,0,5.0,0.25
67,67,1-19989,3,20,1-19989,4,1,0,0,1.0,0.25
239,239,1-1136,4,15,1-1136,113,9,0,42,28.02036308683455,0.24796781492773937
462,462,1-8484,21,7,1-8484,202,31,0,42,50.02036308683455,0.2476255598358146
227,227,1-9542,15,9,1-9542,54,7,0,14,13.34012102894485,0.24703927831379352
448,448,1-6249,7,17,1-6249,64,9,0,15,15.792986816726625,0.24676541901135352
29,29,1-8090,10,2,1-8090,14,3,0,1,3.452865787781775,0.24663327055584108
441,441,1-3717,21,7,1-3717,89,6,0,35,21.850302572362125,0.24550901766699018
346,346,1-10823,16,1,1-10823,10,2,0,1,2.452865787781775,0.2452865787781775
376,376,1-18412,19,4,1-18412,56,11,0,6,13.71719472669065,0.2449499058337616
495,495,1-5515,6,13,1-5515,30,1,0,14,7.34012102894485,0.24467070096482832
320,320,1-0541,6,13,1-0541,132,6,0,58,32.26621569134295,0.2444410279647193
39,39,1-8567,6,13,1-8567,388,21,0,162,94.36425762064755,0.24320684953775143
323,323,1-7946,13,3,1-7946,289,24,0,102,70.19231035374105,0.24287996662194136
109,109,1-3309,17,21,1-3309,12,2,0,2,2.90573157556355,0.24214429796362916
132,132,1-0454,12,16,1-0454,43,9,0,3,10.358597363345325,0.24089761310105406
10,10,1-7390,7,17,1-7390,43,4,0,14,10.34012102894485,0.24046793090569418
266,266,1-6554,2,21,1-6554,28,4,0,6,6.71719472669065,0.23989981166752322
287,287,1-9267,12,16,1-9267,14,2,0,3,3.358597363345325,0.23989981166752322
299,299,1-9316,3,20,1-9316,16,2,0,4,3.8114631511271,0.23821644694544375
545,545,1-8291,9,22,1-8291,16,2,0,4,3.8114631511271,0.23821644694544375
317,317,1-3733,8,19,1-3733,16,2,0,4,3.8114631511271,0.23821644694544375
167,167,1-9287,20,2,1-9287,21,5,0,0,5.0,0.23809523809523808
230,230,1-8766,12,16,1-8766,26,3,0,7,6.170060514472425,0.23731001978740096
414,414,1-5140,3,4,1-5140,10,1,0,3,2.358597363345325,0.2358597363345325
405,405,1-9365,11,5,1-9365,243,24,0,73,57.059202508069575,0.23481153295501883
243,243,1-7712,3,20,1-7712,12,1,0,4,2.8114631511271,0.23428859592725834
384,384,1-0584,8,6,1-0584,41,1,0,19,9.604449967853725,0.234254877264725
251,251,MLG27,1,12,MLG27,67,12,0,8,15.6229263022542,0.23317800451125673
23,23,1-11189,10,2,1-11189,53,6,0,14,12.34012102894485,0.23283247224424244
374,374,MLG74,18,10,MLG74,177,37,0,9,41.075792090035975,0.2320666219776044
43,43,1-7518,21,7,1-7518,169,11,0,62,39.07767884247005,0.23122886889035532
496,496,1-18973,1,2,1-18973,39,9,0,0,9.0,0.23076923076923078
208,208,1-20077,17,21,1-20077,28,6,0,1,6.452865787781775,0.23045949242077768
15,15,1-5537,2,4,1-5537,32,6,0,3,7.358597363345325,0.2299561676045414
130,130,MLG32,3,20,MLG32,79,10,0,18,18.15158418007195,0.22976688835534115
344,344,1-9294,14,19,1-9294,74,12,0,11,16.981523665599525,0.2294800495351287
489,489,1-8058,21,7,1-8058,54,6,0,14,12.34012102894485,0.228520759795275
11,11,1-8750,11,5,1-8750,45,7,0,7,10.170060514472425,0.22600134476605388
371,371,MLG66,7,17,MLG66,229,24,0,61,51.624813054688275,0.2254358648676344
444,444,1-2083,15,9,1-2083,48,9,0,4,10.8114631511271,0.22523881564848125
95,95,1-7625,10,2,1-7625,76,13,0,9,17.075792090035975,0.22468147486889442
424,424,1-8061,21,7,1-8061,55,6,0,14,12.34012102894485,0.22436583688990636
229,229,1-6569,21,7,1-6569,360,33,0,105,80.55090771708637,0.22375252143635105
157,157,1-2318,15,9,1-2318,13,2,0,2,2.90573157556355,0.22351781350488847
246,246,1-9232,13,12,1-9232,20,4,0,1,4.452865787781775,0.22264328938908876
101,101,1-8228,4,15,1-8228,99,8,0,31,22.038839421235025,0.2226145396084346
380,380,MLG64,15,9,MLG64,129,21,0,17,28.698718392290175,0.22247068521155175
47,47,MLG15,12,16,MLG15,559,111,0,29,124.13310784567147,0.22206280473286488
273,273,1-9157,15,9,1-9157,89,3,0,37,19.756034147925675,0.22197791177444579
457,457,1-9071,6,13,1-9071,75,3,0,30,16.58597363345325,0.22114631511271
190,190,1-6199,19,13,1-6199,30,3,0,8,6.6229263022542,0.22076421007514
437,437,1-19093,6,13,1-19093,36,2,0,13,7.887255241163075,0.21909042336564097
6,6,MLG58,3,20,MLG58,66,9,0,12,14.4343894533813,0.21870287050577727
255,255,1-17969,1,12,1-17969,22,3,0,4,4.8114631511271,0.21870287050577727
449,449,1-10960,4,15,1-10960,82,6,0,26,17.77451048232615,0.21676232295519696
262,262,1-4394,21,7,1-4394,190,18,0,51,41.096155176870525,0.21629555356247646
399,399,1-8087,3,20,1-8087,58,8,0,10,12.52865787781775,0.2160113427209957
446,446,1-1166,7,17,1-1166,118,6,0,43,25.473228874616325,0.2158748209713248
533,533,1-3371,2,21,1-3371,16,3,0,1,3.452865787781775,0.21580411173636094
159,159,MLG36,20,18,MLG36,136,23,0,14,29.34012102894485,0.2157361840363592
77,77,1-7567,8,6,1-7567,27,4,0,4,5.8114631511271,0.21523937596767037
226,226,1-1047,4,15,1-1047,39,2,0,14,8.34012102894485,0.21384925715243205
312,312,1-3364,6,13,1-3364,121,8,0,39,25.661765723489225,0.21208070845858865
184,184,1-5314,1,12,1-5314,9,1,0,2,1.90573157556355,0.21174795284039444
185,185,1-3301,6,13,1-3301,18,2,0,4,3.8114631511271,0.21174795284039444
133,133,1-7460,4,15,1-7460,194,8,0,73,41.059202508069575,0.21164537375293596
223,223,1-5109,7,17,1-5109,37,6,0,4,7.8114631511271,0.21112062570613785
306,306,1-18987,5,11,1-18987,34,4,0,7,7.170060514472425,0.21088413277860074
9,9,1-8765,11,5,1-8765,38,8,0,0,8.0,0.21052631578947367
69,69,1-7418,8,6,1-7418,45,9,0,1,9.452865787781775,0.21006368417292834
440,440,1-9197,20,21,1-9197,16,2,0,3,3.358597363345325,0.2099123352090828
181,181,1-9123,4,15,1-9123,24,0,0,11,4.981523665599525,0.20756348606664687
224,224,MLG05,17,21,MLG05,14,2,0,2,2.90573157556355,0.20755225539739644
388,388,1-8019,21,7,1-8019,320,35,0,69,66.24773935694247,0.20702418549044524
108,108,1-0917,3,20,1-0917,134,10,0,39,27.661765723489225,0.20643108748872555
131,131,MLG13,8,6,MLG13,225,37,0,20,46.0573157556355,0.2046991811361578
214,214,1-19859,18,10,1-19859,12,2,0,1,2.452865787781775,0.2044054823151479
522,522,1-10808,2,4,1-10808,54,11,0,0,11.0,0.2037037037037037
490,490,1-6591,5,11,1-6591,79,7,0,20,16.0573157556355,0.2032571614637405
330,330,MLG28,2,10,MLG28,22,4,0,1,4.452865787781775,0.20240299035371703
53,53,1-9340,4,15,1-9340,163,4,0,64,32.9834104180336,0.20235221115358037
213,213,1-8859,17,21,1-8859,36,5,0,5,7.264328938908875,0.20178691496969098
110,110,1-9225,2,15,1-9225,18,0,0,8,3.6229263022542,0.20127368345856667
395,395,1-18620,21,7,1-18620,60,3,0,20,12.0573157556355,0.200955262593925
417,417,1-3026,5,11,1-3026,570,61,0,118,114.43816295824945,0.20076870694429727
60,60,1-0916,15,9,1-0916,215,6,0,82,43.13499459810555,0.20062788185165373
192,192,1-4874,2,4,1-4874,224,34,0,24,44.8687789067626,0.20030704869090446
