Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,1-3037,18,9,1-3037,467,60,3,54,3092.8244052417576,6.622750332423464
364,364,MLG02,18,9,MLG02,755,63,3,303,3247.18138496764,4.300902496645881
353,353,1-8681,11,21,1-8681,260,20,1,102,1082.0016543455422,4.161544824405931
158,158,MLG12,11,21,MLG12,569,19,1,36,1040.8829368278384,1.8293197483793293
359,359,1-6166,4,15,1-6166,117,43,0,60,79.4715613797307,0.6792441143566726
484,484,MLG35,3,7,MLG35,44,13,0,19,24.549327770248055,0.5579392675056376
108,108,1-0917,3,7,1-0917,134,50,0,39,73.70651489682496,0.550048618633022
383,383,1-0582,16,3,1-0582,70,0,0,59,35.863702023401856,0.5123386003343122
391,391,1-8165,14,11,1-8165,420,57,0,252,210.18055779486895,0.5004298995115928
311,311,1-3739,5,10,1-3739,2,1,0,0,1.0,0.5
358,358,MLG18,20,12,MLG18,72,26,0,15,35.117890344932675,0.4877484770129538
142,142,MLG17,14,11,MLG17,76,29,0,12,36.29431227594614,0.4775567404729755
290,290,1-0447,4,15,1-0447,65,23,0,10,29.07859356328845,0.4473629778967454
453,453,MLG45,7,13,MLG45,179,37,0,70,79.55015494301915,0.444414273424688
399,399,1-8087,3,7,1-8087,58,13,0,20,25.1571871265769,0.4337446056306362
293,293,MLG20,19,20,MLG20,55,17,0,11,23.686452919617295,0.4306627803566781
320,320,1-0541,6,5,1-0541,132,10,0,74,54.98159236833453,0.41652721491162525
83,83,1-1152,3,7,1-1152,112,14,0,52,45.60868652909994,0.4072204154383923
455,455,1-10981,5,10,1-10981,34,7,0,11,13.686452919617295,0.40254273292992043
147,147,1-7172,7,13,1-7172,284,39,0,118,110.72740404680371,0.38988522551691446
285,285,1-6727,6,5,1-6727,235,24,0,110,90.86452919617295,0.3866575710475445
384,384,1-0584,8,19,1-0584,41,14,0,3,15.823578068986535,0.38594092851186673
211,211,1-7187,7,7,1-7187,96,21,0,26,36.80434326454997,0.3833785756723955
480,480,1-1514,7,13,1-1514,64,10,0,22,23.37290583923459,0.3652016537380405
130,130,MLG32,3,7,MLG32,79,10,0,31,28.843640046194196,0.36510936767334423
467,467,MLG82,19,20,MLG82,71,18,0,13,25.902171632274985,0.3648193187644364
144,144,1-8914,16,3,1-8914,25,0,0,15,9.117890344932675,0.364715613797307
332,332,1-6501,6,5,1-6501,107,12,0,44,38.74581167846918,0.3621103895184036
229,229,1-6569,21,19,1-6569,360,11,0,195,129.53257448412478,0.3598127069003466
379,379,1-5228,4,15,1-5228,180,10,0,90,64.70734206959605,0.3594852337199781
294,294,1-3051,4,15,1-3051,116,4,0,62,41.68728009238839,0.3593731042447275
449,449,1-10960,4,15,1-10960,82,6,0,38,29.09865554049611,0.3548616529328794
460,460,1-8044,13,17,1-8044,56,1,0,31,19.843640046194196,0.3543507151106106
375,375,1-8990,6,5,1-8990,40,5,0,15,14.117890344932675,0.3529472586233169
183,183,1-18927,17,6,1-18927,30,8,0,4,10.43143742531538,0.347714580843846
478,478,1-8916,11,21,1-8916,61,6,0,25,21.196483908221126,0.34748334275772336
388,388,1-8019,21,19,1-8019,320,66,0,74,110.98159236833453,0.3468174761510454
430,430,1-8718,5,10,1-8718,333,83,0,53,115.21654588542879,0.34599563328957594
414,414,1-5140,3,17,1-5140,10,1,0,4,3.43143742531538,0.343143742531538
346,346,1-10823,16,21,1-10823,10,1,0,4,3.43143742531538,0.343143742531538
137,137,1-19257,7,13,1-19257,246,27,0,94,84.13877949491143,0.3420275589224042
374,374,MLG74,18,9,MLG74,177,37,0,38,60.09865554049611,0.3395404267824639
28,28,1-7081,20,12,1-7081,99,28,0,9,33.470734206959605,0.3380882243127233
104,104,1-9040,11,21,1-9040,55,7,0,19,18.549327770248055,0.337260504913601
557,557,P1-17272,1,18,P1-17272,6,2,0,0,2.0,0.3333333333333333
239,239,1-1136,4,15,1-1136,113,6,0,52,37.60868652909994,0.3328202347707959
413,413,1-1763,10,18,1-1763,35,11,0,1,11.607859356328845,0.33165312446653844
174,174,1-6568,13,17,1-6568,394,11,0,195,129.53257448412478,0.3287628794013319
77,77,1-7567,8,22,1-7567,27,7,0,3,8.823578068986535,0.326799187740242
537,537,1-9499,4,18,1-9499,36,11,0,1,11.607859356328845,0.3224405376758013
321,321,MLG30,3,7,MLG30,66,9,0,20,21.1571871265769,0.3205634413117712
329,329,1-19755,7,13,1-19755,517,58,0,174,163.76752800121903,0.3167650444897854
248,248,1-19068,4,15,1-19068,77,1,0,38,24.09865554049611,0.31296955247397545
43,43,1-7518,21,19,1-7518,169,21,0,51,52.000827172771096,0.30769720220574615
155,155,1-7462,5,10,1-7462,336,31,0,119,103.33526340313256,0.3075454267950374
128,128,MLG33,19,20,MLG33,161,28,0,35,49.275077471509576,0.3060563818106185
506,506,1-3302,12,14,1-3302,52,14,0,3,15.823578068986535,0.3042995782497411
262,262,1-4394,21,19,1-4394,190,14,0,72,57.76587365567684,0.3040309139772465
507,507,1-19067,10,3,1-19067,8,0,0,4,2.43143742531538,0.3039296781644225
173,173,1-7456,16,3,1-7456,32,0,0,16,9.72574970126152,0.3039296781644225
361,361,1-0691,16,3,1-0691,450,0,0,225,136.76835517399013,0.3039296781644225
10,10,1-7390,7,20,1-7390,43,10,0,5,13.039296781644225,0.3032394600382378
555,555,1-20068,14,17,1-20068,45,2,0,19,13.549327770248055,0.30109617267217903
389,389,1-0598,17,6,1-0598,122,30,0,11,36.686452919617295,0.30070863048866636
416,416,1-3246,10,18,1-3246,116,29,0,9,34.470734206959605,0.29716150178413453
486,486,1-6506,9,1,1-6506,70,0,0,34,20.66721811518073,0.29524597307401046
427,427,1-8613,7,13,1-8613,37,6,0,8,10.86287485063076,0.29359121217920975
318,318,1-3496,13,17,1-3496,192,13,0,71,56.158014299348,0.29248965780910413
6,6,MLG58,3,7,MLG58,66,12,0,12,19.29431227594614,0.29233806478706276
438,438,1-9100,16,3,1-9100,142,0,0,68,41.33443623036146,0.2910875790870526
18,18,1-5635,15,8,1-5635,417,46,0,124,121.37456018477678,0.29106609157020813
563,563,1-11121,2,23,1-11121,18,4,0,2,5.21571871265769,0.289762150703205
123,123,1-3472,13,6,1-3472,28,5,0,5,8.039296781644225,0.2871177422015795
