Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,14,1-3037,467,67,3,74,3131.6656366009265,6.705922134049093
353,353,353,353,1-8681,11,6,1-8681,260,41,1,46,1081.1975578870624,4.158452145719471
364,364,364,364,MLG02,18,14,MLG02,755,72,3,57,3121.8100173817948,4.13484770514145
158,158,158,158,MLG12,11,6,MLG12,569,19,1,180,1176.2947917319834,2.067301918685384
433,433,433,433,MLG55,2,2,MLG55,110,16,0,72,78.91791669279337,0.7174356062981215
174,174,174,174,1-6568,13,19,1-6568,394,9,0,303,273.7795660821721,0.6948719951324165
316,316,316,316,1-4776,5,13,1-4776,33,6,0,19,22.603339127264917,0.6849496705231793
345,345,345,345,1-2364,15,15,1-2364,88,14,0,52,59.44071761146188,0.6754627001302486
366,366,366,366,MLG63,3,9,MLG63,543,32,0,366,351.8327431883663,0.6479424368109876
18,18,18,18,1-5635,15,15,1-5635,417,41,0,242,252.47410888411105,0.6054534985230481
50,50,50,50,MLG14,20,7,MLG14,462,44,0,269,279.06832764390856,0.6040439992292393
496,496,496,496,1-18973,1,16,1-18973,39,17,0,7,23.117019678466022,0.5927440943196416
155,155,155,155,1-7462,5,13,1-7462,336,26,0,194,195.52883108891547,0.5819310449074865
430,430,430,430,1-8718,5,13,1-8718,333,59,0,154,193.57443292625248,0.5813046033821396
229,229,229,229,1-6569,21,17,1-6569,360,15,0,221,208.12304984871298,0.5781195829130916
458,458,458,458,1-9063,8,18,1-9063,35,13,0,8,19.990879632532597,0.5711679895009313
342,342,342,342,MLG53,1,12,MLG53,216,81,0,47,122.071417841129,0.5651454529681899
320,320,320,320,1-0541,6,11,1-0541,132,14,0,69,74.29633683059365,0.5628510365954064
293,293,293,293,MLG20,19,16,MLG20,55,18,0,14,30.234039356932044,0.5497098064896735
384,384,384,384,1-0584,8,17,1-0584,41,14,0,9,21.86473958659917,0.5332863313804675
147,147,147,147,1-7172,7,3,1-7172,284,35,0,131,149.47565398272127,0.5263227252912721
500,500,500,500,MLG50,12,4,MLG50,168,21,0,76,87.41335650905967,0.5203175982682123
54,54,54,54,1-6957,21,17,1-6957,338,32,0,160,171.81759265065193,0.5083360729309229
183,183,183,183,1-18927,17,12,1-18927,30,8,0,8,14.990879632532597,0.49969598775108653
153,153,153,153,MLG43,1,12,MLG43,39,15,0,5,19.369299770332873,0.49664871205981725
436,436,436,436,1-8702,5,5,1-8702,59,12,0,19,28.603339127264917,0.4848023580892359
318,318,318,318,1-3496,13,19,1-3496,192,14,0,88,90.89967595785856,0.47343581228051335
441,441,441,441,1-3717,21,17,1-3717,89,8,0,39,42.08053820859641,0.47281503605164504
482,482,482,482,1-11534,8,9,1-11534,12,3,0,3,5.621579862199724,0.46846498851664364
152,152,152,152,1-1530,13,19,1-1530,632,46,0,285,295.05008690897375,0.4668514033369838
455,455,455,455,1-10981,5,13,1-10981,34,7,0,10,15.738599540665746,0.462899986490169
361,361,361,361,1-0691,16,21,1-0691,450,0,0,237,207.10480911377817,0.46023290914172926
467,467,467,467,MLG82,19,16,MLG82,71,22,0,12,32.486319448798895,0.4575537950535056
541,541,541,541,1-7301,11,6,1-7301,26,3,0,10,11.738599540665746,0.45148459771791327
359,359,359,359,1-6166,4,1,1-6166,117,43,0,11,52.61245949473232,0.4496791409806181
285,285,285,285,1-6727,6,11,1-6727,235,22,0,95,105.01669563632458,0.44687955589925354
115,115,115,115,1-3254,2,4,1-3254,68,19,0,13,30.36017940286547,0.4464732265127275
46,46,46,46,1-3056,5,13,1-3056,250,32,0,88,108.89967595785856,0.43559870383143423
137,137,137,137,1-19257,7,3,1-19257,246,22,0,97,106.76441554445773,0.43400168920511273
453,453,453,453,MLG45,7,3,MLG45,179,24,0,61,77.30545719806105,0.4318740625590003
336,336,336,336,1-8678,17,17,1-8678,74,10,0,25,31.846498851664364,0.43035809259005897
329,329,329,329,1-19755,7,3,1-19755,517,64,0,181,222.16865168605,0.42972659900589943
87,87,87,87,1-0708,16,21,1-0708,408,0,0,200,174.77199081331491,0.4283627225816542
268,268,268,268,1-7899,13,19,1-7899,40,4,0,15,17.10789931099862,0.42769748277496544
388,388,388,388,1-8019,21,17,1-8019,320,70,0,76,136.41335650905967,0.4262917390908115
365,365,365,365,1-18435,5,13,1-18435,37,5,0,12,15.486319448798895,0.418549174291862
219,219,219,219,1-8371,15,15,1-8371,255,42,0,74,106.66563660092652,0.41829661412128044
351,351,351,351,1-9399,12,9,1-9399,38,1,0,17,15.855619219131768,0.41725313734557284
273,273,273,273,1-9157,15,15,1-9157,89,10,0,31,37.08965857606381,0.41673773680970577
486,486,486,486,1-6506,9,23,1-6506,70,0,0,33,28.83737848419696,0.4119625497742423
358,358,358,358,MLG18,20,7,MLG18,72,20,0,11,29.61245949473232,0.41128415964906
277,277,277,277,P1-6891,2,4,P1-6891,7,2,0,1,2.8738599540665746,0.41055142200951067
376,376,376,376,1-18412,19,4,1-18412,56,15,0,9,22.86473958659917,0.4082989211892709
460,460,460,460,1-8044,13,19,1-8044,56,1,0,25,22.846498851664364,0.4079731937797208
471,471,471,471,1-8618,3,9,1-8618,53,19,0,3,21.621579862199724,0.4079543370226363
462,462,462,462,1-8484,21,17,1-8484,202,29,0,61,82.30545719806105,0.40745275840624284
527,527,527,527,1-5568,1,12,1-5568,47,5,0,16,18.981759265065193,0.4038672184056424
352,352,352,352,1-2275,13,16,1-2275,130,35,0,20,52.47719908133149,0.40367076216408837
163,163,163,163,1-1633,9,23,1-1633,399,0,0,184,160.79023154824972,0.40298303646177874
96,96,96,96,1-10725,10,18,1-10725,27,10,0,1,10.873859954066575,0.4027355538543176
184,184,184,184,1-5314,1,12,1-5314,9,1,0,3,3.6215798621997237,0.40239776246663594
254,254,254,254,1-9230,12,2,1-9230,5,2,0,0,2.0,0.4
371,371,371,371,MLG66,7,3,MLG66,229,17,0,85,91.27809609565884,0.3985943060945801
291,291,291,291,1-17979,7,3,1-17979,17,5,0,2,6.747719908133149,0.39692470047842054
83,83,83,83,1-1152,3,9,1-1152,112,19,0,29,44.34193866793066,0.39591016667795237
530,530,530,530,1-7721,2,4,1-7721,12,3,0,2,4.747719908133149,0.39564332567776245
438,438,438,438,1-9100,16,21,1-9100,142,0,0,64,55.92703706026077,0.39385237366380826
