Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
298,298,1-0584,23,10,1-0584,41,18,0,17,33.30838082078844,0.8123995322143522
162,162,1-10960,12,9,1-10960,82,22,0,34,52.616761641576886,0.6416678248972791
155,155,1-2364,19,3,1-2364,88,9,0,50,54.024649472907186,0.6139164712830362
100,100,1-0541,17,5,1-0541,132,14,0,63,70.73105833586305,0.5358413510292656
70,70,1-5228,12,9,1-5228,180,10,0,93,93.74584801960737,0.5208102667755965
219,219,1-8702,4,16,1-8702,59,10,0,22,29.81084576807916,0.5052685723403247
445,445,1-2028,15,8,1-2028,20,9,0,1,9.900492989458144,0.4950246494729072
42,42,1-8681,19,3,1-8681,260,26,0,114,128.65620079822838,0.4948315415316476
353,353,1-7456,10,11,1-7456,32,5,0,12,15.805915873497725,0.4939348710468039
35,35,1-7901,9,12,1-7901,298,75,0,80,147.0394391566515,0.4934209367672869
516,516,1-17965,1,10,1-17965,10,3,0,2,4.800985978916287,0.48009859789162873
114,114,1-6166,12,2,1-6166,117,46,0,11,55.90542288403958,0.4778241272140135
83,83,1-7306,13,8,1-7306,159,52,0,25,74.51232473645359,0.4686309731852427
86,86,MLG65,3,15,MLG65,155,22,0,55,71.5271144201979,0.46146525432385743
64,64,1-0983,14,7,1-0983,195,13,0,85,89.54190410394222,0.4591892518150883
105,105,1-0529,14,7,1-0529,124,11,0,51,56.92514246236533,0.45907372953520426
271,271,1-5568,17,5,1-5568,47,8,0,15,21.507394841872156,0.457604145571748
99,99,1-0917,9,12,1-0917,134,15,0,51,60.92514246236533,0.45466524225645766
364,364,1-5515,17,18,1-5515,30,10,0,4,13.601971957832575,0.4533990652610858
23,23,1-8567,17,5,1-8567,388,63,0,125,175.56162368226796,0.452478411552237
119,119,1-1136,12,9,1-1136,113,13,0,42,50.820705557242036,0.44974075714373485
324,324,1-19093,17,5,1-19093,36,8,0,9,16.104436905123293,0.44734546958675814
180,180,1-9294,15,6,1-9294,74,23,0,11,32.90542288403958,0.4446678768113457
202,202,1-1367,14,7,1-1367,66,8,0,23,28.711338757537305,0.4350202842051107
106,106,1-7872,7,19,1-7872,124,26,0,31,53.915282673202455,0.4348006667193746
30,30,1-8718,4,16,1-8718,333,81,0,70,144.03450926207006,0.4325360638500602
46,46,1-3056,4,16,1-3056,250,39,0,75,106.53697420936078,0.42614789683744314
166,166,1-5696,10,11,1-5696,80,7,0,30,34.01478968374431,0.4251848710468039
53,53,1-6727,17,5,1-6727,235,26,0,82,99.84042513556778,0.4248528729173097
340,340,1-10981,15,6,1-10981,34,8,0,7,14.303450926207006,0.4206897331237355
279,279,1-20068,14,7,1-20068,45,5,0,15,18.507394841872156,0.41127544093049234
243,243,1-9542,9,12,1-9542,54,13,0,10,22.004929894581437,0.4074987017515081
235,235,1-9040,19,3,1-9040,55,7,0,17,22.308380820788443,0.40560692401433535
130,130,1-8754,12,9,1-8754,108,12,0,35,43.51725463103503,0.402937542879954
178,178,1-9071,17,5,1-9071,75,4,0,29,30.114296694286168,0.40152395592381557
109,109,1-3364,17,5,1-3364,121,17,0,35,48.51725463103503,0.4009690465374796
69,69,1-8564,17,5,1-8564,185,20,0,58,72.22859338857234,0.39042482912741805
3,3,MLG06,18,4,MLG06,634,81,0,182,244.88972408138216,0.3862613944501296
514,514,1-10823,15,18,1-10823,10,2,0,2,3.8009859789162874,0.38009859789162875
94,94,1-3693,11,11,1-3693,143,22,0,35,53.51725463103503,0.37424653588136386
111,111,1-1887,19,3,1-1887,119,11,0,37,44.31824060995132,0.3724221899995909
37,37,1-7946,14,7,1-7946,289,22,0,95,107.54683399852365,0.37213437369731367
66,66,1-3496,14,7,1-3496,192,10,0,67,70.33303029369563,0.36631786611299805
264,264,1-8284,17,5,1-8284,48,2,0,17,17.308380820788443,0.36059126709975925
76,76,1-7518,12,9,1-7518,169,30,0,34,60.616761641576886,0.3586790629679106
112,112,1-1166,1,14,1-1166,118,18,0,27,42.31331071536988,0.35858737894381254
4,4,1-1530,14,7,1-1530,632,45,0,201,225.9990908810869,0.3575934982295679
342,342,1-18987,19,3,1-18987,34,4,0,9,12.104436905123293,0.3560128501506851
168,168,1-7523,14,12,1-7523,79,11,0,19,28.10936679970473,0.3558147696165156
138,138,1-7993,17,5,1-7993,100,12,0,26,35.41281772591174,0.3541281772591174
212,212,1-8916,7,19,1-8916,61,8,0,15,21.507394841872156,0.3525802433093796
330,330,1-9499,23,8,1-9499,36,9,0,4,12.601971957832575,0.3500547766064604
299,299,1-0754,7,19,1-0754,41,5,0,10,14.004929894581437,0.3415836559654009
184,184,MLG18,3,15,MLG18,72,18,0,7,24.303450926207006,0.3375479295306529
36,36,MLG67,19,3,MLG67,293,32,0,74,98.63648121990263,0.33664328061400217
59,59,1-0916,19,3,1-0916,215,3,0,77,72.33796018827707,0.33645562878268404
358,358,1-5655,15,6,1-5655,31,5,0,6,10.402957936748862,0.3355792882822214
304,304,1-2006,11,10,1-2006,40,7,0,7,13.303450926207006,0.33258627315517514
338,338,1-8497,17,18,1-8497,34,5,0,7,11.303450926207006,0.3324544390060884
176,176,1-7733,7,13,1-7733,76,3,0,24,24.61183174699545,0.32383989140783487
22,22,1-6568,14,7,1-6568,394,25,0,112,125.8552148193121,0.31942947923683274
47,47,1-1035,11,10,1-1035,249,34,0,50,79.02464947290719,0.317368070172318
51,51,1-9365,19,3,1-9365,243,11,0,73,76.73598823044449,0.3157859597960679
262,262,1-7656,9,12,1-7656,48,7,0,9,15.104436905123293,0.31467576885673526
151,151,1-7725,5,17,1-7725,90,3,0,28,28.213803704828024,0.31348670783142246
291,291,1-11045,23,21,1-11045,43,7,0,7,13.303450926207006,0.3093825796792327
170,170,1-9291,12,9,1-9291,78,7,0,19,24.10936679970473,0.30909444615006065
117,117,1-3246,2,13,1-3246,116,16,0,22,35.81084576807916,0.30871418765585484
210,210,1-1514,1,14,1-1514,64,7,0,14,19.606901852414012,0.30635784144396894
153,153,1-8666,14,6,1-8666,89,20,0,8,27.20394391566515,0.30566229118724886
14,14,1-3037,3,15,1-3037,467,64,0,86,141.44239709340036,0.3028745119773027
81,81,1-7038,15,6,1-7038,163,21,0,31,48.915282673202455,0.3000937587313034
316,316,1-3216,1,14,1-3216,38,5,0,7,11.303450926207006,0.2974592349001844
471,471,1-9396,1,14,1-9396,16,2,0,3,4.701478968374431,0.29384243552340195
84,84,1-1712,17,5,1-1712,157,18,0,31,45.915282673202455,0.29245402976562074
398,398,1-8914,7,19,1-8914,25,1,0,7,7.303450926207006,0.29213803704828023
8,8,MLG15,7,19,MLG15,559,35,0,142,162.8700045030564,0.2913595787174533
192,192,1-3254,6,18,1-3254,68,9,0,12,19.805915873497725,0.2912634687279077
446,446,1-7715,23,21,1-7715,20,4,0,2,5.800985978916287,0.2900492989458144
50,50,1-4011,17,5,1-4011,246,20,0,57,71.32810039911419,0.2899516276386756
29,29,1-7462,9,12,1-7462,336,35,0,68,96.23352328315377,0.2864092954855767
108,108,1-1005,14,7,1-1005,122,7,0,31,34.915282673202455,0.2861908415836267
115,115,1-3174,5,17,1-3174,117,18,0,17,33.30838082078844,0.28468701556229437
306,306,1-8990,16,5,1-8990,40,5,0,7,11.303450926207006,0.28258627315517515
209,209,1-6249,1,14,1-6249,64,7,0,12,17.805915873497725,0.27821743552340195
242,242,1-18469,3,15,1-18469,54,5,0,11,14.90542288403958,0.2760263497044367
348,348,1-0997,7,19,1-0997,33,1,0,9,9.104436905123293,0.2758920274279786
382,382,1-3472,22,11,1-3472,28,5,0,3,7.701478968374431,0.27505282029908684
49,49,1-19257,1,14,1-19257,246,28,0,44,67.62169153615832,0.274884924943733
254,254,1-8808,23,21,1-8808,52,7,0,8,14.20394391566515,0.2731527676089452
395,395,1-1958,7,18,1-1958,25,5,0,2,6.800985978916287,0.2720394391566515
428,428,1-5221,9,16,1-5221,21,3,0,3,5.701478968374431,0.27149899849402054
143,143,1-12345,5,17,1-12345,97,18,0,9,26.104436905123293,0.26911790623838444
6,6,1-3026,3,15,1-3026,570,41,0,124,152.66113069280982,0.26782654507510495
165,165,1-8368,5,19,1-8368,80,16,0,6,21.402957936748862,0.2675369742093608
67,67,1-4394,21,1,1-4394,190,4,0,52,50.82563545182347,0.26750334448328145
32,32,1-3152,17,5,1-3152,323,18,0,75,85.53697420936078,0.26482035358935224
