Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
83,83,1-7306,13,7,1-7306,159,56,0,29,62.362188522703946,0.39221502215537074
180,180,1-9294,15,5,1-9294,74,23,0,8,24.755086489021778,0.3345281957975916
184,184,MLG18,3,13,MLG18,72,20,0,8,21.755086489021778,0.3021539790141914
162,162,1-10960,12,8,1-10960,82,17,0,34,24.459117578342557,0.2982819216871044
30,30,1-8718,4,14,1-8718,333,83,0,72,98.795778401196,0.29668401922281085
212,212,1-8916,7,18,1-8916,61,12,0,18,15.948944600299,0.26145810820162296
219,219,1-8702,4,14,1-8702,59,10,0,21,14.607102033682168,0.2475780005708842
364,364,1-5515,17,4,1-5515,30,5,0,11,7.413243922404945,0.2471081307468315
445,445,1-2028,15,20,1-2028,20,4,0,4,4.877543244510889,0.24387716222554445
105,105,1-0529,14,6,1-0529,124,12,0,82,29.989636512473226,0.24185190735865505
324,324,1-19093,17,4,1-19093,36,7,0,7,8.535700677894056,0.23710279660816821
238,238,MLG20,7,18,MLG20,55,11,0,9,12.9744723001495,0.23589949636635454
114,114,1-6166,12,8,1-6166,117,14,0,57,26.50499123428017,0.22653838661777922
23,23,1-8567,17,4,1-8567,388,57,0,140,87.71401355788112,0.22606704525227092
46,46,1-3056,4,14,1-3056,250,40,0,74,56.23455002345145,0.2249382000938058
353,353,1-7456,10,10,1-7456,32,5,0,10,7.193858111277223,0.2248080659774132
117,117,1-3246,2,11,1-3246,116,21,0,22,25.82648784480989,0.2226421365931887
86,86,MLG65,3,13,MLG65,155,22,0,56,34.28560542315245,0.22119745434291901
372,372,1-3300,23,22,1-3300,29,4,0,11,6.413243922404945,0.22114634215189466
316,316,1-3216,1,12,1-3216,38,7,0,5,8.096929055638611,0.2130770804115424
189,189,1-0582,11,9,1-0582,70,7,0,36,14.897889200598001,0.21282698857997145
32,32,1-3152,17,4,1-3152,323,16,0,235,67.55566561501473,0.2091506675387453
18,18,1-5635,18,3,1-5635,417,48,0,176,86.61190275847912,0.2077024046965926
120,120,1-1152,4,14,1-1152,112,18,0,23,23.045873655937612,0.20576672907087154
76,76,1-7518,12,8,1-7518,169,25,0,43,34.43358987849206,0.20374905253545597
119,119,1-1136,12,8,1-1136,113,12,0,50,22.969290556386113,0.20326805802111605
237,237,1-18266,20,2,1-18266,55,6,0,23,11.045873655937612,0.20083406647159294
514,514,1-10823,15,18,1-10823,10,2,0,0,2.0,0.2
112,112,1-1166,1,12,1-1166,118,18,0,24,23.265259467065334,0.19716321582258758
100,100,1-0541,17,4,1-0541,132,13,0,58,25.72437704540789,0.1948816442833931
165,165,1-8368,5,15,1-8368,80,12,0,16,15.510172978043556,0.19387716222554446
58,58,MLG53,16,20,MLG53,216,29,0,57,41.50499123428017,0.19215273719574152
207,207,1-7488,5,15,1-7488,65,8,0,20,12.387716222554445,0.1905802495777607
381,381,1-6554,3,13,1-6554,28,4,0,6,5.316314866766334,0.18986838809879764
3,3,MLG06,18,3,MLG06,634,70,0,226,119.58119331486523,0.18861386958180637
130,130,1-8754,12,8,1-8754,108,12,0,38,20.336660822853446,0.18830241502642078
202,202,1-1367,14,6,1-1367,66,7,0,24,12.265259467065334,0.18583726465250505
407,407,1-0295,1,14,1-0295,24,4,0,2,4.4387716222554445,0.18494881759397686
14,14,1-3037,3,13,1-3037,467,67,0,88,86.30595137923956,0.18480931772856438
115,115,1-3174,5,15,1-3174,117,18,0,16,21.510172978043556,0.18384763229097056
109,109,1-3364,17,4,1-3364,121,16,0,28,22.142802711576223,0.18299836951715887
192,192,1-3254,6,16,1-3254,68,10,0,11,12.413243922404945,0.18254770474124918
338,338,1-8497,17,4,1-8497,34,4,0,10,6.193858111277223,0.18217229739050655
166,166,1-5696,10,10,1-5696,80,1,0,61,14.382534478791058,0.17978168098488823
143,143,1-12345,5,15,1-12345,97,16,0,6,17.316314866766334,0.17851870996666322
70,70,1-5228,12,8,1-5228,180,11,0,96,32.06103786826134,0.17811687704589632
38,38,1-5899,6,16,1-5899,288,48,0,15,51.290787166915834,0.17809301099623553
164,164,1-9454,13,7,1-9454,80,14,0,1,14.219385811127722,0.17774232263909653
62,62,1-1131,2,11,1-1131,200,28,0,34,35.45911757834256,0.1772955878917128
332,332,1-3162,22,21,1-3162,35,4,0,10,6.193858111277223,0.17696737460792064
53,53,1-6727,17,4,1-6727,235,26,0,70,41.35700677894056,0.17598726288910876
92,92,1-6511,23,22,1-6511,144,8,0,79,25.33147907909006,0.17591304916034764
541,541,1-19192,18,3,1-19192,5,0,0,4,0.877543244510889,0.17550864890217782
315,315,1-6764,22,21,1-6764,38,6,0,3,6.658157433383167,0.175214669299557
27,27,1-7425,5,15,1-7425,352,30,0,144,61.591556802392006,0.1749760136431591
52,52,1-7302,1,12,1-7302,240,20,0,98,41.49980949051678,0.17291587287715326
411,411,1-8186,2,11,1-8186,23,2,0,9,3.9744723001495004,0.1728031434847609
442,442,1-9232,1,12,1-9232,20,3,0,2,3.4387716222554445,0.17193858111277222
