Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
129,129,129,MLG56,2,7,MLG56,109,4,0,78,65.08098891191185,0.5970732927698335
54,54,54,MLG66,1,6,MLG66,229,29,0,133,133.15091699082404,0.5814450523616771
8,8,8,MLG15,7,3,MLG15,559,31,0,354,308.2137189079076,0.5513662234488508
121,121,121,MLG52,19,9,MLG52,112,3,0,71,58.599361701868474,0.5232085866238256
70,70,70,1-5228,12,15,1-5228,180,42,0,64,92.1177344918251,0.5117651916212506
184,184,184,MLG18,3,7,MLG18,72,19,0,21,35.44488163013011,0.492290022640696
100,100,100,1-0541,17,11,1-0541,132,13,0,64,63.117734491825104,0.47816465524109925
180,180,180,1-9294,15,12,1-9294,74,22,0,15,33.74634402152151,0.4560316759665069
364,364,364,1-5515,17,2,1-5515,30,12,0,2,13.566179202869534,0.4522059734289845
324,324,324,1-19093,17,11,1-19093,36,9,0,9,16.047806412912905,0.4457724003586918
162,162,162,1-10960,12,15,1-10960,82,22,0,18,36.09561282582581,0.4401904003149489
189,189,189,1-0582,11,16,1-0582,70,4,0,34,30.625046448782086,0.4375006635540298
119,119,119,1-1136,12,15,1-1136,113,14,0,45,49.239032064564526,0.4357436465890666
86,86,86,MLG65,3,7,MLG65,155,44,0,30,67.49268804304302,0.4354366970518904
83,83,83,1-7306,13,14,1-7306,159,46,0,28,67.92650884017348,0.4272107474224747
23,23,23,1-8567,17,11,1-8567,388,65,0,124,162.10311057791114,0.4177915221080184
105,105,105,1-0529,14,13,1-0529,124,12,0,49,50.371390470303595,0.4062208908895451
104,104,104,MLG64,2,5,MLG64,129,14,0,48,51.58830086886883,0.39990930906099864
340,340,340,1-10981,15,12,1-10981,34,8,0,7,13.48162721004337,0.39651844735421676
271,271,271,1-5568,17,11,1-5568,47,6,0,16,18.529433622956276,0.3942432685735378
53,53,53,1-6727,17,11,1-6727,235,26,0,84,91.77952652052045,0.3905511766830657
168,168,168,1-7523,14,13,1-7523,79,4,0,34,30.625046448782086,0.38765881580736816
