Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,1-3037,18,9,1-3037,467,69,3,68,3114.612854272127,6.669406540197275
353,1-8681,11,17,1-8681,260,43,1,128,1128.8594903945923,4.341767270748432
364,MLG02,18,9,MLG02,755,75,3,75,3125.3082951530814,4.139481185633221
158,MLG12,11,17,MLG12,569,9,1,109,1082.114722289145,1.901783343214666
458,1-9063,8,3,1-9063,35,8,0,22,22.75709991157055,0.6502028546163015
319,1-20040,18,12,1-20040,22,7,0,9,13.03699541836977,0.5925907008349895
316,1-4776,5,8,1-4776,33,6,0,19,18.744768105447292,0.5680232759226452
358,MLG18,20,4,MLG18,72,27,0,17,38.40321356803179,0.5333779662226638
28,1-7081,20,4,1-7081,99,37,0,23,52.4278771802783,0.5295745169725081
342,MLG53,1,7,MLG53,216,80,0,41,107.50186801701784,0.49769383341211965
499,1-3135,13,19,1-3135,101,21,0,43,49.843422554433346,0.49349923321221134
153,MLG43,1,7,MLG43,39,15,0,6,19.024663612246513,0.48781188749350035
355,1-8666,14,5,1-8666,89,26,0,25,42.769431717693806,0.4805554125583574
155,1-7462,5,8,1-7462,336,28,0,197,160.1431219354272,0.47661643433162854
359,1-6166,4,1,1-6166,117,43,0,18,55.07399083673954,0.47071787039948326
467,MLG82,19,14,MLG82,71,28,0,8,33.36621814966202,0.4699467345022819
430,1-8718,5,8,1-8718,333,63,0,139,156.23804035037756,0.46918330435548816
453,MLG45,7,3,MLG45,179,37,0,70,83.95440880954266,0.4690190436287299
262,1-4394,21,15,1-4394,190,17,0,106,88.10239048302174,0.46369679201590386
211,1-7187,7,3,1-7187,96,12,0,48,44.19730889797211,0.4603886343538761
557,P1-17272,1,20,P1-17272,6,2,0,1,2.6707772687077522,0.44512954478462535
473,1-3174,9,13,1-3174,117,7,0,67,51.9420770034194,0.4439493760976017
350,1-19891,21,15,1-19891,95,18,0,36,42.14798167347908,0.4436629649839903
344,1-9294,14,5,1-9294,74,20,0,19,32.74476810544729,0.44249686628982826
266,1-6554,2,18,1-6554,28,11,0,2,12.341554537415504,0.44076980490769657
431,1-9115,5,8,1-9115,22,7,0,4,9.683109074831009,0.44014132158322766
484,MLG35,3,14,MLG35,44,14,0,8,19.366218149662018,0.44014132158322766
320,1-0541,6,6,1-0541,132,14,0,64,56.92974519729614,0.43128594846436474
147,1-7172,7,3,1-7172,284,39,0,121,120.16404951363802,0.42311285040013386
456,1-2006,16,21,1-2006,40,0,0,25,16.769431717693806,0.41923579294234514
137,1-19257,7,3,1-19257,246,28,0,112,103.12705409526825,0.419215667053936
317,1-3733,8,5,1-3733,16,4,0,4,6.683109074831009,0.41769431717693806
286,1-7725,9,13,1-7725,90,4,0,50,37.53886343538761,0.41709848261541793
293,MLG20,19,14,MLG20,55,16,0,10,22.707772687077522,0.4128685943105004
174,1-6568,13,19,1-6568,394,30,0,196,161.47234466671944,0.4098282859561407
436,1-8702,5,8,1-8702,59,8,0,24,24.098654448986053,0.4084517703217975
494,MLG37,1,14,MLG37,50,13,0,11,20.378549955785275,0.4075709991157055
352,1-2275,13,19,1-2275,130,14,0,58,52.90508158504963,0.4069621660388433
130,MLG32,3,11,MLG32,79,10,0,33,32.13564986735582,0.4067803780677952
365,1-18435,5,8,1-18435,37,7,0,12,15.049327224493027,0.40673857363494664
478,1-8916,11,17,1-8916,61,8,0,25,24.769431717693806,0.40605625766711156
394,1-8808,11,17,1-8808,52,11,0,15,21.061659030616283,0.40503190443492854
128,MLG33,19,14,MLG33,161,39,0,39,65.16031347960234,0.4047224439726853
142,MLG17,14,5,MLG17,76,22,0,13,30.72010449320078,0.40421190122632605
216,1-18953,6,6,1-18953,5,0,0,3,2.0123318061232567,0.40246636122465135
450,1-2432,1,7,1-2432,50,0,0,30,20.123318061232567,0.40246636122465135
318,1-3496,13,19,1-3496,192,28,0,73,76.96674061566591,0.4008684407065933
246,1-9232,13,19,1-9232,20,6,0,3,8.012331806123257,0.4006165903061628
254,1-9230,12,2,1-9230,5,2,0,0,2.0,0.4
470,1-10043,7,6,1-10043,61,21,0,5,24.35388634353876,0.39924403841866823
90,MLG83,17,14,MLG83,88,33,0,3,35.01233180612326,0.3978674068877643
336,1-8678,17,12,1-8678,74,16,0,20,29.415545374155045,0.3975073699210141
460,1-8044,13,7,1-8044,56,14,0,12,22.049327224493027,0.39373798615166117
152,1-1530,13,19,1-1530,632,79,0,253,248.7066489830613,0.3935231787706666
455,1-10981,5,8,1-10981,34,6,0,11,13.378549955785275,0.39348676340544925
416,1-3246,10,20,1-3246,116,42,0,5,45.35388634353876,0.39098177882361
104,1-9040,11,17,1-9040,55,10,0,17,21.403213568031788,0.38914933760057796
491,MLG51,10,20,MLG51,99,11,0,41,38.50186801701784,0.38890775774765496
423,1-5696,8,16,1-5696,80,29,0,3,31.012331806123257,0.3876541475765407
480,1-1514,7,3,1-1514,64,10,0,22,24.75709991157055,0.38682968611828983
367,1-5154,1,7,1-5154,19,6,0,2,7.3415545374155045,0.38639760723239497
555,1-20068,14,18,1-20068,45,12,0,8,17.366218149662018,0.3859159588813782
83,1-1152,3,11,1-1152,112,13,0,45,43.18497709184885,0.3855801526057933
148,1-2028,10,17,1-2028,20,5,0,4,7.683109074831009,0.38415545374155047
345,1-2364,15,10,1-2364,88,21,0,19,33.74476810544729,0.3834632739255374
255,1-17969,1,7,1-17969,22,3,0,8,8.366218149662018,0.3802826431664554
170,MLG40,3,11,MLG40,30,2,0,14,11.390881761908531,0.3796960587302844
398,MLG65,20,4,MLG65,155,30,0,43,58.843422554433346,0.37963498422215064
378,1-5819,10,7,1-5819,23,6,0,4,8.683109074831009,0.37752648151439167
545,1-8291,9,13,1-8291,16,4,0,3,6.012331806123257,0.37577073788270354
412,1-7403,21,15,1-7403,58,7,0,22,21.75709991157055,0.3751224122684577
389,1-0598,17,12,1-0598,122,35,0,16,45.732436299324036,0.37485603524036093
290,1-0447,4,1,1-0447,65,23,0,2,24.341554537415504,0.374485454421777
280,MLG09,2,18,MLG09,174,29,0,53,64.55119524151087,0.3709838806983383
369,1-8564,6,6,1-8564,185,39,0,44,68.5141998231411,0.370347026071033
433,MLG55,2,18,MLG55,110,9,0,47,40.526531629264355,0.36842301481149414
554,1-18770,5,8,1-18770,10,1,0,4,3.683109074831009,0.3683109074831009
252,1-1887,11,17,1-1887,119,12,0,47,43.526531629264355,0.3657691733551626
167,1-9287,20,4,1-9287,21,7,0,1,7.670777268707752,0.3652751080337025
111,1-7900,17,12,1-7900,75,18,0,14,27.39088176190853,0.3652117568254471
115,1-3254,2,18,1-3254,68,16,0,13,24.72010449320078,0.36353094842942324
399,1-8087,3,11,1-8087,58,13,0,12,21.049327224493027,0.3629194349050522
482,1-11534,8,16,1-11534,12,3,0,2,4.3415545374155045,0.36179621145129204
46,1-3056,5,8,1-3056,250,30,0,90,90.3699541836977,0.3614798167347908
518,1-3356,17,12,1-3356,28,4,0,9,10.03699541836977,0.35846412208463463
395,1-18620,21,15,1-18620,60,4,0,26,21.440208986401558,0.35733681644002596
159,MLG36,20,4,MLG36,136,23,0,38,48.489536210894585,0.35654070743304844
183,1-18927,17,12,1-18927,30,8,0,4,10.683109074831009,0.35610363582770027
552,1-9396,20,4,1-9396,16,1,0,7,5.695440880954266,0.3559650550596416
168,1-7636,7,3,1-7636,83,4,0,38,29.489536210894585,0.3552956169987299
43,1-7518,21,15,1-7518,169,19,0,61,59.917413391172886,0.35454090764007623
204,1-3509,14,5,1-3509,150,35,0,27,53.11098625510931,0.35407324170072874
6,MLG58,3,11,MLG58,66,20,0,5,23.35388634353876,0.35384676278089033
329,1-19755,7,3,1-19755,517,64,0,177,182.72757656127214,0.3534382525363098
493,1-3162,17,12,1-3162,35,9,0,5,12.353886343538761,0.3529681812439646
377,1-7901,14,5,1-7901,298,66,0,58,104.90508158504963,0.3520304751176162
163,1-1633,9,13,1-1633,399,27,0,168,139.69058114290237,0.3501017071250686
551,1-18869,18,9,1-18869,22,5,0,4,7.683109074831009,0.3492322306741368
415,1-7872,11,17,1-7872,124,23,0,30,43.12331806123257,0.3477686940421981
247,1-8753,21,15,1-8753,258,18,0,106,89.10239048302174,0.34535810264737105
71,MLG26,1,7,MLG26,155,34,0,28,52.78176352381706,0.34052750660527137
567,1-5713,17,12,1-5713,2,0,0,1,0.6707772687077522,0.3353886343538761
384,1-0584,8,16,1-0584,41,1,0,19,13.744768105447292,0.3352382464743242
185,1-3301,6,6,1-3301,18,2,0,6,6.024663612246513,0.3347035340136952
20,1-3141,1,7,1-3141,14,2,0,4,4.683109074831009,0.3345077910593578
532,1-9182,13,19,1-9182,28,4,0,8,9.366218149662018,0.3345077910593578
118,1-7429,7,3,1-7429,33,5,0,9,11.03699541836977,0.3344544066172658
543,1-1959,1,7,1-1959,19,3,0,5,6.353886343538761,0.3344150707125664
437,1-19093,6,6,1-19093,36,8,0,6,12.024663612246513,0.33401843367351425
409,1-7297,20,4,1-7297,13,3,0,2,4.3415545374155045,0.3339657336473465
326,1-9095,11,17,1-9095,16,4,0,2,5.3415545374155045,0.33384715858846903
512,1-9121,18,9,1-9121,22,6,0,2,7.3415545374155045,0.33370702442797745
200,7W2-12806,1,7,7W2-12806,23,7,0,1,7.670777268707752,0.33351205516120663
51,1-8981,8,16,1-8981,15,5,0,0,5.0,0.3333333333333333
321,MLG30,3,11,MLG30,66,9,0,19,21.744768105447292,0.3294661834158681
506,1-3302,12,2,1-3302,52,15,0,3,17.012331806123257,0.32716022704083186
129,1-7579,20,4,1-7579,40,11,0,3,13.012331806123257,0.3253082951530814
213,1-8859,17,12,1-8859,36,5,0,10,11.707772687077522,0.3252159079743756
285,1-6727,6,6,1-6727,235,18,0,87,76.35762237757444,0.32492605267052954
245,1-10305,2,18,1-10305,28,7,0,3,9.012331806123257,0.3218689930758306
96,1-10725,10,20,1-10725,27,8,0,1,8.670777268707752,0.32113989884102784
221,1-20138,9,13,1-20138,25,4,0,6,8.024663612246513,0.3209865444898605
405,1-9365,11,17,1-9365,243,29,0,73,77.96674061566591,0.3208507844266087
354,1-11438,6,11,1-11438,53,17,0,0,17.0,0.32075471698113206
61,1-7306,8,16,1-7306,159,38,0,19,50.74476810544729,0.31914948493992007
86,1-10042,11,17,1-10042,21,4,0,4,6.683109074831009,0.3182432892776671
85,1-8986,13,19,1-8986,57,6,0,18,18.07399083673954,0.31708755853929016
351,1-9399,12,11,1-9399,38,8,0,6,12.024663612246513,0.31643851611175033
89,1-9586,14,5,1-9586,18,1,0,7,5.695440880954266,0.31641338227523697
388,1-8019,21,15,1-8019,320,31,0,104,100.76083594560623,0.3148776123300195
