Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,11,1-3037,467,68,3,77,3113.262511253357,6.666515013390486
364,364,364,364,MLG02,18,11,MLG02,755,69,3,131,3146.005051612854,4.166894108096495
353,353,353,353,1-8681,11,14,1-8681,260,30,1,69,1070.5599126815796,4.117538125698383
158,158,158,158,MLG12,11,14,MLG12,569,39,1,44,1064.8642921447754,1.871466242785194
359,359,359,359,1-6166,4,7,1-6166,117,63,0,20,74.75649642944336,0.6389444139268663
394,394,394,394,1-8808,11,14,1-8808,52,9,0,37,30.749518394470215,0.5913368922013503
108,108,108,108,1-0917,3,13,1-0917,134,60,0,26,75.28344535827637,0.5618167564050475
47,47,47,47,MLG15,12,8,MLG15,559,142,0,260,294.8344535827637,0.5274319384307042
239,239,239,239,1-1136,4,7,1-1136,113,39,0,34,58.98604393005371,0.5220003887615373
248,248,248,248,1-19068,4,7,1-19068,77,17,0,36,38.16169357299805,0.4956064100389357
484,484,484,484,MLG35,3,13,MLG35,44,10,0,20,21.75649642944336,0.49446582794189453
199,199,199,199,1-0529,13,4,1-0529,124,45,0,26,60.28344535827637,0.4861568174054546
155,155,155,155,1-7462,5,10,1-7462,336,90,0,120,160.53897857666016,0.47779457909720285
455,455,455,455,1-10981,5,10,1-10981,34,12,0,7,16.114773750305176,0.4739639338325052
458,458,458,458,1-9063,8,9,1-9063,35,3,0,23,16.519970893859863,0.4719991683959961
83,83,83,83,1-1152,3,13,1-1152,112,24,0,48,52.21559143066406,0.4662106377737863
175,175,175,175,1-8177,16,6,1-8177,53,19,0,9,24.29042339324951,0.45830987534433043
147,147,147,147,1-7172,7,9,1-7172,284,56,0,124,128.89027786254883,0.45383900655827053
430,430,430,430,1-8718,5,10,1-8718,333,101,0,84,150.3772850036621,0.45158343844943577
137,137,137,137,1-19257,7,9,1-19257,246,54,0,94,109.25553321838379,0.44412818381456826
294,294,294,294,1-3051,4,7,1-3051,116,21,0,51,50.979065895080566,0.43947470599207383
26,26,26,26,1-0918,9,5,1-0918,179,48,0,52,78.56689071655273,0.43892117718744544
449,449,449,449,1-10960,4,7,1-10960,82,23,0,22,35.932146072387695,0.43819690332180117
416,416,416,416,1-3246,10,5,1-3246,116,40,0,18,50.58084678649902,0.436041782642233
379,379,379,379,1-5228,4,7,1-5228,180,47,0,53,78.1547155380249,0.43419286410013835
46,46,46,46,1-3056,5,10,1-3056,250,63,0,74,106.49903678894043,0.42599614715576173
153,153,153,153,MLG43,1,18,MLG43,39,3,0,23,16.519970893859863,0.42358899727845806
340,340,340,340,1-0487,19,17,1-0487,18,7,0,1,7.587824821472168,0.4215458234151204
448,448,448,448,1-6249,7,9,1-6249,64,15,0,20,26.75649642944336,0.4180702567100525
87,87,87,87,1-0708,16,6,1-0708,408,42,0,218,170.14581108093262,0.41702404676699173
551,551,551,551,1-18869,18,11,1-18869,22,5,0,7,9.114773750305176,0.41430789774114435
345,345,345,345,1-2364,15,12,1-2364,88,20,0,28,36.4590950012207,0.41430789774114435
358,358,358,358,MLG18,20,3,MLG18,72,18,0,20,29.75649642944336,0.41328467263115776
541,541,541,541,1-7301,11,14,1-7301,26,6,0,8,10.702598571777344,0.41163840660682094
211,211,211,211,1-7187,7,9,1-7187,96,14,0,43,39.27646732330322,0.40912986795107525
523,523,523,523,MLG04,20,3,MLG04,16,3,0,6,6.526948928833008,0.407934308052063
403,403,403,403,1-7402,16,6,1-7402,141,36,0,36,57.16169357299805,0.4054020820780003
438,438,438,438,1-9100,16,6,1-9100,142,34,0,40,57.51299285888672,0.40502107647103325
130,130,130,130,MLG32,3,13,MLG32,79,12,0,34,31.98604393005371,0.40488663202599634
268,268,268,268,1-7899,13,4,1-7899,40,5,0,19,16.16867160797119,0.4042167901992798
537,537,537,537,1-9499,4,7,1-9499,36,11,0,6,14.526948928833008,0.4035263591342502
254,254,254,254,1-9230,12,8,1-9230,5,2,0,0,2.0,0.4
434,434,434,434,1-6835,13,4,1-6835,36,2,0,21,14.344321250915527,0.39845336808098686
164,164,164,164,MLG29,12,8,MLG29,93,17,0,34,36.98604393005371,0.39769939709735175
352,352,352,352,1-2275,13,4,1-2275,130,17,0,59,51.68166446685791,0.39755126512967626
337,337,337,337,1-1035,16,6,1-1035,249,46,0,90,98.90423393249512,0.3972057587650406
67,67,67,67,1-19989,3,13,1-19989,4,1,0,1,1.587824821472168,0.396956205368042
549,549,549,549,1-10622,18,11,1-10622,4,1,0,1,1.587824821472168,0.396956205368042
361,361,361,361,1-0691,16,6,1-0691,450,126,0,89,178.31640911102295,0.39625868691338434
287,287,287,287,1-9267,12,8,1-9267,14,2,0,6,5.526948928833008,0.39478206634521484
436,436,436,436,1-8702,5,15,1-8702,59,18,0,9,23.29042339324951,0.39475293886863577
233,233,233,233,1-8864,3,13,1-8864,39,10,0,9,15.290423393249512,0.392062138288449
290,290,290,290,1-0447,4,7,1-0447,65,23,0,4,25.351299285888672,0.39001998901367185
93,93,93,93,1-0677,16,6,1-0677,187,54,0,32,72.81039428710938,0.3893603972572694
398,398,398,398,MLG65,20,3,MLG65,155,42,0,31,60.22256946563721,0.3885327062299175
148,148,148,148,1-2028,10,2,1-2028,20,6,0,3,7.763474464416504,0.3881737232208252
334,334,334,334,1-3693,16,6,1-3693,143,36,0,33,55.39821910858154,0.3874001336264444
41,41,41,41,MLG24,3,13,MLG24,49,10,0,15,18.81737232208252,0.38402800657311265
313,313,313,313,1-3631,18,11,1-3631,13,2,0,5,4.93912410736084,0.3799326236431415
540,540,540,540,1-8711,4,7,1-8711,48,10,0,14,18.22954750061035,0.379782239596049
329,329,329,329,1-19755,7,9,1-19755,517,97,0,169,196.3423948287964,0.37977252384680155
565,565,565,565,1-19069,10,5,1-19069,11,3,0,2,4.175649642944336,0.37960451299493964
501,501,501,501,MLG56,17,22,MLG56,109,0,0,70,41.14773750305176,0.3775021789270803
499,499,499,499,1-3135,13,4,1-3135,101,21,0,29,38.04691982269287,0.37670217646230564
252,252,252,252,1-1887,11,14,1-1887,119,16,0,49,44.80341625213623,0.3764992962364389
