Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
224,224,224,224,224,1-8087,16,16,1-8087,58,23,0,13,32.85702836513519,0.566500489054055
155,155,155,155,155,1-2364,19,19,1-2364,88,9,0,49,46.153414607048035,0.5244706205346368
162,162,162,162,162,1-10960,12,12,1-10960,82,17,0,34,42.77992033958435,0.5217063456046872
187,187,187,187,187,MLG82,16,16,MLG82,71,19,0,23,36.43935787677765,0.5132303926306712
83,83,83,83,83,1-7306,13,13,1-7306,159,56,0,33,81.0216873884201,0.5095703609334598
391,391,391,391,391,1-7301,19,19,1-7301,26,3,0,13,12.857028365135193,0.49450109096673817
55,55,55,55,55,MLG13,8,9,MLG13,225,30,0,100,105.82329511642456,0.47032575607299804
114,114,114,114,114,1-6166,12,20,1-6166,117,46,0,11,54.3405624628067,0.4644492518188607
219,219,219,219,219,1-8702,4,2,1-8702,59,11,0,21,26.922891974449158,0.4563202029567654
70,70,70,70,70,1-5228,12,12,1-5228,180,12,0,92,81.7574315071106,0.4542079528172811
119,119,119,119,119,1-1136,12,12,1-1136,113,12,0,50,49.91164755821228,0.4416959960903742
42,42,42,42,42,1-8681,19,19,1-8681,260,26,0,114,112.438556432724,0.4324559862797077
445,445,445,445,445,1-2028,15,15,1-2028,20,4,0,6,8.549397706985474,0.42746988534927366
189,189,189,189,189,1-0582,11,11,1-0582,70,4,0,34,29.77992033958435,0.42542743342263356
30,30,30,30,30,1-8718,4,2,1-8718,333,92,0,65,141.28514182567596,0.4242797051822101
236,236,236,236,236,1-8053,2,15,1-8053,55,17,0,8,23.065863609313965,0.419379338351163
86,86,86,86,86,MLG65,3,3,MLG65,155,22,0,56,64.46104526519775,0.4158777113883726
8,8,8,8,8,MLG15,7,7,MLG15,559,30,0,259,226.3823343515396,0.4049773423104465
104,104,104,104,104,MLG64,2,5,MLG64,129,13,0,47,48.63694870471954,0.377030610114105
205,205,205,205,205,1-0447,11,11,1-0447,65,1,0,31,24.505221486091614,0.3770034074783325
130,130,130,130,130,1-8754,12,12,1-8754,108,11,0,39,40.57108509540558,0.37565819532782946
235,235,235,235,235,1-9040,19,19,1-9040,55,7,0,18,20.64819312095642,0.37542169310829854
180,180,180,180,180,1-9294,15,15,1-9294,74,14,0,18,27.64819312095642,0.37362423136427597
310,310,310,310,310,MLG43,23,23,MLG43,39,3,0,15,14.373494267463684,0.3685511350631714
243,243,243,243,243,1-9542,9,6,1-9542,54,12,0,10,19.582329511642456,0.3626357316970825
184,184,184,184,184,MLG18,3,3,MLG18,72,20,0,8,26.065863609313965,0.36202588346269393
9,9,9,9,9,MLG63,2,5,MLG63,543,29,0,219,195.0530163049698,0.35921365802020216
340,340,340,340,340,1-10981,15,8,1-10981,34,9,0,4,12.032931804656982,0.3539097589604995
238,238,238,238,238,MLG20,7,7,MLG20,55,11,0,11,19.3405624628067,0.3516465902328491
76,76,76,76,76,1-7518,12,12,1-7518,169,32,0,36,59.29638624191284,0.35086619078054937
129,129,129,129,129,MLG56,2,3,MLG56,109,17,0,28,38.23052263259888,0.3507387397486135
58,58,58,58,58,MLG53,16,16,MLG53,216,39,0,48,75.39518165588379,0.3490517669253879
353,353,353,353,353,1-7456,10,11,1-7456,32,7,0,5,10.791164755821228,0.3372238986194134
231,231,231,231,231,1-8044,14,14,1-8044,56,15,0,5,18.791164755821228,0.33555651349680765
111,111,111,111,111,1-1887,19,19,1-1887,119,11,0,38,39.81285214424133,0.3345617827247171
288,288,288,288,288,MLG01,10,10,MLG01,43,6,0,11,14.340562462806702,0.3335014526234117
475,475,475,475,475,1-9548,8,9,1-9548,16,3,0,3,5.274698853492737,0.32966867834329605
377,377,377,377,377,1-10305,19,19,1-10305,28,0,0,12,9.098795413970947,0.32495697907039095
61,61,61,61,61,1-8484,21,21,1-8484,202,17,0,64,65.52690887451172,0.3243906379926323
342,342,342,342,342,1-18987,19,19,1-18987,34,4,0,9,10.82409656047821,0.3183557811905356
94,94,94,94,94,1-3693,11,11,1-3693,143,21,0,32,45.26345443725586,0.31652765340738365
471,471,471,471,471,1-9396,1,4,1-9396,16,2,0,4,5.032931804656982,0.3145582377910614
99,99,99,99,99,1-0917,9,6,1-0917,134,13,0,38,41.81285214424133,0.3120362100316517
364,364,364,364,364,1-5515,17,17,1-5515,30,7,0,3,9.274698853492737,0.3091566284497579
46,46,46,46,46,1-3056,4,2,1-3056,250,40,0,49,77.15341460704803,0.30861365842819216
413,413,413,413,413,1-5819,19,19,1-5819,23,1,0,8,7.065863609313965,0.3072114612745202
112,112,112,112,112,1-1166,1,4,1-1166,118,18,0,24,36.197590827941895,0.30675924430459234
381,381,381,381,381,1-6554,3,3,1-6554,28,4,0,6,8.549397706985474,0.30533563239233835
249,249,249,249,249,1-11438,5,1,1-11438,53,4,0,16,16.13172721862793,0.3043722116722251
543,543,543,543,543,1-18953,6,8,1-18953,5,0,0,2,1.5164659023284912,0.30329318046569825
153,153,153,153,153,1-8666,14,14,1-8666,89,5,0,29,26.988755583763123,0.3032444447613834
47,47,47,47,47,1-1035,11,11,1-1035,249,34,0,54,74.94457936286926,0.30098224643722593
36,36,36,36,36,MLG67,19,19,MLG67,293,32,0,74,88.10923838615417,0.3007141241848265
166,166,166,166,166,1-5696,10,10,1-5696,80,2,0,29,23.988755583763123,0.299859444797039
428,428,428,428,428,1-5221,9,6,1-5221,21,4,0,3,6.274698853492737,0.2987951834996541
509,509,509,509,509,1-0337,4,2,1-0337,11,1,0,3,3.274698853492737,0.29769989577206696
