Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,8,1-3037,467,70,3,63,3082.3769927471876,6.600378999458646
364,364,364,364,MLG02,18,8,MLG02,755,69,3,296,3127.152219891548,4.141923470055031
353,353,353,353,1-8681,11,5,1-8681,260,27,1,77,1042.127435579896,4.008182444538061
158,158,158,158,MLG12,11,5,MLG12,569,26,1,124,1050.3610650897026,1.8459772672929746
142,142,142,142,MLG17,14,10,MLG17,76,35,0,14,37.75044283270836,0.4967163530619521
108,108,108,108,1-0917,3,6,1-0917,134,60,0,22,64.32212445139885,0.48001585411491676
359,359,359,359,1-6166,4,14,1-6166,117,48,0,34,54.679646879434586,0.46734740922593665
467,467,467,467,MLG82,19,15,MLG82,71,30,0,7,31.37522141635418,0.44190452699090393
499,499,499,499,1-3135,13,3,1-3135,101,36,0,42,44.251328498125076,0.43813196532797105
358,358,358,358,MLG18,20,11,MLG18,72,27,0,16,30.14336323738098,0.4186578227414025
416,416,416,416,1-3246,10,2,1-3246,116,43,0,7,44.37522141635418,0.3825450122099498
484,484,484,484,MLG35,3,6,MLG35,44,11,0,20,14.929204046726227,0.3393000919710506
131,131,131,131,MLG13,8,4,MLG13,225,61,0,74,75.53805497288704,0.33572468876838685
61,61,61,61,1-7306,8,4,1-7306,159,47,0,25,51.91150505840778,0.32648745319753325
28,28,28,28,1-7081,20,11,1-7081,99,30,0,9,31.768141821026802,0.3208903214245131
257,257,257,257,MLG06,10,2,MLG06,634,148,0,245,196.13274957239628,0.3093576491678175
128,128,128,128,MLG33,19,15,MLG33,161,46,0,13,48.55398263037205,0.3015775318656649
83,83,83,83,1-1152,3,6,1-1152,112,24,0,48,33.430089712142944,0.29848294385841917
293,293,293,293,MLG20,19,15,MLG20,55,16,0,2,16.392920404672623,0.29805309826677495
316,316,316,316,1-4776,5,9,1-4776,33,9,0,4,9.785840809345245,0.29654063058621954
183,183,183,183,1-18927,17,22,1-18927,30,6,0,14,8.750442832708359,0.2916814277569453
455,455,455,455,1-10981,5,9,1-10981,34,8,0,9,9.768141821026802,0.2872982888537295
453,453,453,453,MLG45,7,12,MLG45,179,37,0,71,50.948674365878105,0.2846294657311626
501,501,501,501,MLG56,17,22,MLG56,109,17,0,71,30.948674365878105,0.28393279234750557
430,430,430,430,1-8718,5,9,1-8718,333,79,0,70,92.7522141635418,0.27853517766829367
345,345,345,345,1-2364,15,7,1-2364,88,19,0,28,24.500885665416718,0.2784191552888263
399,399,399,399,1-8087,3,6,1-8087,58,14,0,9,15.768141821026802,0.2718645141556345
174,174,174,174,1-6568,13,3,1-6568,394,68,0,197,106.70265986025333,0.27081893365546533
166,166,166,166,1-9454,18,8,1-9454,80,20,0,5,20.982301011681557,0.26227876264601946
186,186,186,186,1-8162,20,11,1-8162,22,4,0,9,5.768141821026802,0.26218826459212735
0,0,0,0,1-8545,19,15,1-8545,42,11,0,0,11.0,0.2619047619047619
409,409,409,409,1-7297,20,11,1-7297,13,3,0,2,3.3929204046726227,0.26099387728250945
458,458,458,458,1-9063,8,2,1-9063,35,9,0,0,9.0,0.2571428571428571
270,270,270,270,1-5655,15,7,1-5655,31,6,0,10,7.964602023363113,0.25692264591493913
486,486,486,486,1-6506,9,16,1-6506,70,6,0,61,17.98407234251499,0.2569153191787856
506,506,506,506,1-3302,12,9,1-3302,52,11,0,12,13.357522428035736,0.25687543130837953
150,150,150,150,P1-0004,3,6,P1-0004,60,15,0,2,15.392920404672623,0.2565486734112104
391,391,391,391,1-8165,14,10,1-8165,420,58,0,252,107.50797098875046,0.2559713594970249
203,203,203,203,1-19884,14,10,1-19884,60,12,0,17,15.339823439717293,0.2556637239952882
537,537,537,537,1-9499,4,14,1-9499,36,6,0,16,9.143363237380981,0.2539823121494717
251,251,251,251,MLG27,1,21,MLG27,67,17,0,0,17.0,0.2537313432835821
374,374,374,374,MLG74,18,8,MLG74,177,37,0,40,44.858408093452454,0.2534373338613133
394,394,394,394,1-8808,11,5,1-8808,52,8,0,26,13.107965260744095,0.2520762550143095
449,449,449,449,1-10960,4,14,1-10960,82,13,0,39,20.661947891116142,0.2519749742819042
130,130,130,130,MLG32,3,6,MLG32,79,14,0,30,19.89380607008934,0.2518203300011309
176,176,176,176,1-7356,5,9,1-7356,4,1,0,0,1.0,0.25
562,562,562,562,1-3142,8,4,1-3142,4,1,0,0,1.0,0.25
91,91,91,91,1-9458,10,2,1-9458,20,5,0,0,5.0,0.25
573,573,573,573,1-3100,3,6,1-3100,4,1,0,0,1.0,0.25
189,189,189,189,1-7834,3,6,1-7834,4,1,0,0,1.0,0.25
282,282,282,282,1-7711,5,9,1-7711,8,2,0,0,2.0,0.25
454,454,454,454,1-6678,10,2,1-6678,213,30,0,118,53.18230387568474,0.24968217782011615
29,29,29,29,1-8090,10,2,1-8090,14,3,0,2,3.3929204046726227,0.2423514574766159
435,435,435,435,1-10882,3,6,1-10882,14,3,0,2,3.3929204046726227,0.2423514574766159
47,47,47,47,MLG15,12,13,MLG15,559,112,0,113,134.20000286400318,0.24007156147406652
535,535,535,535,1-9253,5,9,1-9253,30,7,0,1,7.196460202336311,0.2398820067445437
344,344,344,344,1-9294,14,10,1-9294,74,15,0,14,17.75044283270836,0.2398708490906535
246,246,246,246,1-9232,13,3,1-9232,20,4,0,4,4.785840809345245,0.23929204046726227
132,132,132,132,1-0454,12,13,1-0454,43,9,0,6,10.178761214017868,0.23671537707018298
551,551,551,551,1-18869,18,8,1-18869,22,5,0,1,5.196460202336311,0.23620273646983234
321,321,321,321,MLG30,3,6,MLG30,66,14,0,8,15.57168161869049,0.23593456998015894
381,381,381,381,1-7987,4,14,1-7987,23,4,0,7,5.375221416354179,0.23370527897192084
398,398,398,398,MLG65,20,11,MLG65,155,31,0,26,36.107965260744095,0.23295461458544578
73,73,73,73,1-9318,19,15,1-9318,13,3,0,0,3.0,0.23076923076923078
433,433,433,433,MLG55,2,20,MLG55,110,10,0,78,25.323895782232285,0.23021723438392985
157,157,157,157,1-2318,15,7,1-2318,13,2,0,5,2.9823010116815567,0.2294077701293505
555,555,555,555,1-20068,14,10,1-20068,45,7,0,16,10.143363237380981,0.2254080719417996
3,3,3,3,1-18956,19,15,1-18956,49,11,0,0,11.0,0.22448979591836735
294,294,294,294,1-3051,4,14,1-3051,116,11,0,74,25.53805497288704,0.22015564631799173
346,346,346,346,1-10823,16,1,1-10823,10,2,0,1,2.1964602023363113,0.21964602023363114
318,318,318,318,1-3496,13,3,1-3496,192,28,0,72,42.14513456821442,0.2195059092094501
228,228,228,228,1-18816,5,9,1-18816,44,1,0,44,9.644248902797699,0.21918747506358408
271,271,271,271,1-19121,3,6,1-19121,75,15,0,7,16.37522141635418,0.21833628555138906
236,236,236,236,1-9245,1,21,1-9245,23,5,0,0,5.0,0.21739130434782608
379,379,379,379,1-5228,4,14,1-5228,180,23,0,82,39.10973659157753,0.21727631439765294
385,385,385,385,MLG70,19,15,MLG70,269,44,0,73,58.34159477055073,0.2168832519351328
62,62,62,62,1-9114,1,21,1-9114,120,26,0,0,26.0,0.21666666666666667
534,534,534,534,MLG48,7,12,MLG48,116,6,0,97,25.0566396266222,0.21600551402260518
485,485,485,485,MLG25,14,10,MLG25,12,2,0,3,2.589380607008934,0.2157817172507445
539,539,539,539,1-6559,19,20,1-6559,24,4,0,6,5.178761214017868,0.2157817172507445
352,352,352,352,1-2275,13,3,1-2275,130,17,0,56,28.001771330833435,0.21539824100641103
541,541,541,541,1-7301,11,11,1-7301,26,4,0,8,5.571681618690491,0.21429544687271118
104,104,104,104,1-9040,11,5,1-9040,55,10,0,9,11.768141821026802,0.21396621492776005
170,170,170,170,MLG40,3,6,MLG40,30,5,0,7,6.375221416354179,0.21250738054513932
317,317,317,317,1-3733,8,4,1-3733,16,3,0,2,3.3929204046726227,0.21205752529203892
480,480,480,480,1-1514,7,12,1-1514,64,9,0,23,13.51858465373516,0.2112278852146119
147,147,147,147,1-7172,7,12,1-7172,284,37,0,117,59.98584367334843,0.21121775941319867
355,355,355,355,1-8666,14,10,1-8666,89,15,0,18,18.536283642053604,0.20827284991071465
159,159,159,159,MLG36,20,11,MLG36,136,23,0,27,28.304425463080406,0.2081207754638265
111,111,111,111,1-7900,17,22,1-7900,75,14,0,8,15.57168161869049,0.20762242158253988
190,190,190,190,1-6199,19,15,1-6199,30,6,0,1,6.196460202336311,0.2065486734112104
536,536,536,536,1-1964,15,7,1-1964,48,5,0,25,9.911505058407784,0.20648968871682882
496,496,496,496,1-18973,1,21,1-18973,39,8,0,0,8.0,0.20512820512820512
95,95,95,95,1-7625,10,2,1-7625,76,15,0,3,15.589380607008934,0.20512342903959124
161,161,161,161,1-7656,18,8,1-7656,48,6,0,19,9.732743844389915,0.20276549675812325
397,397,397,397,1-6492,11,5,1-6492,48,2,0,39,9.661947891116142,0.20129058106491962
500,500,500,500,MLG50,12,13,MLG50,168,33,0,3,33.589380607008934,0.19993678932743414
429,429,429,429,1-8949,12,13,1-8949,112,21,0,7,22.37522141635418,0.19977876264601946
102,102,102,102,1-6737,14,10,1-6737,32,5,0,7,6.375221416354179,0.1992256692610681
287,287,287,287,1-9267,12,13,1-9267,14,2,0,4,2.7858408093452454,0.19898862923894609
211,211,211,211,1-7187,7,12,1-7187,96,10,0,46,19.03716930747032,0.19830384695281586
137,137,137,137,1-19257,7,12,1-19257,246,27,0,109,48.414162054657936,0.19680553680755258
483,483,483,483,MLG47,14,10,MLG47,106,2,0,95,20.663719221949577,0.1949407473768828
152,152,152,152,1-1530,13,3,1-1530,632,72,0,255,122.09735159575939,0.19319201201860664
155,155,155,155,1-7462,5,9,1-7462,336,38,0,136,64.71858751773834,0.19261484380279267
283,283,283,283,1-1636,3,6,1-1636,22,3,0,6,4.178761214017868,0.18994369154626672
329,329,329,329,1-19755,7,12,1-19755,517,63,0,179,98.16637621819973,0.18987693659226254
428,428,428,428,1-7733,11,5,1-7733,76,5,0,48,14.430089712142944,0.18986960147556506
148,148,148,148,1-2028,10,10,1-2028,20,3,0,4,3.7858408093452454,0.18929204046726228
529,529,529,529,1-11533,2,20,1-11533,20,3,0,4,3.7858408093452454,0.18929204046726228
210,210,210,210,1-3182,14,10,1-3182,20,3,0,4,3.7858408093452454,0.18929204046726228
182,182,182,182,1-4136,2,20,1-4136,20,2,0,9,3.768141821026802,0.1884070910513401
348,348,348,348,MLG62,12,13,MLG62,370,63,0,32,69.28672647476196,0.18726142290476205
17,17,17,17,1-9217,19,15,1-9217,30,5,0,3,5.589380607008934,0.1863126869002978
463,463,463,463,1-8187,5,9,1-8187,29,5,0,2,5.392920404672623,0.18596277257491803
113,113,113,113,1-7647,20,11,1-7647,30,4,0,8,5.571681618690491,0.18572272062301637
223,223,223,223,1-5109,7,12,1-5109,37,6,0,4,6.785840809345245,0.1834011029552769
214,214,214,214,1-19859,18,8,1-19859,12,2,0,1,2.1964602023363113,0.1830383501946926
279,279,279,279,MLG03,15,7,MLG03,713,100,0,154,130.25487115979195,0.1826856538005497
164,164,164,164,MLG29,12,13,MLG29,93,16,0,5,16.982301011681557,0.18260538722238234
139,139,139,139,1-2699,12,13,1-2699,36,2,0,23,6.518584653735161,0.1810717959370878
119,119,119,119,1-7476,18,8,1-7476,22,3,0,5,3.9823010116815567,0.18101368234916168
490,490,490,490,1-6591,5,9,1-6591,79,5,0,47,14.233629509806633,0.1801725254405903
239,239,239,239,1-1136,4,14,1-1136,113,11,0,46,20.03716930747032,0.177320082366994
402,402,402,402,1-1958,3,6,1-1958,25,4,0,2,4.392920404672623,0.1757168161869049
50,50,50,50,MLG14,20,11,MLG14,462,60,0,105,80.62832124531269,0.17452017585565519
552,552,552,552,1-9396,20,11,1-9396,16,2,0,4,2.7858408093452454,0.17411505058407784
276,276,276,276,1-9548,4,14,1-9548,16,2,0,4,2.7858408093452454,0.17411505058407784
326,326,326,326,1-9095,11,5,1-9095,16,2,0,4,2.7858408093452454,0.17411505058407784
378,378,378,378,1-5819,10,21,1-5819,23,4,0,0,4.0,0.17391304347826086
497,497,497,497,1-3216,7,12,1-3216,38,5,0,8,6.571681618690491,0.17293898996553922
6,6,6,6,MLG58,3,2,MLG58,66,11,0,2,11.392920404672623,0.17262000613140338
141,141,141,141,MLG42,20,11,MLG42,72,11,0,7,12.37522141635418,0.17187807522714138
224,224,224,224,MLG05,17,22,MLG05,14,2,0,2,2.3929204046726227,0.17092288604804448
