Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,7,1-3037,467,69,3,63,3115.0371238589287,6.670315040383145
364,364,364,364,MLG02,18,7,MLG02,755,73,3,104,3148.9977917671204,4.170858002340557
353,353,353,353,1-8681,11,9,1-8681,260,52,1,34,1076.8454319238663,4.141713199707178
158,158,158,158,MLG12,11,9,MLG12,569,38,1,50,1074.5373998880386,1.8884664321406655
501,501,501,501,MLG56,17,6,MLG56,109,19,0,76,74.53684782981873,0.6838242920166856
453,453,453,453,MLG45,7,12,MLG45,179,37,0,112,118.84377574920654,0.6639317080961259
108,108,108,108,1-0917,3,5,1-0917,134,56,0,40,85.22991991043091,0.6360441784360515
316,316,316,316,1-4776,5,8,1-4776,33,14,0,9,20.576731979846954,0.623537332722635
163,163,163,163,1-1633,9,19,1-1633,399,12,0,314,241.45487129688263,0.6051500533756456
428,428,428,428,1-7733,11,9,1-7733,76,22,0,32,45.38393592834473,0.5971570516887464
484,484,484,484,MLG35,3,5,MLG35,44,12,0,19,25.88421195745468,0.5882775444876064
473,473,473,473,1-3174,9,19,1-3174,117,4,0,86,66.84432780742645,0.571319041089115
229,229,229,229,1-6569,21,17,1-6569,360,13,0,225,177.41829949617386,0.49282860971159403
383,383,383,383,1-0582,16,21,1-0582,70,0,0,47,34.34515589475632,0.49064508421080455
358,358,358,358,MLG18,20,13,MLG18,72,28,0,10,35.30747997760773,0.4903816663556629
281,281,281,281,1-8126,18,7,1-8126,34,13,0,5,16.653739988803864,0.48981588202364307
83,83,83,83,1-1152,3,5,1-1152,112,13,0,55,53.1911398768425,0.47492089175752233
384,384,384,384,1-0584,8,10,1-0584,41,12,0,10,19.307479977607727,0.47091414579531043
472,472,472,472,MLG52,15,4,MLG52,112,5,0,65,52.498619854450226,0.46873767727187704
388,388,388,388,1-8019,21,17,1-8019,320,65,0,114,148.3052717447281,0.4634539742022753
28,28,28,28,1-7081,20,13,1-7081,99,34,0,16,45.69196796417236,0.461535029941135
319,319,319,319,1-20040,18,4,1-20040,22,5,0,7,10.115235984325409,0.45978345383297314
486,486,486,486,1-6506,9,19,1-6506,70,7,0,34,31.845431923866272,0.45493474176951815
481,481,481,481,1-19851,18,19,1-19851,25,1,0,14,11.230471968650818,0.4492188787460327
468,468,468,468,1-11523,14,14,1-11523,24,2,0,12,10.768975973129272,0.44870733221371967
519,519,519,519,1-10800,6,3,1-10800,55,15,0,13,24.499723970890045,0.4454495267434554
444,444,444,444,1-2083,15,6,1-2083,48,11,0,14,21.230471968650818,0.44230149934689206
320,320,320,320,1-0541,6,3,1-0541,132,8,0,68,57.690863847732544,0.4370519988464587
67,67,67,67,1-19989,3,5,1-19989,4,1,0,1,1.7307479977607727,0.4326869994401932
437,437,437,437,1-19093,6,3,1-19093,36,3,0,17,15.422715961933136,0.42840877672036487
467,467,467,467,MLG82,19,18,MLG82,71,26,0,6,30.384487986564636,0.4279505350220371
476,476,476,476,MLG01,21,17,MLG01,43,5,0,18,18.15346395969391,0.42217358045799785
123,123,123,123,1-3472,13,15,1-3472,28,3,0,12,11.768975973129272,0.4203205704689026
512,512,512,512,1-9121,18,7,1-9121,22,7,0,3,9.192243993282318,0.4178292724219235
460,460,460,460,1-8044,13,15,1-8044,56,2,0,29,23.19169193506241,0.4141373559832573
130,130,130,130,MLG32,3,5,MLG32,79,10,0,31,32.653187930583954,0.41333149279220194
351,351,351,351,1-9399,12,14,1-9399,38,12,0,5,15.653739988803864,0.41194052602115433
387,387,387,387,1-3469,21,17,1-3469,40,4,0,17,16.422715961933136,0.4105678990483284
155,155,155,155,1-7462,5,8,1-7462,336,35,0,138,135.84322369098663,0.4042953086041269
398,398,398,398,MLG65,20,13,MLG65,155,30,0,44,62.152911901474,0.4009865283966064
254,254,254,254,1-9230,12,11,1-9230,5,2,0,0,2.0,0.4
