Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
83,83,83,1-7306,13,10,1-7306,159,58,0,26,64.27977228164673,0.4042752973688474
180,180,180,1-9294,15,8,1-9294,74,22,0,9,24.17376732826233,0.32667253146300446
445,445,445,1-2028,15,24,1-2028,20,6,0,0,6.0,0.3
162,162,162,1-10960,12,11,1-10960,82,16,0,35,24.453539609909058,0.2982138976818178
539,539,539,P1-17272,15,15,P1-17272,6,1,0,3,1.7245891094207764,0.2874315182367961
472,472,472,1-3733,15,8,1-3733,16,4,0,2,4.483059406280518,0.28019121289253235
364,364,364,1-5515,17,7,1-5515,30,5,0,13,8.139886140823364,0.27132953802744547
340,340,340,1-10981,15,8,1-10981,34,8,0,5,9.207648515701294,0.27081319163827333
106,106,106,1-7872,7,22,1-7872,124,26,0,31,33.48742079734802,0.2700598451399034
325,325,325,1-6543,22,11,1-6543,36,8,0,7,9.690707921981812,0.2691863311661614
324,324,324,1-19093,17,7,1-19093,36,7,0,10,9.415297031402588,0.26153602865007186
105,105,105,1-0529,14,9,1-0529,124,12,0,82,31.80543565750122,0.2564954488508163
35,35,35,1-7901,9,14,1-7901,298,61,0,51,73.3180148601532,0.24603360691326576
23,23,23,1-8567,17,7,1-8567,388,60,0,142,94.29721784591675,0.2430340666131875
114,114,114,1-6166,12,11,1-6166,117,13,0,62,27.974841594696045,0.2391012102110773
391,391,391,1-7301,19,5,1-7301,26,3,0,13,6.139886140823364,0.23614946695474479
381,381,381,1-6554,3,7,1-6554,28,4,0,10,6.415297031402588,0.229117751121521
156,156,156,MLG83,22,2,MLG83,88,17,0,13,20.139886140823364,0.22886234250935641
100,100,100,1-0541,17,7,1-0541,132,14,0,64,29.457901000976562,0.22316591667406488
109,109,109,1-3364,17,7,1-3364,121,17,0,37,25.936599016189575,0.2143520579850378
143,143,143,1-12345,5,20,1-12345,97,14,0,27,20.521301984786987,0.2115598142761545
155,155,155,1-2364,19,5,1-2364,88,7,0,48,18.593425750732422,0.2112889289855957
42,42,42,1-8681,19,5,1-8681,260,27,0,114,54.5343861579895,0.2097476390691904
76,76,76,1-7518,12,11,1-7518,169,25,0,43,35.38577723503113,0.20938329724870489
260,260,260,MLG24,16,24,MLG24,49,10,0,1,10.241529703140259,0.20901081026816853
358,358,358,1-5655,15,8,1-5655,31,5,0,6,6.449178218841553,0.20803800705940492
212,212,212,1-8916,7,22,1-8916,61,8,0,19,12.589064359664917,0.20637810425680192
119,119,119,1-1136,12,11,1-1136,113,11,0,51,23.3180148601532,0.20635411380666546
271,271,271,1-5568,17,6,1-5568,47,8,0,7,9.690707921981812,0.20618527493578323
304,304,304,1-2006,11,13,1-2006,40,6,0,9,8.173767328262329,0.20434418320655823
219,219,219,1-8702,4,16,1-8702,59,6,0,25,12.03824257850647,0.2040380098051944
53,53,53,1-6727,17,7,1-6727,235,26,0,88,47.25461387634277,0.20108346330358626
167,167,167,MLG32,22,2,MLG32,79,14,0,7,15.690707921981812,0.19861655597445332
30,30,30,1-8718,4,16,1-8718,333,43,0,95,65.94532179832458,0.1980339993943681
3,3,3,MLG06,18,6,MLG06,634,81,0,182,124.9584059715271,0.19709527755761372
185,185,185,MLG42,16,24,MLG42,72,12,0,9,14.173767328262329,0.196857879559199
514,514,514,1-10823,15,8,1-10823,10,1,0,4,1.9661188125610352,0.19661188125610352
149,149,149,MLG29,22,2,MLG29,93,17,0,4,17.966118812561035,0.19318407325334447
164,164,164,1-9454,13,10,1-9454,80,14,0,6,15.449178218841553,0.1931147277355194
94,94,94,1-3693,11,13,1-3693,143,19,0,35,27.453539609909058,0.1919827944748885
202,202,202,1-1367,14,9,1-1367,66,7,0,23,12.555183172225952,0.19023004806402957
138,138,138,1-7993,17,7,1-7993,100,12,0,29,19.004361391067505,0.19004361391067504
229,229,229,1-8986,20,4,1-8986,57,10,0,3,10.724589109420776,0.18815068613018907
235,235,235,1-9040,19,5,1-9040,55,6,0,18,10.347534656524658,0.1881369937549938
475,475,475,1-9548,8,21,1-9548,16,3,0,0,3.0,0.1875
115,115,115,1-3174,5,20,1-3174,117,13,0,37,21.936599016189575,0.1874922992836716
130,130,130,1-8754,12,11,1-8754,108,11,0,38,20.178128719329834,0.18683452517897994
67,67,67,1-4394,21,3,1-4394,190,19,0,68,35.4240198135376,0.18644220954493473
86,86,86,MLG65,3,15,MLG65,155,24,0,20,28.830594062805176,0.1860038326632592
471,471,471,1-9396,1,11,1-9396,16,2,0,4,2.966118812561035,0.1853824257850647
238,238,238,MLG20,7,22,MLG20,55,8,0,9,10.173767328262329,0.1849775877865878
338,338,338,1-8497,17,21,1-8497,34,5,0,5,6.207648515701294,0.18257789752062628
47,47,47,1-1035,11,12,1-1035,249,34,0,47,45.35189604759216,0.18213612870518942
38,38,38,1-5899,6,21,1-5899,288,51,0,6,52.44917821884155,0.1821152021487554
70,70,70,1-5228,12,11,1-5228,180,10,0,94,32.703792095184326,0.18168773386213516
476,476,476,1-7910,9,14,1-7910,15,2,0,3,2.7245891094207764,0.1816392739613851
342,342,342,1-18987,19,5,1-18987,34,4,0,9,6.173767328262329,0.18158139200771556
302,302,302,1-7809,13,10,1-7809,40,6,0,5,7.207648515701294,0.18019121289253234
160,160,160,1-1119,18,6,1-1119,83,13,0,8,14.93223762512207,0.1799064774111093
84,84,84,1-1712,17,7,1-1712,157,17,0,44,27.627306938171387,0.17597010788644196
99,99,99,1-0917,9,14,1-0917,134,18,0,23,23.555183172225952,0.17578494904646233
187,187,187,MLG82,16,24,MLG82,71,11,0,6,12.449178218841553,0.17534053829354299
299,299,299,1-0754,7,22,1-0754,41,5,0,9,7.173767328262329,0.17496993483566656
362,362,362,MLG40,22,2,MLG40,30,5,0,1,5.241529703140259,0.17471765677134196
411,411,411,1-8186,2,17,1-8186,23,4,0,0,4.0,0.17391304347826086
81,81,81,1-7038,15,8,1-7038,163,21,0,30,28.245891094207764,0.1732876754245875
69,69,69,1-8564,17,7,1-8564,185,16,0,66,31.94096040725708,0.17265384003922746
36,36,36,MLG67,19,5,MLG67,293,33,0,71,50.148608922958374,0.17115566185310024
166,166,166,1-5696,10,13,1-5696,80,6,0,31,13.487420797348022,0.16859275996685028
172,172,172,1-19068,13,11,1-19068,77,4,0,37,12.936599016189575,0.16800777943103345
111,111,111,1-1887,19,5,1-1887,119,11,0,37,19.936599016189575,0.1675344455141981
505,505,505,MLG25,2,17,MLG25,12,2,0,0,2.0,0.16666666666666666
382,382,382,1-3472,22,13,1-3472,28,2,0,11,4.656826734542847,0.16631524051938737
61,61,61,1-8484,21,3,1-8484,202,18,0,64,33.45790100097656,0.1656331732721612
184,184,184,MLG18,3,15,MLG18,72,9,0,12,11.898356437683105,0.16525495052337646
237,237,237,1-18266,20,4,1-18266,55,8,0,4,8.966118812561035,0.16302034204656426
117,117,117,1-3246,2,17,1-3246,116,16,0,12,18.898356437683105,0.16291686584209575
107,107,107,1-0598,21,3,1-0598,122,16,0,16,19.86447525024414,0.16282356762495198
440,440,440,1-20081,20,4,1-20081,20,3,0,1,3.241529703140259,0.16207648515701295
174,174,174,MLG17,8,23,MLG17,76,12,0,1,12.241529703140259,0.1610727592518455
442,442,442,1-9232,1,18,1-9232,20,2,0,5,3.207648515701294,0.1603824257850647
437,437,437,1-11533,8,6,1-11533,20,2,0,5,3.207648515701294,0.1603824257850647
71,71,71,MLG45,22,2,MLG45,179,28,0,2,28.483059406280518,0.15912323690659508
318,318,318,1-7655,4,16,1-7655,38,5,0,4,5.966118812561035,0.15700312664634303
509,509,509,1-0337,4,16,1-0337,11,1,0,3,1.7245891094207764,0.1567808281291615
129,129,129,MLG56,2,17,MLG56,109,17,0,0,17.0,0.1559633027522936
404,404,404,1-6559,1,18,1-6559,24,3,0,3,3.7245891094207764,0.15519121289253235
168,168,168,1-7523,14,9,1-7523,79,4,0,34,12.212009906768799,0.15458240388314934
428,428,428,1-5221,9,16,1-5221,21,3,0,1,3.241529703140259,0.15435855729239328
85,85,85,MLG26,22,2,MLG26,155,21,0,12,23.898356437683105,0.15418294475924585
241,241,241,1-8058,20,4,1-8058,54,8,0,1,8.241529703140259,0.15262092042852332
46,46,46,1-3056,4,16,1-3056,250,25,0,54,38.042603969573975,0.1521704158782959
120,120,120,1-1152,4,16,1-1152,112,10,0,29,17.004361391067505,0.15182465527738845
191,191,191,1-0429,14,9,1-0429,69,3,0,30,10.245891094207764,0.14849117527837338
96,96,96,1-7402,10,13,1-7402,141,12,0,37,20.936599016189575,0.14848651784531613
64,64,64,1-0983,14,9,1-0983,195,8,0,85,28.530024766921997,0.14630781931754872
178,178,178,1-9071,17,7,1-9071,75,3,0,33,10.97048020362854,0.14627306938171386
189,189,189,1-0582,11,12,1-0582,70,8,0,9,10.173767328262329,0.1453395332608904
310,310,310,MLG43,23,1,MLG43,39,2,0,15,5.622945547103882,0.1441780909513816
165,165,165,1-8368,5,20,1-8368,80,10,0,6,11.449178218841553,0.14311472773551942
306,306,306,1-8990,16,24,1-8990,40,5,0,3,5.724589109420776,0.14311472773551942
