Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
224,224,224,224,224,1-8087,16,16,1-8087,58,23,0,13,24.182987578213215,0.4169480616933313
83,83,83,83,83,1-7306,13,13,1-7306,159,56,0,26,58.36597515642643,0.3670816047573989
184,184,184,184,184,MLG18,3,3,MLG18,72,20,0,8,20.727992355823517,0.2878887827197711
187,187,187,187,187,MLG82,16,16,MLG82,71,18,0,23,20.09297802299261,0.28299969046468465
212,212,212,212,212,1-8916,7,7,1-8916,61,16,0,6,16.545994266867638,0.2712458076535678
30,30,30,30,30,1-8718,4,2,1-8718,333,84,0,65,89.91493789106607,0.27001482850169994
364,364,364,364,364,1-5515,17,17,1-5515,30,7,0,1,7.09099904447794,0.23636663481593131
162,162,162,162,162,1-10960,12,12,1-10960,82,16,0,29,18.63897228986025,0.22730454012024692
445,445,445,445,445,1-2028,15,15,1-2028,20,4,0,6,4.545994266867638,0.2272997133433819
382,382,382,382,382,1-3472,22,19,1-3472,28,6,0,2,6.181998088955879,0.22078564603413856
180,180,180,180,180,1-9294,15,15,1-9294,74,14,0,16,15.455984711647034,0.20886465826550046
156,156,156,156,156,MLG83,22,21,MLG83,88,17,0,12,18.091988533735275,0.2055907787924463
219,219,219,219,219,1-8702,4,2,1-8702,59,10,0,21,11.910979934036732,0.20188101583113105
120,120,120,120,120,1-1152,4,2,1-1152,112,20,0,17,21.546983756124973,0.1923837835368301
58,58,58,58,58,MLG53,16,16,MLG53,216,37,0,48,41.3679541349411,0.19151830618028287
149,149,149,149,149,MLG29,22,21,MLG29,93,17,0,4,17.36399617791176,0.18670963632163182
167,167,167,167,167,MLG32,22,21,MLG32,79,14,0,6,14.545994266867638,0.18412650970718528
164,164,164,164,164,1-9454,13,13,1-9454,80,14,0,6,14.545994266867638,0.18182492833584546
46,46,46,46,46,1-3056,4,2,1-3056,250,40,0,49,44.45895317941904,0.17783581271767615
55,55,55,55,55,MLG13,8,9,MLG13,225,31,0,99,40.00890540331602,0.1778173573480712
316,316,316,316,316,1-3216,1,4,1-3216,38,6,0,8,6.727992355823517,0.17705243041640834
112,112,112,112,112,1-1166,1,4,1-1166,118,18,0,25,20.27497611194849,0.1718218314571906
86,86,86,86,86,MLG65,3,3,MLG65,155,21,0,57,26.186945535242558,0.1689480357112423
76,76,76,76,76,1-7518,12,12,1-7518,169,25,0,38,28.457963690161705,0.1683903176932645
44,44,44,44,44,1-8371,2,5,1-8371,255,41,0,18,42.63798280060291,0.16720777568863887
117,117,117,117,117,1-3246,2,5,1-3246,116,18,0,15,19.364985667169094,0.16693953161352668
138,138,138,138,138,1-7993,17,17,1-7993,100,16,0,5,16.454995222389698,0.16454995222389698
14,14,14,14,14,1-3037,3,3,1-3037,467,68,0,88,76.00791591405869,0.16275784992303788
381,381,381,381,381,1-6554,3,3,1-6554,28,4,0,6,4.545994266867638,0.16235693810241564
114,114,114,114,114,1-6166,12,12,1-6166,117,13,0,62,18.641940757632256,0.1593328269883099
238,238,238,238,238,MLG20,7,7,MLG20,55,8,0,8,8.727992355823517,0.15869077010588212
71,71,71,71,71,MLG45,22,21,MLG45,179,28,0,2,28.18199808895588,0.15744133010589878
393,393,393,393,393,1-8766,20,19,1-8766,26,4,0,1,4.09099904447794,0.15734611709530538
428,428,428,428,428,1-5221,9,6,1-5221,21,3,0,3,3.272997133433819,0.15585700635399138
18,18,18,18,18,1-5635,18,18,1-5635,417,50,0,164,64.9238432943821,0.15569266977070048
237,237,237,237,237,1-18266,20,19,1-18266,55,6,0,27,8.45697420090437,0.15376316728917036
372,372,372,372,372,1-3300,23,22,1-3300,29,4,0,5,4.454995222389698,0.1536205249099896
47,47,47,47,47,1-1035,11,11,1-1035,249,33,0,54,37.91394840180874,0.1522648530193122
229,229,229,229,229,1-8986,20,19,1-8986,57,8,0,7,8.636993311345577,0.15152619844465925
412,412,412,412,412,1-7770,6,8,1-7770,23,3,0,5,3.454995222389698,0.1502171835821608
35,35,35,35,35,1-7901,9,6,1-7901,298,40,0,51,44.64095126837492,0.14980184989387557
460,460,460,460,460,1-7083,1,4,1-7083,17,2,0,6,2.5459942668676376,0.1497643686392728
243,243,243,243,243,1-9542,9,6,1-9542,54,7,0,11,8.000989489257336,0.148166472023284
