Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
32,32,32,32,32,1-3152,17,3,1-3152,323,24,0,217,223.68893373012543,0.69253539854528
219,219,219,219,219,1-8702,4,9,1-8702,59,14,0,22,34.24496102333069,0.5804230681920456
54,54,54,54,54,MLG66,1,7,MLG66,229,27,0,115,132.82593262195587,0.5800259066460955
2,2,2,2,2,MLG03,20,5,MLG03,713,78,0,357,406.52050387859344,0.5701549844019543
237,237,237,237,237,1-18266,20,9,1-18266,55,22,0,9,30.282029509544373,0.5505823547189886
100,100,100,100,100,1-0541,17,3,1-0541,132,16,0,61,72.13375556468964,0.5464678451870427
184,184,184,184,184,MLG18,3,6,MLG18,72,24,0,16,38.72360801696777,0.5378278891245524
23,23,23,23,23,1-8567,17,3,1-8567,388,65,0,146,199.35292315483093,0.5137961936980179
24,24,24,24,24,MLG62,8,12,MLG62,370,39,0,157,183.47540366649628,0.49587946936890887
364,364,364,364,364,1-5515,17,2,1-5515,30,10,0,5,14.60112750530243,0.4867042501767476
539,539,539,539,539,P1-17272,15,2,P1-17272,6,2,0,1,2.920225501060486,0.4867042501767476
46,46,46,46,46,1-3056,4,9,1-3056,250,51,0,75,120.01691257953644,0.48006765031814574
69,69,69,69,69,1-8564,17,3,1-8564,185,17,0,76,86.93713808059692,0.4699304761113347
53,53,53,53,53,1-6727,17,3,1-6727,235,34,0,81,108.53826558589935,0.46186495993999727
30,30,30,30,30,1-8718,4,9,1-8718,333,84,0,73,151.17646157741547,0.45398336810034673
212,212,212,212,212,1-8916,7,13,1-8916,61,12,0,17,27.64383351802826,0.453177598656201
207,207,207,207,207,1-7488,5,10,1-7488,65,8,0,23,29.165186524391174,0.44869517729832575
343,343,343,343,343,1-11132,16,10,1-11132,34,13,0,2,14.840451002120972,0.43648385300355796
178,178,178,178,178,1-9071,17,3,1-9071,75,3,0,32,32.44721603393555,0.43262954711914064
166,166,166,166,166,1-5696,10,16,1-5696,80,29,0,6,34.521353006362915,0.43151691257953645
86,86,86,86,86,MLG65,3,6,MLG65,155,43,0,25,66.00563752651215,0.4258428227516913
3,3,3,3,3,MLG06,18,4,MLG06,634,67,0,220,269.4496102333069,0.4249993852260361
377,377,377,377,377,1-10305,19,22,1-10305,28,5,0,7,11.4415785074234,0.40862780383655
27,27,27,27,27,1-7425,5,10,1-7425,352,43,0,107,141.46412861347198,0.4018867290155454
