Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,1-3037,18,9,1-3037,467,69,3,57,3070.449925309047,6.574839240490465
364,364,MLG02,18,9,MLG02,755,73,3,58,3074.4753625951707,4.072152798139299
353,353,1-8681,11,7,1-8681,260,52,1,101,1054.569165898487,4.056035253455719
158,158,MLG12,11,7,MLG12,569,46,1,64,1047.6279863119125,1.8411739653987917
359,359,1-6166,4,14,1-6166,117,63,0,20,63.50874572247267,0.5428097924997664
316,316,1-4776,5,8,1-4776,33,14,0,5,14.127186430618167,0.4280965585035808
28,28,1-7081,20,11,1-7081,99,42,0,7,42.178061002865434,0.42604102023096396
358,358,MLG18,20,11,MLG18,72,30,0,8,30.203498288989067,0.4194930317915148
372,372,1-6511,8,4,1-6511,144,54,0,9,54.2289355751127,0.3765898303827271
239,239,1-1136,4,14,1-1136,113,40,0,35,40.89030501432717,0.3618611063214794
499,499,1-3135,13,3,1-3135,101,36,0,16,36.406996577978134,0.3604653126532488
204,204,1-3509,14,2,1-3509,150,53,0,7,53.178061002865434,0.35452040668576956
61,61,1-7306,8,4,1-7306,159,55,0,30,55.763118583709,0.35071143763338997
175,175,1-8177,16,15,1-8177,53,18,0,11,18.279810147359967,0.34490207825207486
398,398,MLG65,20,11,MLG65,155,50,0,35,50.89030501432717,0.32832454847953013
344,344,1-9294,14,2,1-9294,74,24,0,10,24.254372861236334,0.32776179542211265
83,83,1-1152,3,6,1-1152,112,36,0,20,36.50874572247267,0.3259709439506488
377,377,1-7901,14,2,1-7901,298,96,0,12,96.3052474334836,0.32317197125330066
131,131,MLG13,8,4,MLG13,225,72,0,25,72.63593215309083,0.32282636512484814
321,321,MLG30,3,11,MLG30,66,21,0,8,21.203498288989067,0.32126512559074344
449,449,1-10960,4,14,1-10960,82,25,0,22,25.559620294719934,0.3117026865209748
142,142,MLG17,14,2,MLG17,76,23,0,3,23.0763118583709,0.3036356823469855
93,93,1-0677,16,15,1-0677,187,55,0,44,56.11924058943987,0.3001028908526196
355,355,1-8666,14,2,1-8666,89,25,0,7,25.178061002865434,0.2828995618299487
537,537,1-9499,4,14,1-9499,36,10,0,7,10.178061002865434,0.28272391674626207
399,399,1-8087,3,6,1-8087,58,16,0,11,16.279810147359967,0.2806863818510339
268,268,1-7899,13,3,1-7899,40,11,0,8,11.203498288989067,0.28008745722472667
416,416,1-3246,10,16,1-3246,116,32,0,18,32.4578711502254,0.27980923405366726
361,361,1-0691,16,15,1-0691,450,121,0,182,125.62958607450128,0.2791768579433362
506,506,1-3302,12,13,1-3302,52,14,0,16,14.406996577978134,0.2770576264995795
129,129,1-7579,20,11,1-7579,40,11,0,0,11.0,0.275
334,334,1-3693,16,15,1-3693,143,38,0,50,39.27186430618167,0.2746284217215501
