Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,1-3037,18,9,1-3037,467,66,3,66,3086.4397071003914,6.609078601928033
364,364,MLG02,18,9,MLG02,755,68,3,249,3145.113440424204,4.165713166124774
353,353,1-8681,11,4,1-8681,260,25,1,85,1051.3238652050495,4.043553327711729
158,158,MLG12,11,4,MLG12,569,27,1,186,1084.6028109192848,1.9061560824592
359,359,1-6166,4,15,1-6166,117,43,0,38,54.768316209316254,0.46810526674629277
142,142,MLG17,14,11,MLG17,76,28,0,19,33.88415810465813,0.4458441855876069
358,358,MLG18,20,9,MLG18,72,27,0,16,31.95508050918579,0.4438205626275804
467,467,MLG82,19,7,MLG82,71,24,0,11,27.40661785006523,0.3860087021135948
293,293,MLG20,19,7,MLG20,55,17,0,12,20.716310381889343,0.37666018876162444
413,413,1-1763,10,7,1-1763,35,9,0,11,12.406617850065231,0.3544747957161495
28,28,1-7081,20,12,1-7081,99,32,0,9,34.78723278641701,0.351386189761788
416,416,1-3246,10,18,1-3246,116,40,0,0,40.0,0.3448275862068966
183,183,1-18927,17,13,1-18927,30,5,0,17,10.264773041009903,0.3421591013669968
83,83,1-1152,3,3,1-1152,112,25,0,42,38.0070863366127,0.3393489851483277
399,399,1-8087,3,3,1-8087,58,12,0,23,19.122928231954575,0.3297056591716306
391,391,1-8165,14,11,1-8165,420,58,0,253,136.35221055150032,0.32464812036071505
453,453,MLG45,7,13,MLG45,179,36,0,71,57.98816975951195,0.32395625563973157
445,445,MLG61,17,2,MLG61,218,26,0,144,70.59572458267212,0.3238335990030831
340,340,1-0487,19,10,1-0487,18,3,0,9,5.7872327864170074,0.32151293257872265
389,389,1-0598,17,2,1-0598,122,35,0,10,38.09692531824112,0.3122698796577141
430,430,1-8718,5,10,1-8718,333,81,0,71,102.98816975951195,0.3092737830615974
336,336,1-8678,17,7,1-8678,74,21,0,4,22.238770127296448,0.3005239206391412
61,61,1-7306,8,5,1-7306,159,38,0,28,46.671390891075134,0.29353076032122727
219,219,1-8371,15,8,1-8371,255,56,0,58,73.96216684579849,0.2900477131207784
345,345,1-2364,15,2,1-2364,88,23,0,8,25.477540254592896,0.2895175028931011
148,148,1-2028,10,4,1-2028,20,3,0,9,5.7872327864170074,0.28936163932085035
270,270,1-5655,15,8,1-5655,31,4,0,16,8.955080509185791,0.28887356481244486
317,317,1-3733,8,2,1-3733,16,4,0,2,4.619385063648224,0.288711566478014
372,372,1-6511,8,5,1-6511,144,38,0,8,40.477540254592896,0.281094029545784
455,455,1-10981,5,10,1-10981,34,8,0,5,9.54846265912056,0.28083713703295765
374,374,MLG74,18,9,MLG74,177,37,0,39,49.078008741140366,0.27727688554316593
316,316,1-4776,5,10,1-4776,33,8,0,3,8.929077595472336,0.27057810895370715
321,321,MLG30,3,3,MLG30,66,12,0,17,17.264773041009903,0.26158747031833185
352,352,1-2275,13,19,1-2275,130,10,0,77,33.84632495045662,0.26035634577274325
90,90,MLG83,17,2,MLG83,88,21,0,6,22.85815519094467,0.2597517635334622
246,246,1-9232,13,19,1-9232,20,3,0,7,5.167847722768784,0.2583923861384392
211,211,1-7187,7,13,1-7187,96,9,0,51,24.79431912302971,0.25827415753155947
458,458,1-9063,8,18,1-9063,35,9,0,0,9.0,0.2571428571428571
384,384,1-0584,8,5,1-0584,41,1,0,30,10.290775954723358,0.2509945354810575
499,499,1-3135,13,19,1-3135,101,16,0,30,25.290775954723358,0.25040372232399366
176,176,1-7356,5,10,1-7356,4,1,0,0,1.0,0.25
282,282,1-7711,5,10,1-7711,8,2,0,0,2.0,0.25
91,91,1-9458,10,18,1-9458,20,5,0,0,5.0,0.25
507,507,1-19067,10,18,1-19067,8,2,0,0,2.0,0.25
524,524,1-3734,10,12,1-3734,4,1,0,0,1.0,0.25
398,398,MLG65,20,12,MLG65,155,30,0,28,38.671390891075134,0.24949284445854925
251,251,MLG27,1,23,MLG27,67,12,0,15,16.64538797736168,0.24843862652778625
175,175,1-8177,16,17,1-8177,53,5,0,26,13.05200582742691,0.24626426089484738
147,147,1-7172,7,13,1-7172,284,33,0,119,69.85341128706932,0.24596271579953985
159,159,MLG36,20,12,MLG36,136,25,0,27,33.36169835925102,0.2453066055827281
239,239,1-1136,4,15,1-1136,113,9,0,60,27.581551909446716,0.24408453017209483
535,535,1-9253,5,10,1-9253,30,7,0,1,7.309692531824112,0.2436564177274704
480,480,1-1514,7,13,1-1514,64,9,0,21,15.50354316830635,0.24224286200478673
355,355,1-8666,14,11,1-8666,89,15,0,21,21.50354316830635,0.24161284458771182
191,191,1-9285,5,10,1-9285,30,6,0,4,7.238770127296448,0.24129233757654825
508,508,1-8057,19,7,1-8057,50,7,0,16,11.955080509185791,0.2391016101837158
506,506,1-3302,12,10,1-3302,52,9,0,11,12.406617850065231,0.23858880480894676
344,344,1-9294,14,11,1-9294,74,13,0,15,17.64538797736168,0.23845118888326594
206,206,1-20065,1,23,1-20065,21,5,0,0,5.0,0.23809523809523808
527,527,1-5568,1,23,1-5568,47,9,0,7,11.167847722768784,0.23761378133550604
104,104,1-9040,11,4,1-9040,55,9,0,13,13.026002913713455,0.23683641661297192
257,257,MLG06,10,18,MLG06,634,150,0,0,150.0,0.23659305993690852
490,490,1-6591,5,10,1-6591,79,4,0,47,18.55554899573326,0.23488036703459825
128,128,MLG33,19,7,MLG33,161,24,0,44,37.626471400260925,0.23370479130596847
18,18,1-5635,15,8,1-5635,417,20,0,249,97.11344042420387,0.2328859482594817
518,518,1-3356,17,12,1-3356,28,4,0,8,6.4775402545928955,0.2313407233783177
161,161,1-7656,18,9,1-7656,48,6,0,16,10.955080509185791,0.22823084394137064
130,130,MLG32,3,3,MLG32,79,9,0,29,17.981083422899246,0.22760865092277527
326,326,1-9095,11,23,1-9095,16,3,0,2,3.619385063648224,0.226211566478014
157,157,1-2318,15,8,1-2318,13,2,0,3,2.929077595472336,0.22531366119017968
41,41,MLG24,3,3,MLG24,49,7,0,13,11.026002913713455,0.22502046762680522
102,102,1-6737,14,11,1-6737,32,5,0,7,7.167847722768784,0.2239952413365245
