Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,11,1-3037,467,68,3,76,3100.5069971084595,6.639201278604839
364,364,364,364,MLG02,18,11,MLG02,755,73,3,115,3122.188219308853,4.135348634846163
353,353,353,353,1-8681,11,14,1-8681,260,28,1,72,1058.7961025238037,4.07229270201463
158,158,158,158,MLG12,11,14,MLG12,569,38,1,69,1067.512931585312,1.8761211451411457
359,359,359,359,1-6166,4,7,1-6166,117,63,0,20,71.55447292327881,0.6115766916519556
372,372,372,372,1-6511,8,15,1-6511,144,83,0,5,85.1386182308197,0.5912404043806924
108,108,108,108,1-0917,3,13,1-0917,134,57,0,25,67.69309115409851,0.5051723220455113
175,175,175,175,1-8177,16,6,1-8177,53,21,0,11,25.704960107803345,0.48499924731704425
239,239,239,239,1-1136,4,7,1-1136,113,40,0,34,54.542603969573975,0.4826779112351679
199,199,199,199,1-0529,13,4,1-0529,124,46,0,26,57.12081480026245,0.4606517322601811
47,47,47,47,MLG15,12,8,MLG15,559,140,0,260,251.2081480026245,0.449388457965339
455,455,455,455,1-10981,5,10,1-10981,34,12,0,7,14.994065523147583,0.4410019271513995
26,26,26,26,1-0918,9,16,1-0918,179,69,0,22,78.40992021560669,0.4380442470145625
416,416,416,416,1-3246,10,5,1-3246,116,40,0,24,50.26536750793457,0.4333221336890911
155,155,155,155,1-7462,5,10,1-7462,336,90,0,120,141.32683753967285,0.42061558791569303
449,449,449,449,1-10960,4,7,1-10960,82,25,0,22,34.40992021560669,0.4196331733610572
430,430,430,430,1-8718,5,10,1-8718,333,101,0,89,139.0674045085907,0.4176198333591312
83,83,83,83,1-1152,3,13,1-1152,112,25,0,48,45.53073501586914,0.4065244197845459
248,248,248,248,1-19068,4,7,1-19068,77,16,0,35,30.970327615737915,0.40221204695763524
63,63,63,63,1-5642,10,5,1-5642,166,19,0,108,65.19415378570557,0.3927358661789492
276,276,276,276,1-9548,4,7,1-9548,16,5,0,3,6.283170938491821,0.39269818365573883
526,526,526,526,1-11205,20,3,1-11205,56,16,0,14,21.988131046295166,0.3926451972552708
513,513,513,513,1-7453,12,8,1-7453,24,6,0,8,9.421789169311523,0.3925745487213135
137,137,137,137,1-19257,7,9,1-19257,246,56,0,94,96.2060227394104,0.39108139324963576
429,429,429,429,1-8949,12,8,1-8949,112,21,0,53,43.66935324668884,0.38990493970257895
301,301,301,301,1-6684,17,24,1-6684,145,0,0,132,56.45952129364014,0.38937600892165614
147,147,147,147,1-7172,7,9,1-7172,284,57,0,124,110.03773212432861,0.38745680325467824
517,517,517,517,1-9436,8,15,1-9436,24,8,0,3,9.283170938491821,0.38679878910382587
379,379,379,379,1-5228,4,7,1-5228,180,46,0,53,68.66935324668884,0.38149640692604914
456,456,456,456,1-2006,16,6,1-2006,40,2,0,31,15.259433031082153,0.3814858257770538
401,401,401,401,1-7038,19,22,1-7038,163,4,0,136,62.1704158782959,0.3814135943453736
167,167,167,167,1-9287,20,3,1-9287,21,8,0,0,8.0,0.38095238095238093
233,233,233,233,1-8864,3,13,1-8864,39,11,0,9,14.849512815475464,0.3807567388583452
331,331,331,331,1-9412,11,14,1-9412,15,4,0,4,5.710894584655762,0.38072630564371746
290,290,290,290,1-0447,4,7,1-0447,65,23,0,4,24.71089458465576,0.38016760899470403
46,46,46,46,1-3056,5,10,1-3056,250,63,0,74,94.65154981613159,0.3786061992645264
268,268,268,268,1-7899,13,4,1-7899,40,7,0,19,15.126749277114868,0.3781687319278717
20,20,20,20,1-3141,1,18,1-3141,14,4,0,3,5.283170938491821,0.3773693527494158
460,460,460,460,1-8044,13,4,1-8044,56,16,0,12,21.132683753967285,0.3773693527494158
506,506,506,506,1-3302,12,8,1-3302,52,14,0,13,19.560407400131226,0.3761616807717543
440,440,440,440,1-9197,20,3,1-9197,16,6,0,0,6.0,0.375
358,358,358,358,MLG18,20,3,MLG18,72,18,0,21,26.98219656944275,0.3747527301311493
159,159,159,159,MLG36,20,3,MLG36,136,30,0,49,50.95845866203308,0.37469454898553733
