Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,12,1-3037,467,99,3,59,3153.69726139307,6.753099060798865
364,364,364,364,364,364,MLG02,18,12,MLG02,755,47,3,252,3280.6222012043,4.345194968482517
353,353,353,353,353,353,1-8681,11,8,1-8681,260,33,1,101,1126.6342949271202,4.33320882664277
158,158,158,158,158,158,MLG12,11,8,MLG12,569,29,1,205,1219.049806535244,2.142442542241202
359,359,359,359,359,359,1-6166,4,17,1-6166,117,43,0,45,84.71825021505356,0.7240876086756715
371,371,371,371,371,371,MLG66,7,15,MLG66,229,20,0,153,161.8420507311821,0.7067338459876947
391,391,391,391,391,391,1-8165,14,10,1-8165,420,62,0,244,288.2056233882904,0.6862038652102153
393,393,393,393,393,393,1-2292,2,27,1-2292,252,0,0,179,165.94592863321304,0.6585155898143374
454,454,454,454,454,454,1-6678,10,5,1-6678,213,28,0,118,137.39452278614044,0.6450447079161523
147,147,147,147,147,147,1-7172,7,15,1-7172,284,41,0,153,182.8420507311821,0.6438100377858524
388,388,388,388,388,388,1-8019,21,6,1-8019,320,79,0,136,205.08182287216187,0.6408806964755058
379,379,379,379,379,379,1-5228,4,17,1-5228,180,11,0,109,112.05087274312973,0.622504848572943
262,262,262,262,262,262,1-4394,21,6,1-4394,190,21,0,103,116.48843938112259,0.6130970493743294
257,257,257,257,257,257,MLG06,10,5,MLG06,634,156,0,244,382.2056233882904,0.6028479864168619
199,199,199,199,199,199,1-0529,13,11,1-0529,124,6,0,74,74.60334479808807,0.6016398774039361
137,137,137,137,137,137,1-19257,7,15,1-19257,246,29,0,124,143.95695614814758,0.5851908786510064
380,380,380,380,380,380,MLG64,15,13,MLG64,129,22,0,57,74.84311693906784,0.5801792010780453
385,385,385,385,385,385,MLG70,19,25,MLG70,269,0,0,165,152.96691745519638,0.5686502507628118
175,175,175,175,175,175,1-8177,16,4,1-8177,53,2,0,30,29.812166810035706,0.5624937133969001
404,404,404,404,404,404,1-9291,4,17,1-9291,78,1,0,46,43.64532244205475,0.5595554159237788
541,541,541,541,541,541,1-7301,11,14,1-7301,26,4,0,11,14.197794497013092,0.5460690191158881
398,398,398,398,398,398,MLG65,20,14,MLG65,155,49,0,36,82.37460017204285,0.5314490333680184
270,270,270,270,270,270,1-5655,15,13,1-5655,31,8,0,9,16.34365004301071,0.5272145175164745
470,470,470,470,470,470,1-10043,7,15,1-10043,61,18,0,15,31.906083405017853,0.5230505476232434
358,358,358,358,358,358,MLG18,20,14,MLG18,72,30,0,8,37.41657781600952,0.5196746918890212
157,157,157,157,157,157,1-2318,15,13,1-2318,13,2,0,5,6.635361135005951,0.5104123950004578
562,562,562,562,562,562,1-3142,8,7,1-3142,4,2,0,0,2.0,0.5
294,294,294,294,294,294,1-3051,4,17,1-3051,116,4,0,58,57.77018916606903,0.49801887212128476
168,168,168,168,168,168,1-7636,7,15,1-7636,83,20,0,23,41.322661221027374,0.4978633882051491
341,341,341,341,341,341,1-0983,13,11,1-0983,195,28,0,74,96.60334479808807,0.49540176819532344
248,248,248,248,248,248,1-19068,4,17,1-19068,77,1,0,40,38.08288908004761,0.4945829750655533
131,131,131,131,131,131,MLG13,8,7,MLG13,225,37,0,80,111.16577816009521,0.49407012515597876
345,345,345,345,345,345,1-2364,15,13,1-2364,88,15,0,30,42.812166810035706,0.4865018955685876
414,414,414,414,414,414,1-5140,3,9,1-5140,10,3,0,2,4.85414445400238,0.48541444540023804
458,458,458,458,458,458,1-9063,8,7,1-9063,35,16,0,1,16.92707222700119,0.48363063505717685
176,176,176,176,176,176,1-7356,5,2,1-7356,4,1,0,1,1.9270722270011902,0.48176805675029755
246,246,246,246,246,246,1-9232,13,11,1-9232,20,5,0,5,9.635361135005951,0.48176805675029755
549,549,549,549,549,549,1-10622,18,12,1-10622,4,1,0,1,1.9270722270011902,0.48176805675029755
455,455,455,455,455,455,1-10981,5,2,1-10981,34,7,0,10,16.270722270011902,0.47855065500035004
346,346,346,346,346,346,1-10823,16,4,1-10823,10,2,0,3,4.781216681003571,0.47812166810035706
329,329,329,329,329,329,1-19755,7,15,1-19755,517,73,0,187,246.36250644922256,0.4765232233060398
130,130,130,130,130,130,MLG32,3,9,MLG32,79,15,0,24,37.249733448028564,0.47151561326618435
268,268,268,268,268,268,1-7899,13,11,1-7899,40,14,0,5,18.63536113500595,0.46588402837514875
218,218,218,218,218,218,MLG11,8,7,MLG11,493,7,0,240,229.49733448028564,0.4655118346456098
567,567,567,567,567,567,1-5713,17,23,1-5713,2,0,0,1,0.9270722270011902,0.4635361135005951
12,12,12,12,12,12,1-9133,2,27,1-9133,2,0,0,1,0.9270722270011902,0.4635361135005951
548,548,548,548,548,548,1-3380,21,6,1-3380,2,0,0,1,0.9270722270011902,0.4635361135005951
321,321,321,321,321,321,MLG30,3,9,MLG30,66,11,0,21,30.468516767024994,0.46164419343977264
227,227,227,227,227,227,1-9542,15,13,1-9542,54,9,0,17,24.760227859020233,0.4585227381300043
33,33,33,33,33,33,1-0997,11,8,1-0997,33,4,0,12,15.124866724014282,0.4583292946670995
51,51,51,51,51,51,1-8981,8,7,1-8981,15,5,0,2,6.85414445400238,0.4569429636001587
354,354,354,354,354,354,1-11438,6,19,1-11438,53,0,0,26,24.103877902030945,0.4547901490949235
188,188,188,188,188,188,1-5221,5,2,1-5221,21,3,0,7,9.489505589008331,0.45188121852420626
413,413,413,413,413,413,1-1763,10,5,1-1763,35,13,0,3,15.78121668100357,0.4508919051715306
83,83,83,83,83,83,1-1152,3,9,1-1152,112,31,0,21,50.468516767024994,0.45061175684843746
350,350,350,350,350,350,1-19891,21,6,1-19891,95,14,0,31,42.739239037036896,0.44988672670565155
279,279,279,279,279,279,MLG03,15,13,MLG03,713,76,0,264,320.7470679283142,0.4498556352430774
447,447,447,447,447,447,7W2-0103,16,4,7W2-0103,33,0,0,16,14.833155632019043,0.4494895646066377
316,316,316,316,316,316,1-4776,5,2,1-4776,33,12,0,3,14.78121668100357,0.4479156570001082
477,477,477,477,477,477,1-20081,12,16,1-20081,20,8,0,1,8.92707222700119,0.4463536113500595
513,513,513,513,513,513,1-7453,12,16,1-7453,24,6,0,5,10.635361135005951,0.44314004729191464
444,444,444,444,444,444,1-2083,15,13,1-2083,48,11,0,11,21.197794497013092,0.44162071868777275
239,239,239,239,239,239,1-1136,4,17,1-1136,113,9,0,44,49.79117798805237,0.4406298936995785
394,394,394,394,394,394,1-8808,11,8,1-8808,52,9,0,15,22.906083405017853,0.44050160394265103
221,221,221,221,221,221,1-20138,9,1,1-20138,25,11,0,0,11.0,0.44
484,484,484,484,484,484,MLG35,3,9,MLG35,44,10,0,10,19.270722270011902,0.4379709606820887
489,489,489,489,489,489,1-8058,21,6,1-8058,54,6,0,19,23.614372313022614,0.43730319098190024
