Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,13,1-3037,467,70,3,65,3072.5848412513733,6.579410794970821
364,364,364,364,364,364,MLG02,18,13,MLG02,755,68,3,299,3079.890269756317,4.079324860604394
353,353,353,353,353,353,1-8681,11,10,1-8681,260,28,1,99,1031.936912059784,3.968988123306861
158,158,158,158,158,158,MLG12,11,10,MLG12,569,30,1,77,1033.0620427131653,1.8155747675099565
108,108,108,108,108,108,1-0917,3,11,1-0917,134,60,0,22,60.87486934661865,0.4542900697508855
358,358,358,358,358,358,MLG18,20,13,MLG18,72,27,0,25,27.99416971206665,0.38880791266759235
359,359,359,359,359,359,1-6166,4,19,1-6166,117,43,0,52,45.06787300109863,0.38519549573588574
142,142,142,142,142,142,MLG17,14,15,MLG17,76,28,0,19,28.755568981170654,0.37836274975224543
28,28,28,28,28,28,1-7081,20,16,1-7081,99,37,0,9,37.357901096343994,0.377352536326707
413,413,413,413,413,413,1-1763,10,7,1-1763,35,10,0,3,10.119300365447998,0.2891228675842285
270,270,270,270,270,270,1-5655,15,12,1-5655,31,8,0,10,8.39766788482666,0.2708925124137632
455,455,455,455,455,455,1-10981,5,14,1-10981,34,9,0,5,9.19883394241333,0.270553939482745
389,389,389,389,389,389,1-0598,17,1,1-0598,122,33,0,0,33.0,0.27049180327868855
416,416,416,416,416,416,1-3246,10,7,1-3246,116,31,0,6,31.238600730895996,0.26929828216289653
484,484,484,484,484,484,MLG35,3,11,MLG35,44,11,0,20,11.79533576965332,0.2680758129466664
372,372,372,372,372,372,1-6511,8,9,1-6511,144,38,0,12,38.47720146179199,0.26720278792911106
150,150,150,150,150,150,P1-0004,3,11,P1-0004,60,15,0,5,15.19883394241333,0.25331389904022217
458,458,458,458,458,458,1-9063,8,17,1-9063,35,8,0,21,8.835102558135986,0.2524315016610282
90,90,90,90,90,90,MLG83,17,1,MLG83,88,22,0,0,22.0,0.25
317,317,317,317,317,317,1-3733,8,1,1-3733,16,4,0,0,4.0,0.25
430,430,430,430,430,430,1-8718,5,14,1-8718,333,80,0,70,82.78367519378662,0.24859962520656642
