Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,13,1-3037,467,63,3,133,3068.150082617998,6.5699145238072765
364,364,364,364,364,364,MLG02,18,13,MLG02,755,54,3,237,3063.1772148907185,4.057188364093667
353,353,353,353,353,353,1-8681,11,12,1-8681,260,29,1,46,1030.7812315821648,3.9645431983929416
158,158,158,158,158,158,MLG12,11,12,MLG12,569,38,1,65,1040.5169576704502,1.8286765512661691
142,142,142,142,142,142,MLG17,14,7,MLG17,76,35,0,14,35.542113959789276,0.46765939420775365
108,108,108,108,108,108,1-0917,3,15,1-0917,134,56,0,39,57.510174602270126,0.4291804074796278
358,358,358,358,358,358,MLG18,20,8,MLG18,72,29,0,26,30.006783068180084,0.4167608759469456
355,355,355,355,355,355,1-8666,14,7,1-8666,89,36,0,16,36.619558811187744,0.41145571697963756
316,316,316,316,316,316,1-4776,5,1,1-4776,33,12,0,0,12.0,0.36363636363636365
28,28,28,28,28,28,1-7081,20,8,1-7081,99,32,0,38,33.47145217657089,0.3380954765310191
544,544,544,544,544,544,1-20124,15,10,1-20124,3,1,0,0,1.0,0.3333333333333333
344,344,344,344,344,344,1-9294,14,7,1-9294,74,24,0,14,24.542113959789276,0.33165018864580104
416,416,416,416,416,416,1-3246,10,5,1-3246,116,32,0,7,32.27105697989464,0.27819876706805724
205,205,205,205,205,205,1-7776,14,7,1-7776,26,7,0,1,7.038722425699234,0.2707200932961244
304,304,304,304,304,304,1-10294,17,16,1-10294,30,8,0,3,8.116167277097702,0.2705389092365901
389,389,389,389,389,389,1-0598,17,16,1-0598,122,32,0,14,32.542113959789276,0.2667386390146662
484,484,484,484,484,484,MLG35,3,15,MLG35,44,11,0,18,11.697003662586212,0.2658409923315048
485,485,485,485,485,485,MLG25,14,7,MLG25,12,3,0,4,3.154889702796936,0.262907475233078
505,505,505,505,505,505,1-7936,7,9,1-7936,59,14,0,39,15.510174602270126,0.262884315292714
378,378,378,378,378,378,1-5819,10,5,1-5819,23,6,0,1,6.038722425699234,0.26255314894344495
164,164,164,164,164,164,MLG29,12,10,MLG29,93,24,0,9,24.348501831293106,0.26181184764831295
549,549,549,549,549,549,1-10622,18,13,1-10622,4,1,0,1,1.038722425699234,0.2596806064248085
67,67,67,67,67,67,1-19989,3,15,1-19989,4,1,0,1,1.038722425699234,0.2596806064248085
399,399,399,399,399,399,1-8087,3,15,1-8087,58,14,0,24,14.929338216781616,0.2574023830479589
267,267,267,267,267,267,1-7715,8,11,1-7715,20,5,0,2,5.077444851398468,0.2538722425699234
176,176,176,176,176,176,1-7356,5,1,1-7356,4,1,0,0,1.0,0.25
524,524,524,524,524,524,1-3734,10,1,1-3734,4,1,0,0,1.0,0.25
573,573,573,573,573,573,1-3100,3,15,1-3100,4,1,0,0,1.0,0.25
167,167,167,167,167,167,1-9287,20,10,1-9287,21,5,0,4,5.154889702796936,0.24547093822842553
514,514,514,514,514,514,1-6764,3,15,1-6764,38,8,0,34,9.316562473773956,0.245172696678262
33,33,33,33,33,33,1-0997,11,12,1-0997,33,8,0,2,8.077444851398468,0.24477105610298389
481,481,481,481,481,481,1-19851,18,13,1-19851,25,6,0,3,6.116167277097702,0.24464669108390807
319,319,319,319,319,319,1-20040,18,16,1-20040,22,5,0,7,5.271056979894638,0.2395934990861199
387,387,387,387,387,387,1-3469,21,6,1-3469,40,9,0,14,9.542113959789276,0.2385528489947319
183,183,183,183,183,183,1-18927,17,9,1-18927,30,7,0,4,7.154889702796936,0.23849632342656454
313,313,313,313,313,313,1-3631,18,13,1-3631,13,3,0,2,3.077444851398468,0.2367265270306514
498,498,498,498,498,498,MLG38,10,5,MLG38,26,6,0,3,6.116167277097702,0.23523720296529624
150,150,150,150,150,150,P1-0004,3,15,P1-0004,60,14,0,1,14.038722425699234,0.23397870709498722
345,345,345,345,345,345,1-2364,15,14,1-2364,88,20,0,10,20.38722425699234,0.2316730029203675
409,409,409,409,409,409,1-7297,20,8,1-7297,13,3,0,0,3.0,0.23076923076923078
453,453,453,453,453,453,MLG45,7,9,MLG45,179,37,0,110,41.25946682691574,0.23049981467550693
388,388,388,388,388,388,1-8019,21,6,1-8019,320,71,0,65,73.51695767045021,0.2297404927201569
61,61,61,61,61,61,1-7306,8,11,1-7306,159,35,0,37,36.43272975087166,0.22913666509982175
270,270,270,270,270,270,1-5655,15,14,1-5655,31,7,0,1,7.038722425699234,0.22705556211933012
257,257,257,257,257,257,MLG06,10,5,MLG06,634,138,0,149,143.76964142918587,0.22676599594508812
410,410,410,410,410,410,1-8368,9,2,1-8368,80,17,0,24,17.929338216781616,0.2241167277097702
335,335,335,335,335,335,1-9276,21,6,1-9276,77,17,0,5,17.19361212849617,0.22329366400644377
528,528,528,528,528,528,MLG77,14,7,MLG77,9,2,0,0,2.0,0.2222222222222222
