Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,13,1-3037,467,65,3,68,3131.7063994407654,6.706009420644037
364,364,364,364,364,364,MLG02,18,13,MLG02,755,66,3,300,3360.292938709259,4.450719124118224
353,353,353,353,353,353,1-8681,11,10,1-8681,260,35,1,98,1131.1356933116913,4.3505218973526585
158,158,158,158,158,158,MLG12,11,10,MLG12,569,38,1,53,1089.9917525053024,1.9156269815558917
391,391,391,391,391,391,1-8165,14,15,1-8165,420,58,0,255,308.1489979028702,0.733688090244929
484,484,484,484,484,484,MLG35,3,11,MLG35,44,10,0,21,30.600505709648132,0.6954660388556394
174,174,174,174,174,174,1-6568,13,6,1-6568,394,9,0,254,258.168021440506,0.6552487853819948
359,359,359,359,359,359,1-6166,4,2,1-6166,117,43,0,34,76.35319972038269,0.6525914506015614
394,394,394,394,394,394,1-8808,11,10,1-8808,52,9,0,25,33.52441155910492,0.6447002222904792
83,83,83,83,83,83,1-1152,3,11,1-1152,112,25,0,48,72.08687019348145,0.6436327695846558
320,320,320,320,320,320,1-0541,6,4,1-0541,132,0,0,86,84.36397576332092,0.639121028510007
319,319,319,319,319,319,1-20040,18,13,1-20040,22,9,0,5,13.904882311820984,0.632040105082772
361,361,361,361,361,361,1-0691,16,19,1-0691,450,0,0,285,279.5782917737961,0.6212850928306579
486,486,486,486,486,486,1-6506,9,21,1-6506,70,0,0,44,43.16296434402466,0.6166137763432094
108,108,108,108,108,108,1-0917,3,11,1-0917,134,60,0,23,82.56245863437653,0.6161377510028099
454,454,454,454,454,454,1-6678,10,7,1-6678,213,12,0,118,127.75522255897522,0.5997897772721841
257,257,257,257,257,257,MLG06,10,7,MLG06,634,135,0,244,374.358256816864,0.5904704366196594
453,453,453,453,453,453,MLG45,7,17,MLG45,179,14,0,92,104.2498345375061,0.5824013102653972
433,433,433,433,433,433,MLG55,2,26,MLG55,110,10,0,55,63.95370543003082,0.5813973220911893
229,229,229,229,229,229,1-6569,21,8,1-6569,360,22,0,190,208.3855278491974,0.5788486884699927
142,142,142,142,142,142,MLG17,14,15,MLG17,76,29,0,14,42.733670473098755,0.562285137803931
363,363,363,363,363,363,1-7993,6,4,1-7993,100,0,0,55,53.95370543003082,0.5395370543003082
358,358,358,358,358,358,MLG18,20,16,MLG18,72,27,0,12,38.77171754837036,0.5384960770606995
369,369,369,369,369,369,1-8564,6,4,1-8564,185,0,0,99,97.11666977405548,0.5249549717516513
130,130,130,130,130,130,MLG32,3,11,MLG32,79,12,0,30,41.4292938709259,0.5244214414041254
345,345,345,345,345,345,1-2364,15,12,1-2364,88,19,0,27,45.48636448383331,0.5168905054981058
143,143,143,143,143,143,1-7302,7,17,1-7302,240,9,0,117,123.77424609661102,0.515726025402546
457,457,457,457,457,457,1-9071,6,4,1-9071,75,0,0,39,38.258082032203674,0.5101077604293823
347,347,347,347,347,347,1-7720,16,19,1-7720,102,0,0,53,51.99175250530243,0.5097230637774748
131,131,131,131,131,131,MLG13,8,9,MLG13,225,37,0,79,114.49714052677155,0.5088761801189846
395,395,395,395,395,395,1-18620,21,8,1-18620,60,6,0,25,30.52441155910492,0.5087401926517486
218,218,218,218,218,218,MLG11,8,9,MLG11,493,5,0,250,250.2441155910492,0.5075945549514183
155,155,155,155,155,155,1-7462,5,14,1-7462,336,37,0,136,170.41279888153076,0.5071809490521749
478,478,478,478,478,478,1-8916,11,10,1-8916,61,4,0,27,30.486364483833313,0.4997764669480871
67,67,67,67,67,67,1-19989,3,11,1-19989,4,1,0,1,1.9809764623641968,0.4952441155910492
501,501,501,501,501,501,MLG56,17,28,MLG56,109,0,0,55,53.95370543003082,0.49498812321129193
455,455,455,455,455,455,1-10981,5,14,1-10981,34,8,0,9,16.82878816127777,0.4949643576846403
572,572,572,572,572,572,1-9584,4,2,1-9584,8,1,0,3,3.9429293870925903,0.4928661733865738
318,318,318,318,318,318,1-3496,13,6,1-3496,192,13,0,83,94.42104637622833,0.49177628320952255
308,308,308,308,308,308,1-1025,13,6,1-1025,48,1,0,23,23.562458634376526,0.49088455488284427
197,197,197,197,197,197,1-20780,2,26,1-20780,12,0,0,6,5.885858774185181,0.4904882311820984
138,138,138,138,138,138,1-2829,19,23,1-2829,52,0,0,26,25.505388021469116,0.4904882311820984
41,41,41,41,41,41,MLG24,3,11,MLG24,49,10,0,14,23.733670473098755,0.4843606218999746
233,233,233,233,233,233,1-8864,3,11,1-8864,39,10,0,9,18.82878816127777,0.48278944003276336
163,163,163,163,163,163,1-1633,9,21,1-1633,399,0,0,196,192.27138662338257,0.48188317449469315
203,203,203,203,203,203,1-19884,14,15,1-19884,60,11,0,18,28.657576322555542,0.4776262720425924
412,412,412,412,412,412,1-7403,21,8,1-7403,58,8,0,20,27.619529247283936,0.4761987801255851
388,388,388,388,388,388,1-8019,21,8,1-8019,320,78,0,75,151.57323467731476,0.47366635836660864
51,51,51,51,51,51,1-8981,8,9,1-8981,15,5,0,2,6.9619529247283936,0.4641301949818929
383,383,383,383,383,383,1-0582,16,19,1-0582,70,0,0,33,32.372223258018494,0.46246033225740707
262,262,262,262,262,262,1-4394,21,8,1-4394,190,19,0,69,86.68737590312958,0.4562493468585767
460,460,460,460,460,460,1-8044,13,6,1-8044,56,1,0,25,25.52441155910492,0.45579306355544497
384,384,384,384,384,384,1-0584,8,9,1-0584,41,1,0,18,18.657576322555542,0.455062837135501
161,161,161,161,161,161,1-7656,18,13,1-7656,48,5,0,17,21.676599860191345,0.45159583042065304
199,199,199,199,199,199,1-0529,13,6,1-0529,124,4,0,53,55.99175250530243,0.4515463911717938
119,119,119,119,119,119,1-7476,18,13,1-7476,22,5,0,5,9.904882311820984,0.45022192326459015
270,270,270,270,270,270,1-5655,15,12,1-5655,31,7,0,7,13.866835236549377,0.4473172656951412
152,152,152,152,152,152,1-1530,13,6,1-1530,632,44,0,240,279.4343509674072,0.4421429603914671
555,555,555,555,555,555,1-20068,14,11,1-20068,45,13,0,7,19.866835236549377,0.44148522747887503
290,290,290,290,290,290,1-0447,4,19,1-0447,65,0,0,29,28.448317408561707,0.4376664216701801
350,350,350,350,350,350,1-19891,21,8,1-19891,95,14,0,28,41.46734094619751,0.43649832574944747
122,122,122,122,122,122,1-20046,17,28,1-20046,18,0,0,8,7.847811698913574,0.4359895388285319
274,274,274,274,274,274,1-8497,21,8,1-8497,34,4,0,11,14.790741086006165,0.4350217966472401
39,39,39,39,39,39,1-8567,6,4,1-8567,388,0,0,172,168.72795152664185,0.43486585445010784
430,430,430,430,430,430,1-8718,5,14,1-8718,333,76,0,70,144.66835236549377,0.4344394965930744
341,341,341,341,341,341,1-0983,13,6,1-0983,195,8,0,78,84.51616406440735,0.43341622597131974
242,242,242,242,242,242,1-1367,13,6,1-1367,66,3,0,26,28.505388021469116,0.43189981850710785
374,374,374,374,374,374,MLG74,18,13,MLG74,177,37,0,40,76.23905849456787,0.4307291440371066
94,94,94,94,94,94,1-8928,7,17,1-8928,30,6,0,7,12.866835236549377,0.42889450788497924
355,355,355,355,355,355,1-8666,14,15,1-8666,89,15,0,23,37.562458634376526,0.4220500970154666
314,314,314,314,314,314,1-11388,1,25,1-11388,28,1,0,11,11.790741086006165,0.4210978959287916
489,489,489,489,489,489,1-8058,21,8,1-8058,54,6,0,17,22.676599860191345,0.41993703444798786
82,82,82,82,82,82,1-6029,2,26,1-6029,26,5,0,6,10.88585877418518,0.41868687593019926
448,448,448,448,448,448,1-6249,7,17,1-6249,64,3,0,24,26.543435096740723,0.4147411733865738
497,497,497,497,497,497,1-3216,7,17,1-3216,38,3,0,13,15.752694010734558,0.41454457922985677
104,104,104,104,104,104,1-9040,11,10,1-9040,55,12,0,11,22.790741086006165,0.41437711065465754
482,482,482,482,482,482,1-11534,8,9,1-11534,12,3,0,2,4.9619529247283936,0.41349607706069946
423,423,423,423,423,423,1-5696,8,9,1-5696,80,29,0,4,32.92390584945679,0.41154882311820984
437,437,437,437,437,437,1-19093,6,4,1-19093,36,0,0,15,14.714646935462952,0.40874019265174866
438,438,438,438,438,438,1-9100,16,19,1-9100,142,0,0,59,57.87761127948761,0.40758881182737755
