Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,8,1-3037,467,63,3,131,3135.6828022003174,6.714524201713742
364,364,364,364,364,364,MLG02,18,8,MLG02,755,50,3,236,3180.940010070801,4.213165576252717
353,353,353,353,353,353,1-8681,11,9,1-8681,260,29,1,100,1084.483055114746,4.171088673518255
158,158,158,158,158,158,MLG12,11,9,MLG12,569,40,1,53,1069.4060192108154,1.8794481884197107
108,108,108,108,108,108,1-0917,3,6,1-0917,134,56,0,40,78.19322204589844,0.5835315078052122
257,257,257,257,257,257,MLG06,10,12,MLG06,634,134,0,394,352.6032371520996,0.5561565254764979
359,359,359,359,359,359,1-6166,4,18,1-6166,117,43,0,38,64.08356094360352,0.5477227431077224
454,454,454,454,454,454,1-6678,10,12,1-6678,213,12,0,173,107.98568534851074,0.5069750485845574
484,484,484,484,484,484,MLG35,3,6,MLG35,44,12,0,18,21.986949920654297,0.49970340728759766
501,501,501,501,501,501,MLG56,17,5,MLG56,109,17,0,65,53.06398582458496,0.48682555802371524
486,486,486,486,486,486,1-6506,9,2,1-6506,70,4,0,53,33.40601921081543,0.47722884586879183
358,358,358,358,358,358,MLG18,20,15,MLG18,72,27,0,10,32.54830551147461,0.4520597987704807
453,453,453,453,453,453,MLG45,7,16,MLG45,179,37,0,71,76.39296913146973,0.42677636386295936
332,332,332,332,332,332,1-6501,6,4,1-6501,107,12,0,60,45.289833068847656,0.4232694679331557
394,394,394,394,394,394,1-8808,11,9,1-8808,52,7,0,26,21.425594329833984,0.4120306601891151
393,393,393,393,393,393,1-2292,2,27,1-2292,252,0,0,185,102.64365196228027,0.4073160792153979
28,28,28,28,28,28,1-7081,20,15,1-7081,99,30,0,16,38.877288818359375,0.3926998870541351
211,211,211,211,211,211,1-7187,7,16,1-7187,96,12,0,46,37.5222053527832,0.3908563057581584
83,83,83,83,83,83,1-1152,3,6,1-1152,112,13,0,55,43.51568031311035,0.3885328599384853
131,131,131,131,131,131,MLG13,8,10,MLG13,225,37,0,90,86.93474960327148,0.3863766649034288
428,428,428,428,428,428,1-7733,11,9,1-7733,76,7,0,39,28.638391494750977,0.37682094072040756
499,499,499,499,499,499,1-3135,13,13,1-3135,101,34,0,7,37.88381385803223,0.37508726592111113
239,239,239,239,239,239,1-1136,4,18,1-1136,113,9,0,60,42.289833068847656,0.3742463103437846
295,295,295,295,295,295,1-7522,15,7,1-7522,67,3,0,39,24.638391494750977,0.36773718648882053
316,316,316,316,316,316,1-4776,5,1,1-4776,33,12,0,0,12.0,0.36363636363636365
320,320,320,320,320,320,1-0541,6,4,1-0541,132,8,0,72,47.94779968261719,0.36324090668649384
147,147,147,147,147,147,1-7172,7,16,1-7172,284,38,0,116,102.36034393310547,0.3604237462433291
137,137,137,137,137,137,1-19257,7,16,1-19257,246,28,0,109,88.47653007507324,0.35966069136208634
410,410,410,410,410,410,1-8368,9,2,1-8368,80,17,0,21,28.65144157409668,0.3581430196762085
229,229,229,229,229,229,1-6569,21,11,1-6569,360,22,0,192,128.5274658203125,0.35702073838975695
388,388,388,388,388,388,1-8019,21,11,1-8019,320,73,0,74,114.05746078491211,0.35642956495285033
480,480,480,480,480,480,1-1514,7,16,1-1514,64,10,0,23,22.7611026763916,0.3556422293186188
472,472,472,472,472,472,MLG52,15,7,MLG52,112,2,0,68,39.728477478027344,0.35471854891095844
218,218,218,218,218,218,MLG11,8,10,MLG11,493,5,0,304,173.66848754882812,0.35226873742155806
142,142,142,142,142,142,MLG17,14,14,MLG17,76,19,0,14,26.767627716064453,0.35220562784295334
537,537,537,537,537,537,1-9499,4,18,1-9499,36,6,0,12,12.657966613769531,0.3516101837158203
398,398,398,398,398,398,MLG65,20,15,MLG65,155,30,0,44,54.41254425048828,0.35104867258379535
512,512,512,512,512,512,1-9121,18,8,1-9121,22,6,0,3,7.664491653442383,0.34838598424738104
396,396,396,396,396,396,1-11132,18,8,1-11132,34,9,0,5,11.774152755737305,0.3462986104628619
130,130,130,130,130,130,MLG32,3,6,MLG32,79,10,0,31,27.19974708557129,0.3443005960198897
68,68,68,68,68,68,1-6533,6,4,1-6533,21,0,0,13,7.212797164916992,0.3434665316627139
519,519,519,519,519,519,1-10800,6,4,1-10800,55,15,0,7,18.883813858032227,0.34334207014604046
