Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,16,1-3037,467,69,3,64,3086.426010131836,6.609049272230912
364,364,364,364,364,364,MLG02,18,16,MLG02,755,72,3,133,3108.2134273052216,4.116838976563208
353,353,353,353,353,353,1-8681,11,11,1-8681,260,33,1,64,1050.426010131836,4.0401000389686
158,158,158,158,158,158,MLG12,11,11,MLG12,569,7,1,227,1068.8078796863556,1.8783969766016795
359,359,359,359,359,359,1-6166,4,4,1-6166,117,43,0,52,57.1586332321167,0.4885353267702282
316,316,316,316,316,316,1-4776,5,17,1-4776,33,14,0,5,15.361407041549683,0.4654971830772631
358,358,358,358,358,358,MLG18,20,7,MLG18,72,28,0,10,30.722814083099365,0.4267057511541579
467,467,467,467,467,467,MLG82,19,20,MLG82,71,28,0,6,29.63368844985962,0.4173758936599946
484,484,484,484,484,484,MLG35,3,14,MLG35,44,12,0,20,17.44562816619873,0.3964915492317893
319,319,319,319,319,319,1-20040,18,13,1-20040,22,6,0,9,8.450532674789429,0.38411512158133765
246,246,246,246,246,246,1-9232,13,9,1-9232,20,7,0,2,7.544562816619873,0.37722814083099365
28,28,28,28,28,28,1-7081,20,7,1-7081,99,30,0,16,34.356502532958984,0.34703537912079785
13,13,13,13,13,13,1-7622,10,18,1-7622,45,15,0,2,15.544562816619873,0.3454347292582194
445,445,445,445,445,445,MLG61,17,13,MLG61,218,28,0,163,72.38186955451965,0.33202692456201677
46,46,46,46,46,46,1-3056,5,17,1-3056,250,33,0,175,80.64924645423889,0.32259698581695556
293,293,293,293,293,293,MLG20,19,20,MLG20,55,16,0,6,17.63368844985962,0.32061251727017487
494,494,494,494,494,494,MLG37,1,1,MLG37,50,16,0,0,16.0,0.32
485,485,485,485,485,485,MLG25,14,8,MLG25,12,3,0,3,3.8168442249298096,0.31807035207748413
564,564,564,564,564,564,1-5303,11,11,1-5303,4,1,0,1,1.2722814083099365,0.31807035207748413
67,67,67,67,67,67,1-19989,3,14,1-19989,4,1,0,1,1.2722814083099365,0.31807035207748413
426,426,426,426,426,426,1-7332,7,6,1-7332,53,7,0,36,16.802130699157715,0.317021333946372
268,268,268,268,268,268,1-7899,13,9,1-7899,40,11,0,6,12.63368844985962,0.3158422112464905
367,367,367,367,367,367,1-5154,1,1,1-5154,19,6,0,0,6.0,0.3157894736842105
453,453,453,453,453,453,MLG45,7,6,MLG45,179,37,0,71,56.33197999000549,0.31470379882684635
142,142,142,142,142,142,MLG17,14,8,MLG17,76,20,0,12,23.26737689971924,0.3061496960489373
236,236,236,236,236,236,1-9245,1,1,1-9245,23,7,0,0,7.0,0.30434782608695654
506,506,506,506,506,506,1-3302,12,5,1-3302,52,15,0,3,15.81684422492981,0.3041700812486502
499,499,499,499,499,499,1-3135,13,9,1-3135,101,21,0,35,30.52984929084778,0.3022757355529483
388,388,388,388,388,388,1-8019,21,19,1-8019,320,67,0,108,96.40639209747314,0.3012699753046036
326,326,326,326,326,326,1-9095,11,11,1-9095,16,4,0,3,4.81684422492981,0.3010527640581131
384,384,384,384,384,384,1-0584,8,12,1-0584,41,6,0,23,12.26247239112854,0.2990846924665498
204,204,204,204,204,204,1-3509,14,8,1-3509,150,41,0,14,44.81193971633911,0.2987462647755941
6,6,6,6,6,6,MLG58,3,14,MLG58,66,18,0,6,19.63368844985962,0.297480128028176
129,129,129,129,129,129,1-7579,20,7,1-7579,40,11,0,3,11.81684422492981,0.29542110562324525
482,482,482,482,482,482,1-11534,8,12,1-11534,12,3,0,2,3.544562816619873,0.29538023471832275
183,183,183,183,183,183,1-18927,17,13,1-18927,30,6,0,10,8.722814083099365,0.2907604694366455
345,345,345,345,345,345,1-2364,15,15,1-2364,88,20,0,20,25.44562816619873,0.2891548655249856
270,270,270,270,270,270,1-5655,15,15,1-5655,31,7,0,7,8.905969858169556,0.287289350263534
115,115,115,115,115,115,1-3254,2,10,1-3254,68,17,0,9,19.45053267478943,0.2860372452174916
277,277,277,277,277,277,P1-6891,2,10,P1-6891,7,2,0,0,2.0,0.2857142857142857
344,344,344,344,344,344,1-9294,14,8,1-9294,74,17,0,15,21.084221124649048,0.284921907089852
331,331,331,331,331,331,1-9412,11,11,1-9412,15,4,0,1,4.2722814083099365,0.28481876055399574
399,399,399,399,399,399,1-8087,3,14,1-8087,58,14,0,9,16.45053267478943,0.28362987370326603
460,460,460,460,460,460,1-8044,13,9,1-8044,56,9,0,25,15.807035207748413,0.28226848585265024
496,496,496,496,496,496,1-18973,1,1,1-18973,39,11,0,0,11.0,0.28205128205128205
534,534,534,534,534,534,MLG48,7,6,MLG48,116,6,0,98,32.68357801437378,0.2817549828825326
423,423,423,423,423,423,1-5696,8,12,1-5696,80,22,0,1,22.272281408309937,0.2784035176038742
335,335,335,335,335,335,1-9276,21,19,1-9276,77,17,0,16,21.356502532958984,0.27735717575271407
398,398,398,398,398,398,MLG65,20,7,MLG65,155,30,0,47,42.79722619056702,0.2761111367133356
38,38,38,38,38,38,1-10018,8,12,1-10018,40,11,0,0,11.0,0.275
128,128,128,128,128,128,MLG33,19,20,MLG33,161,40,0,15,44.08422112464905,0.2738150380412984
491,491,491,491,491,491,MLG51,10,18,MLG51,99,24,0,11,26.9950954914093,0.2726777322364576
245,245,245,245,245,245,1-10305,2,10,1-10305,28,7,0,2,7.544562816619873,0.26944867202213835
377,377,377,377,377,377,1-7901,14,8,1-7901,298,67,0,47,79.79722619056702,0.26777592681398327
58,58,58,58,58,58,1-7723,13,9,1-7723,46,11,0,4,12.089125633239746,0.2628070789834727
155,155,155,155,155,155,1-7462,5,17,1-7462,336,38,0,183,87.82749772071838,0.2613913622640428
211,211,211,211,211,211,1-7187,7,6,1-7187,96,12,0,48,25.069507598876953,0.26114070415496826
430,430,430,430,430,430,1-8718,5,17,1-8718,333,58,0,106,86.86182928085327,0.2608463341767365
480,480,480,480,480,480,1-1514,7,6,1-1514,64,10,0,24,16.534753799438477,0.2583555281162262
153,153,153,153,153,153,MLG43,1,1,MLG43,39,10,0,0,10.0,0.2564102564102564
283,283,283,283,283,283,1-1636,3,14,1-1636,22,4,0,6,5.633688449859619,0.2560767477208918
147,147,147,147,147,147,1-7172,7,6,1-7172,284,40,0,118,72.12920618057251,0.2539760781006074
409,409,409,409,409,409,1-7297,20,7,1-7297,13,3,0,1,3.2722814083099365,0.25171395448537975
360,360,360,360,360,360,MLG67,17,13,MLG67,293,68,0,21,73.71790957450867,0.25159696100514906
436,436,436,436,436,436,1-8702,5,17,1-8702,59,11,0,14,14.811939716339111,0.2510498257006629
573,573,573,573,573,573,1-3100,3,14,1-3100,4,1,0,0,1.0,0.25
145,145,145,145,145,145,1-18635,9,21,1-18635,44,5,0,22,10.990190982818604,0.2497770677913319
486,486,486,486,486,486,1-6506,9,21,1-6506,70,7,0,38,17.346693515777588,0.24780990736825126
483,483,483,483,483,483,MLG47,14,8,MLG47,106,0,0,96,26.139015197753906,0.24659448299767836
167,167,167,167,167,167,1-9287,20,19,1-9287,21,3,0,8,5.178251266479492,0.2465833936418806
257,257,257,257,257,257,MLG06,10,18,MLG06,634,133,0,78,154.23794984817505,0.24327752341983447
163,163,163,163,163,163,1-1633,9,21,1-1633,399,11,0,315,96.76864361763,0.2425279288662406
150,150,150,150,150,150,P1-0004,3,14,P1-0004,60,14,0,2,14.544562816619873,0.24240938027699788
61,61,61,61,61,61,1-7306,8,12,1-7306,159,32,0,24,38.53475379943848,0.2423569421348332
166,166,166,166,166,166,1-9454,18,16,1-9454,80,18,0,5,19.361407041549683,0.24201758801937104
83,83,83,83,83,83,1-1152,3,14,1-1152,112,14,0,48,27.069507598876953,0.24169203213282994
473,473,473,473,473,473,1-3174,9,21,1-3174,117,4,0,89,28.23304533958435,0.24130807982550728
137,137,137,137,137,137,1-19257,7,6,1-19257,246,28,0,115,59.3123619556427,0.24110716242131178
148,148,148,148,148,148,1-2028,10,18,1-2028,20,4,0,3,4.81684422492981,0.24084221124649047
169,169,169,169,169,169,1-1466,21,19,1-1466,73,8,0,35,17.52984929084778,0.2401349217924353
266,266,266,266,266,266,1-6554,2,13,1-6554,28,1,0,21,6.717909574508667,0.23992534194673812
551,551,551,551,551,551,1-18869,18,16,1-18869,22,5,0,1,5.2722814083099365,0.23964915492317893
119,119,119,119,119,119,1-7476,18,16,1-7476,22,5,0,1,5.2722814083099365,0.23964915492317893
459,459,459,459,459,459,1-8284,3,14,1-8284,48,9,0,9,11.450532674789429,0.2385527640581131
227,227,227,227,227,227,1-9542,15,15,1-9542,54,6,0,25,12.807035207748413,0.23716731866200766
336,336,336,336,336,336,1-8678,17,13,1-8678,74,11,0,24,17.534753799438477,0.23695613242484428
94,94,94,94,94,94,1-8928,7,6,1-8928,30,6,0,4,7.089125633239746,0.2363041877746582
431,431,431,431,431,431,1-9115,5,17,1-9115,22,3,0,8,5.178251266479492,0.23537505756724963
374,374,374,374,374,374,MLG74,18,16,MLG74,177,37,0,16,41.356502532958984,0.23365255668338408
493,493,493,493,493,493,1-3162,17,13,1-3162,35,7,0,4,8.089125633239746,0.23111787523542132
539,539,539,539,539,539,1-6559,19,20,1-6559,24,5,0,2,5.544562816619873,0.23102345069249472
73,73,73,73,73,73,1-9318,19,20,1-9318,13,3,0,0,3.0,0.23076923076923078
390,390,390,390,390,390,1-1005,13,9,1-1005,122,27,0,4,28.089125633239746,0.23023873469868644
130,130,130,130,130,130,MLG32,3,14,MLG32,79,10,0,30,18.168442249298096,0.22998028163668477
159,159,159,159,159,159,MLG36,20,7,MLG36,136,23,0,30,31.168442249298096,0.22917972242130952
132,132,132,132,132,132,1-0454,12,5,1-0454,43,9,0,3,9.81684422492981,0.2282987029053444
415,415,415,415,415,415,1-7872,11,11,1-7872,124,22,0,23,28.26247239112854,0.227923164444585
379,379,379,379,379,379,1-5228,4,4,1-5228,180,11,0,109,40.67867350578308,0.2259926305876838
96,96,96,96,96,96,1-10725,10,18,1-10725,27,5,0,4,6.089125633239746,0.2255231716014721
514,514,514,514,514,514,1-6764,3,14,1-6764,38,8,0,2,8.544562816619873,0.22485691622683876
195,195,195,195,195,195,1-3079,3,14,1-3079,34,0,0,28,7.623879432678223,0.22423174801994772
219,219,219,219,219,219,1-8371,15,15,1-8371,255,46,0,40,56.89125633239746,0.2231029660094018
104,104,104,104,104,104,1-9040,11,11,1-9040,55,9,0,12,12.267376899719238,0.2230432163585316
340,340,340,340,340,340,1-0487,19,20,1-0487,18,4,0,0,4.0,0.2222222222222222
108,108,108,108,108,108,1-0917,3,10,1-0917,134,27,0,10,29.722814083099365,0.22181204539626392
63,63,63,63,63,63,1-5642,10,18,1-5642,166,33,0,14,36.81193971633911,0.22175867298999466
15,15,15,15,15,15,1-5537,2,10,1-5537,32,6,0,4,7.089125633239746,0.22153517603874207
394,394,394,394,394,394,1-8808,11,11,1-8808,52,9,0,9,11.450532674789429,0.22020255143825823
330,330,330,330,330,330,MLG28,2,16,MLG28,22,4,0,3,4.81684422492981,0.2189474647695368
329,329,329,329,329,329,1-19755,7,6,1-19755,517,64,0,179,112.73837208747864,0.21806261525624496
444,444,444,444,444,444,1-2083,15,15,1-2083,48,8,0,9,10.450532674789429,0.21771943072477976
233,233,233,233,233,233,1-8864,3,14,1-8864,39,6,0,9,8.450532674789429,0.21668032499460074
157,157,157,157,157,157,1-2318,15,15,1-2318,13,2,0,3,2.8168442249298096,0.21668032499460074
47,47,47,47,47,47,MLG15,12,5,MLG15,559,114,0,26,121.07931661605835,0.21659985083373587
113,113,113,113,113,113,1-7647,20,7,1-7647,30,4,0,9,6.450532674789429,0.2150177558263143
29,29,29,29,29,29,1-8090,10,18,1-8090,14,3,0,0,3.0,0.21428571428571427
522,522,522,522,522,522,1-10808,2,10,1-10808,54,11,0,2,11.544562816619873,0.21378820030777543
408,408,408,408,408,408,1-8023,19,20,1-8023,20,4,0,1,4.2722814083099365,0.21361407041549682
109,109,109,109,109,109,1-3309,17,13,1-3309,12,2,0,2,2.544562816619873,0.2120469013849894
281,281,281,281,281,281,1-8126,18,8,1-8126,34,5,0,8,7.178251266479492,0.21112503724939682
9,9,9,9,9,9,1-8765,11,11,1-8765,38,8,0,0,8.0,0.21052631578947367
235,235,235,235,235,235,1-3077,18,16,1-3077,41,1,0,28,8.623879432678223,0.21033852274824932
378,378,378,378,378,378,1-5819,10,18,1-5819,23,4,0,3,4.81684422492981,0.20942800977955695
