Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,15,1-3037,467,66,3,56,3081.0331745147705,6.5975014443571105
364,364,364,364,364,364,MLG02,18,15,MLG02,755,69,3,56,3084.0331745147705,4.084812151675193
353,353,353,353,353,353,1-8681,11,17,1-8681,260,29,1,24,1035.4427890777588,3.9824722656836875
158,158,158,158,158,158,MLG12,11,17,MLG12,569,29,1,177,1076.515569448471,1.8919430043031127
199,199,199,199,199,199,1-0529,13,7,1-0529,124,54,0,26,60.97968816757202,0.4917716787707421
359,359,359,359,359,359,1-6166,4,11,1-6166,117,43,0,36,52.664183616638184,0.45012122749263406
394,394,394,394,394,394,1-8808,11,17,1-8808,52,22,0,2,22.536899089813232,0.4334019055733314
355,355,355,355,355,355,1-8666,14,5,1-8666,89,38,0,2,38.53689908981323,0.43299886617767674
142,142,142,142,142,142,MLG17,14,5,MLG17,76,30,0,10,32.68449544906616,0.4300591506456074
541,541,541,541,541,541,1-7301,11,17,1-7301,26,9,0,6,10.610697269439697,0.408103741132296
372,372,372,372,372,372,1-6511,8,18,1-6511,144,11,0,159,53.68347764015198,0.37280192805661094
455,455,455,455,455,455,1-10981,5,14,1-10981,34,11,0,5,12.342247724533081,0.36300728601567883
358,358,358,358,358,358,MLG18,20,13,MLG18,72,17,0,32,25.59038543701172,0.3554220199584961
416,416,416,416,416,416,1-3246,10,8,1-3246,116,40,0,3,40.80534863471985,0.3517702468510332
344,344,344,344,344,344,1-9294,14,5,1-9294,74,22,0,11,24.95294499397278,0.3372019593780105
197,197,197,197,197,197,1-20780,2,23,1-20780,12,1,0,11,3.9529449939727783,0.3294120828310649
445,445,445,445,445,445,MLG61,17,19,MLG61,218,32,0,144,70.65673446655273,0.3241134608557465
565,565,565,565,565,565,1-19069,10,8,1-19069,11,3,0,2,3.5368990898132324,0.32153628089211206
174,174,174,174,174,174,1-6568,13,7,1-6568,394,81,0,163,124.75727581977844,0.3166428320298945
484,484,484,484,484,484,MLG35,3,6,MLG35,44,12,0,7,13.879146814346313,0.31543515487150714
132,132,132,132,132,132,1-0454,12,12,1-0454,43,12,0,5,13.342247724533081,0.31028483080309494
366,366,366,366,366,366,MLG63,3,6,MLG63,543,143,0,90,167.16045904159546,0.3078461492478738
130,130,130,130,130,130,MLG32,3,6,MLG32,79,20,0,16,24.29519271850586,0.30753408504437796
260,260,260,260,260,260,1-0305,1,22,1-0305,12,1,0,10,3.684495449066162,0.3070412874221802
384,384,384,384,384,384,1-0584,8,18,1-0584,41,9,0,13,12.48984408378601,0.3046303435069759
171,171,171,171,171,171,1-3300,8,18,1-3300,29,4,0,18,8.832091808319092,0.30455488994203767
150,150,150,150,150,150,P1-0004,3,6,P1-0004,60,5,0,49,18.154027700424194,0.3025671283404032
90,90,90,90,90,90,MLG83,17,19,MLG83,88,25,0,6,26.610697269439697,0.3023942871527238
552,552,552,552,552,552,1-9396,20,13,1-9396,16,4,0,3,4.805348634719849,0.30033428966999054
523,523,523,523,523,523,MLG04,20,13,MLG04,16,4,0,3,4.805348634719849,0.30033428966999054
369,369,369,369,369,369,1-8564,6,2,1-8564,185,49,0,23,55.17433953285217,0.2982396731505523
96,96,96,96,96,96,1-10725,10,8,1-10725,27,8,0,0,8.0,0.2962962962962963
370,370,370,370,370,370,1-7971,6,2,1-7971,117,30,0,17,34.563642263412476,0.2954157458411323
482,482,482,482,482,482,1-11534,8,18,1-11534,12,3,0,2,3.5368990898132324,0.29474159081776935
304,304,304,304,304,304,1-10294,17,19,1-10294,30,8,0,3,8.805348634719849,0.29351162115732826
38,38,38,38,38,38,1-10018,8,18,1-10018,40,11,0,2,11.536899089813232,0.2884224772453308
287,287,287,287,287,287,1-9267,12,12,1-9267,14,4,0,0,4.0,0.2857142857142857
411,411,411,411,411,411,1-9135,7,1,1-9135,21,6,0,0,6.0,0.2857142857142857
269,269,269,269,269,269,1-5271,3,6,1-5271,12,1,0,9,3.416045904159546,0.2846704920132955
331,331,331,331,331,331,1-9412,11,17,1-9412,15,4,0,1,4.268449544906616,0.2845633029937744
507,507,507,507,507,507,1-19067,10,8,1-19067,8,2,0,1,2.268449544906616,0.283556193113327
437,437,437,437,437,437,1-19093,6,2,1-19093,36,8,0,8,10.14759635925293,0.28187767664591473
111,111,111,111,111,111,1-7900,17,19,1-7900,75,20,0,4,21.073798179626465,0.2809839757283529
