Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,12,1-3037,467,65,3,66,3100.3674288988113,6.638902417342209
364,364,364,364,364,364,MLG02,18,12,MLG02,755,70,3,290,3225.4023391008377,4.272056078279255
353,353,353,353,353,353,1-8681,11,17,1-8681,260,32,1,65,1066.8315587639809,4.103198302938388
158,158,158,158,158,158,MLG12,11,17,MLG12,569,9,1,225,1129.5707803368568,1.9851859056886763
359,359,359,359,359,359,1-6166,4,6,1-6166,117,43,0,38,63.363065123558044,0.5415646591757097
484,484,484,484,484,484,MLG35,3,14,MLG35,44,12,0,20,22.717402696609497,0.5163046067411249
445,445,445,445,445,445,MLG61,17,15,MLG61,218,23,0,163,110.3468319773674,0.5061781283365477
358,358,358,358,358,358,MLG18,20,9,MLG18,72,27,0,16,35.5739221572876,0.49408225218455
319,319,319,319,319,319,1-20040,18,15,1-20040,22,6,0,9,10.822831213474274,0.4919468733397397
142,142,142,142,142,142,MLG17,14,10,MLG17,76,29,0,14,36.50218188762665,0.4802918669424559
391,391,391,391,391,391,1-8165,14,10,1-8165,420,56,0,252,191.03927397727966,0.45485541423161824
384,384,384,384,384,384,1-0584,8,21,1-0584,41,14,0,8,18.2869610786438,0.44602344094253166
266,266,266,266,266,266,1-6554,2,18,1-6554,28,11,0,2,12.07174026966095,0.43113358105931965
491,491,491,491,491,491,MLG51,10,20,MLG51,99,20,0,42,42.506545662879944,0.4293590470997974
453,453,453,453,453,453,MLG45,7,8,MLG45,179,37,0,71,75.04677957296371,0.41925575180426655
467,467,467,467,467,467,MLG82,19,22,MLG82,71,26,0,6,29.21522080898285,0.41148198322511054
472,472,472,472,472,472,MLG52,15,13,MLG52,112,1,0,84,46.01309132575989,0.4108311725514276
499,499,499,499,499,499,1-3135,13,19,1-3135,101,23,0,32,40.147844314575195,0.39750340905519993
388,388,388,388,388,388,1-8019,21,21,1-8019,320,64,0,116,126.16093564033508,0.39425292387604716
460,460,460,460,460,460,1-8044,13,19,1-8044,56,10,0,22,21.789142966270447,0.38909183868340086
211,211,211,211,211,211,1-7187,7,8,1-7187,96,12,0,46,36.65002620220184,0.38177110627293587
455,455,455,455,455,455,1-10981,5,11,1-10981,34,8,0,9,12.822831213474274,0.3771420945139492
225,225,225,225,225,225,1-17970,5,18,1-17970,36,7,0,12,13.430441617965698,0.37306782272126937
239,239,239,239,239,239,1-1136,4,6,1-1136,113,9,0,61,41.688078224658966,0.36892104623592004
229,229,229,229,229,229,1-6569,21,21,1-6569,360,11,0,225,131.57078033685684,0.36547438982460234
430,430,430,430,430,430,1-8718,5,11,1-8718,333,83,0,70,120.51090943813324,0.36189462293733704
147,147,147,147,147,147,1-7172,7,8,1-7172,284,40,0,117,102.69680577516556,0.36160847103931537
174,174,174,174,174,174,1-6568,13,19,1-6568,394,31,0,208,142.46098804473877,0.3615761117886771
183,183,183,183,183,183,1-18927,17,15,1-18927,30,6,0,9,10.822831213474274,0.3607610404491425
501,501,501,501,501,501,MLG56,17,15,MLG56,109,3,0,67,38.903299033641815,0.3569110003086405
83,83,83,83,83,83,1-1152,3,14,1-1152,112,14,0,48,39.72176647186279,0.3546586292130606
28,28,28,28,28,28,1-7081,20,9,1-7081,99,30,0,9,34.822831213474274,0.3517457698330735
137,137,137,137,137,137,1-19257,7,8,1-19257,246,28,0,109,86.40984469652176,0.3512595312866738
293,293,293,293,293,293,MLG20,19,22,MLG20,55,16,0,6,19.21522080898285,0.34936765107241546
345,345,345,345,345,345,1-2364,15,13,1-2364,88,20,0,20,30.717402696609497,0.3490613942796534
480,480,480,480,480,480,1-1514,7,8,1-1514,64,10,0,23,22.32501310110092,0.3488283297047019
115,115,115,115,115,115,1-3254,2,18,1-3254,68,16,0,14,23.502181887626648,0.3456203218768625
512,512,512,512,512,512,1-9121,18,12,1-9121,22,7,0,1,7.535870134830475,0.3425395515832034
476,476,476,476,476,476,MLG01,21,21,MLG01,43,5,0,18,14.645662426948547,0.3405968006267104
482,482,482,482,482,482,1-11534,8,16,1-11534,12,3,0,2,4.07174026966095,0.3393116891384125
316,316,316,316,316,316,1-4776,5,11,1-4776,33,9,0,4,11.1434805393219,0.3376812284643
332,332,332,332,332,332,1-6501,6,2,1-6501,107,13,0,43,36.04241579771042,0.33684500745523754
203,203,203,203,203,203,1-19884,14,10,1-19884,60,11,0,17,20.109792292118073,0.33516320486863455
374,374,374,374,374,374,MLG74,18,12,MLG74,177,37,0,40,58.434805393218994,0.3301401434645141
130,130,130,130,130,130,MLG32,3,14,MLG32,79,10,0,30,26.076104044914246,0.33007726639131957
280,280,280,280,280,280,MLG09,2,18,MLG09,174,29,0,53,57.40111714601517,0.32989147785066186
283,283,283,283,283,283,1-1636,3,14,1-1636,22,4,0,6,7.215220808982849,0.32796458222649316
318,318,318,318,318,318,1-3496,13,19,1-3496,192,28,0,65,62.831558763980865,0.32724770189573366
155,155,155,155,155,155,1-7462,5,11,1-7462,336,37,0,136,109.87833833694458,0.32701886409804937
246,246,246,246,246,246,1-9232,13,19,1-9232,20,6,0,1,6.535870134830475,0.32679350674152374
399,399,399,399,399,399,1-8087,3,14,1-8087,58,14,0,9,18.822831213474274,0.32453157264610816
281,281,281,281,281,281,1-8126,18,12,1-8126,34,11,0,0,11.0,0.3235294117647059
336,336,336,336,336,336,1-8678,17,15,1-8678,74,11,0,24,23.860883235931396,0.322444368053127
6,6,6,6,6,6,MLG58,3,14,MLG58,66,18,0,6,21.21522080898285,0.32144273953004315
494,494,494,494,494,494,MLG37,1,1,MLG37,50,16,0,0,16.0,0.32
506,506,506,506,506,506,1-3302,12,7,1-3302,52,15,0,3,16.607610404491425,0.31937712316329664
294,294,294,294,294,294,1-3051,4,6,1-3051,116,4,0,61,36.688078224658966,0.31627653641947384
367,367,367,367,367,367,1-5154,1,1,1-5154,19,6,0,0,6.0,0.3157894736842105
161,161,161,161,161,161,1-7656,18,12,1-7656,48,6,0,17,15.109792292118073,0.3147873394191265
270,270,270,270,270,270,1-5655,15,13,1-5655,31,6,0,7,9.751090943813324,0.3145513207681717
409,409,409,409,409,409,1-7297,20,9,1-7297,13,3,0,2,4.07174026966095,0.3132107899739192
541,541,541,541,541,541,1-7301,11,17,1-7301,26,6,0,4,8.1434805393219,0.3132107899739192
113,113,113,113,113,113,1-7647,20,9,1-7647,30,4,0,10,9.358701348304749,0.3119567116101583
17,17,17,17,17,17,1-9217,19,22,1-9217,30,4,0,10,9.358701348304749,0.3119567116101583
487,487,487,487,487,487,1-7467,8,16,1-7467,20,3,0,6,6.215220808982849,0.31076104044914243
449,449,449,449,449,449,1-10960,4,6,1-10960,82,6,0,36,25.291324853897095,0.3084307909011841
378,378,378,378,378,378,1-5819,10,20,1-5819,23,6,0,2,7.07174026966095,0.30746696824612824
262,262,262,262,262,262,1-4394,21,21,1-4394,190,12,0,86,58.08483159542084,0.3057096399758991
61,61,61,61,61,61,1-7306,8,16,1-7306,159,33,0,29,48.54023391008377,0.3052844900005269
379,379,379,379,379,379,1-5228,4,6,1-5228,180,11,0,82,54.94135105609894,0.30522972808943855
413,413,413,413,413,413,1-1763,10,20,1-1763,35,8,0,5,10.679350674152374,0.30512430497578213
236,236,236,236,236,236,1-9245,1,1,1-9245,23,7,0,0,7.0,0.30434782608695654
329,329,329,329,329,329,1-19755,7,8,1-19755,517,65,0,171,156.6337930560112,0.30296671770988626
387,387,387,387,387,387,1-3469,21,21,1-3469,40,3,0,17,12.109792292118073,0.30274480730295183
331,331,331,331,331,331,1-9412,11,17,1-9412,15,4,0,1,4.535870134830475,0.30239134232203163
433,433,433,433,433,433,MLG55,2,18,MLG55,110,8,0,47,33.18589633703232,0.3016899667002938
416,416,416,416,416,416,1-3246,10,20,1-3246,116,29,0,11,34.89457148313522,0.3008152714063381
104,104,104,104,104,104,1-9040,11,17,1-9040,55,10,0,12,16.4304416179657,0.29873530214483085
43,43,43,43,43,43,1-7518,21,6,1-7518,169,21,0,55,50.47285741567612,0.29865596103950365
123,123,123,123,123,123,1-3472,13,19,1-3472,28,3,0,10,8.358701348304749,0.29852504815374103
248,248,248,248,248,248,1-19068,4,6,1-19068,77,1,0,41,22.97067552804947,0.29832046140323987
473,473,473,473,473,473,1-3174,9,23,1-3174,117,4,0,57,34.54459768533707,0.29525297166954756
513,513,513,513,513,513,1-7453,12,7,1-7453,24,6,0,2,7.07174026966095,0.29465584456920624
355,355,355,355,355,355,1-8666,14,10,1-8666,89,16,0,19,26.181532561779022,0.2941745231660564
412,412,412,412,412,412,1-7403,21,21,1-7403,58,2,0,28,17.004363775253296,0.29317868578022926
344,344,344,344,344,344,1-9294,14,10,1-9294,74,13,0,16,21.573922157287598,0.2915394886119946
423,423,423,423,423,423,1-5696,8,16,1-5696,80,22,0,2,23.07174026966095,0.28839675337076187
538,538,538,538,538,538,1-18794,10,20,1-18794,29,3,0,10,8.358701348304749,0.2882310809760258
459,459,459,459,459,459,1-8284,3,14,1-8284,48,9,0,9,13.822831213474274,0.28797565028071404
398,398,398,398,398,398,MLG65,20,9,MLG65,155,30,0,27,44.46849364042282,0.2868935073575666
462,462,462,462,462,462,1-8484,21,21,1-8484,202,17,0,76,57.72613024711609,0.2857729220154262
185,185,185,185,185,185,1-3301,6,2,1-3301,18,3,0,4,5.143480539321899,0.2857489188512166
277,277,277,277,277,277,P1-6891,2,18,P1-6891,7,2,0,0,2.0,0.2857142857142857
535,535,535,535,535,535,1-9253,5,11,1-9253,30,8,0,1,8.535870134830475,0.28452900449434915
477,477,477,477,477,477,1-20081,12,17,1-20081,20,3,0,5,5.679350674152374,0.28396753370761874
152,152,152,152,152,152,1-1530,13,19,1-1530,632,80,0,185,179.13597494363785,0.2834429983285409
350,350,350,350,350,350,1-19891,21,21,1-19891,95,6,0,39,26.89893525838852,0.28314668693040546
496,496,496,496,496,496,1-18973,1,1,1-18973,39,11,0,0,11.0,0.28205128205128205
128,128,128,128,128,128,MLG33,19,22,MLG33,161,37,0,15,45.03805202245712,0.2797394535556343
532,532,532,532,532,532,1-9182,13,19,1-9182,28,3,0,9,7.822831213474274,0.2793868290526526
330,330,330,330,330,330,MLG28,2,12,MLG28,22,4,0,4,6.143480539321899,0.2792491154237227
233,233,233,233,233,233,1-8864,3,14,1-8864,39,6,0,9,10.822831213474274,0.2775084926531865
157,157,157,157,157,157,1-2318,15,13,1-2318,13,2,0,3,3.6076104044914246,0.2775084926531865
360,360,360,360,360,360,MLG67,17,15,MLG67,293,69,0,22,80.78914296627045,0.27573086336611075
159,159,159,159,159,159,MLG36,20,9,MLG36,136,23,0,27,37.46849364042282,0.27550362970899134
38,38,38,38,38,38,1-10018,8,16,1-10018,40,11,0,0,11.0,0.275
168,168,168,168,168,168,1-7636,7,8,1-7636,83,4,0,35,22.75545471906662,0.2741621050489954
18,18,18,18,18,18,1-5635,15,13,1-5635,417,46,0,127,114.0555071234703,0.27351440557187123
102,102,102,102,102,102,1-6737,14,10,1-6737,32,5,0,7,8.751090943813324,0.2734715919941664
245,245,245,245,245,245,1-10305,2,18,1-10305,28,6,0,3,7.607610404491425,0.2717003715889795
191,191,191,191,191,191,1-9285,5,11,1-9285,30,6,0,4,8.1434805393219,0.27144935131073
94,94,94,94,94,94,1-8928,7,8,1-8928,30,6,0,4,8.1434805393219,0.27144935131073
375,375,375,375,375,375,1-8990,6,2,1-8990,40,6,0,9,10.822831213474274,0.27057078033685683
415,415,415,415,415,415,1-7872,11,17,1-7872,124,21,0,23,33.32501310110092,0.2687501056540397
219,219,219,219,219,219,1-8371,15,13,1-8371,255,47,0,40,68.434805393219,0.26837178585576077
156,156,156,156,156,156,1-2322,11,17,1-2322,14,0,0,7,3.751090943813324,0.2679350674152374
572,572,572,572,572,572,1-9584,4,6,1-9584,8,0,0,4,2.1434805393218994,0.2679350674152374
383,383,383,383,383,383,1-0582,16,4,1-0582,70,0,0,35,18.75545471906662,0.2679350674152374
306,306,306,306,306,306,1-18987,5,22,1-18987,34,8,0,2,9.07174026966095,0.2668158902841456
394,394,394,394,394,394,1-8808,11,17,1-8808,52,9,0,9,13.822831213474274,0.26582367718219757
95,95,95,95,95,95,1-7625,10,20,1-7625,76,10,0,19,20.181532561779022,0.2655464810760398
540,540,540,540,540,540,1-8711,4,6,1-8711,48,2,0,20,12.717402696609497,0.2649458895126979
444,444,444,444,444,444,1-2083,15,13,1-2083,48,10,0,5,12.679350674152374,0.2641531390448411
276,276,276,276,276,276,1-9548,4,6,1-9548,16,1,0,6,4.215220808982849,0.26345130056142807
