Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,17,1-3037,467,63,3,134,3155.550316929817,6.757067059806889
364,364,364,364,364,364,MLG02,18,17,MLG02,755,50,3,237,3213.6897396445274,4.25654270151593
353,353,353,353,353,353,1-8681,11,18,1-8681,260,35,1,98,1102.6860526800156,4.241100202615445
158,158,158,158,158,158,MLG12,11,18,MLG12,569,40,1,54,1077.2963963747025,1.8933152836110763
359,359,359,359,359,359,1-6166,4,11,1-6166,117,43,0,45,74.08033031225204,0.6331652163440346
108,108,108,108,108,108,1-0917,3,15,1-0917,134,56,0,40,83.62696027755737,0.6240817931160998
484,484,484,484,484,484,MLG35,3,15,MLG35,44,12,0,18,24.432132124900818,0.5552757301113822
399,399,399,399,399,399,1-8087,3,15,1-8087,58,14,0,24,30.576176166534424,0.5271754511471453
394,394,394,394,394,394,1-8808,11,18,1-8808,52,8,0,25,25.266850173473358,0.48590096487448764
358,358,358,358,358,358,MLG18,20,8,MLG18,72,28,0,10,34.90674006938934,0.4848158342970742
453,453,453,453,453,453,MLG45,7,9,MLG45,179,37,0,71,86.03785449266434,0.4806584049869516
379,379,379,379,379,379,1-5228,4,11,1-5228,180,11,0,109,86.28346675634384,0.47935259309079914
352,352,352,352,352,352,1-2275,13,6,1-2275,130,23,0,55,60.98707038164139,0.46913131062801067
428,428,428,428,428,428,1-7733,11,18,1-7733,76,8,0,39,34.93628627061844,0.45968797724497945
320,320,320,320,320,320,1-0541,6,13,1-0541,132,13,0,69,60.65650647878647,0.4595189884756551
83,83,83,83,83,83,1-1152,3,15,1-1152,112,13,0,55,50.98707038164139,0.4552416998360838
499,499,499,499,499,499,1-3135,13,6,1-3135,101,32,0,19,45.12280613183975,0.44676045675088866
472,472,472,472,472,472,MLG52,15,14,MLG52,112,5,0,65,49.89381045103073,0.4454804504556315
501,501,501,501,501,501,MLG56,17,16,MLG56,109,2,0,67,48.2751584649086,0.44289136206338164
28,28,28,28,28,28,1-7081,20,8,1-7081,99,30,0,20,43.81348013877869,0.442560405442209
137,137,137,137,137,137,1-19257,7,9,1-19257,246,29,0,114,107.73683679103851,0.43795462110178257
147,147,147,147,147,147,1-7172,7,9,1-7172,284,53,0,101,122.75807470083237,0.4322467419043393
