Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,8,1-3037,467,63,3,131,3121.0822370946407,6.683259608339702
364,364,364,364,364,364,MLG02,18,8,MLG02,755,50,3,236,3154.63670194149,4.1783267575383976
353,353,353,353,353,353,1-8681,11,9,1-8681,260,33,1,102,1078.2243372797966,4.147016681845372
158,158,158,158,158,158,MLG12,11,9,MLG12,569,39,1,53,1062.4989203512669,1.8673091746067958
108,108,108,108,108,108,1-0917,3,6,1-0917,134,56,0,39,73.29165837168694,0.5469526744155742
359,359,359,359,359,359,1-6166,4,18,1-6166,117,43,0,38,59.848282516002655,0.5115237821880568
257,257,257,257,257,257,MLG06,10,12,MLG06,634,134,0,394,308.6900871396065,0.48689288192366953
484,484,484,484,484,484,MLG35,3,6,MLG35,44,12,0,18,19.980765402317047,0.4541083045981147
358,358,358,358,358,358,MLG18,20,15,MLG18,72,27,0,10,31.433758556842804,0.43657997995615005
501,501,501,501,501,501,MLG56,17,5,MLG56,109,17,0,65,45.819430619478226,0.4203617488025525
454,454,454,454,454,454,1-6678,10,12,1-6678,213,12,0,173,88.70402303338051,0.4164508123632888
486,486,486,486,486,486,1-6506,9,2,1-6506,70,4,0,53,27.49892035126686,0.3928417193038123
453,453,453,453,453,453,MLG45,7,16,MLG45,179,37,0,71,68.47968575358391,0.3825680768356643
28,28,28,28,28,28,1-7081,20,15,1-7081,99,30,0,16,37.094013690948486,0.37468700697927765
499,499,499,499,499,499,1-3135,13,13,1-3135,101,34,0,7,37.10363098978996,0.36736268306722736
316,316,316,316,316,316,1-4776,5,1,1-4776,33,12,0,0,12.0,0.36363636363636365
332,332,332,332,332,332,1-6501,6,4,1-6501,107,12,0,60,38.602551341056824,0.3607715078603441
131,131,131,131,131,131,MLG13,8,10,MLG13,225,37,0,90,76.90382701158524,0.3417947867181566
394,394,394,394,394,394,1-8808,11,9,1-8808,52,6,0,26,17.52777224779129,0.33707254322675556
83,83,83,83,83,83,1-1152,3,6,1-1152,112,13,0,55,37.38567206263542,0.3338006434163877
142,142,142,142,142,142,MLG17,14,14,MLG17,76,19,0,14,25.207261979579926,0.3316744997313148
388,388,388,388,388,388,1-8019,21,11,1-8019,320,73,0,74,105.80981332063675,0.33065566662698986
183,183,183,183,183,183,1-18927,17,5,1-18927,30,9,0,2,9.88675171136856,0.329558390378952
410,410,410,410,410,410,1-8368,9,2,1-8368,80,17,0,21,26.31089296936989,0.3288861621171236
61,61,61,61,61,61,1-7306,8,10,1-7306,159,42,0,23,52.19764468073845,0.32828707346376385
393,393,393,393,393,393,1-2292,2,27,1-2292,252,0,0,185,82.02453330159187,0.3254941797682217
428,428,428,428,428,428,1-7733,11,9,1-7733,76,7,0,39,24.291658371686935,0.319627083837986
398,398,398,398,398,398,MLG65,20,15,MLG65,155,30,0,44,49.50853765010834,0.3194099203232796
211,211,211,211,211,211,1-7187,7,16,1-7187,96,10,0,46,30.395289361476898,0.3166175975153844
372,372,372,372,372,372,1-6511,8,10,1-6511,144,42,0,8,45.54700684547424,0.3162986586491267
480,480,480,480,480,480,1-1514,7,16,1-1514,64,10,0,23,20.19764468073845,0.31558819813653827
239,239,239,239,239,239,1-1136,4,18,1-1136,113,9,0,60,35.602551341056824,0.31506682602705155
147,147,147,147,147,147,1-7172,7,16,1-7172,284,38,0,115,88.98822340369225,0.31333881480173326
137,137,137,137,137,137,1-19257,7,16,1-19257,246,28,0,109,76.32796826958656,0.31027629377880717
33,33,33,33,33,33,1-0997,11,9,1-0997,33,8,0,5,10.216879278421402,0.3096024023764061
416,416,416,416,416,416,1-3246,10,12,1-3246,116,31,0,11,35.877134412527084,0.3092856414873025
204,204,204,204,204,204,1-3509,14,14,1-3509,150,39,0,15,45.650637835264206,0.30433758556842805
295,295,295,295,295,295,1-7522,15,7,1-7522,67,3,0,39,20.291658371686935,0.3028605727117453
320,320,320,320,320,320,1-0541,6,4,1-0541,132,8,0,72,39.92306160926819,0.3024474364338499
354,354,354,354,354,354,1-11438,6,4,1-11438,53,16,0,0,16.0,0.3018867924528302
130,130,130,130,130,130,MLG32,3,6,MLG32,79,10,0,31,23.744651526212692,0.30056520919256574
313,313,313,313,313,313,1-3631,18,8,1-3631,13,3,0,2,3.886751711368561,0.2989809008745047
389,389,389,389,389,389,1-0598,17,5,1-0598,122,30,0,14,36.207261979579926,0.2967808358981961
506,506,506,506,506,506,1-3302,12,17,1-3302,52,14,0,3,15.330127567052841,0.2948101455202469
229,229,229,229,229,229,1-6569,21,11,1-6569,360,21,0,192,106.12816429138184,0.29480045636494956
267,267,267,267,267,267,1-7715,8,10,1-7715,20,5,0,2,5.886751711368561,0.29433758556842804
148,148,148,148,148,148,1-2028,10,12,1-2028,20,5,0,2,5.886751711368561,0.29433758556842804
479,479,479,479,479,479,1-7809,9,2,1-7809,40,6,0,13,11.763886123895645,0.29409715309739115
481,481,481,481,481,481,1-19851,18,8,1-19851,25,6,0,3,7.330127567052841,0.29320510268211364
319,319,319,319,319,319,1-20040,18,9,1-20040,22,2,0,10,6.433758556842804,0.292443570765582
252,252,252,252,252,252,1-1887,11,9,1-1887,119,16,0,41,34.178410083055496,0.28721353010971007
344,344,344,344,344,344,1-9294,14,14,1-9294,74,15,0,14,21.207261979579926,0.2865846213456747
38,38,38,38,38,38,1-10018,8,10,1-10018,40,11,0,1,11.44337585568428,0.28608439639210703
218,218,218,218,218,218,MLG11,8,10,MLG11,493,5,0,304,139.78626012802124,0.28354210979314654
321,321,321,321,321,321,MLG30,3,6,MLG30,66,10,0,19,18.424141258001328,0.2791536554242625
386,386,386,386,386,386,MLG08,8,10,MLG08,532,46,0,231,148.41982266306877,0.27898462906591875
472,472,472,472,472,472,MLG52,15,7,MLG52,112,1,0,68,31.149558186531067,0.2781210552368845
437,437,437,437,437,437,1-19093,6,4,1-19093,36,2,0,18,9.980765402317047,0.2772434833976958
258,258,258,258,258,258,1-4654,9,2,1-4654,138,22,0,36,37.961530804634094,0.2750835565553195
90,90,90,90,90,90,MLG83,17,5,MLG83,88,18,0,14,24.207261979579926,0.2750825224952264
352,352,352,352,352,352,1-2275,13,13,1-2275,130,22,0,31,35.74465152621269,0.2749588578939438
68,68,68,68,68,68,1-6533,6,4,1-6533,21,0,0,13,5.763886123895645,0.27447076780455454
377,377,377,377,377,377,1-7901,14,14,1-7901,298,63,0,42,81.62178593873978,0.27389861053268383
294,294,294,294,294,294,1-3051,4,18,1-3051,116,4,0,62,31.489303052425385,0.2714595090726326
6,6,6,6,6,6,MLG58,3,6,MLG58,66,13,0,11,17.877134412527084,0.270865672917077
329,329,329,329,329,329,1-19755,7,16,1-19755,517,63,0,172,139.26064717769623,0.269362953922043
449,449,449,449,449,449,1-10960,4,18,1-10960,82,6,0,36,21.961530804634094,0.2678235463979768
113,113,113,113,113,113,1-7647,20,15,1-7647,30,4,0,9,7.990382701158524,0.2663460900386175
345,345,345,345,345,345,1-2364,15,7,1-2364,88,19,0,10,23.433758556842804,0.26629271087321366
409,409,409,409,409,409,1-7297,20,15,1-7297,13,3,0,1,3.4433758556842804,0.2648750658218677
390,390,390,390,390,390,1-1005,13,13,1-1005,122,30,0,5,32.2168792784214,0.2640727809706672
385,385,385,385,385,385,MLG70,19,25,MLG70,269,0,0,160,70.94013690948486,0.2637179810761519
159,159,159,159,159,159,MLG36,20,15,MLG36,136,23,0,29,35.85789981484413,0.2636610280503245
379,379,379,379,379,379,1-5228,4,18,1-5228,180,11,0,82,47.35682016611099,0.2630934453672833
350,350,350,350,350,350,1-19891,21,11,1-19891,95,13,0,27,24.97114810347557,0.26285419056290077
328,328,328,328,328,328,1-7883,9,2,1-7883,33,6,0,6,8.660255134105682,0.26243197376077826
478,478,478,478,478,478,1-8916,11,9,1-8916,61,4,0,27,15.97114810347557,0.2618221000569766
123,123,123,123,123,123,1-3472,13,13,1-3472,28,2,0,12,7.320510268211365,0.26144679529326303
281,281,281,281,281,281,1-8126,18,14,1-8126,34,4,0,11,8.877134412527084,0.2610921886037378
473,473,473,473,473,473,1-3174,9,2,1-3174,117,19,0,26,30.52777224779129,0.26092113032300246
498,498,498,498,498,498,MLG38,10,12,MLG38,26,5,0,4,6.773503422737122,0.2605193624129662
537,537,537,537,537,537,1-9499,4,11,1-9499,36,0,0,21,9.310892969369888,0.25863591581583023
58,58,58,58,58,58,1-7723,13,13,1-7723,46,11,0,2,11.88675171136856,0.25840764589931653
174,174,174,174,174,174,1-6568,13,13,1-6568,394,24,0,175,101.59077474474907,0.2578446059511398
375,375,375,375,375,375,1-8990,6,4,1-8990,40,1,0,21,10.310892969369888,0.25777232423424723
55,55,55,55,55,55,1-8135,6,4,1-8135,56,1,0,30,14.301275670528412,0.25537992268800735
546,546,546,546,546,546,1-9601,9,2,1-9601,31,3,0,11,7.877134412527084,0.25410111008151887
327,327,327,327,327,327,1-4609,15,7,1-4609,7,0,0,4,1.7735034227371216,0.2533576318195888
312,312,312,312,312,312,1-3364,6,4,1-3364,121,12,0,42,30.621785938739777,0.2530726110639651
262,262,262,262,262,262,1-4394,21,11,1-4394,190,17,0,70,48.03630989789963,0.2528226836731559
395,395,395,395,395,395,1-18620,21,11,1-18620,60,4,0,25,15.08439639210701,0.2514066065351168
489,489,489,489,489,489,1-8058,21,11,1-8058,54,6,0,17,13.537389546632767,0.2506923990117179
524,524,524,524,524,524,1-3734,10,1,1-3734,4,1,0,0,1.0,0.25
