Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,15,1-3037,467,65,3,63,3115.4359369874,6.671169029951606
364,364,364,364,364,364,MLG02,18,15,MLG02,755,70,3,299,3309.3705580830574,4.383272262361666
353,353,353,353,353,353,1-8681,11,11,1-8681,260,38,1,44,1073.225098848343,4.127788841724396
158,158,158,158,158,158,MLG12,11,11,MLG12,569,18,1,175,1158.0998249650002,2.0353248241915645
501,501,501,501,501,501,MLG56,17,16,MLG56,109,19,0,76,79.84335255622864,0.7325078216167765
108,108,108,108,108,108,1-0917,3,17,1-0917,134,56,0,41,88.82338756322861,0.6628611012181239
473,473,473,473,473,473,1-3174,9,4,1-3174,117,4,0,91,76.85190898180008,0.6568539229213682
391,391,391,391,391,391,1-8165,14,13,1-8165,420,60,0,249,259.34203666448593,0.6174810396773475
484,484,484,484,484,484,MLG35,3,17,MLG35,44,12,0,18,26.41026771068573,0.6002333570610393
491,491,491,491,491,491,MLG51,10,7,MLG51,99,20,0,42,53.62395799160004,0.5416561413292933
229,229,229,229,229,229,1-6569,21,6,1-6569,360,14,0,225,194.12834638357162,0.5392454066210323
174,174,174,174,174,174,1-6568,13,8,1-6568,394,31,0,217,204.7237829566002,0.5196035100421325
306,306,306,306,306,306,1-18987,5,9,1-18987,34,15,0,3,17.40171128511429,0.511815037797479
472,472,472,472,472,472,MLG52,15,18,MLG52,112,5,0,65,57.037077844142914,0.5092596236084189
83,83,83,83,83,83,1-1152,3,17,1-1152,112,13,0,55,57.03137356042862,0.5092086925038269
388,388,388,388,388,388,1-8019,21,6,1-8019,320,68,0,114,159.26502883434296,0.49770321510732174
384,384,384,384,384,384,1-0584,8,6,1-0584,41,14,0,8,20.404563426971436,0.4976722787066204
142,142,142,142,142,142,MLG17,14,13,MLG17,76,29,0,11,37.806274712085724,0.4974509830537595
359,359,359,359,359,359,1-6166,4,2,1-6166,117,44,0,16,56.80912685394287,0.4855480927687425
225,225,225,225,225,225,1-17970,5,14,1-17970,36,11,0,8,17.404563426971436,0.48346009519365096
319,319,319,319,319,319,1-20040,18,18,1-20040,22,5,0,7,10.603992998600006,0.4819996817545457
285,285,285,285,285,285,1-6727,6,19,1-6727,235,18,0,119,113.2678809762001,0.48199098287744724
355,355,355,355,355,355,1-8666,14,13,1-8666,89,17,0,31,41.81768327951431,0.4698616098821833
332,332,332,332,332,332,1-6501,6,19,1-6501,107,12,0,46,48.826239705085754,0.4563199972437921
261,261,261,261,261,261,1-8747,2,9,1-8747,18,5,0,4,8.202281713485718,0.45568231741587323
447,447,447,447,447,447,7W2-0103,16,5,7W2-0103,33,15,0,0,15.0,0.45454545454545453
476,476,476,476,476,476,MLG01,21,6,MLG01,43,5,0,18,19.41026771068573,0.45140157466711
562,562,562,562,562,562,1-3142,8,10,1-3142,4,1,0,1,1.8005704283714294,0.45014260709285736
530,530,530,530,530,530,1-7721,2,9,1-7721,12,3,0,3,5.401711285114288,0.45014260709285736
67,67,67,67,67,67,1-19989,3,17,1-19989,4,1,0,1,1.8005704283714294,0.45014260709285736
263,263,263,263,263,263,1-7486,4,2,1-7486,29,1,0,15,13.008556425571442,0.4485709112266014
455,455,455,455,455,455,1-10981,5,14,1-10981,34,8,0,9,15.205133855342865,0.44720981927479014
130,130,130,130,130,130,MLG32,3,17,MLG32,79,10,0,31,34.81768327951431,0.4407301680951179
