Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
187,187,187,187,187,187,187,MLG82,16,12,MLG82,71,14,0,26,30.733827471733093,0.43287080946102946
83,83,83,83,83,83,83,1-7306,13,9,1-7306,159,55,0,9,60.7924787402153,0.38234263358625975
92,92,92,92,92,92,92,1-6511,23,25,1-6511,144,8,0,72,54.33982992172241,0.3773599300119612
70,70,70,70,70,70,70,1-5228,12,8,1-5228,180,1,0,101,66.00448364019394,0.3666915757788552
212,212,212,212,212,212,212,1-8916,7,16,1-8916,61,14,0,13,22.366913735866547,0.3666707169814188
260,260,260,260,260,260,260,MLG24,16,12,MLG24,49,13,0,5,16.218043744564056,0.33098048458293994
185,185,185,185,185,185,185,MLG42,16,12,MLG42,72,17,0,10,23.436087489128113,0.3255012151267793
162,162,162,162,162,162,162,1-10960,12,8,1-10960,82,6,0,32,26.59547996520996,0.32433512152695076
180,180,180,180,180,180,180,1-9294,15,11,1-9294,74,13,0,17,23.94134873151779,0.3235317396151053
324,324,324,324,324,324,324,1-19093,17,6,1-19093,36,0,0,18,11.584957480430603,0.32180437445640564
86,86,86,86,86,86,86,MLG65,3,20,MLG65,155,34,0,24,49.44660997390747,0.3190103869284353
14,14,14,14,14,14,14,1-3037,3,20,1-3037,467,57,0,140,147.10522484779358,0.3150004814727914
69,69,69,69,69,69,69,1-8564,17,6,1-8564,185,0,0,90,57.924787402153015,0.31310695893055684
243,243,243,243,243,243,243,1-9542,9,15,1-9542,54,7,0,15,16.65413123369217,0.3084098376609661
224,224,224,224,224,224,224,1-8087,16,12,1-8087,58,12,0,9,17.7924787402153,0.3067668748312983
340,340,340,340,340,340,340,1-10981,15,17,1-10981,34,9,0,2,10.287217497825623,0.30256522052428303
138,138,138,138,138,138,138,1-7993,17,6,1-7993,100,0,0,47,30.24961119890213,0.3024961119890213
238,238,238,238,238,238,238,MLG20,7,16,MLG20,55,11,0,8,16.14886999130249,0.29361581802368164
58,58,58,58,58,58,58,MLG53,16,12,MLG53,216,35,0,44,63.318784952163696,0.2931425229266838
35,35,35,35,35,35,35,1-7901,9,15,1-7901,298,43,0,67,86.12178617715836,0.2889992824736858
32,32,32,32,32,32,32,1-3152,17,6,1-3152,323,0,0,138,88.81800734996796,0.2749783509286934
