Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
83,83,83,83,83,83,83,1-7306,13,20,1-7306,159,31,0,56,55.16458177566528,0.3469470551928634
55,55,55,55,55,55,55,MLG13,8,16,MLG13,225,31,0,99,73.71952849626541,0.3276423488722907
340,340,340,340,340,340,340,1-10981,15,21,1-10981,34,8,0,7,11.02057272195816,0.3241344918222988
155,155,155,155,155,155,155,1-2364,19,6,1-2364,88,7,0,49,28.144009053707123,0.3198182847012173
216,216,216,216,216,216,216,1-18620,21,4,1-18620,60,1,0,42,19.123436331748962,0.3187239388624827
391,391,391,391,391,391,391,1-7301,19,18,1-7301,26,6,0,5,8.157551944255829,0.3137519978559934
382,382,382,382,382,382,382,1-3472,22,27,1-3472,28,7,0,4,8.726041555404663,0.31164434126445223
364,364,364,364,364,364,364,1-5515,17,15,1-5515,30,8,0,3,9.294531166553497,0.30981770555178323
189,189,189,189,189,189,189,1-0582,11,18,1-0582,70,7,0,34,21.671353220939636,0.3095907602991377
445,445,445,445,445,445,445,1-2028,15,21,1-2028,20,4,0,5,6.157551944255829,0.30787759721279145
86,86,86,86,86,86,86,MLG65,3,12,MLG65,155,24,0,53,46.870050609111786,0.30238742328459217
180,180,180,180,180,180,180,1-9294,15,21,1-9294,74,15,0,15,21.472655832767487,0.2901710247671282
30,30,30,30,30,30,30,1-8718,4,11,1-8718,333,83,0,31,96.37682205438614,0.2894198860492076
42,42,42,42,42,42,42,1-8681,19,6,1-8681,260,26,0,114,75.1921843290329,0.28920070895781885
212,212,212,212,212,212,212,1-8916,7,14,1-8916,61,16,0,3,17.294531166553497,0.2835169043697295
67,67,67,67,67,67,67,1-4394,21,4,1-4394,190,3,0,116,53.05520510673523,0.2792379216143959
162,162,162,162,162,162,162,1-10960,12,19,1-10960,82,17,0,10,21.315103888511658,0.2599402913233129
