Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-9133,4,3,1-9133,2,1,1,0,1001.0,500.5
1-3380,4,3,1-3380,2,0,1,1,1000.2468001395464,500.1234000697732
1-0447,2,1,1-0447,65,2,20,25,20008.17000348866,307.8180000536717
1-3100,20,19,1-3100,4,0,1,1,1000.2468001395464,250.0617000348866
1-9600,7,6,1-9600,7,1,1,0,1001.0,143.0
1-19067,1,7,1-19067,8,6,1,3,1006.7404004186392,125.8425500523299
1-4874,2,1,1-4874,224,26,26,24,26031.923203349113,116.21394287209425
7W2-0103,24,24,7W2-0103,33,4,3,2,3004.493600279093,91.04526061451796
1-5819,24,24,1-5819,23,0,2,6,2001.4808008372784,87.0209043842295
1-7721,23,23,1-7721,12,2,1,1,1002.2468001395464,83.52056667829554
1-11534,6,5,1-11534,12,1,1,1,1001.2468001395464,83.4372333449622
1-3309,11,11,1-3309,12,0,1,1,1000.2468001395464,83.35390001162887
1-8834,4,3,1-8834,39,0,3,0,3000.0,76.92307692307692
1-10882,7,6,1-10882,14,2,1,5,1003.234000697732,71.65957147840943
1-9548,17,17,1-9548,16,1,1,5,1002.234000697732,62.63962504360825
1-3733,24,24,1-3733,16,1,1,0,1001.0,62.5625
1-4874,24,24,1-4874,224,12,14,6,14013.480800837278,62.56018214659499
1-8613,18,18,1-8613,37,2,2,1,2002.2468001395464,54.1147783821499
1-11533,6,5,1-11533,20,3,1,4,1003.9872005581856,50.19936002790928
1-7715,21,21,1-7715,20,0,1,0,1000.0,50.0
1-8916,24,24,1-8916,61,2,3,7,3003.7276009768248,49.24143608158729
1-10042,14,8,1-10042,21,3,1,3,1003.7404004186392,47.79716192469711
1-6533,23,23,1-6533,21,0,1,0,1000.0,47.61904761904762
1-1636,16,16,1-1636,22,1,1,5,1002.234000697732,45.556090940806
1-7476,18,18,1-7476,22,0,1,3,1000.7404004186392,45.48820001902905
1-20068,16,16,1-20068,45,10,2,7,2011.7276009768248,44.705057799485
1-9245,4,3,1-9245,23,0,1,4,1000.9872005581856,43.52118263296459
1-11522,8,15,1-11522,24,1,1,3,1001.7404004186392,41.739183350776635
1-8753,16,16,1-8753,258,26,10,46,10037.352806419134,38.90446824193463
MLG26,24,24,MLG26,155,8,6,1,6008.246800139546,38.76288258154546
1-3302,22,22,1-3302,52,4,2,7,2005.7276009768248,38.571684634169706
1-6029,10,13,1-6029,26,0,1,0,1000.0,38.46153846153846
MLG58,3,2,MLG58,66,6,2,0,2006.0,30.393939393939394
1-7429,18,18,1-7429,33,2,1,1,1002.2468001395464,30.37111515574383
1-3491,21,21,1-3491,33,0,1,0,1000.0,30.303030303030305
1-8126,3,2,1-8126,34,4,1,2,1004.4936002790928,29.543929419973317
1-9100,2,1,1-9100,142,10,4,17,4014.1956023722887,28.268983115297807
1-19093,10,13,1-19093,36,6,1,8,1007.9744011163712,27.9992889198992
1-9399,23,23,1-9399,38,8,1,5,1009.234000697732,26.558789492045577
1-9543,20,19,1-9543,39,3,1,5,1004.234000697732,25.74958976148031
1-8990,15,9,1-8990,40,5,1,14,1008.4552019536495,25.21138004884124
1-7870,4,3,1-7870,82,2,2,8,2003.9744011163712,24.438712208736234
1-8973,3,2,1-8973,44,3,1,0,1003.0,22.795454545454547
1-3717,18,18,1-3717,89,7,2,9,2009.2212012559175,22.57551911523503
1-7418,4,3,1-7418,45,2,1,7,1003.7276009768248,22.305057799484995
1-7589,8,15,1-7589,95,1,2,8,2002.9744011163712,21.083941064382856
MLG67,24,24,MLG67,293,21,6,15,6024.702002093196,20.562122874038213
MLG24,24,24,MLG24,49,4,1,0,1004.0,20.489795918367346
1-8287,16,16,1-8287,53,6,1,0,1006.0,18.9811320754717
1-10808,20,19,1-10808,54,0,1,12,1002.9616016745567,18.573362993973273
