Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
298,298,1-0584,23,21,1-0584,41,22,0,13,23.6482089208439,0.576785583435217
445,445,1-2028,15,6,1-2028,20,10,0,2,10.253570603206754,0.5126785301603377
508,508,1-7737,22,24,1-7737,11,5,0,0,5.0,0.45454545454545453
409,409,1-9245,9,12,1-9245,23,9,0,4,9.507141206413507,0.41335396549623943
83,83,1-7306,13,8,1-7306,159,56,0,27,59.423203143291175,0.3737308373791898
539,539,P1-17272,15,6,P1-17272,6,2,0,1,2.126785301603377,0.3544642169338961
512,512,1-5140,23,21,1-5140,10,3,0,3,3.3803559048101306,0.33803559048101306
180,180,1-9294,15,6,1-9294,74,23,0,10,24.26785301603377,0.327943959676132
382,382,1-3472,22,24,1-3472,28,9,0,0,9.0,0.32142857142857145
306,306,1-8990,16,23,1-8990,40,12,0,5,12.633926508016884,0.3158481627004221
376,376,1-3356,2,13,1-3356,28,8,0,2,8.253570603206754,0.2947703786859555
184,184,MLG18,3,15,MLG18,72,20,0,9,21.141067714430392,0.2936259404781999
35,35,1-7901,9,12,1-7901,298,76,0,83,86.52318003308028,0.2903462417217459
30,30,1-8718,4,16,1-8718,333,83,0,74,92.38211231864989,0.27742376071666636
472,472,1-3733,15,6,1-3733,16,4,0,3,4.380355904810131,0.27377224405063316
162,162,1-10960,12,9,1-10960,82,17,0,34,21.310700254514813,0.25988658846969287
340,340,1-10981,15,6,1-10981,34,8,0,6,8.760711809620261,0.2576679944005959
175,175,1-7625,2,13,1-7625,76,19,0,4,19.507141206413507,0.256672910610704
436,436,1-3182,2,13,1-3182,20,5,0,0,5.0,0.25
552,552,1-5303,9,12,1-5303,4,1,0,0,1.0,0.25
555,555,1-3734,3,15,1-3734,4,1,0,0,1.0,0.25
106,106,1-7872,7,19,1-7872,124,26,0,39,30.944626762531698,0.24955344163332013
243,243,1-9542,9,12,1-9542,54,12,0,11,13.394638317637146,0.24804885773402122
459,459,1-17979,23,21,1-17979,17,4,0,1,4.126785301603377,0.24275207656490452
324,324,1-19093,17,5,1-19093,36,7,0,10,8.267853016033769,0.2296625837787158
516,516,1-17965,1,14,1-17965,10,2,0,2,2.2535706032067537,0.22535706032067537
481,481,1-3141,23,21,1-3141,14,3,0,1,3.126785301603377,0.22334180725738406
364,364,1-5515,17,5,1-5515,30,5,0,13,6.648208920843899,0.22160696402813
219,219,1-8702,4,16,1-8702,59,10,0,22,12.789276635274291,0.21676740059786934
76,76,1-7518,12,9,1-7518,169,32,0,36,36.56427085772157,0.21635663229421045
357,357,1-9601,23,21,1-9601,31,6,0,5,6.633926508016884,0.21399762929086724
172,172,1-19068,13,8,1-19068,77,15,0,10,16.26785301603377,0.21127081839004894
330,330,1-9499,23,21,1-9499,36,6,0,12,7.521423619240522,0.20892843386779228
407,407,1-0295,1,14,1-0295,24,5,0,0,5.0,0.20833333333333334
316,316,1-3216,1,14,1-3216,38,7,0,7,7.887497111223638,0.20756571345325364
247,247,1-8177,16,23,1-8177,53,10,0,7,10.887497111223638,0.20542447379667242
23,23,1-8567,17,5,1-8567,388,61,0,143,79.13029812928289,0.20394406734351261
220,220,1-7936,23,21,1-7936,59,11,0,6,11.760711809620261,0.19933409846814001
46,46,1-3056,4,16,1-3056,250,40,0,75,49.508897620253265,0.19803559048101305
304,304,1-2006,11,10,1-2006,40,7,0,7,7.887497111223638,0.19718742778059095
282,282,MLG35,23,21,MLG35,44,8,0,5,8.633926508016884,0.19622560245492918
271,271,1-5568,17,5,1-5568,47,7,0,17,9.155350127257407,0.19479468355866822
164,164,1-9454,13,8,1-9454,80,14,0,10,15.267853016033769,0.1908481627004221
94,94,1-3693,11,10,1-3693,143,23,0,33,27.183914952911437,0.19009730736301703
346,346,MLG22,23,21,MLG22,33,6,0,2,6.253570603206754,0.18950213949111375
213,213,1-10043,17,5,1-10043,61,8,0,28,11.549988444894552,0.18934407286712382
321,321,1-3257,8,20,1-3257,37,7,0,0,7.0,0.1891891891891892
105,105,1-0529,14,7,1-0529,124,13,0,82,23.396394731476903,0.18868060267320083
442,442,1-9232,1,14,1-9232,20,3,0,6,3.760711809620261,0.18803559048101307
120,120,1-1152,4,16,1-1152,112,18,0,24,21.042847238481045,0.18788256462929503
86,86,MLG65,3,15,MLG65,155,22,0,56,29.099976889789104,0.18774178638573616
358,358,1-5655,15,6,1-5655,31,5,0,6,5.760711809620261,0.1858294132135568
197,197,MLG27,23,21,MLG27,67,12,0,2,12.253570603206754,0.1828891134806978
38,38,1-5899,6,18,1-5899,288,51,0,13,52.6482089208439,0.18280628097515242
115,115,1-3174,5,17,1-3174,117,19,0,17,21.155350127257407,0.1808149583526274
229,229,1-8986,20,2,1-8986,57,10,0,2,10.253570603206754,0.17988720356503077
112,112,1-1166,1,14,1-1166,118,18,0,25,21.16963254008442,0.17940366559393578
109,109,1-3364,17,5,1-3364,121,17,0,37,21.691056159324944,0.17926492693656979
428,428,1-5221,9,12,1-5221,21,3,0,6,3.760711809620261,0.17908151474382197
391,391,1-7301,19,3,1-7301,26,3,0,13,4.648208920843899,0.17877726618630382
114,114,1-6166,12,9,1-6166,117,13,0,62,20.860688699409366,0.17829648461033645
117,117,1-3246,2,13,1-3246,116,18,0,21,20.662491333670914,0.1781249252902665
143,143,1-12345,5,17,1-12345,97,16,0,10,17.26785301603377,0.1780191032580801
291,291,1-11045,23,21,1-11045,43,7,0,5,7.633926508016884,0.1775331746050438
503,503,1-11534,3,15,1-11534,12,2,0,1,2.126785301603377,0.17723210846694806
502,502,1-0305,16,23,1-0305,12,2,0,1,2.126785301603377,0.17723210846694806
100,100,1-0541,17,5,1-0541,132,15,0,65,23.241044604219496,0.17606851972893559
160,160,1-1119,18,4,1-1119,83,13,0,9,14.141067714430392,0.17037430981241436
381,381,1-6554,3,15,1-6554,28,4,0,6,4.760711809620261,0.17002542177215219
14,14,1-3037,3,15,1-3037,467,68,0,89,79.28389184270054,0.16977278767173565
202,202,1-1367,14,7,1-1367,66,8,0,25,11.169632540084422,0.16923685666794577
15,15,MLG14,8,20,MLG14,462,77,0,4,77.50714120641351,0.16776437490565693
165,165,1-8368,5,17,1-8368,80,12,0,11,13.394638317637146,0.16743297897046433
44,44,1-8371,2,13,1-8371,255,40,0,20,42.53570603206754,0.16680669032183348
138,138,1-7993,17,5,1-7993,100,13,0,29,16.67677374649793,0.1667677374649793
500,500,1-19859,8,20,1-19859,12,2,0,0,2.0,0.16666666666666666
403,403,1-9436,8,20,1-9436,24,4,0,0,4.0,0.16666666666666666
212,212,1-8916,7,19,1-8916,61,8,0,16,10.02856482565403,0.16440270205990212
3,3,MLG06,18,4,MLG06,634,81,0,182,104.07492489181459,0.16415603295238895
238,238,MLG20,7,19,MLG20,55,8,0,8,9.014282412827015,0.1638960438695821
24,24,MLG62,8,20,MLG62,370,59,0,12,60.52142361924052,0.16357141518713655
446,446,1-7715,23,21,1-7715,20,3,0,2,3.2535706032067537,0.16267853016033768
460,460,1-7083,1,14,1-7083,17,2,0,6,2.760711809620261,0.1623948123306036
119,119,1-1136,12,9,1-1136,113,12,0,50,18.339265080168843,0.16229438124043225
47,47,1-1035,11,10,1-1035,249,34,0,47,39.95890917535871,0.16047754688899082
455,455,1-9225,4,16,1-9225,18,2,0,7,2.887497111223638,0.160416506179091
368,368,1-18927,1,14,1-18927,30,4,0,6,4.760711809620261,0.1586903936540087
338,338,1-8497,17,5,1-8497,34,4,0,11,5.3946383176371455,0.15866583287168076
53,53,1-6727,17,5,1-6727,235,26,0,88,37.157106541097164,0.1581153469833922
315,315,1-6764,22,24,1-6764,38,6,0,0,6.0,0.15789473684210525
444,444,1-7467,15,6,1-7467,20,1,0,17,3.1553501272574067,0.15776750636287035
471,471,1-9396,1,14,1-9396,16,2,0,4,2.5071412064135075,0.15669632540084422
375,375,1-8187,16,23,1-8187,29,3,0,12,4.521423619240522,0.15591115928415594
42,42,1-8681,19,3,1-8681,260,26,0,114,40.45352438278496,0.15559047839532678
192,192,1-3254,6,18,1-3254,68,9,0,12,10.521423619240522,0.15472681793000767
254,254,1-8808,23,21,1-8808,52,7,0,8,8.014282412827015,0.15412081563128874
99,99,1-0917,9,12,1-0917,134,14,0,52,20.592835683375597,0.15367787823414625
82,82,MLG33,23,21,MLG33,161,23,0,13,24.6482089208439,0.15309446534685653
81,81,1-7038,15,6,1-7038,163,21,0,30,24.803559048101306,0.15216907391473194
342,342,1-18987,19,3,1-18987,34,4,0,9,5.141067714430392,0.15120787395383506
513,513,1-18770,19,3,1-18770,10,1,0,4,1.5071412064135075,0.15071412064135076
514,514,1-10823,15,6,1-10823,10,1,0,4,1.5071412064135075,0.15071412064135076
235,235,1-9040,19,3,1-9040,55,6,0,18,8.282135428860784,0.15058428052474152
241,241,1-8058,20,2,1-8058,54,8,0,1,8.126785301603377,0.15049602410376625
437,437,1-11533,8,20,1-11533,20,3,0,0,3.0,0.15
440,440,1-20081,20,2,1-20081,20,3,0,0,3.0,0.15
97,97,1-4654,5,17,1-4654,138,19,0,13,20.6482089208439,0.14962470232495578
237,237,1-18266,20,2,1-18266,55,8,0,1,8.126785301603377,0.14775973275642504
130,130,1-8754,12,9,1-8754,108,11,0,38,15.81784146092832,0.14646149500859557
49,49,1-19257,1,14,1-19257,246,30,0,46,35.832123873755336,0.1456590401372168
301,301,1-3469,3,15,1-3469,40,5,0,6,5.760711809620261,0.14401779524050654
84,84,1-1712,17,5,1-1712,157,17,0,44,22.578553270548582,0.14381244121368525
535,535,1-3117,23,21,1-3117,7,1,0,0,1.0,0.14285714285714285
207,207,1-7488,5,17,1-7488,65,8,0,10,9.267853016033769,0.1425823540928272
302,302,1-7809,13,8,1-7809,40,5,0,5,5.633926508016884,0.1408481627004221
466,466,MLG04,1,14,MLG04,16,2,0,2,2.2535706032067537,0.1408481627004221
155,155,1-2364,19,3,1-2364,88,6,0,49,12.212479778565466,0.1387781793018803
54,54,MLG66,1,14,MLG66,229,27,0,36,31.564270857721567,0.1378352439201815
210,210,1-1514,1,14,1-1514,64,7,0,14,8.774994222447276,0.1371092847257387
509,509,1-0337,4,16,1-0337,11,1,0,4,1.5071412064135075,0.1370128369466825
242,242,1-18469,3,15,1-18469,54,6,0,11,7.3946383176371455,0.1369377466229101
369,369,1-9217,8,20,1-9217,30,4,0,0,4.0,0.13333333333333333
174,174,MLG17,8,20,MLG17,76,10,0,1,10.126785301603377,0.13324717502109706
262,262,1-7656,9,12,1-7656,48,5,0,11,6.3946383176371455,0.13322163161744052
