Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
474,474,474,1-19108,4,2,1-19108,16,0,0,15,14.40233941655606,0.9001462135347538
410,410,410,7W2-12806,23,22,7W2-12806,23,0,0,21,20.163275183178484,0.8766641383990645
444,444,444,1-7467,15,15,1-7467,20,1,0,17,17.322651338763535,0.8661325669381768
129,129,129,MLG56,2,5,MLG56,109,4,0,86,86.57341265492141,0.7942514922469854
337,337,337,1-3079,4,2,1-3079,34,0,0,28,26.884366910904646,0.7907166738501367
105,105,105,1-0529,14,14,1-0529,124,13,0,82,91.73278881050646,0.7397805549234392
300,300,300,1-3077,1,4,1-3077,41,0,0,28,26.884366910904646,0.6557162661196255
240,240,240,1-10808,2,5,1-10808,54,1,0,34,33.64530267752707,0.6230611606949458
114,114,114,1-6166,12,12,1-6166,117,13,0,62,72.52966958843172,0.6199117058840318
162,162,162,1-10960,12,12,1-10960,82,17,0,34,49.64530267752707,0.6054305204576472
232,232,232,1-18412,9,6,1-18412,56,4,0,31,33.76483479421586,0.6029434784681403
155,155,155,1-2364,19,18,1-2364,88,6,0,49,53.04764209408313,0.6028141147054901
353,353,353,1-7456,10,10,1-7456,32,1,0,19,19.24296326097101,0.601342601905344
525,525,525,1-19067,9,6,1-19067,8,0,0,5,4.800779805518687,0.6000974756898358
445,445,445,1-2028,15,15,1-2028,20,10,0,2,11.920311922207475,0.5960155961103737
391,391,391,1-7301,19,18,1-7301,26,3,0,13,15.482027494348586,0.5954625959364841
100,100,100,1-0541,17,16,1-0541,132,15,0,65,77.41013747174293,0.5864404353919919
364,364,364,1-5515,17,16,1-5515,30,5,0,13,17.482027494348586,0.5827342498116195
213,213,213,1-10043,17,16,1-10043,61,8,0,28,34.884366910904646,0.5718748673918794
189,189,189,1-0582,11,11,1-0582,70,7,0,34,39.64530267752707,0.5663614668218153
55,55,55,MLG13,8,9,MLG13,225,30,0,100,126.01559611037374,0.5600693160461054
70,70,70,1-5228,12,12,1-5228,180,12,0,92,100.33434842154384,0.5574130467863546
236,236,236,1-8053,2,5,1-8053,55,2,0,29,29.844522872008383,0.5426276885819706
119,119,119,1-1136,12,12,1-1136,113,12,0,50,60.00779805518687,0.5310424606653705
141,141,141,1-7081,9,6,1-7081,99,5,0,49,52.04764209408313,0.5257337585260923
42,42,42,1-8681,19,18,1-8681,260,26,0,114,135.45777956582606,0.5209914598685618
83,83,83,1-7306,13,13,1-7306,159,56,0,27,81.92421094980091,0.5152466097471755
77,77,77,MLG50,7,7,MLG50,168,3,0,87,86.53356861602515,0.5150807655715782
409,409,409,1-9245,9,6,1-9245,23,8,0,4,11.84062384441495,0.5148097323658674
219,219,219,1-8702,4,2,1-8702,59,10,0,21,30.163275183178484,0.5112419522572624
23,23,23,1-8567,17,16,1-8567,388,61,0,143,198.30230243783444,0.5110884083449341
375,375,375,1-8187,16,24,1-8187,29,3,0,12,14.521871533244848,0.5007541908015465
8,8,8,MLG15,7,7,MLG15,559,29,0,261,279.60070584807545,0.5001801535743747
233,233,233,1-8135,9,6,1-8135,56,0,0,29,27.844522872008383,0.49722362271443543
271,271,271,1-5568,17,16,1-5568,47,7,0,17,23.322651338763535,0.49622662422901137
539,539,539,P1-17272,15,15,P1-17272,6,2,0,1,2.9601559611037374,0.4933593268506229
376,376,376,1-3356,2,5,1-3356,28,8,0,6,13.760935766622424,0.4914619916650866
552,552,552,1-5303,9,6,1-5303,4,1,0,1,1.9601559611037374,0.49003899027593434
86,86,86,MLG65,3,3,MLG65,155,22,0,56,75.76873382180929,0.4888305407858664
153,153,153,1-8666,14,14,1-8666,89,3,0,42,43.32655036635697,0.4868151726556963
202,202,202,1-1367,14,14,1-1367,66,8,0,25,32.003899027593434,0.48490756102414295
455,455,455,1-9225,4,2,1-9225,18,2,0,7,8.721091727726161,0.48450509598478675
64,64,64,1-0983,14,14,1-0983,195,9,0,89,94.45388053823262,0.4843788745550391
514,514,514,1-10823,15,15,1-10823,10,1,0,4,4.840623844414949,0.48406238444149496
513,513,513,1-18770,19,18,1-18770,10,1,0,4,4.840623844414949,0.48406238444149496
341,341,341,1-0363,1,4,1-0363,34,1,0,16,16.362495377659798,0.4812498640488176
550,550,550,1-3142,17,16,1-3142,4,0,0,2,1.9203119222074747,0.4800779805518687
178,178,178,1-9071,17,16,1-9071,75,4,0,33,35.68514671642333,0.47580195621897775
159,159,159,1-5687,6,8,1-5687,83,1,0,40,39.406238444149494,0.47477395715842763
223,223,223,1-5686,16,24,1-5686,59,4,0,25,28.003899027593434,0.4746423563998887
205,205,205,1-0447,11,11,1-0447,65,1,0,31,30.764834794215858,0.473305150680244
53,53,53,1-6727,17,16,1-6727,235,26,0,88,110.49372457712889,0.4701860620303357
382,382,382,1-3472,22,23,1-3472,28,13,0,0,13.0,0.4642857142857143
168,168,168,1-7523,14,14,1-7523,79,4,0,34,36.64530267752707,0.46386459085477305
324,324,324,1-19093,17,16,1-19093,36,7,0,10,16.601559611037374,0.46115443363992703
191,191,191,1-0429,14,14,1-0429,69,3,0,30,31.80467883311212,0.4609373743929293
104,104,104,MLG64,2,5,MLG64,129,14,0,47,59.127330171875656,0.4583513966812066
460,460,460,1-7083,1,4,1-7083,17,2,0,6,7.760935766622424,0.4565256333307308
508,508,508,1-7737,22,23,1-7737,11,5,0,0,5.0,0.45454545454545453
310,310,310,MLG43,23,22,MLG43,39,3,0,15,17.40233941655606,0.44621383119374514
9,9,9,MLG63,2,5,MLG63,543,30,0,219,240.27415548171848,0.4424938406661482
180,180,180,1-9294,15,15,1-9294,74,23,0,10,32.60155961103737,0.4405616163653699
426,426,426,1-20040,10,10,1-20040,22,2,0,8,9.681247688829899,0.44005671312863176
130,130,130,1-8754,12,12,1-8754,108,11,0,38,47.48592652194202,0.4396845048327965
442,442,442,1-9232,1,4,1-9232,20,3,0,6,8.760935766622424,0.4380467883311212
30,30,30,1-8718,4,2,1-8718,333,83,0,65,145.41013747174293,0.4366670794947235
243,243,243,1-9542,9,6,1-9542,54,12,0,12,23.52187153324485,0.4355902135786083
108,108,108,1-1005,14,14,1-1005,122,7,0,48,53.08748613297939,0.4351433289588475
109,109,109,1-3364,17,16,1-3364,121,17,0,37,52.52577056083828,0.43409727736229986
472,472,472,1-3733,15,15,1-3733,16,4,0,3,6.880467883311212,0.43002924270695075
279,279,279,1-20068,14,14,1-20068,45,3,0,17,19.322651338763535,0.429392251972523
69,69,69,1-8564,17,16,1-8564,185,16,0,66,79.37029343284667,0.42902861315052254
338,338,338,1-8497,17,16,1-8497,34,4,0,11,14.561715572141111,0.42828575212179737
235,235,235,1-9040,19,18,1-9040,55,6,0,18,23.282807299867272,0.42332376908849584
306,306,306,1-8990,16,24,1-8990,40,12,0,5,16.800779805518687,0.42001949513796716
537,537,537,P1-6891,9,6,P1-6891,7,1,0,2,2.9203119222074747,0.4171874174582107
66,66,66,1-3496,14,14,1-3496,192,10,0,72,79.13122919946909,0.4121418187472348
377,377,377,1-10305,19,18,1-10305,28,0,0,12,11.521871533244848,0.4114954119016017
138,138,138,1-7993,17,16,1-7993,100,13,0,29,40.84452287200838,0.4084452287200838
131,131,131,1-6501,18,17,1-6501,107,6,0,39,43.44608248304576,0.4060381540471566
340,340,340,1-10981,15,15,1-10981,34,8,0,6,13.760935766622424,0.4047334049006595
3,3,3,MLG06,18,17,MLG06,634,81,0,182,255.7483849208802,0.4033886197490224
496,496,496,1-7712,1,4,1-7712,12,1,0,4,4.840623844414949,0.40338532036791247
111,111,111,1-1887,19,18,1-1887,119,11,0,38,47.48592652194202,0.3990413993440506
184,184,184,MLG18,3,3,MLG18,72,20,0,9,28.641403649933636,0.39779727291574496
423,423,423,1-1636,15,15,1-1636,22,2,0,7,8.721091727726161,0.3964132603511892
92,92,92,1-6511,23,22,1-6511,144,8,0,51,56.967954016290605,0.39561079177979586
76,76,76,1-7518,12,12,1-7518,169,32,0,36,66.56561459973454,0.3938793763297902
516,516,516,1-17965,1,4,1-17965,10,2,0,2,3.9203119222074747,0.39203119222074745
22,22,22,1-6568,14,14,1-6568,394,23,0,136,153.58121071010828,0.38980002718301593
61,61,61,1-8484,21,20,1-8484,202,17,0,64,78.44998151063919,0.3883662451021742
256,256,256,1-0984,15,15,1-0984,50,3,0,17,19.322651338763535,0.3864530267752707
4,4,4,1-1530,14,14,1-1530,632,33,0,220,244.23431144282222,0.38644669532092124
288,288,288,MLG01,10,10,MLG01,43,6,0,11,16.56171557214111,0.3851561760963049
37,37,37,1-7946,14,14,1-7946,289,16,0,99,111.05544014927,0.38427487940923877
206,206,206,1-8629,18,17,1-8629,65,0,0,26,24.96405498869717,0.38406238444149493
543,543,543,1-18953,6,8,1-18953,5,0,0,2,1.9203119222074747,0.38406238444149493
541,541,541,1-19192,18,17,1-19192,5,0,0,2,1.9203119222074747,0.38406238444149493
264,264,264,1-8284,17,16,1-8284,48,2,0,17,18.322651338763535,0.38172190289090696
413,413,413,1-5819,19,18,1-5819,23,1,0,8,8.681247688829899,0.3774455516882565
84,84,84,1-1712,17,16,1-1712,157,17,0,44,59.246862288564444,0.3773685496086907
451,451,451,1-7146,9,6,1-7146,18,0,0,7,6.7210917277261615,0.37339398487367564
457,457,457,1-5287,23,22,1-5287,18,0,0,7,6.7210917277261615,0.37339398487367564
166,166,166,1-5696,10,10,1-5696,80,2,0,29,29.844522872008383,0.3730565359001048
342,342,342,1-18987,19,18,1-18987,34,4,0,9,12.641403649933636,0.3718059897039305
285,285,285,1-18816,1,4,1-18816,44,0,0,17,16.322651338763535,0.37096934860826214
475,475,475,1-9548,8,9,1-9548,16,3,0,3,5.880467883311212,0.36752924270695075
471,471,471,1-9396,1,4,1-9396,16,2,0,4,5.840623844414949,0.36503899027593434
321,321,321,1-3257,8,9,1-3257,37,0,0,14,13.442183455452323,0.36330225555276546
94,94,94,1-3693,11,11,1-3693,143,23,0,30,51.80467883311212,0.36227048135043444
99,99,99,1-0917,9,6,1-0917,134,13,0,37,48.52577056083828,0.36213261612565883
316,316,316,1-3216,1,4,1-3216,38,7,0,7,13.721091727726161,0.36108136125595164
527,527,527,1-7711,11,11,1-7711,8,0,0,3,2.880467883311212,0.3600584854139015
67,67,67,1-4394,21,20,1-4394,190,3,0,68,68.29060535505414,0.35942423871081125
212,212,212,1-8916,7,7,1-8916,61,16,0,6,21.760935766622424,0.356736651911843
112,112,112,1-1166,1,4,1-1166,118,18,0,25,42.003899027593434,0.35596524599655455
369,369,369,1-9217,8,9,1-9217,30,2,0,9,10.641403649933636,0.3547134549977879
509,509,509,1-0337,4,2,1-0337,11,1,0,3,3.880467883311212,0.35276980757374654
46,46,46,1-3056,4,2,1-3056,250,40,0,50,88.00779805518687,0.35203119222074747
297,297,297,1-6101,16,24,1-6101,41,0,0,15,14.40233941655606,0.3512765711355137
381,381,381,1-6554,3,3,1-6554,28,4,0,6,9.760935766622424,0.34860484880794373
59,59,59,1-0916,19,18,1-0916,215,1,0,77,74.93200900498778,0.34852097211622224
358,358,358,1-5655,15,15,1-5655,31,5,0,6,10.760935766622424,0.3471269602136266
47,47,47,1-1035,11,11,1-1035,249,34,0,54,85.84842189960182,0.3447727787132603
488,488,488,1-2322,1,4,1-2322,14,0,0,5,4.800779805518687,0.34291284325133475
192,192,192,1-3254,6,8,1-3254,68,5,0,19,23.24296326097101,0.3418082832495737
36,36,36,MLG67,19,18,MLG67,293,29,0,74,100.05154112167656,0.3414728365927528
323,323,323,1-8613,16,24,1-8613,37,3,0,10,12.601559611037374,0.34058269219019927
412,412,412,1-7770,6,8,1-7770,23,3,0,5,7.800779805518687,0.3391643393703777
51,51,51,1-9365,19,18,1-9365,243,11,0,74,82.05154112167656,0.3376606630521669
447,447,447,1-9473,19,18,1-9473,20,0,0,7,6.7210917277261615,0.3360545863863081
435,435,435,1-10919,6,8,1-10919,20,0,0,7,6.7210917277261615,0.3360545863863081
373,373,373,1-18794,11,11,1-18794,29,2,0,8,9.681247688829899,0.333836127201031
125,125,125,1-9260,11,11,1-9260,111,1,0,37,36.52577056083828,0.3290609960435881
14,14,14,1-3037,3,3,1-3037,467,68,0,89,153.45388053823262,0.3285950332724467
39,39,39,1-7172,1,4,1-7172,284,28,0,68,93.29060535505414,0.3284880470248385
96,96,96,1-7402,10,10,1-7402,141,4,0,44,46.246862288564444,0.32799193112457053
428,428,428,1-5221,9,6,1-5221,21,4,0,3,6.880467883311212,0.3276413277767244
106,106,106,1-7872,7,7,1-7872,124,7,0,35,40.60545863863081,0.32746337611799037
29,29,29,1-7462,9,6,1-7462,336,27,0,86,109.57341265492141,0.3261113471872661
368,368,368,1-18927,1,4,1-18927,30,4,0,6,9.760935766622424,0.3253645255540808
154,154,154,1-9157,17,16,1-9157,89,0,0,30,28.80467883311212,0.32364807677654067
433,433,433,1-10042,14,14,1-10042,21,1,0,6,6.760935766622424,0.3219493222201154
26,26,26,1-3047,11,11,1-3047,360,17,0,103,115.89606399368495,0.3219335110935693
560,560,560,1-20124,18,17,1-20124,3,0,0,1,0.9601559611037374,0.3200519870345791
406,406,406,1-7453,6,8,1-7453,24,0,0,8,7.681247688829899,0.3200519870345791
520,520,520,1-5314,17,16,1-5314,9,0,0,3,2.880467883311212,0.3200519870345791
367,367,367,1-9285,6,8,1-9285,30,0,0,10,9.601559611037374,0.3200519870345791
501,501,501,1-5271,14,14,1-5271,12,0,0,4,3.8406238444149494,0.3200519870345791
172,172,172,1-19068,13,13,1-19068,77,15,0,10,24.601559611037374,0.31950077416931655
210,210,210,1-1514,1,4,1-1514,64,7,0,14,20.442183455452323,0.31940911649144255
183,183,183,1-1466,17,16,1-1466,73,2,0,22,23.123431144282222,0.3167593307435921
118,118,118,1-3051,12,12,1-3051,116,6,0,32,36.724990755319595,0.31659474789068615
88,88,88,MLG68,9,6,MLG68,152,2,0,48,48.08748613297939,0.3163650403485486
247,247,247,1-8177,16,24,1-8177,53,10,0,7,16.72109172772616,0.3154922967495502
289,289,289,1-7390,1,4,1-7390,43,3,0,11,13.561715572141111,0.3153887342358398
50,50,50,1-4011,17,16,1-4011,246,17,0,63,77.48982554953545,0.31499929085177014
35,35,35,1-7901,9,6,1-7901,298,41,0,54,92.84842189960182,0.3115718855691336
380,380,380,1-20077,9,6,1-20077,28,2,0,7,8.721091727726161,0.3114675617045058
