Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
474,474,474,474,1-19108,4,16,1-19108,16,0,0,15,10.902847051620483,0.6814279407262802
314,314,314,314,1-18973,10,12,1-18973,39,3,0,32,26.25940704345703,0.673318129319411
337,337,337,337,1-3079,4,16,1-3079,34,0,0,28,20.351981163024902,0.5985876812654383
166,166,166,166,1-5696,10,12,1-5696,80,1,0,61,45.338244676589966,0.5667280584573746
426,426,426,426,1-20040,10,12,1-20040,22,8,0,6,12.361138820648193,0.5618699463930997
224,224,224,224,1-8087,16,6,1-8087,58,23,0,13,32.44913411140442,0.5594678295069727
205,205,205,205,1-0447,11,11,1-0447,65,1,0,46,34.43539762496948,0.5297753480764535
162,162,162,162,1-10960,12,10,1-10960,82,17,0,34,41.713119983673096,0.5086965851667451
300,300,300,300,1-3077,1,14,1-3077,41,0,0,28,20.351981163024902,0.496389784464022
114,114,114,114,1-6166,12,10,1-6166,117,13,0,62,58.065101146698,0.49628291578374356
187,187,187,187,MLG82,16,6,MLG82,71,18,0,23,34.71769881248474,0.48898167341527804
391,391,391,391,1-7301,19,3,1-7301,26,3,0,13,12.449134111404419,0.4788128504386315
83,83,83,83,1-7306,13,9,1-7306,159,56,0,27,75.62512469291687,0.4756297150497916
189,189,189,189,1-0582,11,11,1-0582,70,7,0,36,33.16683292388916,0.4738118989127023
155,155,155,155,1-2364,19,3,1-2364,88,6,0,49,41.61596703529358,0.4729087163101543
380,380,380,380,1-20077,9,21,1-20077,28,0,0,17,12.356559991836548,0.4413057139941624
219,219,219,219,1-8702,4,16,1-8702,59,10,0,22,25.99084234237671,0.4405227515657069
70,70,70,70,1-5228,12,10,1-5228,180,12,0,92,78.87079524993896,0.43817108472188315
119,119,119,119,1-1136,12,10,1-1136,113,12,0,50,48.34282350540161,0.4278125973929346
368,368,368,368,1-18927,1,14,1-18927,30,4,0,12,12.722277641296387,0.4240759213765462
42,42,42,42,1-8681,19,3,1-8681,260,26,0,114,108.86163759231567,0.41869860612429105
445,445,445,445,1-2028,15,7,1-2028,20,4,0,6,8.361138820648193,0.41805694103240965
516,516,516,516,1-17965,1,14,1-17965,10,2,0,3,4.180569410324097,0.41805694103240965
24,24,24,24,MLG62,8,19,MLG62,370,39,0,159,154.57017874717712,0.41775723985723545
30,30,30,30,1-8718,4,16,1-8718,333,83,0,74,136.78737878799438,0.41077290927325644
151,151,151,151,1-7725,5,17,1-7725,90,3,0,46,36.43539762496948,0.4048377513885498
86,86,86,86,MLG65,3,15,MLG65,155,22,0,56,62.703962326049805,0.40454169242612775
528,528,528,528,1-3369,10,12,1-3369,8,1,0,3,3.1805694103240967,0.3975711762905121
455,455,455,455,1-9225,4,16,1-9225,18,2,0,7,7.087995290756226,0.3937775161531236
513,513,513,513,1-18770,19,3,1-18770,10,1,0,4,3.907425880432129,0.3907425880432129
52,52,52,52,1-7302,1,14,1-7302,240,21,0,98,92.23193407058716,0.38429972529411316
353,353,353,353,1-7456,10,12,1-7456,32,5,0,10,12.268564701080322,0.38339264690876007
27,27,27,27,1-7425,5,17,1-7425,352,30,0,144,134.66733169555664,0.38257764686237683
136,136,136,136,1-7720,10,12,1-7720,102,14,0,34,38.713119983673096,0.37954039199679507
46,46,46,46,1-3056,4,16,1-3056,250,40,0,75,94.51423525810242,0.37805694103240967
374,374,374,374,1-7486,8,19,1-7486,29,0,0,15,10.902847051620483,0.375960243159327
411,411,411,411,1-8186,2,13,1-8186,23,2,0,9,8.54170823097229,0.37137861873792566
340,340,340,340,1-10981,15,7,1-10981,34,6,0,9,12.54170823097229,0.368873771499185
184,184,184,184,MLG18,3,15,MLG18,72,20,0,9,26.54170823097229,0.3686348365412818
16,16,16,16,1-0691,10,12,1-0691,450,14,0,208,165.1861457824707,0.367080323961046
281,281,281,281,1-7622,10,12,1-7622,45,7,0,13,16.44913411140442,0.36553631358676486
566,566,566,566,1-3380,1,14,1-3380,2,0,0,1,0.7268564701080322,0.3634282350540161
130,130,130,130,1-8754,12,10,1-8754,108,11,0,38,38.620545864105225,0.3575976468898632
180,180,180,180,1-9294,15,7,1-9294,74,14,0,17,26.356559991836548,0.3561697296194128
509,509,509,509,1-0337,4,16,1-0337,11,1,0,4,3.907425880432129,0.355220534584739
472,472,472,472,1-3733,15,7,1-3733,16,2,0,5,5.634282350540161,0.35214264690876007
235,235,235,235,1-9040,19,3,1-9040,55,6,0,18,19.08341646194458,0.34697120839899237
207,207,207,207,1-7488,5,17,1-7488,65,8,0,20,22.537129402160645,0.3467250677255484
240,240,240,240,1-10808,2,13,1-10808,54,2,0,23,18.71769881248474,0.34662405208305075
