Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
474,474,474,474,474,1-19108,4,2,1-19108,16,0,0,15,12.741153202950954,0.7963220751844347
410,410,410,410,410,7W2-12806,23,22,7W2-12806,23,0,0,21,17.837614484131336,0.7755484558317972
444,444,444,444,444,1-7467,15,15,1-7467,20,1,0,17,15.439973630011082,0.7719986815005541
129,129,129,129,129,MLG56,2,5,MLG56,109,4,0,86,77.04927836358547,0.7068741134273897
337,337,337,337,337,1-3079,4,2,1-3079,34,0,0,28,23.78348597884178,0.6995142934953466
105,105,105,105,105,1-0529,14,14,1-0529,124,13,0,82,82.65163750946522,0.6665454637860099
445,445,445,445,445,1-2028,15,15,1-2028,20,10,0,2,11.698820427060127,0.5849410213530064
300,300,300,300,300,1-3077,1,4,1-3077,41,0,0,28,23.78348597884178,0.5800850238741898
114,114,114,114,114,1-6166,12,12,1-6166,117,13,0,62,65.66343323886395,0.5612259251184952
162,162,162,162,162,1-10960,12,12,1-10960,82,17,0,34,45.87994726002216,0.5595115519514898
240,240,240,240,240,1-10808,2,5,1-10808,54,1,0,34,29.879947260022163,0.5533323566670771
232,232,232,232,232,1-18412,9,6,1-18412,56,4,0,31,30.331716619431973,0.5416377967755709
155,155,155,155,155,1-2364,19,18,1-2364,88,6,0,49,47.62110046297312,0.5411488688974218
391,391,391,391,391,1-7301,19,18,1-7301,26,3,0,13,14.042332775890827,0.5400897221496472
353,353,353,353,353,1-7456,10,10,1-7456,32,1,0,19,17.13879405707121,0.5355873142834753
364,364,364,364,364,1-5515,17,16,1-5515,30,5,0,13,16.042332775890827,0.5347444258630276
100,100,100,100,100,1-0541,17,16,1-0541,132,15,0,65,70.21166387945414,0.5319065445413192
525,525,525,525,525,1-19067,9,6,1-19067,8,0,0,5,4.247051067650318,0.5308813834562898
213,213,213,213,213,1-10043,17,16,1-10043,61,8,0,28,31.78348597884178,0.5210407537515046
189,189,189,189,189,1-0582,11,11,1-0582,70,7,0,34,35.87994726002216,0.5125706751431738
55,55,55,55,55,MLG13,8,9,MLG13,225,30,0,100,114.94102135300636,0.5108489837911394
70,70,70,70,70,1-5228,12,12,1-5228,180,12,0,92,90.14573964476585,0.5008096646931436
83,83,83,83,83,1-7306,13,13,1-7306,159,56,0,27,78.93407576531172,0.49644072808372147
409,409,409,409,409,1-9245,9,6,1-9245,23,8,0,4,11.397640854120255,0.49554960235305456
236,236,236,236,236,1-8053,2,5,1-8053,55,2,0,29,26.632896192371845,0.48423447622494264
119,119,119,119,119,1-1136,12,12,1-1136,113,12,0,50,54.47051067650318,0.4820399174911786
