Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
497,497,1-8039,19,24,1-8039,12,0,0,22,14.837732559069991,1.2364777132558327
410,410,7W2-12806,23,22,7W2-12806,23,0,0,40,26.97769556194544,1.1729432853019757
574,574,1-4618,23,22,1-4618,1,0,0,1,0.674442389048636,0.674442389048636
474,474,1-19108,4,14,1-19108,16,0,0,15,10.11663583572954,0.6322897397330962
314,314,1-18973,10,10,1-18973,39,3,0,32,24.58215644955635,0.6303117038347782
444,444,1-7467,15,5,1-7467,20,1,0,17,12.465520613826811,0.6232760306913405
32,32,1-3152,17,4,1-3152,323,19,0,248,186.26171248406172,0.5766616485574666
213,213,1-10043,17,4,1-10043,61,8,0,40,34.97769556194544,0.5734048452777941
445,445,1-2028,15,5,1-2028,20,10,0,2,11.348884778097272,0.5674442389048636
337,337,1-3079,4,14,1-3079,34,0,0,28,18.884386893361807,0.5554231439224061
105,105,1-0529,14,6,1-0529,124,13,0,82,68.30427590198815,0.5508409346934529
426,426,1-20040,10,10,1-20040,22,8,0,6,12.046654334291816,0.5475751970132644
541,541,1-19192,18,3,1-19192,5,0,0,4,2.697769556194544,0.5395539112389087
247,247,1-8177,16,20,1-8177,53,19,0,14,28.442193446680903,0.5366451593713378
166,166,1-5696,10,10,1-5696,80,1,0,61,42.14098573196679,0.5267623216495849
223,223,1-5686,16,20,1-5686,59,14,0,25,30.8610597262159,0.5230688089189135
382,382,1-3472,22,21,1-3472,28,13,0,2,14.348884778097272,0.5124601706463311
306,306,1-8990,16,20,1-8990,40,15,0,8,20.395539112389088,0.5098884778097272
550,550,1-3142,17,4,1-3142,4,0,0,3,2.023327167145908,0.505831791786477
205,205,1-0447,11,9,1-0447,65,1,0,46,32.024349896237254,0.49268230609595776
162,162,1-10960,12,8,1-10960,82,17,0,34,39.93104122765362,0.48696391741041
114,114,1-6166,12,8,1-6166,117,13,0,62,54.81542812101543,0.4685079326582515
83,83,1-7306,13,7,1-7306,159,56,0,27,74.20994450431317,0.46672921071895074
300,300,1-3077,1,12,1-3077,41,0,0,28,18.884386893361807,0.46059480227711724
508,508,1-7737,22,21,1-7737,11,5,0,0,5.0,0.45454545454545453
560,560,1-20124,18,3,1-20124,3,0,0,2,1.348884778097272,0.4496282593657573
189,189,1-0582,11,9,1-0582,70,7,0,36,31.279926005750895,0.44685608579644137
539,539,P1-17272,15,5,P1-17272,6,2,0,1,2.674442389048636,0.4457403981747727
351,351,1-4776,20,2,1-4776,33,3,0,17,14.465520613826811,0.43834910950990336
319,319,1-8765,19,24,1-8765,38,0,0,24,16.186617337167263,0.4259636141359806
219,219,1-8702,4,14,1-8702,59,10,0,22,24.83773255906999,0.42097851795033886
92,92,1-6511,23,22,1-6511,144,8,0,78,60.606506345793605,0.4208785162902334
100,100,1-0541,17,4,1-0541,132,15,0,59,54.79210095386952,0.41509167389295093
364,364,1-5515,17,4,1-5515,30,5,0,11,12.418866279534996,0.4139622093178332
70,70,1-5228,12,8,1-5228,180,12,0,92,74.04869979247451,0.4113816655137473
375,375,1-8187,16,20,1-8187,29,3,0,13,11.767751057632267,0.4057845192286989
119,119,1-1136,12,8,1-1136,113,12,0,50,45.7221194524318,0.40462052612771504
18,18,1-5635,18,3,1-5635,417,48,0,179,168.72518763970584,0.4046167569297502
237,237,1-18266,20,2,1-18266,55,6,0,24,22.186617337167263,0.40339304249395025
368,368,1-18927,1,12,1-18927,30,4,0,12,12.093308668583632,0.4031102889527877
516,516,1-17965,1,12,1-17965,10,2,0,3,4.023327167145908,0.4023327167145908
