Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,1-3037,18,9,1-3037,467,69,3,69,3130.1576892016456,6.702693124628792
364,MLG02,18,9,MLG02,755,74,3,301,3340.7893398506567,4.424886542848552
353,1-8681,11,6,1-8681,260,33,1,27,1056.9312696876004,4.065120268029233
158,MLG12,11,6,MLG12,569,38,1,193,1209.064261100255,2.1248932532517664
37,1-8039,14,11,1-8039,12,1,0,22,20.49955307878554,1.708296089898795
228,1-18816,5,10,1-18816,44,1,0,44,39.99910615757108,0.9090705944902517
507,1-19067,10,20,1-19067,8,7,0,0,7.0,0.875
488,1-18369,3,7,1-18369,7,5,0,1,5.886343321762979,0.8409061888232827
553,1-17965,18,9,1-17965,10,3,0,6,8.318059930577874,0.8318059930577875
483,MLG47,14,11,MLG47,106,2,0,96,87.08895888924599,0.8215939517853394
197,1-20780,2,24,1-20780,12,0,0,11,9.74977653939277,0.8124813782827308
439,1-8062,12,14,1-8062,17,11,0,3,13.659029965288937,0.8034723508993492
80,1-21411,1,23,1-21411,5,4,0,0,4.0,0.8
534,MLG48,7,13,MLG48,116,6,0,97,91.97530221100897,0.7928905363018014
414,1-5140,3,7,1-5140,10,5,0,3,7.659029965288937,0.7659029965288937
65,1-6721,9,3,1-6721,36,0,0,30,26.59029965288937,0.7386194348024825
64,1-8729,20,12,1-8729,53,0,0,44,38.99910615757108,0.7358321916522845
426,1-7332,7,13,1-7332,53,7,0,36,38.908359583467245,0.7341199921408914
445,MLG61,17,4,MLG61,218,32,0,144,159.63343833386898,0.7322634785957293
195,1-3079,3,7,1-3079,34,0,0,28,24.817613009363413,0.7299297943930415
481,1-19851,18,9,1-19851,25,11,0,8,18.090746574103832,0.7236298629641533
162,1-8242,19,22,1-8242,11,7,0,1,7.886343321762979,0.7169403019784526
384,1-0584,8,5,1-0584,41,9,0,23,29.385896400548518,0.7167291805011834
391,1-8165,14,11,1-8165,420,62,0,269,300.42635355424136,0.7153008417958128
440,1-9197,20,12,1-9197,16,7,0,5,11.431716608814895,0.714482288050931
432,1-1067,17,4,1-1067,17,12,0,0,12.0,0.7058823529411765
174,1-6568,13,19,1-6568,394,9,0,303,277.56202649418265,0.7044721484623925
486,1-6506,9,3,1-6506,70,1,0,54,48.86253937520087,0.6980362767885838
393,1-2292,2,24,1-2292,252,15,0,179,173.65545459557325,0.6891089468078303
397,1-6492,11,6,1-6492,48,2,0,35,33.022016261704266,0.6879586721188389
359,1-6166,4,15,1-6166,117,43,0,40,78.45373287051916,0.6705447253890526
528,MLG77,14,11,MLG77,9,6,0,0,6.0,0.6666666666666666
451,1-7146,14,11,1-7146,18,4,0,9,11.977089895866811,0.6653938831037117
484,MLG35,3,7,MLG35,44,11,0,20,28.72686643525958,0.6528833280740813
167,1-9287,20,12,1-9287,21,8,0,6,13.318059930577874,0.6341933300275178
327,1-4609,15,8,1-4609,7,0,0,5,4.431716608814895,0.6331023726878422
235,1-3077,18,9,1-3077,41,1,0,28,25.817613009363413,0.6296978782771564
385,MLG70,19,22,MLG70,269,18,0,170,168.67836469970644,0.6270571178427748
17,1-9217,19,22,1-9217,30,8,0,12,18.63611986115575,0.6212039953718583
291,1-17979,7,13,1-17979,17,7,0,4,10.545373287051916,0.6203160757089362
559,1-9466,20,12,1-9466,8,4,0,1,4.886343321762979,0.6107929152203724
319,1-20040,18,9,1-20040,22,9,0,5,13.431716608814895,0.6105325731279497
468,1-11523,14,11,1-11523,24,4,0,12,14.636119861155748,0.6098383275481561
536,1-1964,15,8,1-1964,48,7,0,25,29.158583044074476,0.6074704800848849
83,1-1152,3,7,1-1152,112,25,0,48,67.544479444623,0.6030757093269911
470,1-10043,7,13,1-10043,61,19,0,20,36.72686643525958,0.6020797776272062
108,1-0917,3,7,1-0917,134,60,0,23,80.38589640054852,0.5998947492578247
372,1-6511,8,5,1-6511,144,10,0,86,86.2255256716162,0.5987883727195569
456,1-2006,16,17,1-2006,40,0,0,27,23.931269687600434,0.5982817421900108
505,1-7936,7,13,1-7936,59,14,0,24,35.2722397223115,0.5978345715646016
306,1-18987,5,10,1-18987,34,14,0,7,20.204403252340853,0.5942471544806134
305,1-7472,5,10,1-7472,12,0,0,8,7.090746574103832,0.5908955478419861
358,MLG18,20,12,MLG18,72,28,0,16,42.181493148207664,0.5858540715028843
542,1-5287,5,10,1-5287,18,7,0,4,10.545373287051916,0.5858540715028843
340,1-0487,19,22,1-0487,18,7,0,4,10.545373287051916,0.5858540715028843
186,1-8162,20,12,1-8162,22,4,0,10,12.86343321762979,0.5847015098922632
225,1-17970,5,10,1-17970,36,13,0,9,20.97708989586681,0.5826969415518559
160,1-0363,8,5,1-0363,34,2,0,20,19.72686643525958,0.5802019539782229
490,1-6591,5,10,1-6591,79,5,0,46,45.771792801097035,0.5793897822923675
211,1-7187,7,13,1-7187,96,12,0,49,55.43082276638597,0.5774044038165206
458,1-9063,8,5,1-9063,35,13,0,8,20.090746574103832,0.5740213306886809
572,1-9584,4,15,1-9584,8,1,0,4,4.545373287051916,0.5681716608814895
157,1-2318,15,8,1-2318,13,2,0,6,7.318059930577874,0.5629276869675288
295,1-7522,15,8,1-7522,67,4,0,38,37.6810462269932,0.5624036750297493
453,MLG45,7,13,MLG45,179,37,0,71,99.93037584517151,0.5582702561182766
239,1-1136,4,15,1-1136,113,9,0,61,63.06694262754172,0.5581145365269179
351,1-9399,12,14,1-9399,38,15,0,7,21.204403252340853,0.5580106119037067
68,1-6533,6,1,1-6533,21,0,0,13,11.522463182918727,0.5486887229961299
142,MLG17,14,11,MLG17,76,29,0,14,41.408806504681706,0.5448527171668646
335,1-9276,21,21,1-9276,77,18,0,26,41.044926365837455,0.5330509917641227
147,1-7172,7,13,1-7172,284,45,0,120,151.36119861155748,0.5329619669421038
346,1-10823,16,17,1-10823,10,0,0,6,5.318059930577874,0.5318059930577874
137,1-19257,7,13,1-19257,246,28,0,115,129.9294820027426,0.5281686260274089
138,1-2829,19,22,1-2829,52,26,0,1,26.88634332176298,0.5170450638800573
555,1-20068,14,11,1-20068,45,9,0,16,23.181493148207664,0.5151442921823925
156,1-2322,11,6,1-2322,14,1,0,7,7.204403252340853,0.5146002323100609
394,1-8808,11,6,1-8808,52,9,0,20,26.72686643525958,0.5139782006780689
130,MLG32,3,7,MLG32,79,14,0,30,40.59029965288937,0.5138012614289794
248,1-19068,4,15,1-19068,77,4,0,40,39.45373287051916,0.5123861411755736
442,1-7770,9,3,1-7770,23,2,0,11,11.74977653939277,0.510859849538816
294,1-3051,4,15,1-3051,116,5,0,61,59.06694262754172,0.5091977812719114
123,1-3472,13,19,1-3472,28,0,0,16,14.181493148207664,0.5064818981502738
191,1-9285,5,10,1-9285,30,8,0,8,15.090746574103832,0.503024885803461
183,1-18927,17,4,1-18927,30,8,0,8,15.090746574103832,0.503024885803461
524,1-3734,10,20,1-3734,4,2,0,0,2.0,0.5
549,1-10622,18,9,1-10622,4,2,0,0,2.0,0.5
477,1-20081,12,14,1-20081,20,10,0,0,10.0,0.5
345,1-2364,15,8,1-2364,88,20,0,27,43.931269687600434,0.4992189737227322
352,1-2275,13,19,1-2275,130,9,0,63,64.83962927106768,0.4987663790082129
26,1-0918,9,3,1-0918,179,13,0,84,87.45283902809024,0.4885633465256438
233,1-8864,3,7,1-8864,39,11,0,9,18.97708989586681,0.48659204861196953
324,1-3369,19,22,1-3369,8,3,0,1,3.886343321762979,0.4857929152203724
428,1-7733,11,6,1-7733,76,5,0,36,36.908359583467245,0.4856363103087795
449,1-10960,4,15,1-10960,82,6,0,38,39.6810462269932,0.483915197890161
293,MLG20,19,22,MLG20,55,15,0,13,26.522463182918727,0.48222660332579503
155,1-7462,5,10,1-7462,336,40,0,136,160.54269175976515,0.47780563023739625
41,MLG24,3,7,MLG24,49,11,0,14,23.408806504681706,0.4777307449935042
480,1-1514,7,13,1-1514,64,10,0,23,30.385896400548518,0.4747796312585706
79,1-6661,8,5,1-6661,32,1,0,16,15.181493148207664,0.4744216608814895
318,1-3496,13,19,1-3496,192,12,0,89,90.88455563690513,0.4733570606088809
332,1-6501,6,1,1-6501,107,0,0,57,50.521569340489805,0.4721641994438299
67,1-19989,3,7,1-19989,4,1,0,1,1.886343321762979,0.47158583044074476
455,1-10981,5,10,1-10981,34,8,0,9,15.977089895866811,0.46991440870196505
465,1-8053,4,15,1-8053,55,8,0,20,25.72686643525958,0.46776120791381054
379,1-5228,4,15,1-5228,180,11,0,82,83.68015238456428,0.46488973546980156
77,1-7567,8,5,1-7567,27,1,0,13,12.522463182918727,0.4637949327006936
537,1-9499,4,15,1-9499,36,6,0,12,16.63611986115575,0.46211444058765966
152,1-1530,13,19,1-1530,632,43,0,280,291.17613009363413,0.4607217248316996
120,MLG69,19,22,MLG69,73,4,0,33,33.24932961817831,0.4554702687421686
423,1-5696,8,5,1-5696,80,22,0,16,36.181493148207664,0.45226866435259583
203,1-19884,14,11,1-19884,60,11,0,18,26.954179791733623,0.44923632986222706
229,1-6569,21,21,1-6569,360,11,0,169,160.79202137794346,0.4466445038276207
331,1-9412,11,6,1-9412,15,4,0,3,6.659029965288937,0.44393533101926247
