Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
566,566,566,566,566,1-3380,1,7,1-3380,2,0,0,2,1.7121015787124634,0.8560507893562317
91,91,91,91,91,1-6684,4,16,1-6684,145,3,0,135,118.56685656309128,0.817702459055802
410,410,410,410,410,7W2-12806,23,24,7W2-12806,23,0,0,21,17.977066576480865,0.7816115902817767
314,314,314,314,314,1-18973,10,9,1-18973,39,3,0,32,30.393625259399414,0.779323724599985
81,81,81,81,81,1-7038,15,14,1-7038,163,7,0,137,124.27895814180374,0.7624475959619862
13,13,13,13,13,MLG11,4,16,MLG11,493,16,0,368,331.02669048309326,0.6714537332314265
166,166,166,166,166,1-5696,10,9,1-5696,80,1,0,61,53.21909815073013,0.6652387268841267
364,364,364,364,364,1-5515,17,5,1-5515,30,5,0,17,19.55286341905594,0.6517621139685313
205,205,205,205,205,1-0447,11,10,1-0447,65,1,0,46,40.37833631038666,0.6212051740059485
223,223,223,223,223,1-5686,16,22,1-5686,59,14,0,25,35.40126973390579,0.6000215209136575
426,426,426,426,426,1-20040,10,9,1-20040,22,8,0,6,13.13630473613739,0.5971047607335177
247,247,247,247,247,1-8177,16,22,1-8177,53,19,0,14,30.984711050987244,0.5846171896412687
114,114,114,114,114,1-6166,12,11,1-6166,117,13,0,62,66.07514894008636,0.564744862735781
162,162,162,162,162,1-10960,12,11,1-10960,82,17,0,34,46.10572683811188,0.5622649614403887
306,306,306,306,306,1-8990,16,22,1-8990,40,15,0,8,21.848406314849854,0.5462101578712464
12,12,12,12,12,1-3523,15,14,1-3523,497,10,0,305,271.09549075365067,0.5454637640918525
155,155,155,155,155,1-2364,19,3,1-2364,88,6,0,49,47.94648867845535,0.5448464622551744
391,391,391,391,391,1-7301,19,3,1-7301,26,3,0,13,14.128660261631012,0.5434100100627313
189,189,189,189,189,1-0582,11,10,1-0582,70,7,0,36,37.81782841682434,0.5402546916689192
382,382,382,382,382,1-3472,22,23,1-3472,28,13,0,2,14.712101578712463,0.5254321992397308
215,215,215,215,215,1-0455,1,7,1-0455,60,1,0,35,30.96177762746811,0.5160296271244685
70,70,70,70,70,1-5228,12,11,1-5228,180,12,0,92,90.75667262077332,0.504203736782074
83,83,83,83,83,1-7306,13,12,1-7306,159,56,0,27,79.11337131261826,0.49756837303533497
375,375,375,375,375,1-8187,16,22,1-8187,29,3,0,13,14.128660261631012,0.4871951814355521
119,119,119,119,119,1-1136,12,11,1-1136,113,12,0,50,54.802539467811584,0.4849782253788636
86,86,86,86,86,MLG65,3,15,MLG65,155,12,0,73,74.49170762300491,0.4805916620839027
42,42,42,42,42,1-8681,19,3,1-8681,260,26,0,114,123.58978998661041,0.47534534610234774
24,24,24,24,24,MLG62,8,19,MLG62,370,39,0,159,175.11207550764084,0.47327587975038066
151,151,151,151,151,1-7725,5,17,1-7725,90,3,0,46,42.37833631038666,0.47087040344874065
324,324,324,324,324,1-19093,17,5,1-19093,36,2,0,17,16.55286341905594,0.45980176164044273
516,516,516,516,516,1-17965,1,7,1-17965,10,2,0,3,4.568152368068695,0.45681523680686953
508,508,508,508,508,1-7737,22,23,1-7737,11,5,0,0,5.0,0.45454545454545453
296,296,296,296,296,1-7326,17,5,1-7326,42,0,0,22,18.833117365837097,0.44840755632945467
471,471,471,471,471,1-9396,1,7,1-9396,16,2,0,6,7.13630473613739,0.4460190460085869
528,528,528,528,528,1-3369,10,9,1-3369,8,1,0,3,3.568152368068695,0.4460190460085869
120,120,120,120,120,1-1152,4,16,1-1152,112,18,0,37,49.67387920618057,0.44351677862661226
374,374,374,374,374,1-7486,8,19,1-7486,29,0,0,15,12.840761840343475,0.44278489104632673
513,513,513,513,513,1-18770,19,3,1-18770,10,1,0,4,4.424203157424927,0.4424203157424927
27,27,27,27,27,1-7425,5,17,1-7425,352,30,0,144,153.27131366729736,0.43542986837300385
105,105,105,105,105,1-0529,14,13,1-0529,124,13,0,47,53.23438709974289,0.4293095733850233
381,381,381,381,381,1-6554,3,15,1-6554,28,0,0,14,11.984711050987244,0.42802539467811584
16,16,16,16,16,1-0691,10,9,1-0691,450,14,0,208,192.0585641860962,0.42679680930243596
52,52,52,52,52,1-7302,1,7,1-7302,240,6,0,112,101.87768840789795,0.42449036836624143
353,353,353,353,353,1-7456,10,9,1-7456,32,5,0,10,13.560507893562317,0.4237658716738224
136,136,136,136,136,1-7720,10,9,1-7720,102,14,0,34,43.10572683811188,0.4226051650795282
411,411,411,411,411,1-8186,2,8,1-8186,23,2,0,9,9.704457104206085,0.4219329175741776
323,323,323,323,323,1-8613,16,22,1-8613,37,5,0,12,15.27260947227478,0.4127732289803995
130,130,130,130,130,1-8754,12,11,1-8754,108,11,0,38,43.529929995536804,0.4030549073660815
281,281,281,281,281,1-7622,10,9,1-7622,45,7,0,13,18.128660261631012,0.4028591169251336
472,472,472,472,472,1-3733,15,14,1-3733,16,3,0,4,6.424203157424927,0.4015126973390579
