Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,10,1-3037,467,69,3,65,3103.880673289299,6.646425424602353
353,353,353,353,1-8681,11,8,1-8681,260,62,1,75,1102.246930718422,4.23941127199393
364,364,364,364,MLG02,18,10,MLG02,755,74,3,107,3131.4189544916153,4.14757477416108
158,158,158,158,MLG12,11,8,MLG12,569,33,1,109,1091.4922059774399,1.9182639823856589
37,37,37,37,1-8039,14,5,1-8039,12,0,0,23,12.342392086982727,1.0285326739152272
195,195,195,195,1-3079,3,12,1-3079,34,0,0,62,33.270796060562134,0.978552825310651
569,569,569,569,1-10217,8,16,1-10217,4,3,0,1,3.5366257429122925,0.8841564357280731
559,559,559,559,1-9466,20,4,1-9466,8,4,0,5,6.683128714561462,0.8353910893201828
524,524,524,524,1-3734,10,19,1-3734,4,2,0,2,3.073251485824585,0.7683128714561462
557,557,557,557,P1-17272,1,15,P1-17272,6,4,0,1,4.5366257429122925,0.7561042904853821
439,439,439,439,1-8062,12,2,1-8062,17,11,0,3,12.609877228736877,0.7417574840433457
496,496,496,496,1-18973,1,15,1-18973,39,17,0,22,28.805766344070435,0.7386093934377035
501,501,501,501,MLG56,17,13,MLG56,109,35,0,82,79.00331091880798,0.7248010176037429
354,354,354,354,1-11438,6,14,1-11438,53,37,0,1,37.53662574291229,0.7082382215643829
162,162,162,162,1-8242,19,18,1-8242,11,6,0,3,7.609877228736877,0.6918070207942616
307,307,307,307,1-5199,11,8,1-5199,3,1,0,2,2.073251485824585,0.691083828608195
514,514,514,514,1-6764,3,12,1-6764,38,8,0,34,26.245275259017944,0.690665138395209
511,511,511,511,1-8691,1,15,1-8691,26,16,0,2,17.073251485824585,0.6566635186855609
564,564,564,564,1-5303,11,8,1-5303,4,2,0,1,2.5366257429122925,0.6341564357280731
434,434,434,434,1-6835,13,6,1-6835,36,22,0,1,22.536625742912292,0.6260173817475637
563,563,563,563,1-11121,2,7,1-11121,18,9,0,4,11.14650297164917,0.6192501650916206
414,414,414,414,1-5140,3,12,1-5140,10,5,0,2,6.073251485824585,0.6073251485824585
440,440,440,440,1-9197,20,4,1-9197,16,7,0,5,9.683128714561462,0.6051955446600914
186,186,186,186,1-8162,20,4,1-8162,22,4,0,17,13.122637629508972,0.5964835286140442
435,435,435,435,1-10882,3,12,1-10882,14,4,0,8,8.29300594329834,0.5923575673784528
108,108,108,108,1-0917,3,12,1-0917,134,56,0,40,77.4650297164917,0.5780972366902366
525,525,525,525,1-3117,2,7,1-3117,7,4,0,0,4.0,0.5714285714285714
488,488,488,488,1-18369,3,12,1-18369,7,4,0,0,4.0,0.5714285714285714
292,292,292,292,1-11045,2,7,1-11045,43,17,0,14,24.512760400772095,0.5700641953667929
305,305,305,305,1-7472,5,9,1-7472,12,2,0,9,6.829631686210632,0.569135973850886
319,319,319,319,1-20040,18,10,1-20040,22,9,0,6,12.219754457473755,0.5554433844306252
458,458,458,458,1-9063,8,16,1-9063,35,13,0,12,19.43950891494751,0.5554145404270717
153,153,153,153,MLG43,1,15,MLG43,39,12,0,18,21.659263372421265,0.5553657274979812
494,494,494,494,MLG37,1,15,MLG37,50,23,0,8,27.29300594329834,0.5458601188659667
533,533,533,533,1-3371,2,7,1-3371,16,7,0,3,8.609877228736877,0.5381173267960548
291,291,291,291,1-17979,7,3,1-17979,17,7,0,4,9.14650297164917,0.5380295865675983
336,336,336,336,1-8678,17,13,1-8678,74,24,0,28,39.02552080154419,0.5273719027235702
266,266,266,266,1-6554,2,7,1-6554,28,11,0,7,14.756380200386047,0.527013578585216
332,332,332,332,1-6501,6,14,1-6501,107,25,0,57,55.58766734600067,0.5195109097757072
530,530,530,530,1-7721,2,7,1-7721,12,4,0,4,6.14650297164917,0.5122085809707642
544,544,544,544,1-20124,15,11,1-20124,3,1,0,1,1.5366257429122925,0.5122085809707642
317,317,317,317,1-3733,8,16,1-3733,16,6,0,4,8.14650297164917,0.5091564357280731
487,487,487,487,1-7467,8,16,1-7467,20,1,0,17,10.122637629508972,0.5061318814754486
481,481,481,481,1-19851,18,10,1-19851,25,11,0,3,12.609877228736877,0.5043950891494751
194,194,194,194,1-19109,2,7,1-19109,30,0,0,28,15.02552080154419,0.5008506933848064
534,534,534,534,MLG48,7,3,MLG48,116,6,0,97,58.05269706249237,0.5004542850214859
477,477,477,477,1-20081,12,2,1-20081,20,10,0,0,10.0,0.5
562,562,562,562,1-3142,8,16,1-3142,4,2,0,0,2.0,0.5
549,549,549,549,1-10622,18,10,1-10622,4,2,0,0,2.0,0.5
426,426,426,426,1-7332,7,3,1-7332,53,7,0,36,26.31852674484253,0.49657597631778355
450,450,450,450,1-2432,1,15,1-2432,50,21,0,7,24.756380200386047,0.49512760400772093
351,351,351,351,1-9399,12,2,1-9399,38,15,0,7,18.756380200386047,0.4935889526417381
484,484,484,484,MLG35,3,12,MLG35,44,12,0,18,21.659263372421265,0.4922559857368469
293,293,293,293,MLG20,19,18,MLG20,55,19,0,15,27.049386143684387,0.4918070207942616
483,483,483,483,MLG47,14,5,MLG47,106,0,0,97,52.05269706249237,0.49106317983483366
316,316,316,316,1-4776,5,9,1-4776,33,14,0,4,16.14650297164917,0.48928796883785364
470,470,470,470,1-10043,7,3,1-10043,61,19,0,20,29.73251485824585,0.48741827636468604
245,245,245,245,1-10305,2,7,1-10305,28,7,0,12,13.43950891494751,0.4799824612481253
110,110,110,110,1-9225,2,7,1-9225,18,8,0,1,8.536625742912292,0.4742569857173496
541,541,541,541,1-7301,11,8,1-7301,26,8,0,8,12.29300594329834,0.47280792089609
17,17,17,17,1-9217,19,18,1-9217,30,13,0,2,14.073251485824585,0.4691083828608195
399,399,399,399,1-8087,3,12,1-8087,58,14,0,24,26.87901782989502,0.4634313418947417
358,358,358,358,MLG18,20,4,MLG18,72,28,0,10,33.366257429122925,0.46342024207115173
9,9,9,9,1-8765,11,8,1-8765,38,16,0,3,17.609877228736877,0.4634178218088652
492,492,492,492,1-3257,19,18,1-3257,37,8,0,17,17.122637629508972,0.462773989986729
553,553,553,553,1-17965,18,10,1-17965,10,3,0,3,4.609877228736877,0.4609877228736877
236,236,236,236,1-9245,1,15,1-9245,23,10,0,1,10.536625742912292,0.4581141627353171
505,505,505,505,1-7936,7,3,1-7936,59,14,0,24,26.87901782989502,0.4555765733880512
359,359,359,359,1-6166,4,1,1-6166,117,43,0,18,52.659263372421265,0.45007917412325865
156,156,156,156,1-2322,11,8,1-2322,14,3,0,6,6.219754457473755,0.4442681755338396
467,467,467,467,MLG82,19,18,MLG82,71,17,0,27,31.488895058631897,0.44350556420608306
183,183,183,183,1-18927,17,13,1-18927,30,9,0,8,13.29300594329834,0.44310019810994467
324,324,324,324,1-3369,19,18,1-3369,8,3,0,1,3.5366257429122925,0.44207821786403656
518,518,518,518,1-3356,17,13,1-3356,28,8,0,8,12.29300594329834,0.4390359265463693
193,193,193,193,1-3081,6,14,1-3081,42,0,0,34,18.245275259017944,0.4344113156909034
451,451,451,451,1-7146,14,5,1-7146,18,4,0,7,7.756380200386047,0.43091001113255817
482,482,482,482,1-11534,8,16,1-11534,12,4,0,2,5.073251485824585,0.42277095715204877
472,472,472,472,MLG52,15,11,MLG52,112,2,0,84,47.07656240463257,0.4203264500413622
453,453,453,453,MLG45,7,3,MLG45,179,37,0,71,75.10042774677277,0.41955546227247353
42,42,42,42,1-7753,8,16,1-7753,17,6,0,2,7.073251485824585,0.41607361681321087
61,61,61,61,1-7306,8,16,1-7306,159,43,0,43,66.07490694522858,0.4155654524857143
346,346,346,346,1-10823,16,20,1-10823,10,2,0,4,4.14650297164917,0.41465029716491697
122,122,122,122,1-20046,17,13,1-20046,18,1,0,12,7.43950891494751,0.4133060508304172
28,28,28,28,1-7081,20,4,1-7081,99,30,0,20,40.73251485824585,0.41143954402268534
204,204,204,204,1-3509,14,5,1-3509,150,45,0,31,61.63539803028107,0.4109026535352071
237,237,237,237,1-7484,1,15,1-7484,24,6,0,7,9.756380200386047,0.40651584168275195
167,167,167,167,1-9287,20,4,1-9287,21,8,0,1,8.536625742912292,0.4065059877577282
423,423,423,423,1-5696,8,16,1-5696,80,11,0,40,32.4650297164917,0.40581287145614625
342,342,342,342,MLG53,1,15,MLG53,216,54,0,62,87.27079606056213,0.4040314632433432
246,246,246,246,1-9232,13,6,1-9232,20,7,0,2,8.073251485824585,0.40366257429122926
428,428,428,428,1-7733,11,8,1-7733,76,21,0,18,30.659263372421265,0.4034113601634377
281,281,281,281,1-8126,18,10,1-8126,34,11,0,5,13.683128714561462,0.4024449621929842
460,460,460,460,1-8044,13,6,1-8044,56,9,0,25,22.415643572807312,0.4002793495144163
254,254,254,254,1-9230,12,2,1-9230,5,2,0,0,2.0,0.4
115,115,115,115,1-3254,2,7,1-3254,68,17,0,19,27.195889115333557,0.39993954581372876
211,211,211,211,1-7187,7,3,1-7187,96,12,0,49,38.29466140270233,0.39890272294481594
372,372,372,372,1-6511,8,16,1-6511,144,45,0,23,57.34239208698273,0.3982110561596023
261,261,261,261,1-8747,2,7,1-8747,18,5,0,4,7.14650297164917,0.39702794286939835
499,499,499,499,1-3135,13,6,1-3135,101,21,0,35,39.78190100193024,0.39388020793990336
512,512,512,512,1-9121,18,10,1-9121,22,7,0,3,8.609877228736877,0.39135805585167627
235,235,235,235,1-3077,18,10,1-3077,41,1,0,28,16.02552080154419,0.39086636101327293
83,83,83,83,1-1152,3,12,1-1152,112,14,0,55,43.514415860176086,0.3885215701801436
471,471,471,471,1-8618,3,12,1-8618,53,20,0,1,20.536625742912292,0.3874835045832508
147,147,147,147,1-7172,7,3,1-7172,284,45,0,120,109.3950891494751,0.38519397587843346
67,67,67,67,1-19989,3,12,1-19989,4,1,0,1,1.5366257429122925,0.3841564357280731
485,485,485,485,MLG25,14,5,MLG25,12,3,0,3,4.609877228736877,0.3841564357280731
206,206,206,206,1-20065,1,15,1-20065,21,1,0,13,7.976134657859802,0.379815936088562
455,455,455,455,1-10981,5,9,1-10981,34,7,0,11,12.902883172035217,0.37949656388338876
375,375,375,375,1-8990,6,14,1-8990,40,7,0,15,15.049386143684387,0.37623465359210967
