Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
105,105,105,105,105,1-0529,14,13,1-0529,124,16,0,117,102.50685352087021,0.8266681735554049
525,525,525,525,525,1-19067,9,12,1-19067,8,2,0,6,6.4362488985061646,0.8045311123132706
444,444,444,444,444,1-7467,15,14,1-7467,20,1,0,18,14.308746695518494,0.7154373347759246
436,436,436,436,436,1-3182,2,11,1-3182,20,5,0,12,13.872497797012329,0.6936248898506164
474,474,474,474,474,1-19108,4,8,1-19108,16,0,0,15,11.090622246265411,0.6931638903915882
360,360,360,360,360,1-20100,14,13,1-20100,31,11,0,14,21.351247429847717,0.6887499170918618
445,445,445,445,445,1-2028,15,14,1-2028,20,10,0,4,12.957499265670776,0.6478749632835388
32,32,32,32,32,1-3152,17,15,1-3152,323,19,0,248,202.36495447158813,0.6265168869089416
213,213,213,213,213,1-10043,17,15,1-10043,61,8,0,40,37.574992656707764,0.6159834861755371
337,337,337,337,337,1-3079,4,8,1-3079,34,0,0,28,20.702494859695435,0.608896907638101
539,539,539,539,539,P1-17272,15,14,P1-17272,6,2,0,2,3.478749632835388,0.5797916054725647
351,351,351,351,351,1-4776,20,17,1-4776,33,5,0,19,19.048121511936188,0.5772158033920057
17,17,17,17,17,1-8165,9,12,1-8165,420,59,0,247,241.62557965517044,0.5752989991789772
550,550,550,550,550,1-3142,17,15,1-3142,4,0,0,3,2.2181244492530823,0.5545311123132706
409,409,409,409,409,1-9245,9,12,1-9245,23,9,0,5,12.69687408208847,0.552038003569064
127,127,127,127,127,MLG55,22,20,MLG55,110,12,0,65,60.059363067150116,0.5459942097013647
376,376,376,376,376,1-3356,2,11,1-3356,28,8,0,9,14.654373347759247,0.5233704767056874
300,300,300,300,300,1-3077,1,10,1-3077,41,0,0,28,20.702494859695435,0.5049388990169619
106,106,106,106,106,1-7872,7,5,1-7872,124,26,0,49,62.22936600446701,0.5018497258424759
552,552,552,552,552,1-5303,9,12,1-5303,4,2,0,0,2.0,0.5
428,428,428,428,428,1-5221,9,12,1-5221,21,9,0,2,10.478749632835388,0.4989880777540661
325,325,325,325,325,1-6543,22,20,1-6543,36,12,0,8,17.914998531341553,0.4976388480928209
141,141,141,141,141,1-7081,9,12,1-7081,99,14,0,47,48.75061637163162,0.4924304684003194
108,108,108,108,108,1-1005,14,13,1-1005,122,30,0,40,59.574992656707764,0.48831961194022755
395,395,395,395,395,1-1958,7,5,1-1958,25,1,0,15,12.090622246265411,0.48362488985061647
191,191,191,191,191,1-0429,14,13,1-0429,69,8,0,34,33.1387437582016,0.4802716486695884
501,501,501,501,501,1-5271,14,13,1-5271,12,2,0,5,5.6968740820884705,0.47473950684070587
262,262,262,262,262,1-7656,9,12,1-7656,48,17,0,7,22.17562371492386,0.46199216072758037
55,55,55,55,55,MLG13,8,4,MLG13,225,18,0,112,100.80997943878174,0.4480443530612522
219,219,219,219,219,1-8702,4,8,1-8702,59,10,0,22,26.26624596118927,0.44519060951168254
480,480,480,480,480,1-10882,14,13,1-10882,14,4,0,3,6.218124449253082,0.44415174637522015
100,100,100,100,100,1-0541,17,15,1-0541,132,15,0,59,58.62311416864395,0.4441145012776057
35,35,35,35,35,1-7901,9,12,1-7901,298,78,0,73,131.97436159849167,0.4428669852298378
243,243,243,243,243,1-9542,9,12,1-9542,54,15,0,12,23.87249779701233,0.44208329253726536
343,343,343,343,343,1-11132,16,24,1-11132,34,15,0,0,15.0,0.4411764705882353
166,166,166,166,166,1-5696,10,3,1-5696,80,2,0,45,35.271866738796234,0.44089833423495295
451,451,451,451,451,1-7146,9,12,1-7146,18,2,0,8,7.914998531341553,0.43972214063008624
364,364,364,364,364,1-5515,17,15,1-5515,30,5,0,11,13.133122980594635,0.4377707660198212
382,382,382,382,382,1-3472,22,20,1-3472,28,10,0,3,12.218124449253082,0.4363615874733244
230,230,230,230,230,1-11205,10,3,1-11205,56,0,0,33,24.399368941783905,0.43570301681756973
472,472,472,472,472,1-3733,15,14,1-3733,16,4,0,4,6.957499265670776,0.4348437041044235
380,380,380,380,380,1-20077,9,12,1-20077,28,7,0,7,12.175623714923859,0.4348437041044235
231,231,231,231,231,1-8044,14,13,1-8044,56,2,0,30,24.181244492530823,0.4318079373666218
532,532,532,532,532,1-18369,16,24,1-18369,7,3,0,0,3.0,0.42857142857142855
23,23,23,23,23,1-8567,17,15,1-8567,388,61,0,140,164.51247429847717,0.4240012224187556
310,310,310,310,310,MLG43,23,21,MLG43,39,3,0,18,16.308746695518494,0.41817299219278187
298,298,298,298,298,1-0584,23,21,1-0584,41,3,0,19,17.048121511936188,0.41580784175454116
30,30,30,30,30,1-8718,4,8,1-8718,333,83,0,74,137.71373641490936,0.4135547640087368
99,99,99,99,99,1-0917,9,12,1-0917,134,22,0,45,55.271866738796234,0.41247661745370323
180,180,180,180,180,1-9294,15,14,1-9294,74,23,0,10,30.39374816417694,0.4107263265429316
86,86,86,86,86,MLG65,3,9,MLG65,155,22,0,56,63.40498971939087,0.4090644498025217
237,237,237,237,237,1-18266,20,17,1-18266,55,4,0,25,22.484370410442352,0.4088067347353155
22,22,22,22,22,1-6568,14,13,1-6568,394,21,0,188,160.0024654865265,0.4060976281383921
455,455,455,455,455,1-9225,4,8,1-9225,18,2,0,7,7.175623714923859,0.3986457619402144
212,212,212,212,212,1-8916,7,5,1-8916,61,8,0,22,24.26624596118927,0.39780731083916837
172,172,172,172,172,1-19068,13,19,1-19068,77,21,0,13,30.611872613430023,0.3975567871874029
514,514,514,514,514,1-10823,15,14,1-10823,10,1,0,4,3.9574992656707764,0.39574992656707764
196,196,196,196,196,1-7522,20,17,1-7522,67,7,0,26,26.223745226860046,0.39139918249044847
69,69,69,69,69,1-8564,17,15,1-8564,185,16,0,76,72.19248604774475,0.3902296543121338
95,95,95,95,95,1-9100,10,3,1-9100,142,14,0,56,55.40498971939087,0.3901759839393723
1,1,1,1,1,MLG02,15,14,MLG02,755,92,0,271,292.3705752491951,0.3872457950320465
391,391,391,391,391,1-7301,19,18,1-7301,26,7,0,4,9.957499265670776,0.38298074098733753
