Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
445,445,445,445,445,1-2028,15,8,1-2028,20,10,0,2,10.020071025937796,0.5010035512968898
508,508,508,508,508,1-7737,22,24,1-7737,11,5,0,0,5.0,0.45454545454545453
306,306,306,306,306,1-8990,16,23,1-8990,40,15,0,3,15.030106538906693,0.37575266347266734
426,426,426,426,426,1-20040,10,13,1-20040,22,8,0,6,8.060213077813387,0.36637332171879033
247,247,247,247,247,1-8177,16,23,1-8177,53,19,0,7,19.070248590782285,0.35981601114683553
83,83,83,83,83,1-7306,13,10,1-7306,159,56,0,27,56.27095885016024,0.35390540157333483
539,539,539,539,539,P1-17272,15,8,P1-17272,6,2,0,1,2.010035512968898,0.3350059188281496
382,382,382,382,382,1-3472,22,24,1-3472,28,9,0,2,9.020071025937796,0.3221453937834927
180,180,180,180,180,1-9294,15,8,1-9294,74,23,0,10,23.100355129688978,0.3121669612120132
184,184,184,184,184,MLG18,3,16,MLG18,72,20,0,9,20.09031961672008,0.27903221689889
472,472,472,472,472,1-3733,15,8,1-3733,16,4,0,3,4.0301065389066935,0.25188165868166834
30,30,30,30,30,1-8718,4,17,1-8718,333,83,0,74,83.74262795969844,0.25147936324233766
525,525,525,525,525,1-19067,9,22,1-19067,8,2,0,1,2.010035512968898,0.2512544391211122
555,555,555,555,555,1-3734,3,16,1-3734,4,1,0,0,1.0,0.25
546,546,546,546,546,1-7834,16,23,1-7834,4,1,0,0,1.0,0.25
348,348,348,348,348,1-0997,7,21,1-0997,33,8,0,5,8.050177564844489,0.24394477469225725
223,223,223,223,223,1-5686,16,23,1-5686,59,14,0,0,14.0,0.23728813559322035
340,340,340,340,340,1-10981,15,8,1-10981,34,8,0,6,8.060213077813387,0.23706509052392313
106,106,106,106,106,1-7872,7,21,1-7872,124,29,0,7,29.070248590782285,0.234437488635341
238,238,238,238,238,MLG20,7,21,MLG20,55,12,0,10,12.100355129688978,0.22000645690343595
162,162,162,162,162,1-10960,12,11,1-10960,82,17,0,34,17.341207440942526,0.21147813952368935
407,407,407,407,407,1-0295,1,15,1-0295,24,5,0,1,5.010035512968898,0.20875147970703742
516,516,516,516,516,1-17965,1,15,1-17965,10,2,0,3,2.0301065389066935,0.20301065389066936
398,398,398,398,398,1-8914,7,21,1-8914,25,5,0,1,5.010035512968898,0.20040142051875592
212,212,212,212,212,1-8916,7,21,1-8916,61,12,0,14,12.14049718156457,0.1990245439600749
324,324,324,324,324,1-19093,17,7,1-19093,36,7,0,10,7.100355129688978,0.19723208693580496
172,172,172,172,172,1-19068,13,10,1-19068,77,15,0,10,15.100355129688978,0.19610850817777895
76,76,76,76,76,1-7518,12,11,1-7518,169,32,0,36,32.36127846688032,0.19148685483361136
316,316,316,316,316,1-3216,1,15,1-3216,38,7,0,5,7.050177564844489,0.1855309885485392
117,117,117,117,117,1-3246,2,14,1-3246,116,21,0,23,21.23081679828465,0.1830242827438332
123,123,123,123,123,MLG59,2,14,MLG59,112,20,0,4,20.04014205187559,0.1789298397488892
164,164,164,164,164,1-9454,13,10,1-9454,80,14,0,10,14.100355129688978,0.17625443912111222
