Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,9,1-3037,467,69,3,69,3129.654303073883,6.701615210008315
364,364,364,364,MLG02,18,9,MLG02,755,74,3,301,3338.593409061432,4.42197802524693
353,353,353,353,1-8681,11,12,1-8681,260,33,1,77,1100.686686038971,4.233410330919119
158,158,158,158,MLG12,11,12,MLG12,569,38,1,124,1147.0019359588623,2.015820625586753
37,37,37,37,1-8039,14,7,1-8039,12,1,0,22,20.3390531539917,1.6949210961659749
122,122,122,122,1-20046,17,22,1-20046,18,12,0,8,19.03238296508789,1.0573546091715496
507,507,507,507,1-19067,10,15,1-19067,8,7,0,1,7.879047870635986,0.9848809838294983
228,228,228,228,1-18816,5,8,1-18816,44,1,0,44,39.6781063079834,0.901775143363259
206,206,206,206,1-20065,1,23,1-20065,21,18,0,0,18.0,0.8571428571428571
488,488,488,488,1-18369,3,11,1-18369,7,5,0,1,5.879047870635986,0.8398639815194267
553,553,553,553,1-17965,18,9,1-17965,10,3,0,6,8.274287223815918,0.8274287223815918
483,483,483,483,MLG47,14,7,MLG47,106,2,0,96,86.38859558105469,0.8149867507646669
439,439,439,439,1-8062,12,4,1-8062,17,11,0,3,13.637143611907959,0.802184918347527
534,534,534,534,MLG48,7,5,MLG48,116,6,0,97,91.26764345169067,0.7867900297559541
414,414,414,414,1-5140,3,11,1-5140,10,5,0,3,7.637143611907959,0.7637143611907959
359,359,359,359,1-6166,4,3,1-6166,117,43,0,52,88.71048927307129,0.7582093100262504
397,397,397,397,1-6492,11,12,1-6492,48,2,0,39,36.28286695480347,0.7558930615584055
64,64,64,64,1-8729,20,6,1-8729,53,0,0,44,38.6781063079834,0.7297755907166679
163,163,163,163,1-1633,9,18,1-1633,399,16,0,313,291.1419835090637,0.7296791566643201
426,426,426,426,1-7332,7,5,1-7332,53,7,0,36,38.64572334289551,0.7291645913753869
195,195,195,195,1-3079,3,11,1-3079,34,0,0,28,24.613340377807617,0.7239217758178711
481,481,481,481,1-19851,18,9,1-19851,25,11,0,8,18.03238296508789,0.7212953186035156
440,440,440,440,1-9197,20,6,1-9197,16,7,0,5,11.395239353179932,0.7122024595737457
391,391,391,391,1-8165,14,7,1-8165,420,62,0,269,298.4638772010803,0.7106282790501912
473,473,473,473,1-3174,9,18,1-3174,117,4,0,86,79.59811687469482,0.6803257852538019
501,501,501,501,MLG56,17,22,MLG56,109,17,0,65,74.13811159133911,0.6801661613884322
537,537,537,537,1-9499,4,3,1-9499,36,6,0,21,24.460005283355713,0.6794445912043253
572,572,572,572,1-9584,4,3,1-9584,8,1,0,5,5.395239353179932,0.6744049191474915
528,528,528,528,MLG77,14,7,MLG77,9,6,0,0,6.0,0.6666666666666666
451,451,451,451,1-7146,14,7,1-7146,18,4,0,9,11.911430835723877,0.6617461575402154
492,492,492,492,1-3257,19,17,1-3257,37,19,0,6,24.274287223815918,0.6560618168598896
484,484,484,484,MLG35,3,11,MLG35,44,11,0,20,28.580957412719727,0.6495672139254484
290,290,290,290,1-0447,4,3,1-0447,65,23,0,21,41.46000528335571,0.6378462351285494
174,174,174,174,1-6568,13,14,1-6568,394,68,0,208,250.84195709228516,0.6366547134321958
162,162,162,162,1-8242,19,17,1-8242,11,7,0,0,7.0,0.6363636363636364
499,499,499,499,1-3135,13,14,1-3135,101,36,0,32,64.12953186035156,0.6349458600034809
