Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,11,1-3037,467,69,3,110,3125.2456715106964,6.692174885461877
364,364,364,364,MLG02,18,11,MLG02,755,74,3,199,3175.7535330057144,4.206296070206244
353,353,353,353,1-8681,11,14,1-8681,260,33,1,100,1084.1324286460876,4.16974011017726
158,158,158,158,MLG12,11,14,MLG12,569,38,1,79,1078.3946186304092,1.8952453754488738
286,286,286,286,1-7725,9,9,1-7725,90,87,0,26,100.29443144798279,1.1143825716442533
490,490,490,490,1-6591,5,10,1-6591,79,83,0,5,85.55662143230438,1.082995208003853
524,524,524,524,1-3734,10,17,1-3734,4,4,0,0,4.0,1.0
559,559,559,559,1-9466,20,4,1-9466,8,6,0,3,7.533972859382629,0.9417466074228287
400,400,400,400,MLG71,14,6,MLG71,144,56,0,131,122.98348152637482,0.8540519550442696
553,553,553,553,1-17965,18,11,1-17965,10,3,0,10,8.113242864608765,0.8113242864608765
488,488,488,488,1-18369,3,13,1-18369,7,5,0,1,5.5113242864608765,0.7873320409229824
434,434,434,434,1-6835,13,5,1-6835,36,22,0,11,27.62456715106964,0.7673490875297122
439,439,439,439,1-8062,12,2,1-8062,17,11,0,3,12.53397285938263,0.7372925211401546
301,301,301,301,1-6684,17,8,1-6684,145,32,0,138,102.56275153160095,0.7073293209075928
507,507,507,507,1-19067,10,17,1-19067,8,5,0,1,5.5113242864608765,0.6889155358076096
328,328,328,328,1-7883,9,9,1-7883,33,13,0,18,22.203837156295776,0.6728435501907811
186,186,186,186,1-8162,20,4,1-8162,22,8,0,13,14.647215723991394,0.6657825329086997
414,414,414,414,1-5140,3,13,1-5140,10,5,0,3,6.533972859382629,0.653397285938263
432,432,432,432,1-1067,17,8,1-1067,17,11,0,0,11.0,0.6470588235294118
221,221,221,221,1-20138,9,9,1-20138,25,16,0,0,16.0,0.64
316,316,316,316,1-4776,5,10,1-4776,33,17,0,8,21.09059429168701,0.6391089179299094
549,549,549,549,1-10622,18,11,1-10622,4,2,0,1,2.5113242864608765,0.6278310716152191
569,569,569,569,1-10217,8,15,1-10217,4,2,0,1,2.5113242864608765,0.6278310716152191
199,199,199,199,1-0529,13,5,1-0529,124,46,0,59,76.16813290119171,0.6142591362999331
208,208,208,208,1-20077,17,8,1-20077,28,6,0,21,16.737810015678406,0.5977789291313717
440,440,440,440,1-9197,20,4,1-9197,16,7,0,5,9.556621432304382,0.5972888395190239
291,291,291,291,1-17979,7,3,1-17979,17,7,0,6,10.067945718765259,0.5922321011038387
470,470,470,470,1-10043,7,3,1-10043,61,19,0,32,35.36237716674805,0.5797111010942303
319,319,319,319,1-20040,18,11,1-20040,22,9,0,7,12.579270005226135,0.5717850002375516
389,389,389,389,1-0598,17,8,1-0598,122,59,0,16,67.18118858337402,0.5506654801915903
108,108,108,108,1-0917,3,13,1-0917,134,60,0,23,71.76045858860016,0.5355258103626878
332,332,332,332,1-6501,6,7,1-6501,107,25,0,63,57.21343004703522,0.5347049537106096
451,451,451,451,1-7146,14,6,1-7146,18,8,0,3,9.53397285938263,0.5296651588545905
410,410,410,410,1-8368,9,9,1-8368,80,26,0,29,40.82840430736542,0.5103550538420677
346,346,346,346,1-10823,16,18,1-10823,10,2,0,6,5.067945718765259,0.5067945718765259
307,307,307,307,1-5199,11,14,1-5199,3,1,0,1,1.5113242864608765,0.5037747621536255
431,431,431,431,1-9115,5,10,1-9115,22,8,0,6,11.067945718765259,0.5030884417620572
554,554,554,554,1-18770,5,10,1-18770,10,4,0,2,5.022648572921753,0.5022648572921753
458,458,458,458,1-9063,8,15,1-9063,35,17,0,1,17.511324286460876,0.5003235510417393
562,562,562,562,1-3142,8,15,1-3142,4,2,0,0,2.0,0.5
477,477,477,477,1-20081,12,2,1-20081,20,10,0,0,10.0,0.5
351,351,351,351,1-9399,12,2,1-9399,38,15,0,7,18.579270005226135,0.4889281580322667
320,320,320,320,1-0541,6,7,1-0541,132,18,0,90,64.01918578147888,0.4849938316778703
541,541,541,541,1-7301,11,14,1-7301,26,8,0,9,12.601918578147888,0.4846891760826111
484,484,484,484,MLG35,3,13,MLG35,44,11,0,20,21.22648572921753,0.4824201302094893
481,481,481,481,1-19851,18,11,1-19851,25,11,0,2,12.022648572921753,0.4809059429168701
486,486,486,486,1-6506,9,9,1-6506,70,5,0,55,33.122835755348206,0.4731833679335458
