Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,1-3037,18,8,1-3037,467,69,3,107,3085.79990619421,6.607708578574326
364,364,MLG02,18,8,MLG02,755,74,3,160,3099.1213550567627,4.104796496763924
353,353,1-8681,11,6,1-8681,260,35,1,98,1050.3868299722672,4.039949346047181
158,158,MLG12,11,6,MLG12,569,53,1,64,1063.048542022705,1.868275117790343
490,490,1-6591,5,9,1-6591,79,83,0,4,83.62803387641907,1.058582707296444
286,286,1-7725,9,10,1-7725,90,84,0,10,85.57008469104767,0.9507787187894186
205,205,1-7776,14,2,1-7776,26,22,0,6,22.9420508146286,0.8823865697934077
80,80,1-21411,1,21,1-21411,5,4,0,0,4.0,0.8
559,559,1-9466,20,15,1-9466,8,6,0,1,6.157008469104767,0.7696260586380959
397,397,1-6492,11,6,1-6492,48,36,0,2,36.314016938209534,0.756542019546032
253,253,1-7781,3,3,1-7781,33,23,0,6,23.9420508146286,0.7255166913523818
439,439,1-8062,12,13,1-8062,17,11,0,3,11.4710254073143,0.6747662004302529
536,536,1-1964,15,7,1-1964,48,27,0,21,30.297177851200104,0.6311912052333355
327,327,1-4609,15,7,1-4609,7,4,0,1,4.157008469104767,0.5938583527292524
528,528,MLG77,14,2,MLG77,9,5,0,1,5.157008469104767,0.5730009410116408
295,295,1-7522,15,7,1-7522,67,38,0,2,38.314016938209534,0.5718509990777543
569,569,1-10217,8,5,1-10217,4,2,0,1,2.157008469104767,0.5392521172761917
549,549,1-10622,18,8,1-10622,4,2,0,1,2.157008469104767,0.5392521172761917
435,435,1-10882,3,3,1-10882,14,6,0,9,7.413076221942902,0.529505444424493
316,316,1-4776,5,9,1-4776,33,17,0,2,17.314016938209534,0.5246671799457434
428,428,1-7733,11,6,1-7733,76,38,0,9,39.4130762219429,0.5185931081834593
157,157,1-2318,15,7,1-2318,13,6,0,4,6.628033876419067,0.5098487597245437
498,498,MLG38,10,17,MLG38,26,13,0,1,13.157008469104767,0.5060387872732602
413,413,1-1763,10,17,1-1763,35,17,0,4,17.628033876419067,0.5036581107548305
138,138,1-2829,19,20,1-2829,52,26,0,0,26.0,0.5
