Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,1-3037,18,10,1-3037,467,69,3,69,3075.033317260444,6.584653784283606
364,364,MLG02,18,10,MLG02,755,74,3,301,3100.3192535564303,4.106383117293285
353,353,1-8681,11,7,1-8681,260,33,1,77,1039.7328323051333,3.9989724319428204
158,158,MLG12,11,7,MLG12,569,38,1,124,1048.8424831926823,1.8433084063140286
528,528,MLG77,14,12,MLG77,9,9,0,0,9.0,1.0
469,469,1-6494,10,14,1-6494,48,37,0,1,37.08743938058615,0.7726549870955447
559,559,1-9466,20,4,1-9466,8,6,0,1,6.087439380586147,0.7609299225732684
524,524,1-3734,10,14,1-3734,4,3,0,0,3.0,0.75
488,488,1-18369,3,8,1-18369,7,5,0,1,5.087439380586147,0.7267770543694496
302,302,1-8899,10,14,1-8899,3,2,0,0,2.0,0.6666666666666666
44,44,1-5873,6,13,1-5873,3,2,0,0,2.0,0.6666666666666666
439,439,1-8062,12,2,1-8062,17,11,0,3,11.262318141758442,0.6624893024563789
162,162,1-8242,19,18,1-8242,11,7,0,0,7.0,0.6363636363636364
498,498,MLG38,10,14,MLG38,26,15,0,2,15.174878761172295,0.5836491831220113
414,414,1-5140,3,8,1-5140,10,5,0,3,5.262318141758442,0.5262318141758442
492,492,1-3257,19,18,1-3257,37,19,0,0,19.0,0.5135135135135135
549,549,1-10622,18,10,1-10622,4,2,0,0,2.0,0.5
477,477,1-20081,12,2,1-20081,20,10,0,0,10.0,0.5
148,148,1-2028,10,14,1-2028,20,10,0,0,10.0,0.5
481,481,1-19851,18,10,1-19851,25,11,0,8,11.699515044689178,0.4679806017875671
376,376,1-18412,19,18,1-18412,56,26,0,0,26.0,0.4642857142857143
108,108,1-0917,3,8,1-0917,134,60,0,23,62.01110575348139,0.4627694459215029
416,416,1-3246,10,14,1-3246,116,53,0,7,53.61207566410303,0.4621730660698537
440,440,1-9197,20,4,1-9197,16,7,0,4,7.349757522344589,0.4593598451465368
91,91,1-9458,10,14,1-9458,20,9,0,2,9.174878761172295,0.45874393805861474
565,565,1-19069,10,14,1-19069,11,5,0,0,5.0,0.45454545454545453
451,451,1-7146,14,12,1-7146,18,8,0,2,8.174878761172295,0.4541599311762386
291,291,1-17979,7,3,1-17979,17,7,0,6,7.524636283516884,0.4426256637362873
378,378,1-5819,10,14,1-5819,23,10,0,1,10.087439380586147,0.4385843208950499
142,142,MLG17,14,12,MLG17,76,32,0,8,32.69951504468918,0.430256776903805
306,306,1-18987,5,11,1-18987,34,14,0,7,14.612075664103031,0.429766931297148
