Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,8,1-3037,467,69,3,106,3146.879523038864,6.738500049333756
353,353,353,353,1-8681,11,6,1-8681,260,35,1,98,1107.0018231868744,4.257699319949517
364,364,364,364,MLG02,18,8,MLG02,755,74,3,66,3122.4910237789154,4.135749700369424
158,158,158,158,MLG12,11,6,MLG12,569,53,1,64,1100.021598815918,1.9332541279717363
205,205,205,205,1-7776,14,2,1-7776,26,22,0,6,26.40827488899231,1.015702880345858
435,435,435,435,1-10882,3,3,1-10882,14,6,0,9,12.612412333488464,0.900886595249176
536,536,536,536,1-1964,15,7,1-1964,48,27,0,21,42.42896211147308,0.8839367106556892
253,253,253,253,1-7781,3,3,1-7781,33,23,0,6,27.40827488899231,0.8305537845149185
307,307,307,307,1-5199,11,6,1-5199,3,1,0,2,2.4694249629974365,0.8231416543324789
397,397,397,397,1-6492,11,6,1-6492,48,36,0,2,37.46942496299744,0.7806130200624466
439,439,439,439,1-8062,12,15,1-8062,17,11,0,3,13.204137444496155,0.7767139673233032
195,195,195,195,1-3079,3,3,1-3079,34,0,0,34,24.98022437095642,0.7347124814987183
319,319,319,319,1-20040,18,8,1-20040,22,9,0,9,15.612412333488464,0.7096551060676575
372,372,372,372,1-6511,8,5,1-6511,144,39,0,85,101.45056092739105,0.7045177842179934
202,202,202,202,1-19108,10,11,1-19108,16,0,0,15,11.020687222480774,0.6887929514050484
157,157,157,157,1-2318,15,7,1-2318,13,6,0,4,8.938849925994873,0.6876038404611441
541,541,541,541,1-7301,11,6,1-7301,26,9,0,12,17.81654977798462,0.6852519145378699
569,569,569,569,1-10217,8,5,1-10217,4,2,0,1,2.7347124814987183,0.6836781203746796
327,327,327,327,1-4609,15,7,1-4609,7,4,0,1,4.734712481498718,0.6763874973569598
197,197,197,197,1-20780,2,22,1-20780,12,0,0,11,8.0818372964859,0.6734864413738251
113,113,113,113,1-7647,20,17,1-7647,30,4,0,22,20.1636745929718,0.6721224864323934
514,514,514,514,1-6764,3,3,1-6764,38,2,0,32,25.510799407958984,0.6713368265252364
553,553,553,553,1-17965,18,8,1-17965,10,3,0,5,6.673562407493591,0.6673562407493592
186,186,186,186,1-8162,20,17,1-8162,22,2,0,17,14.49011218547821,0.6586414629762823
432,432,432,432,1-1067,17,18,1-1067,17,11,0,0,11.0,0.6470588235294118
554,554,554,554,1-18770,5,9,1-18770,10,5,0,2,6.4694249629974365,0.6469424962997437
346,346,346,346,1-10823,16,12,1-10823,10,2,0,6,6.40827488899231,0.6408274888992309
526,526,526,526,1-11205,20,17,1-11205,56,30,0,8,35.877699851989746,0.640673211642674
528,528,528,528,MLG77,14,2,MLG77,9,5,0,1,5.734712481498718,0.6371902757220798
413,413,413,413,1-1763,10,11,1-1763,35,17,0,7,22.142987370491028,0.6326567820140294
359,359,359,359,1-6166,4,14,1-6166,117,43,0,40,72.38849925994873,0.6187051218799037
193,193,193,193,1-3081,6,1,1-3081,42,1,0,34,25.98022437095642,0.6185767707370576
394,394,394,394,1-8808,11,6,1-8808,52,24,0,11,32.0818372964859,0.6169584095478058
260,260,260,260,1-0305,1,21,1-0305,12,0,0,10,7.347124814987183,0.6122604012489319
243,243,243,243,1-7712,3,3,1-7712,12,2,0,7,7.142987370491028,0.595248947540919
167,167,167,167,1-9287,20,17,1-9287,21,11,0,2,12.469424962997437,0.5937821410951161
295,295,295,295,1-7522,15,7,1-7522,67,38,0,2,39.46942496299744,0.589095894970111
428,428,428,428,1-7733,11,6,1-7733,76,38,0,9,44.612412333488464,0.5870054254406377
393,393,393,393,1-2292,2,22,1-2292,252,15,0,179,146.51353418827057,0.5814029134455181
316,316,316,316,1-4776,5,9,1-4776,33,11,0,11,19.0818372964859,0.5782374938329061
463,463,463,463,1-8187,5,9,1-8187,29,16,0,1,16.73471248149872,0.5770590510861627
305,305,305,305,1-7472,5,9,1-7472,12,1,0,8,6.877699851989746,0.5731416543324789
355,355,355,355,1-8666,14,2,1-8666,89,26,0,34,50.98022437095642,0.5728115097860272
498,498,498,498,MLG38,10,11,MLG38,26,13,0,2,14.469424962997437,0.5565163447306707
306,306,306,306,1-18987,5,9,1-18987,34,15,0,5,18.67356240749359,0.5492224237498116
28,28,28,28,1-7081,20,17,1-7081,99,35,0,26,54.102524518966675,0.5464901466562291
83,83,83,83,1-1152,3,3,1-1152,112,31,0,41,61.12321174144745,0.5457429619772094
291,291,291,291,1-17979,7,16,1-17979,17,7,0,3,9.204137444496155,0.5414198496762443
281,281,281,281,1-8126,18,8,1-8126,34,11,0,10,18.347124814987183,0.5396213180878583
352,352,352,352,1-2275,13,10,1-2275,130,28,0,57,69.87861144542694,0.537527780349438
488,488,488,488,1-18369,3,3,1-18369,7,3,0,1,3.7347124814987183,0.5335303544998169
351,351,351,351,1-9399,12,15,1-9399,38,15,0,7,20.142987370491028,0.5300786150129217
458,458,458,458,1-9063,8,5,1-9063,35,17,0,2,18.469424962997437,0.527697856085641
384,384,384,384,1-0584,8,5,1-0584,41,4,0,24,21.63309955596924,0.5276365745358351
414,414,414,414,1-5140,3,3,1-5140,10,3,0,3,5.204137444496155,0.5204137444496155
318,318,318,318,1-3496,13,10,1-3496,192,51,0,65,98.75631129741669,0.5143557880073786
191,191,191,191,1-9285,5,9,1-9285,30,11,0,6,15.40827488899231,0.5136091629664103
317,317,317,317,1-3733,8,5,1-3733,16,6,0,3,8.204137444496155,0.5127585902810097
