Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,1-3037,18,5,1-3037,467,69,3,107,3079.9356552660465,6.595151296072904
364,364,364,364,MLG02,18,5,MLG02,755,74,3,160,3090.352381706238,4.0931819625248185
353,353,353,353,1-8681,11,7,1-8681,260,35,1,98,1045.0158337950706,4.0192916684425795
158,158,158,158,MLG12,11,7,MLG12,569,53,1,64,1059.5409526824951,1.8621106374033307
490,490,490,490,1-6591,5,4,1-6591,79,83,0,5,83.51101192831993,1.0571014168141764
286,286,286,286,1-7725,9,3,1-7725,90,87,0,26,89.65726202726364,0.9961918003029293
205,205,205,205,1-7776,14,11,1-7776,26,20,0,7,20.715416699647903,0.796746796140304
559,559,559,559,1-9466,20,15,1-9466,8,6,0,1,6.102202385663986,0.7627752982079983
397,397,397,397,1-6492,11,7,1-6492,48,36,0,2,36.20440477132797,0.7542584327359995
253,253,253,253,1-7781,3,10,1-7781,33,23,0,13,24.32863101363182,0.7372312428373279
468,468,468,468,1-11523,14,11,1-11523,24,15,0,10,16.022023856639862,0.6675843273599943
439,439,439,439,1-8062,12,13,1-8062,17,11,0,3,11.306607156991959,0.6650945386465859
432,432,432,432,1-1067,17,2,1-1067,17,11,0,0,11.0,0.6470588235294118
221,221,221,221,1-20138,9,3,1-20138,25,16,0,0,16.0,0.64
536,536,536,536,1-1964,15,6,1-1964,48,27,0,21,29.14625009894371,0.607213543727994
327,327,327,327,1-4609,15,6,1-4609,7,4,0,1,4.102202385663986,0.5860289122377124
295,295,295,295,1-7522,15,6,1-7522,67,38,0,2,38.20440477132797,0.5702149965869847
203,203,203,203,1-19884,14,11,1-19884,60,32,0,5,32.51101192831993,0.5418501988053321
316,316,316,316,1-4776,5,4,1-4776,33,17,0,8,17.81761908531189,0.5399278510700573
573,573,573,573,1-3100,3,10,1-3100,4,2,0,1,2.102202385663986,0.5255505964159966
569,569,569,569,1-10217,8,8,1-10217,4,2,0,1,2.102202385663986,0.5255505964159966
549,549,549,549,1-10622,18,5,1-10622,4,2,0,1,2.102202385663986,0.5255505964159966
406,406,406,406,1-6558,14,11,1-6558,24,12,0,4,12.408809542655945,0.5170337309439977
428,428,428,428,1-7733,11,7,1-7733,76,38,0,9,38.919821470975876,0.5121029140917879
477,477,477,477,1-20081,12,13,1-20081,20,10,0,1,10.102202385663986,0.5051101192831993
498,498,498,498,MLG38,10,17,MLG38,26,13,0,1,13.102202385663986,0.5039308609870764
562,562,562,562,1-3142,8,8,1-3142,4,2,0,0,2.0,0.5
524,524,524,524,1-3734,10,17,1-3734,4,2,0,0,2.0,0.5
413,413,413,413,1-1763,10,17,1-1763,35,17,0,4,17.408809542655945,0.4973945583615984
157,157,157,157,1-2318,15,6,1-2318,13,6,0,4,6.408809542655945,0.49298534943507266
389,389,389,389,1-0598,17,2,1-0598,122,59,0,10,60.02202385663986,0.4919838021036054
458,458,458,458,1-9063,8,8,1-9063,35,17,0,2,17.204404771327972,0.4915544220379421
394,394,394,394,1-8808,11,7,1-8808,52,24,0,11,25.12422624230385,0.4831581969673817
304,304,304,304,1-10294,17,2,1-10294,30,14,0,0,14.0,0.4666666666666667
440,440,440,440,1-9197,20,15,1-9197,16,7,0,3,7.306607156991959,0.4566629473119974
359,359,359,359,1-6166,4,12,1-6166,117,48,0,49,53.007916897535324,0.4530591187823532
328,328,328,328,1-7883,9,3,1-7883,33,13,0,18,14.839642941951752,0.4496861497561137
291,291,291,291,1-17979,7,14,1-17979,17,7,0,6,7.613214313983917,0.44783613611670103
481,481,481,481,1-19851,18,5,1-19851,25,11,0,1,11.102202385663986,0.44408809542655947
435,435,435,435,1-10882,3,10,1-10882,14,6,0,2,6.204404771327972,0.44317176938056946
488,488,488,488,1-18369,3,10,1-18369,7,3,0,1,3.102202385663986,0.44317176938056946
319,319,319,319,1-20040,18,5,1-20040,22,9,0,5,9.511011928319931,0.4323187240145423
28,28,28,28,1-7081,20,15,1-7081,99,41,0,10,42.02202385663986,0.4244648874408067
554,554,554,554,1-18770,5,4,1-18770,10,4,0,2,4.204404771327972,0.42044047713279725
148,148,148,148,1-2028,10,17,1-2028,20,8,0,3,8.306607156991959,0.41533035784959793
351,351,351,351,1-9399,12,13,1-9399,38,15,0,7,15.715416699647903,0.4135635973591554
100,100,100,100,1-7707,17,2,1-7707,10,4,0,1,4.102202385663986,0.4102202385663986
290,290,290,290,1-0447,4,12,1-0447,65,24,0,25,26.555059641599655,0.40853937910153315
186,186,186,186,1-8162,20,15,1-8162,22,8,0,9,8.919821470975876,0.40544643049890344
307,307,307,307,1-5199,11,7,1-5199,3,1,0,2,1.2044047713279724,0.40146825710932416
254,254,254,254,1-9230,12,13,1-9230,5,2,0,0,2.0,0.4
199,199,199,199,1-0529,13,16,1-0529,124,46,0,35,49.57708349823952,0.39981518950193157
142,142,142,142,MLG17,14,11,MLG17,76,27,0,33,30.372678726911545,0.3996405095646256
317,317,317,317,1-3733,8,8,1-3733,16,6,0,3,6.306607156991959,0.3941629473119974
541,541,541,541,1-7301,11,7,1-7301,26,9,0,12,10.226428627967834,0.39332417799876285
431,431,431,431,1-9115,5,4,1-9115,22,8,0,6,8.613214313983917,0.3915097415447235
90,90,90,90,MLG83,17,2,MLG83,88,33,0,9,33.919821470975876,0.38545251671563496
183,183,183,183,1-18927,17,2,1-18927,30,11,0,3,11.306607156991959,0.3768869052330653
518,518,518,518,1-3356,17,2,1-3356,28,10,0,5,10.511011928319931,0.3753932831542833
459,459,459,459,1-8284,3,10,1-8284,48,17,0,9,17.919821470975876,0.3733296139786641
553,553,553,553,1-17965,18,5,1-17965,10,3,0,7,3.7154166996479034,0.3715416699647903
423,423,423,423,1-5696,8,8,1-5696,80,29,0,3,29.30660715699196,0.3663325894623995
378,378,378,378,1-5819,10,17,1-5819,23,8,0,4,8.408809542655945,0.36560041489808454
470,470,470,470,1-10043,7,14,1-10043,61,19,0,32,22.27047634124756,0.36508977608602555
410,410,410,410,1-8368,9,3,1-8368,80,26,0,29,28.9638691842556,0.362048364803195
336,336,336,336,1-8678,17,2,1-8678,74,26,0,5,26.51101192831993,0.3582569179502693
414,414,414,414,1-5140,3,10,1-5140,10,3,0,5,3.511011928319931,0.3511011928319931
416,416,416,416,1-3246,10,17,1-3246,116,40,0,7,40.7154166996479,0.3509949715486888
355,355,355,355,1-8666,14,11,1-8666,89,27,0,38,30.883690655231476,0.34700776017114016
51,51,51,51,1-8981,8,8,1-8981,15,5,0,2,5.204404771327972,0.3469603180885315
102,102,102,102,1-6737,14,11,1-6737,32,11,0,1,11.102202385663986,0.34694382455199957
281,281,281,281,1-8126,18,5,1-8126,34,11,0,7,11.715416699647903,0.3445710794014089
455,455,455,455,1-10981,5,4,1-10981,34,11,0,7,11.715416699647903,0.3445710794014089
544,544,544,544,1-20124,15,6,1-20124,3,1,0,0,1.0,0.3333333333333333
372,372,372,372,1-6511,8,8,1-6511,144,39,0,85,47.68720278143883,0.3311611304266585
512,512,512,512,1-9121,18,5,1-9121,22,7,0,2,7.204404771327972,0.3274729441512715
463,463,463,463,1-8187,5,4,1-8187,29,9,0,4,9.408809542655945,0.32444170836744635
398,398,398,398,MLG65,20,15,MLG65,155,47,0,31,50.16827395558357,0.32366628358441013
430,430,430,430,1-8718,5,4,1-8718,333,99,0,85,107.68720278143883,0.32338499333765414
358,358,358,358,MLG18,20,15,MLG18,72,22,0,12,23.226428627967834,0.32258928649955326
83,83,83,83,1-1152,3,10,1-1152,112,31,0,49,36.007916897535324,0.32149925801370827
239,239,239,239,1-1136,4,12,1-1136,113,32,0,40,36.08809542655945,0.3193636763412341
460,460,460,460,1-8044,13,16,1-8044,56,16,0,18,17.83964294195175,0.31856505253485273
526,526,526,526,1-11205,20,15,1-11205,56,17,0,7,17.715416699647903,0.3163467267794268
409,409,409,409,1-7297,20,15,1-7297,13,4,0,0,4.0,0.3076923076923077
156,156,156,156,1-2322,11,7,1-2322,14,4,0,3,4.306607156991959,0.30761479692799704
484,484,484,484,MLG35,3,10,MLG35,44,12,0,15,13.533035784959793,0.30756899511272257
159,159,159,159,MLG36,20,15,MLG36,136,39,0,27,41.75946441292763,0.30705488538917375
129,129,129,129,1-7579,20,15,1-7579,40,12,0,1,12.102202385663986,0.3025550596415997
354,354,354,354,1-11438,6,1,1-11438,53,16,0,0,16.0,0.3018867924528302
189,189,189,189,1-7834,3,10,1-7834,4,1,0,2,1.2044047713279724,0.3011011928319931
96,96,96,96,1-10725,10,17,1-10725,27,8,0,0,8.0,0.2962962962962963
321,321,321,321,MLG30,3,10,MLG30,66,18,0,15,19.533035784959793,0.29595508765090595
238,238,238,238,1-7444,9,3,1-7444,14,4,0,1,4.102202385663986,0.2930144561188562
506,506,506,506,1-3302,12,13,1-3302,52,14,0,12,15.226428627967834,0.29281593515322757
474,474,474,474,1-6608,4,12,1-6608,11,3,0,2,3.2044047713279724,0.2913095246661793
167,167,167,167,1-9287,20,15,1-9287,21,6,0,1,6.102202385663986,0.29058106598399935
191,191,191,191,1-9285,5,4,1-9285,30,8,0,7,8.715416699647903,0.29051388998826344
208,208,208,208,1-20077,17,2,1-20077,28,6,0,20,8.044047713279724,0.28728741833141874
519,519,519,519,1-10800,6,1,1-10800,55,15,0,7,15.715416699647903,0.28573484908450736
449,449,449,449,1-10960,4,12,1-10960,82,20,0,30,23.066071569919586,0.2812935557307267
38,38,38,38,1-10018,8,8,1-10018,40,11,0,2,11.204404771327972,0.2801101192831993
344,344,344,344,1-9294,14,11,1-9294,74,18,0,25,20.555059641599655,0.2777710762378332
61,61,61,61,1-7306,8,8,1-7306,159,40,0,40,44.08809542655945,0.27728361903496507
276,276,276,276,1-9548,4,12,1-9548,16,4,0,4,4.408809542655945,0.27555059641599655
485,485,485,485,MLG25,14,11,MLG25,12,3,0,3,3.3066071569919586,0.27555059641599655
436,436,436,436,1-8702,5,4,1-8702,59,15,0,11,16.12422624230385,0.2732919702085398
565,565,565,565,1-19069,10,17,1-19069,11,3,0,0,3.0,0.2727272727272727
155,155,155,155,1-7462,5,4,1-7462,336,79,0,123,91.5708934366703,0.27253242094247115
513,513,513,513,1-7453,12,13,1-7453,24,6,0,5,6.511011928319931,0.27129216367999714
299,299,299,299,1-9316,3,10,1-9316,16,4,0,3,4.306607156991959,0.2691629473119974
501,501,501,501,MLG56,17,2,MLG56,109,28,0,11,29.12422624230385,0.2671947361679252
503,503,503,503,1-0295,9,3,1-0295,24,6,0,4,6.408809542655945,0.2670337309439977
331,331,331,331,1-9412,11,7,1-9412,15,4,0,0,4.0,0.26666666666666666
268,268,268,268,1-7899,13,16,1-7899,40,9,0,16,10.63523817062378,0.2658809542655945
267,267,267,267,1-7715,8,8,1-7715,20,5,0,3,5.306607156991959,0.2653303578495979
415,415,415,415,1-7872,11,7,1-7872,124,30,0,26,32.65726202726364,0.26336501634890036
326,326,326,326,1-9095,11,7,1-9095,16,4,0,2,4.204404771327972,0.2627752982079983
507,507,507,507,1-19067,10,17,1-19067,8,2,0,1,2.102202385663986,0.2627752982079983
233,233,233,233,1-8864,3,10,1-8864,39,9,0,12,10.226428627967834,0.26221611866584194
50,50,50,50,MLG14,20,15,MLG14,462,115,0,55,120.62113121151924,0.261084699592033
493,493,493,493,1-3162,17,2,1-3162,35,9,0,1,9.102202385663986,0.26006292530468533
47,47,47,47,MLG15,12,13,MLG15,559,140,0,50,145.1101192831993,0.25958876437066064
482,482,482,482,1-11534,8,8,1-11534,12,3,0,1,3.102202385663986,0.25851686547199887
229,229,229,229,1-6569,21,9,1-6569,360,87,0,59,93.02994075417519,0.25841650209493106
166,166,166,166,1-9454,18,5,1-9454,80,18,0,25,20.555059641599655,0.25693824551999567
350,350,350,350,1-19891,21,9,1-19891,95,22,0,23,24.350654870271683,0.25632268284496507
528,528,528,528,MLG77,14,11,MLG77,9,2,0,3,2.3066071569919586,0.25628968411021763
136,136,136,136,1-7425,9,3,1-7425,352,78,0,105,88.73125049471855,0.2520774161781777
505,505,505,505,1-7936,7,14,1-7936,59,14,0,8,14.81761908531189,0.25114608619172696
113,113,113,113,1-7647,20,15,1-7647,30,6,0,15,7.533035784959793,0.2511011928319931
346,346,346,346,1-10823,16,18,1-10823,10,2,0,5,2.511011928319931,0.2511011928319931
537,537,537,537,1-9499,4,12,1-9499,36,8,0,10,9.022023856639862,0.2506117737955517
306,306,306,306,1-18987,5,4,1-18987,34,8,0,5,8.511011928319931,0.25032388024470387
91,91,91,91,1-9458,10,17,1-9458,20,5,0,0,5.0,0.25
109,109,109,109,1-3309,17,2,1-3309,12,3,0,0,3.0,0.25
176,176,176,176,1-7356,5,4,1-7356,4,1,0,0,1.0,0.25
271,271,271,271,1-19121,3,10,1-19121,75,17,0,16,18.63523817062378,0.24846984227498373
377,377,377,377,1-7901,14,11,1-7901,298,68,0,57,73.82553598284721,0.2477366979290175
130,130,130,130,MLG32,3,10,MLG32,79,17,0,25,19.555059641599655,0.2475324005265779
555,555,555,555,1-20068,14,11,1-20068,45,10,0,11,11.124226242303848,0.24720502760675217
551,551,551,551,1-18869,18,5,1-18869,22,5,0,4,5.408809542655945,0.24585497921163385
287,287,287,287,1-9267,12,13,1-9267,14,3,0,4,3.408809542655945,0.24348639590399607
476,476,476,476,MLG01,21,9,MLG01,43,10,0,4,10.408809542655945,0.24206533820130105
257,257,257,257,MLG06,10,17,MLG06,634,148,0,52,153.31452405452728,0.24182101585887583
345,345,345,345,1-2364,15,6,1-2364,88,19,0,21,21.14625009894371,0.2402982965789058
499,499,499,499,1-3135,13,16,1-3135,101,22,0,22,24.248452484607697,0.24008368796641283
111,111,111,111,1-7900,17,2,1-7900,75,18,0,0,18.0,0.24
479,479,479,479,1-7809,9,3,1-7809,40,8,0,14,9.430833399295807,0.23577083498239518
381,381,381,381,1-7987,4,12,1-7987,23,5,0,4,5.408809542655945,0.23516563228938892
106,106,106,106,1-8973,20,15,1-8973,44,10,0,3,10.306607156991959,0.23424107174981723
478,478,478,478,1-8916,11,7,1-8916,61,12,0,22,14.248452484607697,0.23358118827225732
244,244,244,244,1-3099,3,10,1-3099,9,2,0,1,2.102202385663986,0.23357804285155404
53,53,53,53,1-9340,4,12,1-9340,163,32,0,59,38.029940754175186,0.23331251996426494
357,357,357,357,1-7488,9,3,1-7488,65,13,0,21,15.14625009894371,0.2330192322914417
360,360,360,360,MLG67,17,2,MLG67,293,65,0,31,68.16827395558357,0.2326562251043808
258,258,258,258,1-4654,9,3,1-4654,138,26,0,59,32.029940754175186,0.2321010199577912
226,226,226,226,1-1047,4,12,1-1047,39,8,0,10,9.022023856639862,0.23133394504204774
246,246,246,246,1-9232,13,16,1-9232,20,4,0,6,4.613214313983917,0.23066071569919586
141,141,141,141,MLG42,20,15,MLG42,72,15,0,15,16.533035784959793,0.22962549701333046
29,29,29,29,1-8090,10,17,1-8090,14,3,0,2,3.2044047713279724,0.22888605509485518
399,399,399,399,1-8087,3,10,1-8087,58,11,0,22,13.248452484607697,0.22842159456220165
374,374,374,374,MLG74,18,5,MLG74,177,37,0,32,40.27047634124756,0.22751681548727434
119,119,119,119,1-7476,18,5,1-7476,22,5,0,0,5.0,0.22727272727272727
453,453,453,453,MLG45,7,14,MLG45,179,37,0,36,40.6792858839035,0.2272585803570028
301,301,301,301,1-6684,17,2,1-6684,145,32,0,5,32.51101192831993,0.22421387536772366
418,418,418,418,1-1655,12,13,1-1655,132,28,0,14,29.430833399295807,0.22296085908557428
339,339,339,339,1-7523,14,11,1-7523,79,16,0,15,17.533035784959793,0.2219371618349341
132,132,132,132,1-0454,12,13,1-0454,43,9,0,5,9.511011928319931,0.221186323914417
