Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
497,497,497,497,497,1-8039,19,17,1-8039,12,0,0,22,18.222618341445923,1.518551528453827
410,410,410,410,410,7W2-12806,23,19,7W2-12806,23,0,0,40,33.132033348083496,1.4405231890471086
133,133,133,133,133,MLG47,15,13,MLG47,106,0,0,122,101.05270171165466,0.9533273746382516
151,151,151,151,151,1-7725,5,8,1-7725,90,3,0,95,81.6885792016983,0.9076508800188701
574,574,574,574,574,1-4618,23,19,1-4618,1,0,0,1,0.8283008337020874,0.8283008337020874
474,474,474,474,474,1-19108,4,9,1-19108,16,0,0,15,12.424512505531311,0.7765320315957069
116,116,116,116,116,MLG48,1,11,MLG48,116,2,0,102,86.48668503761292,0.7455748710139044
444,444,444,444,444,1-7467,15,13,1-7467,20,0,0,18,14.909415006637573,0.7454707503318787
382,382,382,382,382,1-3472,22,20,1-3472,28,13,0,8,19.6264066696167,0.7009430953434536
337,337,337,337,337,1-3079,4,9,1-3079,34,0,0,28,23.192423343658447,0.6821300983428955
508,508,508,508,508,1-7737,22,20,1-7737,11,5,0,3,7.484902501106262,0.6804456819187511
340,340,340,340,340,1-10981,15,13,1-10981,34,9,0,16,22.2528133392334,0.6544945099774528
529,529,529,529,529,1-9466,18,15,1-9466,8,5,0,0,5.0,0.625
469,469,469,469,469,1-9095,23,19,1-9095,16,5,0,5,9.141504168510437,0.5713440105319023
300,300,300,300,300,1-3077,1,11,1-3077,41,0,0,28,23.192423343658447,0.56566886204045
108,108,108,108,108,1-1005,14,14,1-1005,122,4,0,78,68.60746502876282,0.5623562707275641
92,92,92,92,92,1-6511,23,19,1-6511,144,15,0,78,79.60746502876282,0.5528296182552973
219,219,219,219,219,1-8702,4,9,1-8702,59,14,0,22,32.22261834144592,0.5461460735838292
166,166,166,166,166,1-5696,10,3,1-5696,80,6,0,45,43.27353751659393,0.5409192189574241
298,298,298,298,298,1-0584,23,19,1-0584,41,16,0,7,21.798105835914612,0.5316611179491368
319,319,319,319,319,1-8765,19,17,1-8765,38,0,0,24,19.879220008850098,0.5231373686539499
372,372,372,372,372,1-3300,23,19,1-3300,29,9,0,7,14.798105835914612,0.5102795115832625
230,230,230,230,230,1-11205,10,3,1-11205,56,1,0,33,28.333927512168884,0.5059629912887301
514,514,514,514,514,1-10823,15,13,1-10823,10,0,0,6,4.969805002212524,0.49698050022125245
224,224,224,224,224,1-8087,16,21,1-8087,58,23,0,7,28.798105835914612,0.4965190661364588
184,184,184,184,184,MLG18,3,12,MLG18,72,28,0,9,35.45470750331879,0.4924264931016498
214,214,214,214,214,P1-0004,15,13,P1-0004,60,4,0,30,28.849025011062622,0.48081708351771035
375,375,375,375,375,1-8187,16,21,1-8187,29,4,0,12,13.939610004425049,0.4806762070491396
256,256,256,256,256,1-0984,15,13,1-0984,50,0,0,28,23.192423343658447,0.46384846687316894
352,352,352,352,352,1-8853,5,8,1-8853,33,2,0,16,15.252813339233398,0.4622064648252545
24,24,24,24,24,MLG62,8,6,MLG62,370,39,0,159,170.6998325586319,0.4613508988071132
391,391,391,391,391,1-7301,19,17,1-7301,26,7,0,6,11.969805002212524,0.4603771154697125
494,494,494,494,494,1-3631,15,13,1-3631,13,1,0,6,5.969805002212524,0.4592157694009634
490,490,490,490,490,1-2318,20,16,1-2318,13,1,0,6,5.969805002212524,0.4592157694009634
445,445,445,445,445,1-2028,15,13,1-2028,20,5,0,5,9.141504168510437,0.45707520842552185
46,46,46,46,46,1-3056,4,9,1-3056,250,51,0,75,113.12256252765656,0.4524902501106262
