Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
445,445,445,445,445,1-2028,15,14,1-2028,20,10,0,4,10.38837119936943,0.5194185599684715
428,428,428,428,428,1-5221,9,12,1-5221,21,9,0,2,9.194185599684715,0.4378183618897483
502,502,502,502,502,1-0305,16,24,1-0305,12,5,0,2,5.194185599684715,0.4328487999737263
426,426,426,426,426,1-20040,10,3,1-20040,22,8,0,6,8.582556799054146,0.3901162181388248
382,382,382,382,382,1-3472,22,22,1-3472,28,10,0,9,10.873835198581219,0.3883512570921864
384,384,384,384,384,1-7567,13,23,1-7567,27,10,0,2,10.194185599684715,0.37756242961795244
539,539,539,539,539,P1-17272,15,14,P1-17272,6,2,0,2,2.1941855996847153,0.36569759994745255
360,360,360,360,360,1-20100,14,13,1-20100,31,11,0,3,11.291278399527073,0.36423478708151846
325,325,325,325,325,1-6543,22,22,1-6543,36,12,0,2,12.194185599684715,0.33872737776901984
180,180,180,180,180,1-9294,15,14,1-9294,74,23,0,10,23.970927998423576,0.32393145943815643
164,164,164,164,164,1-9454,13,23,1-9454,80,24,0,13,25.26220639795065,0.3157775799743831
480,480,480,480,480,1-10882,14,13,1-10882,14,4,0,3,4.291278399527073,0.3065198856805052
89,89,89,89,89,1-3509,9,12,1-3509,150,44,0,9,44.87383519858122,0.2991589013238748
184,184,184,184,184,MLG18,3,6,MLG18,72,20,0,9,20.87383519858122,0.2899143777580725
525,525,525,525,525,1-19067,9,12,1-19067,8,2,0,3,2.291278399527073,0.2864097999408841
262,262,262,262,262,1-7656,9,12,1-7656,48,13,0,4,13.38837119936943,0.27892439998686314
108,108,108,108,108,1-1005,14,13,1-1005,122,30,0,38,33.68952639400959,0.2761436589672917
472,472,472,472,472,1-3733,15,14,1-3733,16,4,0,4,4.3883711993694305,0.2742731999605894
30,30,30,30,30,1-8718,4,7,1-8718,333,83,0,74,90.18486718833447,0.2708254269919954
303,303,303,303,303,1-7899,14,13,1-7899,40,10,0,5,10.485463999211788,0.2621365999802947
243,243,243,243,243,1-9542,9,12,1-9542,54,13,0,10,13.970927998423576,0.25872088885969585
106,106,106,106,106,1-7872,7,11,1-7872,124,29,0,27,31.621505595743656,0.2550121419011585
555,555,555,555,555,1-3734,3,6,1-3734,4,1,0,0,1.0,0.25
552,552,552,552,552,1-5303,9,12,1-5303,4,1,0,0,1.0,0.25
546,546,546,546,546,1-7834,16,24,1-7834,4,1,0,0,1.0,0.25
340,340,340,340,340,1-10981,15,14,1-10981,34,8,0,5,8.485463999211788,0.2495724705650526
348,348,348,348,348,1-0997,7,11,1-0997,33,8,0,1,8.097092799842358,0.24536644848007144
247,247,247,247,247,1-8177,16,24,1-8177,53,12,0,10,12.970927998423576,0.2447344905362939
238,238,238,238,238,MLG20,7,11,MLG20,55,12,0,7,12.679649598896503,0.23053908361630007
516,516,516,516,516,1-17965,1,5,1-17965,10,2,0,3,2.291278399527073,0.2291278399527073
508,508,508,508,508,1-7737,22,22,1-7737,11,2,0,5,2.485463999211788,0.2259512726556171
324,324,324,324,324,1-19093,17,15,1-19093,36,7,0,10,7.970927998423576,0.22141466662287712
398,398,398,398,398,1-8914,7,11,1-8914,25,5,0,5,5.485463999211788,0.21941855996847154
344,344,344,344,344,1-7781,13,23,1-7781,33,7,0,2,7.194185599684715,0.21800562423287015
212,212,212,212,212,1-8916,7,11,1-8916,61,12,0,12,13.165113598108292,0.2158215343952179
407,407,407,407,407,1-0295,1,5,1-0295,24,5,0,1,5.097092799842358,0.21237886666009823
364,364,364,364,364,1-5515,17,15,1-5515,30,5,0,13,6.262206397950649,0.20874021326502165
105,105,105,105,105,1-0529,14,13,1-0529,124,16,0,100,25.709279984235764,0.20733290309867553
477,477,477,477,477,1-9412,22,22,1-9412,15,3,0,1,3.0970927998423576,0.20647285332282383
219,219,219,219,219,1-8702,4,7,1-8702,59,10,0,22,12.136041596531868,0.20569562028020116
117,117,117,117,117,1-3246,2,4,1-3246,116,21,0,23,23.233134396374226,0.20028564134805366
17,17,17,17,17,1-8165,9,12,1-8165,420,56,0,279,83.08889115601778,0.19783069322861377
316,316,316,316,316,1-3216,1,5,1-3216,38,7,0,5,7.485463999211788,0.1969858947160997
427,427,427,427,427,1-9287,14,13,1-9287,21,4,0,1,4.097092799842358,0.19509965713535035
23,23,23,23,23,1-8567,17,15,1-8567,388,61,0,143,74.88427037745714,0.19300069684911633
501,501,501,501,501,1-5271,14,13,1-5271,12,2,0,3,2.291278399527073,0.19093986662725607
507,507,507,507,507,1-6608,13,23,1-6608,11,2,0,1,2.0970927998423576,0.19064479998566888
99,99,99,99,99,1-0917,9,12,1-0917,134,23,0,26,25.5244127959013,0.1904806925067261
103,103,103,103,103,1-2275,14,13,1-2275,130,23,0,17,24.65057759732008,0.18961982767169291
46,46,46,46,46,1-3056,4,7,1-3056,250,40,0,75,47.28195998817682,0.1891278399527073
302,302,302,302,302,1-7809,13,23,1-7809,40,7,0,5,7.485463999211788,0.1871365999802947
