Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
381,381,381,381,381,381,381,1-6554,3,19,1-6554,28,21,0,5,23.68694669008255,0.8459623817886625
575,575,575,575,575,575,575,1-4387,1,2,1-4387,1,0,0,1,0.53738933801651,0.53738933801651
243,243,243,243,243,243,243,1-9542,9,18,1-9542,54,20,0,9,24.83650404214859,0.4599352600397887
508,508,508,508,508,508,508,1-7737,22,27,1-7737,11,5,0,0,5.0,0.45454545454545453
539,539,539,539,539,539,539,P1-17272,15,13,P1-17272,6,1,0,3,2.61216801404953,0.4353613356749217
382,382,382,382,382,382,382,1-3472,22,27,1-3472,28,9,0,4,11.14955735206604,0.39819847685950144
216,216,216,216,216,216,216,1-18620,21,4,1-18620,60,1,0,42,23.57035219669342,0.3928392032782237
391,391,391,391,391,391,391,1-7301,19,6,1-7301,26,3,0,13,9.98606139421463,0.38407928439287037
83,83,83,83,83,83,83,1-7306,13,14,1-7306,159,31,0,52,58.94424557685852,0.37071852564061963
514,514,514,514,514,514,514,1-10823,15,13,1-10823,10,1,0,5,3.68694669008255,0.368694669008255
155,155,155,155,155,155,155,1-2364,19,6,1-2364,88,6,0,49,32.33207756280899,0.3674099723046476
364,364,364,364,364,364,364,1-5515,17,8,1-5515,30,5,0,10,10.3738933801651,0.34579644600550336
67,67,67,67,67,67,67,1-4394,21,4,1-4394,190,3,0,116,65.33716320991516,0.34387980636797455
42,42,42,42,42,42,42,1-8681,19,6,1-8681,260,26,0,114,87.26238453388214,0.3356245558995467
190,190,190,190,190,190,190,1-1176,5,10,1-1176,69,0,0,43,23.10774153470993,0.33489480485086853
445,445,445,445,445,445,445,1-2028,15,13,1-2028,20,4,0,5,6.68694669008255,0.3343473345041275
340,340,340,340,340,340,340,1-10981,15,13,1-10981,34,7,0,7,10.76172536611557,0.3165213342975168
464,464,464,464,464,464,464,1-8062,5,10,1-8062,17,0,0,10,5.3738933801651,0.31611137530382943
513,513,513,513,513,513,513,1-18770,19,6,1-18770,10,1,0,4,3.14955735206604,0.314955735206604
405,405,405,405,405,405,405,1-6558,15,13,1-6558,24,0,0,14,7.52345073223114,0.3134771138429642
31,31,31,31,31,31,31,1-1687,12,15,1-1687,325,26,0,141,101.77189666032791,0.31314429741639355
162,162,162,162,162,162,162,1-10960,12,15,1-10960,82,17,0,15,25.06084007024765,0.3056200008566787
306,306,306,306,306,306,306,1-8990,16,28,1-8990,40,12,0,0,12.0,0.3
180,180,180,180,180,180,180,1-9294,15,13,1-9294,74,14,0,15,22.06084007024765,0.29811946040875204
35,35,35,35,35,35,35,1-7901,9,18,1-7901,298,60,0,52,87.94424557685852,0.2951149180431494
324,324,324,324,324,324,324,1-19093,17,8,1-19093,36,2,0,16,10.59822940826416,0.2943952613406711
235,235,235,235,235,235,235,1-9040,19,6,1-9040,55,6,0,18,15.67300808429718,0.2849637833508578
94,94,94,94,94,94,94,1-3693,11,16,1-3693,143,23,0,33,40.73384815454483,0.28485208499681697
166,166,166,166,166,166,166,1-5696,10,17,1-5696,80,6,0,31,22.65906947851181,0.2832383684813976
202,202,202,202,202,202,202,1-1367,14,12,1-1367,66,3,0,29,18.58429080247879,0.2815801636739211
14,14,14,14,14,14,14,1-3037,3,19,1-3037,467,51,0,146,129.45884335041046,0.2772137973242194
214,214,214,214,214,214,214,P1-0004,15,13,P1-0004,60,4,0,23,16.35995477437973,0.27266591290632886
320,320,320,320,320,320,320,1-5109,15,13,1-5109,37,3,0,13,9.98606139421463,0.26989355119499
304,304,304,304,304,304,304,1-2006,11,16,1-2006,40,7,0,7,10.76172536611557,0.2690431341528893
555,555,555,555,555,555,555,1-3734,3,19,1-3734,4,0,0,2,1.07477867603302,0.268694669008255
550,550,550,550,550,550,550,1-3142,17,8,1-3142,4,0,0,2,1.07477867603302,0.268694669008255
97,97,97,97,97,97,97,1-4654,5,10,1-4654,138,0,0,69,37.07986432313919,0.268694669008255
27,27,27,27,27,27,27,1-7425,5,10,1-7425,352,0,0,175,94.04313415288925,0.2671679947525263
111,111,111,111,111,111,111,1-1887,19,6,1-1887,119,11,0,38,31.42079484462738,0.2640402928119948
322,322,322,322,322,322,322,1-18435,4,20,1-18435,37,6,0,7,9.76172536611557,0.26383041530042084
358,358,358,358,358,358,358,1-5655,15,13,1-5655,31,6,0,4,8.14955735206604,0.26288894684084
43,43,43,43,43,43,43,1-8753,21,4,1-8753,258,4,0,118,67.41194188594818,0.2612865964571635
342,342,342,342,342,342,342,1-18987,19,6,1-18987,34,4,0,9,8.83650404214859,0.25989717771025267
164,164,164,164,164,164,164,1-9454,13,14,1-9454,80,17,0,7,20.76172536611557,0.25952156707644464
471,471,471,471,471,471,471,1-9396,1,2,1-9396,16,2,0,4,4.14955735206604,0.2593473345041275
119,119,119,119,119,119,119,1-1136,12,15,1-1136,113,12,0,32,29.19645881652832,0.2583757417391887
120,120,120,120,120,120,120,1-1152,4,20,1-1152,112,18,0,20,28.7477867603302,0.2566766675029482
138,138,138,138,138,138,138,1-7993,17,8,1-7993,100,10,0,29,25.58429080247879,0.25584290802478793
39,39,39,39,39,39,39,1-7172,1,2,1-7172,284,13,0,111,72.65021651983261,0.2558106215487064
165,165,165,165,165,165,165,1-8368,5,10,1-8368,80,0,0,38,20.42079484462738,0.25525993555784227
472,472,472,472,472,472,472,1-3733,15,13,1-3733,16,3,0,2,4.07477867603302,0.25467366725206375
516,516,516,516,516,516,516,1-17965,1,2,1-17965,10,2,0,1,2.53738933801651,0.253738933801651
554,554,554,554,554,554,554,1-10217,8,21,1-10217,4,1,0,0,1.0,0.25
552,552,552,552,552,552,552,1-5303,9,18,1-5303,4,1,0,0,1.0,0.25
311,311,311,311,311,311,311,1-1047,5,10,1-1047,39,0,0,18,9.67300808429718,0.24802584831531233
70,70,70,70,70,70,70,1-5228,12,15,1-5228,180,12,0,60,44.2433602809906,0.24579644600550335
23,23,23,23,23,23,23,1-8567,17,8,1-8567,388,30,0,120,94.4867205619812,0.2435224756752093
76,76,76,76,76,76,76,1-7518,12,15,1-7518,169,32,0,17,41.13561874628067,0.243406028084501
